1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q4,70152.00,1776.00,12447.00,2730.00,0.00,1292.00,15235.00,0.00,11988.00,767.00,2480.00,0.00,22311.00,4365.00,0.00,17946.00,0.00,0.00,5477.00,5944.00,2940.00,402688.00,0.00,0.00,2526.00,284901.00,235039.00,49862.00,519.00,0.00,519.00,6684.00,6098.00,101960.00,57645.00,390181.00
1957:Q1,72931.00,1718.00,15593.00,2924.00,0.00,1118.00,15317.00,0.00,12017.00,835.00,2465.00,0.00,22372.00,4457.00,0.00,17915.00,0.00,0.00,5550.00,5221.00,3118.00,406885.00,0.00,0.00,2533.00,284316.00,233391.00,50925.00,576.00,0.00,576.00,6796.00,6144.00,106520.00,60338.00,394292.00
1957:Q2,71393.00,1791.00,14814.00,3049.00,0.00,0.00,15327.00,0.00,12006.00,847.00,2474.00,0.00,22219.00,4551.00,0.00,17668.00,0.00,0.00,5721.00,5223.00,3249.00,406254.00,0.00,0.00,2544.00,279183.00,227347.00,51836.00,578.00,0.00,578.00,6930.00,6166.00,110853.00,58809.00,393670.00
1957:Q3,73677.00,2045.00,14158.00,3082.00,0.00,2242.00,15188.00,0.00,11867.00,807.00,2514.00,0.00,22502.00,4684.00,0.00,17818.00,0.00,0.00,5706.00,5218.00,3536.00,416408.00,0.00,0.00,2552.00,284487.00,231295.00,53192.00,692.00,48.00,644.00,7069.00,6178.00,115430.00,61166.00,403897.00
1957:Q4,71346.00,2080.00,11926.00,3084.00,0.00,1820.00,15002.00,0.00,11660.00,752.00,2590.00,0.00,23105.00,4848.00,0.00,18257.00,0.00,0.00,5499.00,5191.00,3639.00,424704.00,0.00,0.00,2562.00,287513.00,233144.00,54369.00,766.00,96.00,670.00,7608.00,6185.00,120070.00,59016.00,412374.00
1958:Q1,71867.00,2174.00,13259.00,3703.00,0.00,1758.00,14742.00,0.00,11326.00,750.00,2666.00,0.00,23432.00,4968.00,0.00,18464.00,0.00,0.00,5231.00,4028.00,3540.00,428310.00,0.00,0.00,2578.00,288021.00,232192.00,55829.00,943.00,222.00,721.00,7709.00,6192.00,122867.00,59820.00,416263.00
1958:Q2,75835.00,2187.00,18141.00,4388.00,0.00,0.00,14796.00,0.00,11395.00,696.00,2705.00,0.00,23627.00,5076.00,0.00,18551.00,0.00,0.00,5124.00,4045.00,3527.00,435084.00,0.00,0.00,2590.00,291597.00,234625.00,56972.00,1105.00,347.00,758.00,7855.00,6203.00,125734.00,63682.00,422931.00
1958:Q3,71603.00,2178.00,11383.00,4035.00,0.00,2093.00,14842.00,0.00,11471.00,648.00,2723.00,0.00,24082.00,5182.00,0.00,18900.00,0.00,0.00,5161.00,4081.00,3748.00,440801.00,0.00,0.00,2593.00,293914.00,235401.00,58513.00,1256.00,439.00,817.00,8138.00,6219.00,128681.00,59315.00,428513.00
1958:Q4,72291.00,2041.00,12017.00,3916.00,0.00,1417.00,14964.00,0.00,11627.00,600.00,2737.00,0.00,24761.00,5470.00,0.00,19291.00,0.00,0.00,5222.00,4064.00,3889.00,453109.00,0.00,0.00,2600.00,302661.00,242842.00,59819.00,1382.00,532.00,850.00,8517.00,6241.00,131708.00,59814.00,440632.00
1959:Q1,74773.00,1871.00,12653.00,3909.00,0.00,204.00,15157.00,0.00,11848.00,564.00,2745.00,0.00,25535.00,5955.00,0.00,19580.00,0.00,0.00,5261.00,6207.00,3976.00,456348.00,0.00,0.00,2606.00,303874.00,242477.00,61397.00,1456.00,581.00,875.00,8714.00,6268.00,133430.00,62050.00,443625.00
