1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q3,32764.00,8068.00,8068.00,0.00,0.00,0.00,24696.00,32764.00,32764.00,0.00
1975:Q4,32976.00,-1320.00,-1320.00,0.00,0.00,0.00,34296.00,32976.00,32976.00,0.00
1976:Q1,32868.00,768.00,768.00,0.00,0.00,0.00,32100.00,32868.00,32868.00,0.00
1976:Q2,33152.00,10132.00,10132.00,0.00,0.00,0.00,23020.00,33152.00,33152.00,0.00
1976:Q3,33844.00,10344.00,10344.00,0.00,0.00,0.00,23500.00,33844.00,33844.00,0.00
1976:Q4,34260.00,-2864.00,-2864.00,0.00,0.00,0.00,37124.00,34260.00,34260.00,0.00
1977:Q1,34108.00,-768.00,-768.00,0.00,0.00,0.00,34876.00,34108.00,34108.00,0.00
1977:Q2,35384.00,-7908.00,-7908.00,0.00,0.00,0.00,43292.00,35384.00,35384.00,0.00
1977:Q3,37092.00,39844.00,39844.00,0.00,0.00,0.00,-2752.00,37092.00,37092.00,0.00
1977:Q4,38748.00,-4868.00,-4868.00,0.00,0.00,0.00,43616.00,38748.00,38748.00,0.00
1978:Q1,39572.00,-92.00,-92.00,0.00,0.00,0.00,39664.00,39572.00,39572.00,0.00
1978:Q2,41496.00,-4524.00,-4524.00,0.00,0.00,0.00,46020.00,41496.00,41496.00,0.00
1978:Q3,43012.00,35580.00,35580.00,0.00,0.00,0.00,7432.00,43012.00,43012.00,0.00
1978:Q4,43568.00,-2848.00,-2848.00,0.00,0.00,0.00,46416.00,43568.00,43568.00,0.00
1979:Q1,42832.00,244.00,244.00,0.00,0.00,0.00,42588.00,42832.00,42832.00,0.00
1979:Q2,43372.00,284.00,284.00,0.00,0.00,0.00,43088.00,43372.00,43372.00,0.00
1979:Q3,43936.00,32024.00,32024.00,0.00,0.00,0.00,11912.00,43936.00,43936.00,0.00
1979:Q4,44136.00,-552.00,-552.00,0.00,0.00,0.00,44688.00,44136.00,44136.00,0.00
1980:Q1,43940.00,13356.00,13356.00,0.00,0.00,0.00,30584.00,43940.00,43940.00,0.00
1980:Q2,44292.00,9548.00,9548.00,0.00,0.00,0.00,34744.00,44292.00,44292.00,0.00
1980:Q3,45184.00,3444.00,3444.00,0.00,0.00,0.00,41740.00,45184.00,45184.00,0.00
1980:Q4,45632.00,9352.00,9352.00,0.00,0.00,0.00,36280.00,45632.00,45632.00,0.00
1981:Q1,45132.00,11288.00,11288.00,0.00,0.00,0.00,33844.00,45132.00,45132.00,0.00
1981:Q2,46200.00,9540.00,9540.00,0.00,0.00,0.00,36660.00,46200.00,46200.00,0.00
1981:Q3,47376.00,9792.00,9792.00,0.00,0.00,0.00,37584.00,47376.00,47376.00,0.00
1981:Q4,48096.00,9364.00,9364.00,0.00,0.00,0.00,38732.00,48096.00,48096.00,0.00
1982:Q1,47708.00,13552.00,13552.00,0.00,0.00,0.00,34156.00,47708.00,47708.00,0.00
1982:Q2,48756.00,12316.00,12316.00,0.00,0.00,0.00,36440.00,48756.00,48756.00,0.00
1982:Q3,49596.00,12328.00,12328.00,0.00,0.00,0.00,37268.00,49596.00,49596.00,0.00
1982:Q4,49752.00,10068.00,10068.00,0.00,0.00,0.00,39684.00,49752.00,49752.00,0.00
1983:Q1,48900.00,15308.00,15308.00,0.00,0.00,0.00,33592.00,48900.00,48900.00,0.00
1983:Q2,50004.00,14728.00,14728.00,0.00,0.00,0.00,35276.00,50004.00,50004.00,0.00
1983:Q3,51680.00,15224.00,15224.00,0.00,0.00,0.00,36456.00,51680.00,51680.00,0.00
1983:Q4,53324.00,12912.00,12912.00,0.00,0.00,0.00,40412.00,53324.00,53324.00,0.00
1984:Q1,54540.00,20012.00,20012.00,0.00,0.00,0.00,34528.00,54540.00,54540.00,0.00
1984:Q2,56144.00,21024.00,21024.00,0.00,0.00,0.00,35120.00,56144.00,56144.00,0.00
1984:Q3,57872.00,17312.00,17312.00,0.00,0.00,0.00,40560.00,57872.00,57872.00,0.00
1984:Q4,58452.00,15552.00,15552.00,0.00,0.00,0.00,42900.00,58452.00,58452.00,0.00
1985:Q1,57508.00,75864.00,75864.00,0.00,0.00,0.00,-18356.00,57508.00,57508.00,0.00
1985:Q2,58560.00,26164.00,26164.00,0.00,0.00,0.00,32396.00,58560.00,58560.00,0.00
1985:Q3,60004.00,31100.00,31100.00,0.00,0.00,0.00,28904.00,60004.00,60004.00,0.00
1985:Q4,61180.00,26340.00,26340.00,0.00,0.00,0.00,34840.00,61180.00,61180.00,0.00
1986:Q1,61004.00,34608.00,34608.00,0.00,0.00,0.00,26396.00,61004.00,61004.00,0.00
1986:Q2,62504.00,30068.00,30068.00,0.00,0.00,0.00,32436.00,62504.00,62504.00,0.00
1986:Q3,63344.00,22776.00,22776.00,0.00,0.00,0.00,40568.00,63344.00,63344.00,0.00
1986:Q4,62808.00,30756.00,30756.00,0.00,0.00,0.00,32052.00,62808.00,62808.00,0.00
1987:Q1,60608.00,35432.00,35432.00,0.00,0.00,0.00,25176.00,60608.00,60608.00,0.00
1987:Q2,62072.00,30208.00,30208.00,0.00,0.00,0.00,31864.00,62072.00,60512.00,1560.00
1987:Q3,62184.00,32736.00,32736.00,0.00,0.00,0.00,29448.00,62184.00,60836.00,1348.00
1987:Q4,62488.00,27040.00,27040.00,0.00,0.00,0.00,35448.00,62488.00,61052.00,1436.00
1988:Q1,62384.00,36720.00,36720.00,0.00,0.00,0.00,25664.00,62384.00,60988.00,1396.00
1988:Q2,63432.00,34792.00,34792.00,0.00,0.00,0.00,28640.00,63432.00,61788.00,1644.00
1988:Q3,65020.00,31160.00,31148.00,0.00,12.00,20.00,33840.00,65020.00,63300.00,1720.00
1988:Q4,65920.00,35040.00,35036.00,0.00,4.00,8.00,30872.00,65920.00,64056.00,1864.00
1989:Q1,65288.00,41796.00,41784.00,0.00,12.00,44.00,23448.00,65288.00,63280.00,2008.00
1989:Q2,66644.00,38644.00,38632.00,0.00,12.00,36.00,27964.00,66644.00,64456.00,2188.00
1989:Q3,67604.00,32604.00,32592.00,0.00,12.00,48.00,34952.00,67604.00,65484.00,2120.00
1989:Q4,68080.00,33737.00,33717.00,0.00,20.00,52.00,34291.00,68080.00,65664.00,2416.00
1990:Q1,66816.00,42876.00,42840.00,0.00,36.00,136.00,23804.00,66816.00,64352.00,2464.00
1990:Q2,68068.00,33189.00,33149.00,0.00,40.00,136.00,34743.00,68068.00,65216.00,2852.00
1990:Q3,68976.00,36264.00,36228.00,0.00,36.00,156.00,32556.00,68976.00,66196.00,2780.00
1990:Q4,70476.00,31886.00,31702.00,0.00,184.00,724.00,37866.00,70476.00,66620.00,3856.00
1991:Q1,68424.00,44735.00,44635.00,0.00,100.00,264.00,23425.00,68424.00,65728.00,2696.00
1991:Q2,70244.00,40635.00,40583.00,0.00,52.00,100.00,29509.00,70244.00,67160.00,3084.00
1991:Q3,71808.00,38855.00,38727.00,80.00,48.00,660.00,32293.00,71808.00,68744.00,3064.00
1991:Q4,73736.00,40268.00,40108.00,100.00,60.00,876.00,32592.00,73736.00,69620.00,4116.00
1992:Q1,73264.00,45449.00,45225.00,140.00,84.00,1484.00,26331.00,73264.00,69548.00,3716.00
