1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1963:Q4,30024.00,1411.00,26817.00,1796.00,0.00,30024.00,9036.00,0.00,0.00,1055.00,394.00,12366.00,0.00,5343.00,614.00,838.00,12.00,1.00,0.00,365.00,0.00
1964:Q1,30936.00,1457.00,27686.00,1793.00,0.00,30936.00,9009.00,0.00,0.00,1064.00,445.00,12771.00,0.00,5749.00,654.00,873.00,11.00,1.00,0.00,359.00,0.00
1964:Q2,32095.00,1515.00,28793.00,1787.00,0.00,32095.00,8973.00,0.00,0.00,1085.00,500.00,13333.00,0.00,6188.00,698.00,910.00,11.00,1.00,0.00,396.00,0.00
1964:Q3,33313.00,1575.00,29933.00,1805.00,0.00,33313.00,8990.00,0.00,0.00,1066.00,554.00,13927.00,0.00,6656.00,739.00,950.00,11.00,2.00,0.00,418.00,0.00
1964:Q4,34578.00,1638.00,31114.00,1826.00,0.00,34578.00,9001.00,0.00,0.00,1042.00,605.00,14476.00,0.00,7236.00,781.00,997.00,11.00,2.00,0.00,427.00,0.00
1965:Q1,35384.00,1677.00,31857.00,1850.00,0.00,35384.00,8907.00,0.00,0.00,1006.00,653.00,14892.00,0.00,7607.00,822.00,1048.00,11.00,2.00,0.00,436.00,0.00
1965:Q2,36300.00,1721.00,32703.00,1876.00,0.00,36300.00,8781.00,0.00,0.00,959.00,700.00,15412.00,0.00,7981.00,894.00,1103.00,11.00,2.00,0.00,457.00,0.00
1965:Q3,37243.00,1769.00,33613.00,1861.00,0.00,37243.00,8622.00,0.00,0.00,979.00,744.00,15956.00,0.00,8338.00,930.00,1162.00,11.00,3.00,0.00,498.00,0.00
1965:Q4,38213.00,1818.00,34550.00,1845.00,0.00,38213.00,8500.00,0.00,0.00,1040.00,785.00,16391.00,0.00,8811.00,956.00,1222.00,10.00,4.00,0.00,494.00,0.00
1966:Q1,39187.00,1868.00,35489.00,1830.00,0.00,39187.00,8471.00,0.00,0.00,1170.00,820.00,16780.00,0.00,9164.00,993.00,1286.00,10.00,4.00,0.00,489.00,0.00
1966:Q2,40075.00,1913.00,36347.00,1815.00,0.00,40075.00,8484.00,0.00,0.00,1254.00,850.00,17079.00,0.00,9541.00,1017.00,1355.00,10.00,3.00,0.00,482.00,0.00
1966:Q3,40708.00,1945.00,36963.00,1800.00,0.00,40708.00,8441.00,0.00,0.00,1302.00,878.00,17206.00,0.00,9918.00,1052.00,1421.00,10.00,4.00,0.00,476.00,0.00
