1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1990:Q3,771145.00,4716.00,7802.00,2738.00,11820.00,392299.00,11820.00,170147.00,61255.00,245.00,148832.00,15311.00,250979.00,6961.00,78519.00,70894.00,7625.00,781916.00
1990:Q4,788151.00,4974.00,7701.00,2791.00,12233.00,385928.00,12233.00,168235.00,62851.00,473.00,142136.00,16061.00,284569.00,7772.00,66122.00,58291.00,7831.00,800030.00
1991:Q1,805501.00,4366.00,14658.00,2722.00,13785.00,390515.00,13785.00,177144.00,62935.00,364.00,136287.00,16562.00,327145.00,9730.00,26018.00,22108.00,3910.00,818226.00
1991:Q2,823292.00,4640.00,12230.00,2804.00,16515.00,394449.00,16515.00,178753.00,64651.00,487.00,134043.00,16322.00,328790.00,10273.00,37269.00,32506.00,4763.00,837104.00
1991:Q3,842239.00,3038.00,9902.00,3006.00,20870.00,391528.00,20870.00,163948.00,64551.00,549.00,141610.00,16675.00,357453.00,12235.00,27532.00,22500.00,5032.00,857018.00
1991:Q4,862148.00,3807.00,8828.00,2950.00,18868.00,387730.00,18868.00,165494.00,58038.00,619.00,144711.00,16886.00,394962.00,13102.00,15015.00,10394.00,4621.00,878055.00
1992:Q1,912024.00,3960.00,8406.00,2970.00,19299.00,397418.00,19299.00,171904.00,55408.00,554.00,150253.00,16173.00,388418.00,14241.00,61139.00,56401.00,4738.00,928756.00
1992:Q2,962656.00,4435.00,8358.00,2979.00,20685.00,402636.00,20685.00,177959.00,49236.00,534.00,154222.00,17066.00,391220.00,15673.00,99604.00,94863.00,4741.00,980448.00
1992:Q3,1013627.00,6409.00,7910.00,3090.00,23573.00,419036.00,23573.00,197677.00,48036.00,378.00,149372.00,16306.00,400848.00,15615.00,120840.00,116803.00,4037.00,1033006.00
1992:Q4,1064960.00,6515.00,6942.00,3106.00,24680.00,425302.00,24680.00,203534.00,39761.00,445.00,156882.00,16453.00,431666.00,17915.00,132381.00,127837.00,4544.00,1085771.00
1993:Q1,1084499.00,5836.00,7591.00,3446.00,25219.00,424066.00,25219.00,204950.00,32740.00,460.00,160697.00,15645.00,463983.00,19457.00,119256.00,114619.00,4637.00,1106459.00
1993:Q2,1103695.00,6129.00,8601.00,3766.00,26344.00,435798.00,26344.00,211378.00,32078.00,617.00,165381.00,14506.00,465277.00,21158.00,122116.00,117391.00,4725.00,1127330.00
1993:Q3,1124532.00,5460.00,8554.00,3789.00,19887.00,452871.00,19887.00,221833.00,34149.00,1222.00,175780.00,15055.00,487775.00,23455.00,107686.00,103384.00,4302.00,1148521.00
1993:Q4,1145464.00,6619.00,6230.00,4124.00,20449.00,454083.00,20449.00,217450.00,35796.00,1371.00,179017.00,14529.00,506221.00,25631.00,107578.00,103469.00,4109.00,1169969.00
1994:Q1,1168449.00,5476.00,5869.00,4512.00,20399.00,459417.00,20399.00,224335.00,40588.00,716.00,173379.00,14637.00,492220.00,26468.00,139451.00,135629.00,3822.00,1193015.00
1994:Q2,1191705.00,5794.00,5520.00,4763.00,22909.00,458923.00,22909.00,220641.00,45014.00,845.00,169514.00,14941.00,494757.00,27578.00,156520.00,152446.00,4074.00,1216727.00
1994:Q3,1215637.00,7137.00,2636.00,4807.00,25093.00,459577.00,25093.00,217370.00,38390.00,1104.00,177620.00,15024.00,520213.00,30529.00,150621.00,145990.00,4631.00,1241073.00
1994:Q4,1239767.00,6737.00,2483.00,4958.00,27825.00,463505.00,27825.00,215554.00,39872.00,1112.00,179142.00,15199.00,521682.00,44781.00,152597.00,148010.00,4587.00,1265716.00
1995:Q1,1267495.00,5139.00,2536.00,5071.00,29519.00,483917.00,29519.00,224973.00,44665.00,1053.00,183707.00,15397.00,558839.00,50241.00,116836.00,112609.00,4227.00,1294197.00
1995:Q2,1296274.00,4687.00,2594.00,5443.00,31257.00,485294.00,31257.00,217221.00,48067.00,1131.00,187618.00,15558.00,612334.00,55761.00,83346.00,78765.00,4581.00,1323228.00
1995:Q3,1325797.00,5145.00,4209.00,5614.00,29383.00,487519.00,29383.00,211282.00,56192.00,1374.00,189288.00,15746.00,667210.00,60148.00,50823.00,45989.00,4834.00,1352871.00
1995:Q4,1355524.00,4207.00,4464.00,5894.00,31477.00,493864.00,31477.00,208194.00,63118.00,1830.00,189245.00,15938.00,703520.00,62902.00,33258.00,28457.00,4801.00,1382904.00
1996:Q1,1379266.00,4772.00,4969.00,6330.00,26428.00,509040.00,26428.00,213528.00,69231.00,2271.00,197582.00,16126.00,736723.00,64753.00,10125.00,4969.00,5156.00,1407559.00
1996:Q2,1403490.00,5883.00,3871.00,6593.00,28179.00,523235.00,28179.00,221067.00,70214.00,1297.00,202478.00,16324.00,762670.00,66448.00,-9713.00,-15151.00,5438.00,1432608.00
1996:Q3,1429347.00,7186.00,2274.00,6988.00,27573.00,511657.00,27573.00,213439.00,65037.00,496.00,205112.00,16526.00,802307.00,67960.00,-13124.00,-18392.00,5268.00,1458312.00
1996:Q4,1454878.00,7466.00,2293.00,7592.00,28222.00,521621.00,28222.00,212791.00,68622.00,561.00,211425.00,16734.00,846588.00,73182.00,-48820.00,-54339.00,5519.00,1484330.00
1997:Q1,1476929.00,5353.00,5021.00,8326.00,27395.00,541152.00,27395.00,211138.00,78763.00,2051.00,221805.00,16946.00,848717.00,73083.00,-49064.00,-54000.00,4936.00,1507453.00
1997:Q2,1500308.00,8820.00,2302.00,8689.00,32233.00,557669.00,32233.00,214907.00,78798.00,2059.00,229672.00,17160.00,952228.00,84676.00,-163469.00,-168642.00,5173.00,1531187.00
1997:Q3,1524482.00,6505.00,2823.00,9831.00,32148.00,573056.00,32149.00,223531.00,81608.00,2467.00,233301.00,17382.00,1032573.00,92503.00,-242339.00,-247670.00,5331.00,1555588.00
1997:Q4,1549654.00,5314.00,2420.00,9644.00,28616.00,580667.00,28616.00,218997.00,87006.00,1503.00,244545.00,17607.00,1051316.00,93362.00,-239292.00,-244870.00,5578.00,1580398.00
1998:Q1,1579246.00,6666.00,1653.00,9710.00,36927.00,595950.00,36927.00,212146.00,90116.00,2080.00,254681.00,18673.00,1153078.00,106899.00,-350310.00,-356075.00,5765.00,1611574.00
1998:Q2,1611291.00,7610.00,1621.00,9759.00,35839.00,613538.00,35839.00,213210.00,98041.00,2227.00,264221.00,20681.00,1162493.00,106732.00,-346982.00,-352898.00,5916.00,1643531.00
