1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,1298.00,35.00,219.00,35.00,31.00,0.00,0.00,153.00,0.00,1044.00,0.00,1298.00,0.00,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1413.00,36.00,224.00,36.00,43.00,0.00,0.00,145.00,0.00,1153.00,0.00,1413.00,0.00,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1516.00,35.00,255.00,35.00,65.00,0.00,0.00,155.00,0.00,1226.00,0.00,1516.00,0.00,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,13242.00,117.00,1453.00,117.00,401.00,0.00,0.00,935.00,0.00,11672.00,0.00,13242.00,0.00,ND,ND,ND,ND,ND
1959:Q1,14132.00,149.00,1528.00,149.00,432.00,0.00,0.00,947.00,0.00,12455.00,0.00,14132.00,0.00,ND,ND,ND,ND,ND
1959:Q2,14973.00,151.00,1562.00,151.00,432.00,0.00,0.00,979.00,0.00,13260.00,0.00,14973.00,0.00,ND,ND,ND,ND,ND
1959:Q3,14747.00,187.00,1699.00,187.00,517.00,0.00,0.00,995.00,0.00,12861.00,0.00,14747.00,0.00,ND,ND,ND,ND,ND
1959:Q4,15818.00,152.00,1799.00,152.00,556.00,0.00,0.00,1091.00,0.00,13867.00,0.00,15818.00,0.00,ND,ND,ND,ND,ND
1960:Q1,15312.00,180.00,1848.00,180.00,605.00,0.00,0.00,1063.00,0.00,13284.00,0.00,15312.00,0.00,ND,ND,ND,ND,ND
1960:Q2,16097.00,189.00,1919.00,189.00,615.00,0.00,0.00,1115.00,0.00,13989.00,0.00,16097.00,0.00,ND,ND,ND,ND,ND
1960:Q3,15640.00,209.00,2006.00,209.00,608.00,0.00,0.00,1189.00,0.00,13425.00,0.00,15640.00,0.00,ND,ND,ND,ND,ND
1960:Q4,17026.00,177.00,2043.00,177.00,619.00,0.00,0.00,1247.00,0.00,14806.00,0.00,17026.00,0.00,ND,ND,ND,ND,ND
1961:Q1,19440.00,240.00,2091.00,240.00,539.00,0.00,0.00,1312.00,0.00,17109.00,0.00,19440.00,0.00,ND,ND,ND,ND,ND
