1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,406.00,52.00,3971.00,80.00,0.00,0.00,257.00,0.00,-2452.00,0.00,-10.00,2719.00,3389.00,177.00,3212.00,55.00,0.00,7.00,183.00,0.00,79.00,104.00,3978.00,0.00,0.00,0.00,2555.00,975.00,57.00,3.00,388.00,0.00,0.00,259.00,0.00,129.00,361.00
1952:Q1,566.00,49.00,4772.00,-280.00,0.00,0.00,2180.00,0.00,-864.00,0.00,-36.00,3080.00,2448.00,148.00,2300.00,248.00,0.00,0.00,176.00,0.00,76.00,100.00,4284.00,0.00,0.00,0.00,2612.00,1080.00,128.00,0.00,464.00,0.00,0.00,272.00,0.00,192.00,29.00
1952:Q2,581.00,50.00,3704.00,248.00,0.00,0.00,1152.00,0.00,-1820.00,0.00,-40.00,3012.00,1976.00,136.00,1840.00,160.00,0.00,8.00,160.00,0.00,72.00,88.00,4544.00,0.00,0.00,0.00,2752.00,1136.00,-68.00,4.00,720.00,0.00,0.00,272.00,0.00,448.00,1371.00
1952:Q3,580.00,44.00,5548.00,-48.00,0.00,0.00,3348.00,0.00,368.00,0.00,160.00,2820.00,1996.00,144.00,1852.00,88.00,0.00,8.00,156.00,0.00,76.00,80.00,4760.00,0.00,0.00,0.00,2924.00,1152.00,44.00,4.00,636.00,0.00,0.00,284.00,0.00,352.00,-252.00
1952:Q4,571.00,48.00,5076.00,324.00,0.00,0.00,2628.00,0.00,-812.00,0.00,-40.00,3480.00,1820.00,64.00,1756.00,160.00,0.00,8.00,136.00,0.00,80.00,56.00,4876.00,0.00,0.00,0.00,3092.00,1132.00,-40.00,4.00,688.00,0.00,0.00,348.00,0.00,340.00,323.00
1953:Q1,560.00,46.00,4648.00,-624.00,0.00,0.00,2868.00,0.00,-528.00,0.00,200.00,3196.00,2140.00,180.00,1960.00,116.00,0.00,8.00,140.00,0.00,88.00,52.00,4792.00,0.00,0.00,0.00,3064.00,1120.00,-40.00,4.00,644.00,0.00,0.00,368.00,0.00,276.00,658.00
1953:Q2,560.00,46.00,4576.00,-168.00,0.00,0.00,2256.00,0.00,-120.00,0.00,60.00,2316.00,2240.00,192.00,2048.00,116.00,0.00,8.00,124.00,0.00,92.00,32.00,4636.00,0.00,0.00,0.00,2968.00,1116.00,-56.00,8.00,600.00,0.00,0.00,400.00,0.00,200.00,574.00
1953:Q3,595.00,48.00,4596.00,328.00,0.00,0.00,1964.00,0.00,-412.00,0.00,160.00,2216.00,2108.00,176.00,1932.00,56.00,0.00,8.00,132.00,0.00,96.00,36.00,4560.00,0.00,0.00,0.00,2852.00,1120.00,140.00,8.00,440.00,0.00,0.00,404.00,0.00,36.00,511.00
1953:Q4,635.00,47.00,6208.00,740.00,0.00,0.00,2624.00,0.00,-632.00,0.00,160.00,3096.00,2600.00,256.00,2344.00,84.00,0.00,16.00,144.00,0.00,92.00,52.00,4592.00,0.00,0.00,0.00,2748.00,1144.00,284.00,8.00,408.00,0.00,0.00,392.00,0.00,16.00,-1028.00
1954:Q1,662.00,54.00,4764.00,-620.00,0.00,0.00,2780.00,0.00,-436.00,0.00,660.00,2556.00,2212.00,232.00,1980.00,212.00,0.00,8.00,172.00,0.00,84.00,88.00,4692.00,0.00,0.00,0.00,2820.00,1152.00,-184.00,8.00,896.00,0.00,0.00,372.00,0.00,524.00,536.00
1954:Q2,670.00,53.00,5152.00,164.00,0.00,0.00,1664.00,0.00,-1284.00,0.00,776.00,2172.00,2700.00,240.00,2460.00,424.00,0.00,12.00,188.00,0.00,76.00,112.00,4836.00,0.00,0.00,0.00,2952.00,1152.00,-180.00,8.00,904.00,0.00,0.00,360.00,0.00,544.00,301.00
1954:Q3,682.00,55.00,4888.00,40.00,0.00,0.00,1544.00,0.00,-1044.00,0.00,536.00,2052.00,2812.00,208.00,2604.00,284.00,0.00,12.00,196.00,0.00,84.00,112.00,4860.00,0.00,0.00,0.00,3076.00,1176.00,112.00,8.00,488.00,0.00,0.00,364.00,0.00,124.00,599.00
1954:Q4,735.00,55.00,6196.00,516.00,0.00,0.00,1580.00,0.00,-272.00,0.00,220.00,1632.00,3744.00,172.00,3572.00,160.00,0.00,8.00,188.00,0.00,104.00,84.00,4776.00,0.00,0.00,0.00,3156.00,1220.00,60.00,8.00,332.00,0.00,0.00,400.00,0.00,-68.00,-740.00
1955:Q1,682.00,64.00,5224.00,-716.00,0.00,0.00,2268.00,0.00,264.00,0.00,552.00,1452.00,3412.00,244.00,3168.00,76.00,0.00,12.00,172.00,0.00,120.00,52.00,4852.00,0.00,0.00,0.00,3124.00,1288.00,24.00,8.00,408.00,0.00,0.00,428.00,0.00,-20.00,246.00
1955:Q2,685.00,69.00,4756.00,112.00,0.00,0.00,1224.00,0.00,-200.00,0.00,0.00,1424.00,3148.00,148.00,3000.00,100.00,0.00,12.00,160.00,0.00,136.00,24.00,5032.00,0.00,0.00,0.00,3044.00,1364.00,-132.00,8.00,748.00,0.00,0.00,464.00,0.00,284.00,892.00
1955:Q3,682.00,74.00,5688.00,284.00,0.00,0.00,1956.00,0.00,312.00,0.00,128.00,1516.00,3204.00,168.00,3036.00,60.00,0.00,12.00,172.00,0.00,148.00,24.00,5176.00,0.00,0.00,0.00,3028.00,1364.00,168.00,8.00,608.00,0.00,0.00,468.00,0.00,140.00,96.00
1955:Q4,667.00,77.00,5784.00,420.00,0.00,0.00,340.00,0.00,-2352.00,0.00,88.00,2604.00,4764.00,92.00,4672.00,24.00,0.00,12.00,224.00,0.00,160.00,64.00,5252.00,0.00,0.00,0.00,3084.00,1284.00,96.00,8.00,780.00,0.00,0.00,440.00,0.00,340.00,58.00
1956:Q1,675.00,94.00,4720.00,-860.00,0.00,0.00,1268.00,0.00,-1996.00,0.00,620.00,2644.00,4028.00,224.00,3804.00,0.00,0.00,12.00,272.00,0.00,172.00,100.00,5192.00,0.00,0.00,0.00,3168.00,1196.00,-72.00,8.00,892.00,0.00,0.00,436.00,0.00,456.00,1053.00
1956:Q2,684.00,96.00,5428.00,144.00,0.00,0.00,1088.00,0.00,-492.00,0.00,-28.00,1608.00,3856.00,272.00,3584.00,0.00,0.00,12.00,328.00,0.00,192.00,136.00,5068.00,0.00,0.00,0.00,3276.00,1084.00,-200.00,4.00,904.00,0.00,0.00,416.00,0.00,488.00,228.00
1956:Q3,799.00,99.00,5848.00,-8.00,0.00,0.00,2088.00,0.00,-480.00,0.00,260.00,2308.00,3424.00,144.00,3280.00,0.00,0.00,12.00,332.00,0.00,196.00,136.00,4972.00,0.00,0.00,0.00,3220.00,1120.00,360.00,4.00,268.00,0.00,0.00,408.00,0.00,-140.00,-176.00
1956:Q4,800.00,100.00,5888.00,788.00,0.00,0.00,1020.00,0.00,-1116.00,0.00,88.00,2048.00,3784.00,276.00,3508.00,-8.00,0.00,12.00,292.00,0.00,188.00,104.00,4952.00,0.00,0.00,0.00,3004.00,1300.00,72.00,4.00,572.00,0.00,0.00,440.00,0.00,132.00,-236.00
1957:Q1,755.00,94.00,4832.00,-828.00,0.00,0.00,2272.00,0.00,-308.00,0.00,64.00,2516.00,3064.00,304.00,2760.00,52.00,0.00,12.00,260.00,0.00,180.00,80.00,4892.00,0.00,0.00,0.00,2792.00,1472.00,-4.00,4.00,628.00,0.00,0.00,464.00,0.00,164.00,721.00
1957:Q2,648.00,94.00,4860.00,272.00,0.00,0.00,1992.00,0.00,-520.00,0.00,132.00,2380.00,2340.00,332.00,2008.00,0.00,0.00,12.00,244.00,0.00,184.00,60.00,4768.00,0.00,0.00,0.00,2580.00,1644.00,-304.00,4.00,844.00,0.00,0.00,488.00,0.00,356.00,462.00
1957:Q3,650.00,97.00,5456.00,32.00,0.00,0.00,2684.00,0.00,-236.00,0.00,104.00,2816.00,2408.00,352.00,2056.00,88.00,0.00,12.00,232.00,0.00,176.00,56.00,4832.00,0.00,0.00,0.00,2548.00,1684.00,156.00,4.00,440.00,0.00,0.00,480.00,0.00,-40.00,-71.00
1957:Q4,671.00,95.00,5456.00,568.00,0.00,0.00,2048.00,0.00,-1040.00,0.00,112.00,2976.00,2576.00,412.00,2164.00,32.00,0.00,16.00,216.00,0.00,156.00,60.00,5076.00,0.00,0.00,0.00,2684.00,1600.00,160.00,4.00,628.00,0.00,0.00,444.00,0.00,184.00,196.00
1958:Q1,606.00,88.00,5008.00,-488.00,0.00,0.00,2972.00,0.00,232.00,0.00,336.00,2404.00,2232.00,404.00,1828.00,76.00,0.00,12.00,204.00,0.00,136.00,68.00,5228.00,0.00,0.00,0.00,2856.00,1500.00,492.00,4.00,376.00,0.00,0.00,412.00,0.00,-36.00,738.00
1958:Q2,632.00,84.00,4780.00,160.00,0.00,0.00,2668.00,0.00,-48.00,0.00,296.00,2420.00,1696.00,352.00,1344.00,76.00,0.00,16.00,164.00,0.00,104.00,60.00,5408.00,0.00,0.00,0.00,3056.00,1404.00,-348.00,0.00,1296.00,0.00,0.00,376.00,0.00,920.00,1176.00
1958:Q3,686.00,84.00,5620.00,28.00,0.00,0.00,3412.00,0.00,880.00,0.00,316.00,2216.00,1904.00,268.00,1636.00,80.00,0.00,12.00,184.00,0.00,112.00,72.00,5280.00,0.00,0.00,0.00,3112.00,1452.00,140.00,0.00,576.00,0.00,0.00,372.00,0.00,204.00,262.00
1958:Q4,702.00,87.00,6336.00,596.00,0.00,0.00,2656.00,68.00,-448.00,200.00,272.00,2564.00,2748.00,252.00,2496.00,80.00,0.00,16.00,240.00,0.00,152.00,88.00,4916.00,0.00,0.00,0.00,3044.00,1644.00,52.00,0.00,176.00,0.00,0.00,388.00,0.00,-212.00,-805.00
1959:Q1,621.00,114.00,4820.00,-592.00,0.00,0.00,2976.00,332.00,116.00,44.00,588.00,1896.00,1936.00,340.00,1596.00,176.00,0.00,16.00,308.00,0.00,192.00,116.00,5032.00,0.00,0.00,0.00,3076.00,1872.00,128.00,0.00,-44.00,0.00,0.00,416.00,0.00,-460.00,719.00
1959:Q2,650.00,118.00,5736.00,-48.00,0.00,0.00,3324.00,340.00,64.00,52.00,652.00,2216.00,1928.00,376.00,1552.00,144.00,0.00,12.00,376.00,0.00,228.00,148.00,5272.00,0.00,0.00,0.00,3084.00,2136.00,-164.00,4.00,212.00,0.00,0.00,416.00,0.00,-204.00,68.00
1959:Q3,687.00,123.00,5000.00,-192.00,0.00,0.00,1904.00,-104.00,-180.00,32.00,628.00,1528.00,2684.00,428.00,2256.00,200.00,0.00,16.00,388.00,0.00,236.00,152.00,5772.00,0.00,0.00,0.00,3332.00,2108.00,316.00,4.00,12.00,0.00,0.00,440.00,0.00,-428.00,1336.00
1959:Q4,656.00,126.00,6336.00,604.00,0.00,0.00,1408.00,-164.00,-1260.00,-40.00,208.00,2664.00,3712.00,576.00,3136.00,248.00,0.00,16.00,348.00,0.00,216.00,132.00,6380.00,0.00,0.00,0.00,3756.00,1784.00,64.00,4.00,772.00,0.00,0.00,468.00,0.00,304.00,574.00
1960:Q1,723.00,116.00,4944.00,-728.00,0.00,0.00,1668.00,-104.00,-160.00,4.00,336.00,1592.00,3504.00,672.00,2832.00,168.00,0.00,16.00,316.00,0.00,204.00,112.00,6172.00,0.00,0.00,0.00,3672.00,1484.00,-232.00,4.00,1244.00,0.00,0.00,528.00,0.00,716.00,1835.00
1960:Q2,684.00,120.00,5336.00,244.00,0.00,0.00,1360.00,184.00,-1016.00,108.00,292.00,1792.00,3172.00,720.00,2452.00,256.00,0.00,16.00,288.00,0.00,200.00,88.00,5624.00,0.00,0.00,0.00,3436.00,1208.00,-156.00,8.00,1128.00,0.00,0.00,580.00,0.00,548.00,852.00
1960:Q3,712.00,119.00,5780.00,-20.00,0.00,0.00,2156.00,164.00,12.00,20.00,612.00,1348.00,2816.00,584.00,2232.00,524.00,0.00,16.00,288.00,0.00,192.00,96.00,5052.00,0.00,0.00,0.00,3000.00,1136.00,184.00,8.00,724.00,0.00,0.00,596.00,0.00,128.00,-135.00
1960:Q4,641.00,118.00,6916.00,588.00,0.00,0.00,2292.00,460.00,-600.00,-16.00,312.00,2136.00,3256.00,476.00,2780.00,460.00,0.00,16.00,304.00,0.00,172.00,132.00,4648.00,0.00,0.00,0.00,2500.00,1272.00,140.00,8.00,728.00,0.00,0.00,576.00,0.00,152.00,-1745.00
1961:Q1,708.00,120.00,5592.00,-392.00,0.00,0.00,2428.00,-28.00,464.00,-40.00,420.00,1612.00,2768.00,568.00,2200.00,444.00,0.00,16.00,328.00,0.00,152.00,176.00,4972.00,0.00,0.00,0.00,2668.00,1364.00,24.00,8.00,908.00,0.00,0.00,616.00,0.00,292.00,-32.00
1961:Q2,757.00,123.00,6028.00,152.00,0.00,0.00,2228.00,-24.00,-540.00,-40.00,140.00,2692.00,3080.00,600.00,2480.00,204.00,0.00,16.00,348.00,0.00,124.00,224.00,5628.00,0.00,0.00,0.00,3084.00,1412.00,-268.00,4.00,1396.00,0.00,0.00,608.00,0.00,788.00,234.00
1961:Q3,799.00,124.00,5828.00,156.00,0.00,0.00,2680.00,-200.00,80.00,88.00,320.00,2392.00,2204.00,444.00,1760.00,428.00,0.00,16.00,344.00,0.00,120.00,224.00,6068.00,0.00,0.00,0.00,3596.00,1424.00,88.00,4.00,956.00,0.00,0.00,624.00,0.00,332.00,915.00
1961:Q4,803.00,129.00,7296.00,332.00,0.00,0.00,2172.00,-152.00,-1176.00,28.00,320.00,3152.00,3684.00,396.00,3288.00,784.00,0.00,20.00,304.00,0.00,136.00,168.00,6184.00,0.00,0.00,0.00,4068.00,1400.00,28.00,4.00,684.00,0.00,0.00,640.00,0.00,44.00,-438.00
1962:Q1,806.00,121.00,5728.00,-692.00,0.00,0.00,3672.00,872.00,692.00,44.00,604.00,1460.00,2072.00,460.00,1612.00,364.00,16.00,16.00,280.00,0.00,148.00,132.00,6080.00,0.00,0.00,0.00,4012.00,1364.00,436.00,4.00,264.00,0.00,0.00,684.00,0.00,-420.00,1037.00
1962:Q2,788.00,125.00,6564.00,-24.00,0.00,0.00,2900.00,276.00,-112.00,-24.00,-60.00,2820.00,2640.00,588.00,2052.00,748.00,40.00,20.00,240.00,0.00,152.00,88.00,5908.00,0.00,0.00,0.00,3828.00,1316.00,-264.00,4.00,1024.00,0.00,0.00,744.00,0.00,280.00,7.00
1962:Q3,825.00,128.00,6312.00,304.00,0.00,0.00,2848.00,196.00,208.00,108.00,196.00,2140.00,2720.00,516.00,2204.00,156.00,28.00,20.00,236.00,0.00,156.00,80.00,5972.00,0.00,0.00,0.00,3516.00,1352.00,168.00,4.00,932.00,0.00,0.00,712.00,0.00,220.00,357.00
1962:Q4,818.00,130.00,8452.00,672.00,0.00,0.00,1740.00,-728.00,-644.00,-148.00,-188.00,3448.00,5368.00,440.00,4928.00,364.00,16.00,16.00,276.00,0.00,164.00,112.00,6284.00,0.00,0.00,0.00,3212.00,1468.00,-124.00,4.00,1724.00,0.00,0.00,580.00,0.00,1144.00,-1480.00
1963:Q1,967.00,108.00,5740.00,-908.00,0.00,0.00,2936.00,548.00,-592.00,-20.00,12.00,2988.00,2956.00,456.00,2500.00,428.00,0.00,20.00,308.00,0.00,176.00,132.00,6080.00,0.00,0.00,0.00,3696.00,1564.00,692.00,4.00,124.00,0.00,0.00,440.00,0.00,-316.00,1199.00
1963:Q2,840.00,115.00,6532.00,64.00,0.00,0.00,2236.00,-124.00,-1104.00,72.00,-360.00,3752.00,3640.00,496.00,3144.00,252.00,-20.00,20.00,340.00,0.00,188.00,152.00,6280.00,0.00,0.00,0.00,3956.00,1644.00,-644.00,0.00,1324.00,0.00,0.00,296.00,0.00,1028.00,473.00
1963:Q3,745.00,120.00,7280.00,416.00,0.00,0.00,2300.00,208.00,380.00,12.00,-252.00,1952.00,3952.00,380.00,3572.00,256.00,-12.00,20.00,348.00,0.00,192.00,156.00,6632.00,0.00,0.00,0.00,4248.00,1716.00,-36.00,0.00,704.00,0.00,0.00,276.00,0.00,428.00,-23.00
1963:Q4,661.00,126.00,8572.00,464.00,0.00,0.00,1972.00,-500.00,-112.00,72.00,-96.00,2608.00,5704.00,352.00,5352.00,68.00,12.00,20.00,332.00,0.00,188.00,144.00,7076.00,0.00,0.00,0.00,4524.00,1776.00,-36.00,0.00,812.00,0.00,0.00,376.00,0.00,436.00,-961.00
1964:Q1,773.00,180.00,6576.00,-688.00,0.00,0.00,2344.00,68.00,-100.00,-72.00,-36.00,2484.00,4132.00,488.00,3644.00,388.00,64.00,20.00,316.00,0.00,180.00,136.00,6932.00,0.00,0.00,0.00,4224.00,1856.00,416.00,0.00,436.00,0.00,0.00,444.00,0.00,-8.00,949.00
1964:Q2,784.00,184.00,7440.00,-60.00,0.00,0.00,2016.00,-468.00,-292.00,60.00,-164.00,2880.00,4672.00,536.00,4136.00,384.00,108.00,20.00,300.00,0.00,172.00,128.00,7092.00,0.00,0.00,0.00,4252.00,1944.00,-256.00,4.00,1148.00,0.00,0.00,476.00,0.00,672.00,252.00
1964:Q3,874.00,188.00,7776.00,140.00,0.00,0.00,2068.00,96.00,500.00,12.00,80.00,1380.00,4612.00,472.00,4140.00,528.00,96.00,24.00,308.00,0.00,180.00,128.00,7272.00,0.00,0.00,0.00,4332.00,1992.00,328.00,4.00,616.00,0.00,0.00,528.00,0.00,88.00,182.00
1964:Q4,942.00,193.00,9740.00,696.00,0.00,0.00,1092.00,-224.00,-984.00,-40.00,-192.00,2532.00,6956.00,444.00,6512.00,536.00,80.00,20.00,360.00,0.00,212.00,148.00,7464.00,0.00,0.00,0.00,4440.00,2008.00,-16.00,4.00,1028.00,0.00,0.00,592.00,0.00,436.00,-1527.00
1965:Q1,859.00,218.00,7820.00,-808.00,0.00,0.00,2712.00,596.00,180.00,28.00,-112.00,2020.00,5176.00,516.00,4660.00,280.00,36.00,24.00,400.00,0.00,232.00,168.00,7740.00,0.00,0.00,0.00,4268.00,2348.00,56.00,4.00,1064.00,0.00,0.00,664.00,0.00,400.00,561.00
1965:Q2,954.00,228.00,7752.00,-28.00,0.00,0.00,2044.00,760.00,-1124.00,60.00,-288.00,2636.00,4720.00,600.00,4120.00,524.00,24.00,20.00,448.00,0.00,252.00,196.00,8100.00,0.00,0.00,0.00,4796.00,2016.00,-332.00,-4.00,1624.00,0.00,0.00,740.00,0.00,884.00,1074.00
1965:Q3,948.00,241.00,9124.00,68.00,0.00,0.00,2924.00,492.00,-240.00,112.00,-316.00,2876.00,4832.00,568.00,4264.00,836.00,-24.00,24.00,464.00,0.00,272.00,192.00,8100.00,0.00,0.00,0.00,4956.00,1908.00,204.00,-4.00,1036.00,0.00,0.00,780.00,0.00,256.00,-317.00
1965:Q4,898.00,257.00,10428.00,828.00,0.00,0.00,1076.00,-1668.00,-716.00,-48.00,-260.00,3768.00,6868.00,468.00,6400.00,1160.00,-4.00,24.00,476.00,0.00,300.00,176.00,7748.00,0.00,0.00,0.00,4744.00,2028.00,-8.00,-8.00,992.00,0.00,0.00,784.00,0.00,208.00,-2039.00
1966:Q1,984.00,215.00,8804.00,-1720.00,0.00,0.00,4908.00,-192.00,208.00,96.00,36.00,4760.00,5608.00,732.00,4876.00,156.00,16.00,24.00,-188.00,0.00,328.00,-516.00,6668.00,0.00,0.00,0.00,4580.00,2084.00,416.00,8.00,-420.00,0.00,0.00,824.00,0.00,-1244.00,-1367.00
1966:Q2,965.00,225.00,7344.00,96.00,0.00,0.00,736.00,-32.00,-1000.00,164.00,-692.00,2296.00,6356.00,1248.00,5108.00,176.00,36.00,24.00,-80.00,0.00,360.00,-440.00,8476.00,0.00,0.00,0.00,4456.00,2084.00,-396.00,8.00,2324.00,0.00,0.00,844.00,0.00,1480.00,1872.00
1966:Q3,992.00,231.00,7972.00,248.00,0.00,0.00,1336.00,300.00,-276.00,36.00,-184.00,1460.00,6160.00,1936.00,4224.00,224.00,80.00,24.00,-100.00,0.00,372.00,-472.00,9192.00,0.00,0.00,0.00,4524.00,2100.00,116.00,8.00,2444.00,0.00,0.00,864.00,0.00,1580.00,1981.00
1966:Q4,1047.00,237.00,10464.00,1552.00,0.00,0.00,1272.00,272.00,276.00,-20.00,-240.00,984.00,6016.00,1840.00,4176.00,380.00,4.00,24.00,1216.00,0.00,364.00,852.00,7520.00,0.00,0.00,0.00,4788.00,2132.00,104.00,8.00,488.00,0.00,0.00,876.00,0.00,-388.00,-2134.00
1967:Q1,921.00,257.00,8364.00,-956.00,0.00,0.00,3752.00,688.00,-264.00,4.00,-172.00,3496.00,4556.00,1116.00,3440.00,596.00,-16.00,32.00,400.00,0.00,308.00,92.00,7804.00,0.00,0.00,0.00,5800.00,1264.00,844.00,8.00,-112.00,0.00,0.00,940.00,0.00,-1052.00,104.00
1967:Q2,1023.00,258.00,8528.00,304.00,0.00,0.00,3232.00,1340.00,-660.00,20.00,-240.00,2772.00,3724.00,1096.00,2628.00,1044.00,40.00,36.00,148.00,0.00,284.00,-136.00,7512.00,0.00,0.00,0.00,4852.00,1424.00,-1288.00,4.00,2520.00,0.00,0.00,884.00,0.00,1636.00,-251.00
1967:Q3,1063.00,257.00,9220.00,188.00,0.00,0.00,5060.00,1100.00,108.00,-16.00,-112.00,3980.00,2844.00,760.00,2084.00,964.00,16.00,36.00,112.00,0.00,276.00,-164.00,8504.00,0.00,0.00,0.00,4888.00,1496.00,124.00,4.00,1992.00,0.00,0.00,872.00,0.00,1120.00,90.00
1967:Q4,1046.00,264.00,8748.00,580.00,0.00,0.00,2160.00,-2728.00,-136.00,-32.00,64.00,4992.00,4272.00,796.00,3476.00,1372.00,52.00,32.00,280.00,0.00,284.00,-4.00,8636.00,0.00,0.00,0.00,4836.00,1800.00,-124.00,4.00,2120.00,0.00,0.00,904.00,0.00,1216.00,670.00
1968:Q1,952.00,269.00,8816.00,-1648.00,0.00,0.00,5764.00,848.00,-20.00,144.00,120.00,4672.00,2936.00,1108.00,1828.00,1152.00,116.00,40.00,456.00,0.00,336.00,120.00,8524.00,0.00,0.00,0.00,4800.00,2236.00,648.00,4.00,836.00,0.00,0.00,964.00,0.00,-128.00,391.00
1968:Q2,934.00,270.00,8228.00,244.00,0.00,0.00,2632.00,-44.00,-924.00,-56.00,-8.00,3664.00,3236.00,1444.00,1792.00,1592.00,-76.00,36.00,564.00,0.00,360.00,204.00,8388.00,0.00,0.00,0.00,4768.00,2296.00,-360.00,8.00,1676.00,0.00,0.00,984.00,0.00,692.00,824.00
1968:Q3,1054.00,277.00,9468.00,836.00,0.00,0.00,3664.00,620.00,324.00,44.00,-16.00,2692.00,3324.00,1380.00,1944.00,964.00,12.00,40.00,628.00,0.00,368.00,260.00,7860.00,0.00,0.00,0.00,4788.00,1532.00,304.00,8.00,1228.00,0.00,0.00,1008.00,0.00,220.00,-831.00
1968:Q4,1094.00,290.00,11192.00,992.00,0.00,0.00,2500.00,-1240.00,-288.00,124.00,100.00,3804.00,5328.00,1056.00,4272.00,1536.00,132.00,36.00,668.00,0.00,356.00,312.00,10124.00,0.00,0.00,0.00,4856.00,3140.00,56.00,8.00,2064.00,0.00,0.00,1028.00,0.00,1036.00,-264.00
1969:Q1,873.00,279.00,10088.00,-1340.00,0.00,0.00,5388.00,1408.00,-468.00,92.00,144.00,4212.00,3304.00,1676.00,1628.00,1552.00,308.00,40.00,836.00,0.00,352.00,484.00,9080.00,0.00,0.00,0.00,4904.00,2668.00,652.00,8.00,848.00,0.00,0.00,1040.00,0.00,-192.00,-414.00
1969:Q2,872.00,290.00,7256.00,-520.00,0.00,0.00,616.00,-684.00,-840.00,112.00,-24.00,2052.00,4448.00,2544.00,1904.00,1396.00,424.00,44.00,848.00,0.00,352.00,496.00,9460.00,0.00,0.00,0.00,4932.00,3068.00,-680.00,12.00,2128.00,0.00,0.00,1056.00,0.00,1072.00,2786.00
