1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q3,515931.00,5370.00,17797.00,2295.00,121995.00,2328.00,68500.00,8451.00,38400.00,4316.00,356349.00,99141.00,3314.00,199422.00,54472.00,2243.00,0.00,0.00,270.00,9612.00,480910.00,950.00,140390.00,280570.00,29818.00,3221.00,4864.00,3347.00,1517.00,5802.00,784.00,367.00,14144.00,0.00,0.00,14144.00,0.00
1965:Q4,534671.00,4851.00,18447.00,2121.00,126101.00,1970.00,72145.00,8713.00,39142.00,4131.00,370473.00,107707.00,3392.00,203826.00,55548.00,2330.00,0.00,0.00,276.00,10072.00,498933.00,436.00,150297.00,288458.00,30983.00,2458.00,5016.00,3426.00,1590.00,5997.00,806.00,369.00,14113.00,0.00,0.00,14113.00,0.00
1966:Q1,535716.00,5470.00,17941.00,2108.00,123843.00,2031.00,68534.00,9075.00,40090.00,4113.00,373986.00,106247.00,3388.00,207809.00,56542.00,2281.00,0.00,0.00,283.00,9804.00,500071.00,228.00,142484.00,293981.00,32342.00,2416.00,5055.00,3422.00,1633.00,5687.00,1062.00,366.00,16450.00,0.00,0.00,16450.00,0.00
1966:Q2,550942.00,5234.00,18564.00,2125.00,122243.00,1700.00,65726.00,9630.00,41069.00,4118.00,389129.00,115634.00,3420.00,211645.00,58430.00,2168.00,0.00,0.00,289.00,11190.00,514669.00,1684.00,149335.00,299348.00,32963.00,2364.00,5148.00,3454.00,1694.00,6783.00,624.00,370.00,16050.00,0.00,0.00,16050.00,0.00
1966:Q3,552614.00,5830.00,18070.00,2346.00,122888.00,1791.00,65999.00,8901.00,41906.00,4291.00,389910.00,112905.00,3370.00,214451.00,59184.00,1942.00,0.00,0.00,296.00,11332.00,516340.00,4725.00,142789.00,301175.00,33409.00,2624.00,5098.00,3404.00,1694.00,7175.00,613.00,374.00,18358.00,0.00,0.00,18358.00,0.00
1966:Q4,564775.00,5450.00,19794.00,2499.00,125675.00,1943.00,68573.00,9213.00,41472.00,4474.00,398644.00,119155.00,3603.00,216282.00,59604.00,2041.00,0.00,0.00,303.00,10369.00,527573.00,5167.00,152379.00,306483.00,33302.00,2858.00,5333.00,3639.00,1694.00,6935.00,731.00,352.00,14033.00,0.00,0.00,14033.00,0.00
1967:Q1,569660.00,5970.00,18619.00,3211.00,132362.00,2638.00,70526.00,9980.00,43880.00,5338.00,396815.00,116260.00,3704.00,217434.00,59417.00,2323.00,0.00,0.00,322.00,10038.00,532172.00,1600.00,145613.00,316691.00,36445.00,3633.00,5638.00,3741.00,1897.00,5175.00,897.00,356.00,16124.00,0.00,0.00,16124.00,0.00
1967:Q2,583953.00,4854.00,19505.00,3898.00,134335.00,2818.00,66591.00,11156.00,47385.00,6385.00,407475.00,120897.00,4131.00,220962.00,61485.00,2392.00,0.00,0.00,341.00,11153.00,545959.00,2263.00,148672.00,327431.00,37013.00,4444.00,6092.00,4172.00,1920.00,4302.00,558.00,358.00,14826.00,0.00,0.00,14826.00,0.00
1967:Q3,601244.00,6252.00,20039.00,3931.00,144115.00,3091.00,73756.00,11416.00,48597.00,7255.00,412703.00,119677.00,4146.00,225885.00,62995.00,2574.00,0.00,0.00,362.00,11268.00,563109.00,4510.00,152944.00,335047.00,37517.00,4730.00,6142.00,4187.00,1955.00,4122.00,639.00,360.00,17098.00,0.00,0.00,17098.00,0.00
1967:Q4,629865.00,5931.00,21092.00,3982.00,149736.00,2911.00,76260.00,12520.00,50561.00,7484.00,434066.00,135323.00,4317.00,230316.00,64110.00,2552.00,0.00,0.00,385.00,12121.00,582290.00,5650.00,164810.00,341194.00,39204.00,5006.00,6323.00,4360.00,1963.00,4386.00,647.00,373.00,14697.00,0.00,0.00,14697.00,0.00
1968:Q1,625389.00,6250.00,21232.00,4366.00,152422.00,3221.00,75984.00,13355.00,51896.00,7966.00,426372.00,124073.00,4336.00,233542.00,64421.00,2321.00,0.00,0.00,408.00,12018.00,585243.00,5074.00,155084.00,349095.00,40094.00,5731.00,6342.00,4379.00,1963.00,4269.00,660.00,375.00,18519.00,0.00,0.00,18519.00,0.00
