1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,28535.00,16742.00,14.00,819.00,3591.00,477.00,0.00,0.00,0.00,11841.00,0.00,0.00,471.00,118.00,403.00,186.00,0.00,0.00,0.00,3252.00,220.00,3032.00,675.00,675.00,0.00,0.00,0.00,0.00,0.00,1095.00,0.00,18.00,1077.00,0.00,0.00,0.00,3304.00,2974.00,330.00,2045.00,2045.00,833.00,833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,28736.00,16663.00,16.00,830.00,3633.00,453.00,0.00,0.00,0.00,11731.00,0.00,0.00,487.00,122.00,422.00,187.00,0.00,0.00,0.00,3309.00,225.00,3084.00,689.00,689.00,0.00,0.00,0.00,0.00,0.00,1119.00,0.00,18.00,1101.00,0.00,0.00,0.00,3138.00,2824.00,314.00,2290.00,2290.00,919.00,919.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,29794.00,16720.00,18.00,818.00,3741.00,439.00,0.00,0.00,0.00,11704.00,0.00,0.00,698.00,175.00,602.00,271.00,0.00,0.00,0.00,3357.00,230.00,3127.00,867.00,867.00,0.00,0.00,0.00,0.00,0.00,1027.00,0.00,16.00,1011.00,0.00,0.00,0.00,3258.00,2932.00,326.00,2672.00,2672.00,1020.00,1020.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,29981.00,16917.00,43.00,826.00,3928.00,447.00,0.00,0.00,0.00,11673.00,0.00,0.00,646.00,161.00,532.00,275.00,0.00,0.00,0.00,3428.00,240.00,3188.00,702.00,702.00,0.00,0.00,0.00,0.00,0.00,1097.00,0.00,18.00,1079.00,0.00,0.00,0.00,3036.00,2732.00,304.00,2971.00,2971.00,1023.00,1023.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,30636.00,17060.00,49.00,847.00,3995.00,438.00,0.00,0.00,0.00,11731.00,0.00,0.00,524.00,131.00,381.00,274.00,0.00,0.00,0.00,3470.00,245.00,3225.00,1017.00,1017.00,0.00,0.00,0.00,0.00,0.00,1172.00,0.00,22.00,1150.00,0.00,0.00,0.00,3316.00,2984.00,332.00,3033.00,3033.00,913.00,913.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,31051.00,17121.00,51.00,822.00,4096.00,441.00,16.00,0.00,0.00,11695.00,0.00,0.00,537.00,134.00,395.00,276.00,0.00,0.00,0.00,3517.00,250.00,3267.00,1275.00,1275.00,0.00,0.00,0.00,0.00,0.00,1191.00,0.00,22.00,1169.00,0.00,0.00,0.00,3158.00,2842.00,316.00,3133.00,3133.00,985.00,985.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,31498.00,17056.00,55.00,698.00,4152.00,451.00,66.00,0.00,0.00,11634.00,0.00,0.00,514.00,128.00,332.00,310.00,0.00,0.00,0.00,3550.00,260.00,3290.00,1417.00,1417.00,0.00,0.00,0.00,0.00,0.00,1064.00,0.00,17.00,1047.00,0.00,0.00,0.00,3762.00,3386.00,376.00,3108.00,3108.00,899.00,899.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,31715.00,17004.00,60.00,663.00,4144.00,458.00,26.00,0.00,0.00,11653.00,0.00,0.00,528.00,132.00,330.00,330.00,0.00,0.00,0.00,3611.00,265.00,3346.00,1138.00,1138.00,0.00,0.00,0.00,0.00,0.00,1118.00,0.00,20.00,1098.00,0.00,0.00,0.00,4113.00,3702.00,411.00,3099.00,3099.00,972.00,972.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,31928.00,17233.00,69.00,705.00,4173.00,460.00,94.00,0.00,0.00,11732.00,0.00,0.00,547.00,137.00,308.00,376.00,0.00,0.00,0.00,3685.00,271.00,3414.00,1173.00,1173.00,0.00,0.00,0.00,0.00,0.00,1247.00,0.00,24.00,1223.00,0.00,0.00,0.00,3969.00,3572.00,397.00,3102.00,3102.00,835.00,835.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,31785.00,17256.00,78.00,703.00,4197.00,495.00,98.00,0.00,0.00,11685.00,0.00,0.00,644.00,161.00,424.00,381.00,0.00,0.00,0.00,3730.00,280.00,3450.00,1142.00,1142.00,0.00,0.00,0.00,0.00,0.00,1280.00,0.00,24.00,1256.00,0.00,0.00,0.00,3608.00,3247.00,361.00,3097.00,3097.00,867.00,867.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
