date,FL893065603.Q,FL183165605.Q,FL233165605.Q,FL893065603.Q,FL153065605.Q,FL113065603.Q,FL313065605.Q,FL213065603.Q,FL763065633.Q,FL753065603.Q,FL543065633.Q,FL223065643.Q,FL403065605.Q,FL413065605.Q
1952:Q2,7021.00,152.00,6869.00,7021.00,2880.00,0.00,309.00,38.00,1063.00,0.00,1632.00,6.00,1046.00,47.00
1952:Q3,7134.00,155.00,6979.00,7134.00,2915.00,0.00,320.00,44.00,1060.00,0.00,1671.00,6.00,1068.00,50.00
1952:Q4,7236.00,154.00,7082.00,7236.00,2943.00,0.00,330.00,49.00,1058.00,0.00,1705.00,7.00,1091.00,53.00
1953:Q1,7396.00,165.00,7231.00,7396.00,3000.00,0.00,335.00,54.00,1080.00,0.00,1751.00,7.00,1114.00,55.00
1953:Q2,7587.00,171.00,7416.00,7587.00,3070.00,0.00,340.00,60.00,1104.00,0.00,1814.00,7.00,1136.00,56.00
1953:Q3,7667.00,171.00,7496.00,7667.00,3089.00,0.00,346.00,66.00,1090.00,0.00,1853.00,7.00,1158.00,58.00
1953:Q4,7737.00,171.00,7566.00,7737.00,3098.00,0.00,352.00,72.00,1082.00,0.00,1886.00,7.00,1180.00,60.00
1954:Q1,7916.00,180.00,7736.00,7916.00,3169.00,0.00,354.00,78.00,1100.00,0.00,1935.00,8.00,1211.00,61.00
1954:Q2,8116.00,188.00,7928.00,8116.00,3234.00,0.00,356.00,84.00,1140.00,0.00,1989.00,9.00,1242.00,62.00
1954:Q3,8187.00,191.00,7996.00,8187.00,3219.00,0.00,367.00,90.00,1150.00,0.00,2021.00,8.00,1262.00,70.00
1954:Q4,8246.00,193.00,8053.00,8246.00,3196.00,0.00,378.00,97.00,1159.00,0.00,2048.00,9.00,1281.00,78.00
1955:Q1,8472.00,207.00,8265.00,8472.00,3334.00,0.00,288.00,103.00,1205.00,0.00,2102.00,10.00,1344.00,86.00
1955:Q2,8707.00,221.00,8486.00,8707.00,3361.00,0.00,283.00,109.00,1263.00,0.00,2178.00,10.00,1408.00,95.00
1955:Q3,8866.00,228.00,8638.00,8866.00,3390.00,0.00,280.00,114.00,1280.00,0.00,2233.00,11.00,1453.00,105.00
1955:Q4,9022.00,224.00,8798.00,9022.00,3429.00,0.00,280.00,118.00,1297.00,0.00,2273.00,12.00,1497.00,116.00
1956:Q1,9291.00,245.00,9046.00,9291.00,3527.00,0.00,281.00,121.00,1320.00,0.00,2336.00,12.00,1567.00,127.00
1956:Q2,9589.00,258.00,9331.00,9589.00,3632.00,0.00,282.00,123.00,1353.00,0.00,2410.00,13.00,1638.00,138.00
1956:Q3,9759.00,261.00,9498.00,9759.00,3675.00,0.00,290.00,125.00,1358.00,0.00,2466.00,13.00,1689.00,143.00
1956:Q4,9835.00,260.00,9575.00,9835.00,3691.00,0.00,296.00,127.00,1336.00,0.00,2481.00,14.00,1741.00,149.00
1957:Q1,10033.00,262.00,9771.00,10033.00,3759.00,0.00,319.00,129.00,1350.00,0.00,2501.00,14.00,1804.00,157.00
1957:Q2,10231.00,261.00,9970.00,10231.00,3823.00,0.00,312.00,130.00,1370.00,0.00,2546.00,16.00,1868.00,166.00
1957:Q3,10348.00,266.00,10082.00,10348.00,3858.00,0.00,335.00,132.00,1375.00,0.00,2569.00,16.00,1893.00,170.00
1957:Q4,10397.00,290.00,10107.00,10397.00,3856.00,0.00,349.00,134.00,1367.00,0.00,2584.00,17.00,1917.00,173.00
1958:Q1,10524.00,279.00,10245.00,10524.00,3898.00,0.00,350.00,137.00,1395.00,0.00,2599.00,18.00,1952.00,175.00
1958:Q2,10754.00,288.00,10466.00,10754.00,3994.00,0.00,364.00,140.00,1440.00,0.00,2631.00,21.00,1987.00,177.00
1958:Q3,10957.00,306.00,10651.00,10957.00,4077.00,0.00,378.00,143.00,1461.00,0.00,2656.00,22.00,2037.00,183.00
1958:Q4,11109.00,329.00,10780.00,11109.00,4129.00,0.00,397.00,146.00,1471.00,0.00,2667.00,22.00,2087.00,190.00
1959:Q1,11357.00,344.00,11013.00,11357.00,4207.00,0.00,412.00,149.00,1505.00,0.00,2692.00,24.00,2173.00,195.00
1959:Q2,11744.00,367.00,11377.00,11744.00,4355.00,0.00,425.00,151.00,1570.00,0.00,2756.00,26.00,2260.00,201.00
1959:Q3,11948.00,383.00,11565.00,11948.00,4431.00,0.00,443.00,153.00,1585.00,0.00,2796.00,28.00,2310.00,202.00
1959:Q4,12101.00,385.00,11716.00,12101.00,4489.00,0.00,448.00,156.00,1588.00,0.00,2827.00,30.00,2360.00,203.00
1960:Q1,12271.00,407.00,11864.00,12271.00,4540.00,0.00,461.00,159.00,1591.00,0.00,2859.00,33.00,2424.00,204.00
1960:Q2,12559.00,422.00,12137.00,12559.00,4647.00,0.00,464.00,161.00,1646.00,0.00,2912.00,36.00,2487.00,206.00
1960:Q3,12697.00,428.00,12269.00,12697.00,4694.00,0.00,482.00,164.00,1643.00,0.00,2946.00,39.00,2525.00,204.00
1960:Q4,12838.00,439.00,12399.00,12838.00,4737.00,0.00,496.00,168.00,1648.00,0.00,2982.00,42.00,2564.00,201.00
1961:Q1,13063.00,447.00,12616.00,13063.00,4811.00,0.00,506.00,173.00,1677.00,0.00,3005.00,45.00,2646.00,200.00
1961:Q2,13437.00,465.00,12972.00,13437.00,4961.00,0.00,529.00,179.00,1716.00,0.00,3079.00,48.00,2728.00,197.00
1961:Q3,13737.00,485.00,13252.00,13737.00,5024.00,0.00,589.00,186.00,1740.00,0.00,3128.00,52.00,2778.00,240.00
1961:Q4,13917.00,502.00,13415.00,13917.00,5000.00,0.00,638.00,194.00,1747.00,0.00,3170.00,54.00,2828.00,286.00
1962:Q1,14222.00,511.00,13711.00,14222.00,5099.00,0.00,628.00,204.00,1816.00,0.00,3212.00,58.00,2898.00,307.00
1962:Q2,14674.00,527.00,14147.00,14674.00,5272.00,0.00,615.00,217.00,1927.00,0.00,3286.00,59.00,2968.00,330.00
1962:Q3,14944.00,543.00,14401.00,14944.00,5321.00,0.00,633.00,229.00,1978.00,0.00,3346.00,61.00,3010.00,366.00
1962:Q4,15193.00,574.00,14619.00,15193.00,5390.00,0.00,625.00,235.00,2022.00,0.00,3400.00,64.00,3052.00,405.00
1963:Q1,15561.00,586.00,14975.00,15561.00,5449.00,0.00,649.00,236.00,2127.00,0.00,3464.00,67.00,3125.00,444.00
1963:Q2,16151.00,622.00,15529.00,16151.00,5684.00,0.00,649.00,232.00,2241.00,0.00,3592.00,70.00,3198.00,485.00
1963:Q3,16573.00,655.00,15918.00,16573.00,5851.00,0.00,661.00,227.00,2302.00,0.00,3713.00,71.00,3253.00,495.00
1963:Q4,16822.00,667.00,16155.00,16822.00,5922.00,0.00,668.00,222.00,2327.00,0.00,3792.00,73.00,3309.00,509.00
1964:Q1,17334.00,712.00,16622.00,17334.00,6062.00,0.00,694.00,222.00,2412.00,0.00,3921.00,78.00,3413.00,532.00
1964:Q2,18068.00,750.00,17318.00,18068.00,6331.00,0.00,712.00,223.00,2558.00,0.00,4086.00,83.00,3516.00,559.00
1964:Q3,18536.00,769.00,17767.00,18536.00,6510.00,0.00,711.00,224.00,2620.00,0.00,4197.00,87.00,3617.00,570.00
1964:Q4,18942.00,783.00,18159.00,18942.00,6680.00,0.00,707.00,223.00,2638.00,0.00,4304.00,91.00,3718.00,581.00
1965:Q1,19474.00,819.00,18655.00,19474.00,6803.00,0.00,730.00,223.00,2688.00,0.00,4425.00,97.00,3888.00,620.00
1965:Q2,20184.00,861.00,19323.00,20184.00,7011.00,0.00,756.00,223.00,2794.00,0.00,4578.00,104.00,4058.00,660.00
1965:Q3,20697.00,891.00,19806.00,20697.00,7197.00,0.00,771.00,223.00,2853.00,0.00,4688.00,110.00,4170.00,685.00
1965:Q4,21187.00,909.00,20278.00,21187.00,7335.00,0.00,787.00,223.00,2911.00,0.00,4823.00,116.00,4281.00,711.00
1966:Q1,21697.00,943.00,20754.00,21697.00,7356.00,0.00,799.00,224.00,2988.00,0.00,4968.00,123.00,4503.00,736.00
1966:Q2,22321.00,969.00,21352.00,22321.00,7498.00,0.00,786.00,227.00,3028.00,0.00,5165.00,131.00,4725.00,761.00
1966:Q3,22775.00,994.00,21781.00,22775.00,7612.00,0.00,813.00,229.00,3109.00,0.00,5227.00,139.00,4841.00,805.00
1966:Q4,23052.00,1027.00,22025.00,23052.00,7644.00,0.00,872.00,230.00,3113.00,0.00,5240.00,145.00,4958.00,850.00
1967:Q1,23440.00,1049.00,22391.00,23440.00,7815.00,0.00,814.00,230.00,3123.00,0.00,5274.00,153.00,5131.00,900.00
1967:Q2,23993.00,1097.00,22896.00,23993.00,7977.00,0.00,796.00,227.00,3199.00,0.00,5377.00,161.00,5304.00,952.00
1967:Q3,24546.00,1140.00,23406.00,24546.00,8166.00,0.00,816.00,225.00,3268.00,0.00,5463.00,163.00,5456.00,989.00
1967:Q4,25017.00,1149.00,23868.00,25017.00,8295.00,0.00,811.00,221.00,3321.00,0.00,5569.00,165.00,5609.00,1026.00
1968:Q1,25623.00,1220.00,24403.00,25623.00,8500.00,0.00,825.00,224.00,3416.00,0.00,5621.00,173.00,5793.00,1071.00
1968:Q2,26387.00,1269.00,25118.00,26387.00,8745.00,0.00,830.00,230.00,3581.00,0.00,5731.00,180.00,5973.00,1117.00
1968:Q3,26836.00,1287.00,25549.00,26836.00,9021.00,0.00,876.00,237.00,3557.00,0.00,5775.00,181.00,6064.00,1125.00
1968:Q4,27177.00,1297.00,25880.00,27177.00,9232.00,0.00,923.00,242.00,3538.00,0.00,5803.00,182.00,6126.00,1131.00
1969:Q1,27647.00,1321.00,26326.00,27647.00,9329.00,0.00,979.00,245.00,3662.00,0.00,5785.00,185.00,6317.00,1145.00
1969:Q2,28342.00,1354.00,26988.00,28342.00,9436.00,0.00,1037.00,245.00,3873.00,0.00,5849.00,189.00,6557.00,1156.00
1969:Q3,28752.00,1384.00,27368.00,28752.00,9573.00,0.00,981.00,247.00,3883.00,0.00,5865.00,272.00,6676.00,1255.00
1969:Q4,28995.00,1426.00,27569.00,28995.00,9888.00,0.00,924.00,255.00,3831.00,0.00,5773.00,254.00,6714.00,1356.00
1970:Q1,29592.00,1448.00,28144.00,29592.00,10139.00,0.00,873.00,320.00,4038.00,0.00,5675.00,236.00,6833.00,1478.00
1970:Q2,29922.00,1473.00,28449.00,29922.00,10263.00,0.00,915.00,323.00,4054.00,0.00,5670.00,194.00,6995.00,1508.00
1970:Q3,30241.00,1512.00,28729.00,30241.00,10278.00,0.00,844.00,329.00,4250.00,0.00,5667.00,184.00,7101.00,1588.00
1970:Q4,30492.00,1542.00,28950.00,30492.00,10337.00,0.00,773.00,338.00,4351.00,0.00,5649.00,190.00,7187.00,1667.00
1971:Q1,30823.00,1574.00,29249.00,30823.00,10411.00,0.00,723.00,342.00,4486.00,0.00,5545.00,171.00,7347.00,1798.00
1971:Q2,31786.00,1635.00,30151.00,31786.00,11524.00,0.00,667.00,350.00,3999.00,0.00,5564.00,169.00,7579.00,1934.00
1971:Q3,32115.00,1656.00,30459.00,32115.00,11458.00,0.00,590.00,364.00,4156.00,0.00,5594.00,176.00,7767.00,2010.00
1971:Q4,32381.00,1665.00,30716.00,32381.00,11497.00,0.00,513.00,381.00,4205.00,0.00,5601.00,171.00,7917.00,2096.00
1972:Q1,33096.00,1699.00,31397.00,33096.00,11812.00,0.00,481.00,391.00,4324.00,0.00,5535.00,160.00,8139.00,2254.00
1972:Q2,34109.00,1739.00,32370.00,34109.00,12241.00,0.00,432.00,404.00,4547.00,0.00,5582.00,160.00,8430.00,2313.00
1972:Q3,34855.00,1781.00,33074.00,34855.00,12461.00,0.00,429.00,413.00,4657.00,0.00,5617.00,167.00,8745.00,2366.00
1972:Q4,35361.00,1857.00,33504.00,35361.00,12339.00,0.00,391.00,425.00,4781.00,0.00,5678.00,209.00,9094.00,2444.00
1973:Q1,36490.00,1884.00,34606.00,36490.00,12722.00,3.00,453.00,429.00,4970.00,0.00,5643.00,268.00,9567.00,2435.00
1973:Q2,37961.00,1981.00,35980.00,37961.00,13232.00,6.00,351.00,433.00,5240.00,0.00,5737.00,286.00,10077.00,2599.00
1973:Q3,38952.00,2073.00,36879.00,38952.00,13438.00,9.00,412.00,447.00,5378.00,0.00,5867.00,289.00,10525.00,2587.00
1973:Q4,39806.00,2145.00,37661.00,39806.00,13591.00,13.00,376.00,465.00,5442.00,0.00,5996.00,311.00,10948.00,2664.00
1974:Q1,40694.00,2201.00,38493.00,40694.00,13915.00,13.00,392.00,469.00,5607.00,0.00,5999.00,310.00,11299.00,2690.00
1974:Q2,42318.00,2283.00,40035.00,42318.00,14219.00,13.00,546.00,481.00,5828.00,0.00,6128.00,306.00,12177.00,2620.00
1974:Q3,43737.00,2385.00,41352.00,43737.00,14602.00,13.00,548.00,489.00,6007.00,0.00,6247.00,306.00,12877.00,2648.00
1974:Q4,44922.00,2548.00,42374.00,44922.00,15055.00,11.00,607.00,499.00,6049.00,0.00,6327.00,245.00,13484.00,2645.00
1975:Q1,46785.00,2649.00,44136.00,46785.00,15504.00,13.00,583.00,507.00,6107.00,0.00,6428.00,239.00,14699.00,2705.00
1975:Q2,48530.00,2810.00,45720.00,48530.00,16072.00,16.00,963.00,515.00,6242.00,0.00,6573.00,242.00,15507.00,2400.00
1975:Q3,49084.00,2922.00,46162.00,49084.00,16350.00,19.00,1191.00,529.00,6308.00,0.00,6631.00,239.00,15607.00,2210.00
1975:Q4,49853.00,3010.00,46843.00,49853.00,16699.00,24.00,1345.00,545.00,6371.00,0.00,6753.00,3.00,16116.00,1997.00
1976:Q1,50797.00,3156.00,47641.00,50797.00,16798.00,23.00,1454.00,563.00,6353.00,0.00,6815.00,3.00,16782.00,2006.00
1976:Q2,52310.00,3295.00,49015.00,52310.00,17277.00,23.00,1598.00,627.00,6363.00,0.00,7005.00,2.00,17485.00,1930.00
1976:Q3,53921.00,3413.00,50508.00,53921.00,17779.00,24.00,1728.00,647.00,6563.00,0.00,7184.00,1.00,18082.00,1913.00
1976:Q4,55412.00,3500.00,51912.00,55412.00,18239.00,30.00,1910.00,666.00,6721.00,0.00,7425.00,1.00,18643.00,1777.00
1977:Q1,57380.00,3697.00,53683.00,57380.00,18815.00,34.00,2024.00,670.00,6998.00,0.00,7645.00,1.00,19452.00,1741.00
1977:Q2,60338.00,3940.00,56398.00,60338.00,19921.00,39.00,2263.00,681.00,7361.00,0.00,8146.00,22.00,20314.00,1591.00
1977:Q3,62366.00,4093.00,58273.00,62366.00,20564.00,45.00,2567.00,687.00,7617.00,0.00,8484.00,18.00,21014.00,1370.00
1977:Q4,63949.00,4184.00,59765.00,63949.00,20964.00,57.00,2754.00,693.00,7751.00,0.00,8851.00,25.00,21623.00,1231.00
1978:Q1,65949.00,4374.00,61575.00,65949.00,21546.00,63.00,2831.00,718.00,7901.00,0.00,9205.00,24.00,22384.00,1277.00
1978:Q2,68742.00,4581.00,64161.00,68742.00,22453.00,69.00,3115.00,737.00,8210.00,0.00,9712.00,23.00,23274.00,1149.00
1978:Q3,71045.00,4748.00,66297.00,71045.00,23098.00,75.00,3485.00,746.00,8412.00,0.00,10116.00,22.00,24104.00,987.00
1978:Q4,72757.00,4897.00,67860.00,72757.00,23489.00,83.00,3579.00,777.00,8497.00,0.00,10499.00,22.00,24855.00,956.00
1979:Q1,76434.00,5233.00,71201.00,76434.00,24730.00,85.00,4306.00,827.00,8523.00,0.00,10913.00,21.00,26023.00,1006.00
1979:Q2,80935.00,5654.00,75281.00,80935.00,26300.00,88.00,5084.00,875.00,8663.00,0.00,11461.00,21.00,27418.00,1025.00
1979:Q3,84333.00,5945.00,78388.00,84333.00,27389.00,92.00,5706.00,929.00,8716.00,0.00,11837.00,26.00,28604.00,1034.00
1979:Q4,86755.00,6022.00,80733.00,86755.00,28056.00,101.00,5903.00,986.00,8590.00,0.00,12143.00,26.00,29919.00,1031.00
1980:Q1,90582.00,6490.00,84092.00,90582.00,29016.00,98.00,6608.00,1050.00,8526.00,0.00,12433.00,25.00,31790.00,1036.00
1980:Q2,94135.00,6785.00,87350.00,94135.00,29770.00,100.00,7002.00,1124.00,8468.00,0.00,12743.00,16.00,33861.00,1051.00
1980:Q3,95871.00,6865.00,89006.00,95871.00,29803.00,113.00,7376.00,1204.00,8497.00,0.00,12818.00,16.00,35065.00,979.00
1980:Q4,97487.00,6916.00,90571.00,97487.00,29770.00,139.00,7662.00,1243.00,8563.00,0.00,12958.00,15.00,36280.00,857.00
1981:Q1,100097.00,7211.00,92886.00,100097.00,30276.00,167.00,7744.00,1281.00,8479.00,0.00,12975.00,15.00,38275.00,885.00
1981:Q2,103181.00,7543.00,95638.00,103181.00,30747.00,197.00,8079.00,1311.00,8481.00,0.00,13044.00,15.00,40523.00,784.00
1981:Q3,105609.00,7764.00,97845.00,105609.00,31037.00,235.00,8262.00,1344.00,8450.00,0.00,13149.00,15.00,42365.00,752.00
1981:Q4,107229.00,7785.00,99444.00,107229.00,31123.00,279.00,8269.00,1372.00,8384.00,0.00,13100.00,15.00,43939.00,748.00
1982:Q1,108951.00,8041.00,100910.00,108951.00,31447.00,326.00,8430.00,1376.00,8375.00,0.00,12954.00,15.00,45401.00,627.00
1982:Q2,110282.00,8155.00,102127.00,110282.00,31125.00,364.00,8576.00,1366.00,8532.00,0.00,13005.00,15.00,46690.00,609.00
1982:Q3,111097.00,8177.00,102920.00,111097.00,31112.00,382.00,8708.00,1358.00,8588.00,0.00,12939.00,15.00,47412.00,583.00
1982:Q4,111311.00,8177.00,103134.00,111311.00,31100.00,386.00,8767.00,1369.00,8435.00,0.00,12835.00,15.00,47823.00,581.00
1983:Q1,111540.00,8184.00,103356.00,111540.00,31100.00,347.00,8763.00,1356.00,8511.00,0.00,12687.00,4.00,48112.00,660.00
1983:Q2,112372.00,8249.00,104123.00,112372.00,31031.00,316.00,9003.00,1342.00,8898.00,0.00,12671.00,0.00,48545.00,566.00
1983:Q3,113108.00,8316.00,104792.00,113108.00,31099.00,305.00,9073.00,1344.00,9124.00,0.00,12756.00,0.00,48860.00,547.00
1983:Q4,113721.00,8388.00,105333.00,113721.00,31258.00,307.00,9214.00,1336.00,9387.00,0.00,12742.00,0.00,48929.00,548.00
1984:Q1,112970.00,8354.00,104616.00,112970.00,30162.00,375.00,9301.00,1336.00,9659.00,0.00,12570.00,0.00,49021.00,546.00
1984:Q2,113339.00,8408.00,104931.00,113339.00,29669.00,446.00,9470.00,1347.00,10001.00,0.00,12595.00,0.00,49303.00,508.00
1984:Q3,113467.00,8413.00,105054.00,113467.00,29071.00,525.00,9386.00,1355.00,10184.00,0.00,12643.00,0.00,49527.00,776.00
1984:Q4,112422.00,8250.00,104172.00,112422.00,28346.00,612.00,9757.00,1361.00,10177.00,0.00,12466.00,0.00,49187.00,516.00
1985:Q1,112722.00,8365.00,104357.00,112722.00,28896.00,643.00,9947.00,1370.00,10305.00,0.00,12005.00,0.00,49040.00,516.00
1985:Q2,111579.00,8296.00,103283.00,111579.00,28691.00,662.00,10097.00,1374.00,10607.00,0.00,11539.00,0.00,48050.00,559.00
1985:Q3,108737.00,8066.00,100671.00,108737.00,27525.00,651.00,10281.00,1375.00,11036.00,0.00,11068.00,0.00,46360.00,441.00
1985:Q4,94090.00,6981.00,87109.00,94090.00,21026.00,617.00,10392.00,1375.00,10088.00,0.00,10596.00,0.00,39638.00,358.00
1986:Q1,91624.00,6782.00,84842.00,91624.00,20004.00,571.00,10341.00,1553.00,10339.00,0.00,10363.00,0.00,38026.00,427.00
1986:Q2,89130.00,6602.00,82528.00,89130.00,19033.00,545.00,10450.00,1561.00,10593.00,0.00,10127.00,0.00,36397.00,424.00
1986:Q3,86609.00,6441.00,80168.00,86609.00,18113.00,569.00,10484.00,1569.00,10850.00,0.00,9889.00,0.00,34749.00,386.00
1986:Q4,84088.00,6301.00,77787.00,84088.00,17232.00,635.00,10742.00,1547.00,11106.00,0.00,9651.00,0.00,33101.00,74.00
1987:Q1,82047.00,6105.00,75942.00,82047.00,16436.00,642.00,10640.00,1535.00,11440.00,0.00,9393.00,0.00,31891.00,70.00
1987:Q2,79983.00,5928.00,74055.00,79983.00,15589.00,649.00,10567.00,1533.00,11777.00,0.00,9133.00,0.00,30668.00,67.00
1987:Q3,77896.00,5805.00,72091.00,77896.00,14866.00,656.00,10372.00,1519.00,12117.00,0.00,8870.00,0.00,29431.00,65.00
1987:Q4,75810.00,5764.00,70046.00,75810.00,14065.00,663.00,10235.00,1527.00,12458.00,0.00,8607.00,0.00,28194.00,61.00
1988:Q1,74572.00,5583.00,68989.00,74572.00,13433.00,670.00,10136.00,1526.00,12626.00,0.00,8512.00,0.00,27620.00,49.00
1988:Q2,73333.00,5485.00,67848.00,73333.00,12816.00,677.00,10018.00,1522.00,12795.00,0.00,8417.00,0.00,27046.00,42.00
1988:Q3,72081.00,5437.00,66644.00,72081.00,12163.00,684.00,9919.00,1521.00,12965.00,0.00,8322.00,0.00,26466.00,41.00
1988:Q4,70829.00,5416.00,65413.00,70829.00,11518.00,691.00,9815.00,1519.00,13135.00,0.00,8226.00,0.00,25885.00,40.00
1989:Q1,70320.00,5350.00,64970.00,70320.00,11217.00,698.00,9717.00,1518.00,13396.00,0.00,8231.00,0.00,25505.00,38.00
1989:Q2,69804.00,5303.00,64501.00,69804.00,10874.00,705.00,9657.00,1515.00,13661.00,0.00,8237.00,0.00,25119.00,36.00
1989:Q3,69283.00,5289.00,63994.00,69283.00,10693.00,712.00,9430.00,1513.00,13928.00,0.00,8242.00,0.00,24730.00,35.00
1989:Q4,68761.00,5304.00,63457.00,68761.00,10461.00,719.00,9257.00,1508.00,14195.00,0.00,8247.00,0.00,24341.00,33.00
1990:Q1,68483.00,5289.00,63194.00,68483.00,10447.00,670.00,8997.00,1505.00,14330.00,0.00,8379.00,0.00,24124.00,31.00
1990:Q2,68202.00,5302.00,62900.00,68202.00,10298.00,653.00,8835.00,1502.00,14466.00,0.00,8513.00,0.00,23905.00,30.00
1990:Q3,67917.00,5329.00,62588.00,67917.00,10108.00,640.00,8708.00,1499.00,14603.00,0.00,8647.00,0.00,23683.00,29.00
1990:Q4,67633.00,5348.00,62285.00,67633.00,9925.00,621.00,8582.00,1494.00,14741.00,0.00,8782.00,0.00,23462.00,26.00
1991:Q1,67588.00,5405.00,62183.00,67588.00,10133.00,592.00,8350.00,1491.00,14971.00,0.00,8735.00,0.00,23292.00,24.00
1991:Q2,67542.00,5451.00,62091.00,67542.00,10195.00,565.00,8261.00,1488.00,15204.00,0.00,8687.00,0.00,23121.00,21.00
1991:Q3,67496.00,5473.00,62023.00,67496.00,10273.00,539.00,8149.00,1489.00,15439.00,0.00,8639.00,0.00,22948.00,20.00
1991:Q4,67450.00,5461.00,61989.00,67450.00,10217.00,520.00,8171.00,1484.00,15675.00,0.00,8591.00,0.00,22775.00,17.00
1992:Q1,67557.00,5503.00,62054.00,67557.00,10463.00,507.00,7902.00,1480.00,15975.00,0.00,8417.00,0.00,22798.00,16.00
1992:Q2,67663.00,5495.00,62168.00,67663.00,10587.00,495.00,7751.00,1477.00,16275.00,0.00,8242.00,0.00,22821.00,15.00
1992:Q3,67771.00,5500.00,62271.00,67771.00,10655.00,497.00,7643.00,1474.00,16578.00,0.00,8065.00,0.00,22844.00,14.00
1992:Q4,67879.00,5569.00,62310.00,67879.00,10727.00,503.00,7529.00,1470.00,16881.00,0.00,7889.00,0.00,22867.00,13.00
1993:Q1,68016.00,5546.00,62470.00,68016.00,10922.00,470.00,7387.00,1468.00,17067.00,0.00,7937.00,0.00,22754.00,11.00
1993:Q2,68154.00,5591.00,62563.00,68154.00,11081.00,460.00,7255.00,1465.00,17255.00,0.00,7987.00,0.00,22640.00,11.00
1993:Q3,68293.00,5680.00,62613.00,68293.00,11227.00,453.00,7132.00,1463.00,17445.00,0.00,8037.00,0.00,22525.00,10.00
1993:Q4,68433.00,5792.00,62641.00,68433.00,11383.00,437.00,7012.00,1460.00,17635.00,0.00,8087.00,0.00,22410.00,10.00
1994:Q1,68797.00,5883.00,62914.00,68797.00,11636.00,417.00,6875.00,1457.00,17965.00,0.00,8096.00,0.00,22342.00,9.00
1994:Q2,69166.00,5993.00,63173.00,69166.00,11782.00,453.00,6792.00,1454.00,18298.00,0.00,8105.00,0.00,22274.00,8.00
1994:Q3,69539.00,6109.00,63430.00,69539.00,11928.00,458.00,6741.00,1451.00,18634.00,0.00,8114.00,0.00,22206.00,7.00
1994:Q4,69912.00,6227.00,63685.00,69912.00,11699.00,476.00,6694.00,1447.00,18971.00,0.00,8123.00,0.00,22137.00,365.00
