1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,5384.00,-828.00,-256.00,0.00,232.00,-804.00,6104.00,792.00,204.00,5108.00,68.00,20.00,48.00,40.00,0.00,5384.00,2904.00,3896.00,3400.00,496.00,-172.00,-1440.00,228.00,-44.00,164.00,-20.00,8.00,0.00,20.00,36.00,0.00,64.00,456.00,456.00,0.00,-488.00
1954:Q3,8264.00,-560.00,-768.00,0.00,-164.00,372.00,8732.00,-3936.00,-884.00,13552.00,44.00,8.00,36.00,48.00,0.00,8264.00,9684.00,4692.00,4136.00,556.00,-4196.00,-8.00,120.00,-64.00,40.00,-20.00,0.00,0.00,96.00,-48.00,0.00,116.00,-1040.00,-1040.00,0.00,-988.00
1954:Q4,2836.00,376.00,188.00,0.00,-72.00,260.00,2256.00,4148.00,1404.00,-3296.00,164.00,52.00,112.00,40.00,0.00,2836.00,-7668.00,2788.00,2376.00,412.00,2248.00,1648.00,452.00,-84.00,516.00,-4.00,-4.00,0.00,-12.00,-104.00,0.00,144.00,1384.00,1384.00,0.00,1984.00
1955:Q1,5048.00,264.00,1252.00,0.00,-432.00,-556.00,4788.00,-4848.00,-940.00,10576.00,-40.00,-20.00,-20.00,36.00,0.00,5048.00,8604.00,3112.00,2792.00,320.00,-6180.00,-40.00,-624.00,-28.00,-716.00,40.00,-12.00,0.00,-40.00,44.00,0.00,88.00,-1392.00,-1392.00,0.00,1568.00
1955:Q2,1492.00,-1708.00,-2616.00,0.00,-12.00,920.00,3064.00,3876.00,264.00,-1076.00,108.00,36.00,72.00,28.00,0.00,1492.00,-3684.00,780.00,504.00,276.00,4736.00,0.00,280.00,12.00,112.00,72.00,-24.00,0.00,8.00,92.00,0.00,8.00,288.00,288.00,0.00,-908.00
1955:Q3,3768.00,708.00,248.00,0.00,4.00,456.00,3060.00,-4104.00,-204.00,7368.00,-36.00,-16.00,-20.00,36.00,0.00,3768.00,6560.00,1292.00,1028.00,264.00,-2072.00,692.00,444.00,48.00,284.00,76.00,-24.00,0.00,-20.00,148.00,0.00,-68.00,-216.00,-216.00,0.00,-2932.00
1955:Q4,-984.00,1348.00,324.00,0.00,100.00,924.00,-2428.00,3224.00,504.00,-6156.00,44.00,12.00,32.00,52.00,0.00,-984.00,-6916.00,-204.00,-476.00,272.00,2436.00,-496.00,696.00,68.00,420.00,44.00,-20.00,0.00,132.00,188.00,0.00,-136.00,616.00,616.00,0.00,2884.00
1956:Q1,9880.00,-408.00,448.00,0.00,-240.00,-616.00,10180.00,6196.00,424.00,3560.00,44.00,16.00,28.00,64.00,0.00,9880.00,6732.00,-3232.00,-3380.00,148.00,5032.00,668.00,-1048.00,24.00,-860.00,16.00,4.00,0.00,-160.00,16.00,0.00,-88.00,200.00,200.00,0.00,1528.00
1956:Q2,-2500.00,1972.00,-544.00,0.00,-172.00,2688.00,-4664.00,-3244.00,296.00,-1716.00,116.00,40.00,76.00,76.00,0.00,-2500.00,0.00,-32.00,-108.00,76.00,-2932.00,232.00,20.00,-36.00,144.00,-8.00,12.00,0.00,-64.00,-4.00,0.00,-24.00,164.00,164.00,0.00,48.00
1956:Q3,-1464.00,-2020.00,148.00,0.00,112.00,-2280.00,356.00,-4084.00,-392.00,4832.00,112.00,40.00,72.00,88.00,0.00,-1464.00,3456.00,500.00,360.00,140.00,-2864.00,-2516.00,-12.00,-100.00,-8.00,-12.00,20.00,0.00,48.00,-4.00,0.00,44.00,-240.00,-240.00,0.00,212.00
1956:Q4,1772.00,552.00,168.00,0.00,-36.00,420.00,1056.00,1228.00,780.00,-952.00,60.00,16.00,44.00,104.00,0.00,1772.00,-2800.00,2308.00,1988.00,320.00,-388.00,-560.00,940.00,-160.00,788.00,4.00,28.00,0.00,176.00,4.00,0.00,100.00,760.00,760.00,0.00,1512.00
1957:Q1,10196.00,316.00,176.00,0.00,108.00,32.00,9804.00,8204.00,-1292.00,2892.00,-48.00,-4.00,-44.00,124.00,0.00,10196.00,4908.00,-356.00,-836.00,480.00,9548.00,-164.00,-920.00,-108.00,-828.00,36.00,40.00,0.00,-188.00,44.00,0.00,84.00,-1188.00,-1188.00,0.00,-1632.00
1957:Q2,-7400.00,492.00,-500.00,0.00,440.00,552.00,-8108.00,-6836.00,2032.00,-3304.00,72.00,32.00,40.00,144.00,0.00,-7400.00,-3160.00,-388.00,-944.00,556.00,-7484.00,1792.00,432.00,-44.00,272.00,60.00,56.00,0.00,28.00,24.00,0.00,36.00,2504.00,2504.00,0.00,-1096.00
1957:Q3,3028.00,580.00,404.00,0.00,-328.00,504.00,2172.00,1012.00,-8.00,1168.00,128.00,0.00,128.00,148.00,0.00,3028.00,2884.00,2924.00,2216.00,708.00,1112.00,-4480.00,144.00,28.00,32.00,60.00,56.00,0.00,-44.00,28.00,0.00,-16.00,-336.00,-336.00,0.00,780.00
1957:Q4,-7736.00,-1244.00,24.00,0.00,-60.00,-1208.00,-6792.00,-1720.00,468.00,-5540.00,164.00,8.00,156.00,136.00,0.00,-7736.00,-8068.00,648.00,-272.00,920.00,-2632.00,224.00,820.00,92.00,568.00,48.00,36.00,0.00,128.00,16.00,0.00,-68.00,416.00,416.00,0.00,856.00
1958:Q1,11216.00,416.00,264.00,0.00,-412.00,564.00,10876.00,6092.00,-1336.00,6120.00,-212.00,16.00,-228.00,136.00,0.00,11216.00,7888.00,-692.00,-2228.00,1536.00,5468.00,-1548.00,-444.00,104.00,-488.00,36.00,20.00,0.00,-116.00,40.00,0.00,-40.00,-1732.00,-1732.00,0.00,2276.00
1958:Q2,14044.00,-824.00,-1140.00,0.00,60.00,256.00,14856.00,15096.00,996.00,-1236.00,-132.00,48.00,-180.00,144.00,0.00,14044.00,-8036.00,3248.00,1016.00,2232.00,12924.00,3024.00,408.00,92.00,160.00,28.00,12.00,0.00,100.00,16.00,0.00,0.00,1104.00,1104.00,0.00,1372.00
1958:Q3,-14300.00,1212.00,120.00,0.00,172.00,920.00,-15784.00,-28484.00,-1580.00,14280.00,148.00,12.00,136.00,124.00,0.00,-14300.00,13916.00,6064.00,4144.00,1920.00,-25928.00,-3244.00,68.00,64.00,28.00,24.00,0.00,0.00,-120.00,24.00,0.00,48.00,-1396.00,-1396.00,0.00,-3780.00
1958:Q4,12420.00,-172.00,-48.00,0.00,-164.00,40.00,12404.00,8704.00,1804.00,1896.00,116.00,0.00,116.00,72.00,0.00,12420.00,-2912.00,1988.00,1388.00,600.00,8768.00,900.00,932.00,32.00,596.00,32.00,-4.00,0.00,184.00,4.00,0.00,88.00,1640.00,1640.00,0.00,1104.00
1959:Q1,6092.00,1628.00,560.00,0.00,144.00,924.00,3612.00,-1460.00,-428.00,5500.00,804.00,60.00,744.00,12.00,36.00,6092.00,8000.00,-1628.00,-968.00,-660.00,-1580.00,4280.00,-508.00,12.00,-592.00,36.00,-12.00,0.00,-168.00,140.00,0.00,76.00,-224.00,-224.00,0.00,-2248.00
1959:Q2,620.00,-1096.00,-1168.00,0.00,-36.00,108.00,648.00,668.00,656.00,-676.00,1120.00,68.00,1052.00,-56.00,4.00,620.00,3988.00,-2544.00,-576.00,-1968.00,-332.00,-416.00,308.00,0.00,-48.00,44.00,-28.00,0.00,148.00,144.00,0.00,48.00,688.00,688.00,0.00,-1072.00
1959:Q3,5308.00,1892.00,384.00,0.00,48.00,1460.00,2384.00,-100.00,-428.00,2912.00,1092.00,76.00,1016.00,-60.00,0.00,5308.00,7772.00,-4048.00,-1800.00,-2248.00,816.00,1516.00,-40.00,-12.00,-192.00,44.00,-28.00,0.00,-32.00,168.00,0.00,12.00,-304.00,-304.00,0.00,-404.00
1959:Q4,-3920.00,-176.00,-360.00,0.00,140.00,44.00,-2356.00,4092.00,184.00,-6632.00,-1376.00,52.00,-1428.00,-12.00,0.00,-3920.00,-10116.00,-1744.00,-224.00,-1520.00,3728.00,1396.00,920.00,-32.00,604.00,32.00,-24.00,0.00,180.00,180.00,0.00,-20.00,376.00,376.00,0.00,1520.00
1960:Q1,860.00,-1196.00,16.00,0.00,-488.00,-724.00,1900.00,-20.00,-1756.00,3676.00,108.00,-12.00,120.00,44.00,4.00,860.00,4636.00,-2012.00,-976.00,-1036.00,128.00,2152.00,-896.00,-12.00,-728.00,12.00,8.00,0.00,-220.00,48.00,0.00,-4.00,-2256.00,-2256.00,0.00,-892.00
1960:Q2,4172.00,-952.00,-32.00,0.00,132.00,-1052.00,4928.00,4604.00,1072.00,-748.00,120.00,-16.00,136.00,76.00,0.00,4172.00,308.00,-988.00,-216.00,-772.00,4304.00,-728.00,492.00,-4.00,244.00,-8.00,24.00,0.00,176.00,52.00,0.00,8.00,1188.00,1188.00,0.00,-404.00
1960:Q3,4960.00,1136.00,-24.00,0.00,-256.00,1416.00,3632.00,-2720.00,124.00,6228.00,96.00,-16.00,112.00,96.00,0.00,4960.00,6136.00,396.00,952.00,-556.00,-1244.00,892.00,-48.00,0.00,-20.00,0.00,28.00,0.00,-168.00,76.00,0.00,36.00,-148.00,-148.00,0.00,-1024.00
1960:Q4,-2368.00,156.00,-92.00,0.00,104.00,144.00,-2776.00,1716.00,1056.00,-5548.00,156.00,-16.00,172.00,92.00,4.00,-2368.00,-3088.00,-3924.00,-3516.00,-408.00,984.00,-2456.00,988.00,-4.00,588.00,40.00,28.00,0.00,192.00,88.00,0.00,56.00,1144.00,1144.00,0.00,3984.00
1961:Q1,6632.00,184.00,48.00,0.00,224.00,-88.00,6256.00,-4584.00,1828.00,9012.00,80.00,28.00,52.00,112.00,0.00,6632.00,6496.00,1744.00,1852.00,-108.00,-5530.00,-2312.00,-312.00,20.00,-392.00,88.00,32.00,0.00,-284.00,152.00,0.00,72.00,2080.00,2080.00,0.00,4466.00
1961:Q2,1756.00,1920.00,-268.00,0.00,-104.00,2292.00,-612.00,356.00,-416.00,-552.00,316.00,24.00,292.00,132.00,0.00,1756.00,384.00,1444.00,1252.00,192.00,-894.00,-1380.00,696.00,28.00,152.00,132.00,36.00,0.00,136.00,140.00,0.00,72.00,-496.00,-496.00,0.00,2002.00
1961:Q3,14712.00,12.00,164.00,0.00,452.00,-604.00,14784.00,4544.00,536.00,9704.00,-220.00,-84.00,-136.00,136.00,0.00,14712.00,3116.00,1124.00,852.00,272.00,8192.00,1508.00,580.00,40.00,156.00,136.00,36.00,0.00,0.00,148.00,0.00,64.00,904.00,904.00,0.00,-712.00
1961:Q4,996.00,1084.00,156.00,0.00,-300.00,1228.00,-368.00,-312.00,1800.00,-1856.00,148.00,-84.00,232.00,128.00,4.00,996.00,-11052.00,8540.00,8424.00,116.00,-1932.00,1936.00,1072.00,44.00,332.00,100.00,32.00,0.00,368.00,148.00,0.00,48.00,1416.00,1416.00,0.00,1016.00
1962:Q1,5576.00,548.00,-172.00,0.00,-128.00,848.00,4704.00,2752.00,1192.00,760.00,204.00,68.00,136.00,120.00,0.00,5576.00,9308.00,-5320.00,-5380.00,60.00,1808.00,-352.00,-816.00,92.00,-692.00,68.00,32.00,0.00,-416.00,92.00,0.00,8.00,1132.00,1132.00,0.00,-184.00
1962:Q2,5028.00,4176.00,792.00,0.00,364.00,3020.00,564.00,3204.00,-280.00,-2360.00,172.00,72.00,100.00,112.00,4.00,5028.00,-1424.00,1620.00,1584.00,36.00,2432.00,-392.00,432.00,136.00,-24.00,40.00,36.00,0.00,180.00,92.00,0.00,-28.00,156.00,156.00,0.00,2204.00
1962:Q3,464.00,-2600.00,-676.00,0.00,-320.00,-1604.00,3268.00,-3640.00,-1800.00,8708.00,-324.00,-116.00,-208.00,120.00,0.00,464.00,-2000.00,5876.00,5884.00,-8.00,-820.00,1468.00,476.00,128.00,304.00,32.00,32.00,0.00,-56.00,96.00,0.00,-60.00,-2236.00,-2236.00,0.00,-2300.00
