1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,47223.00,47223.00,0.00,8089.00,2869.00,0.00,21373.00,1776.00,0.00,0.00,13116.00,0.00,15049.00,0.00,32174.00
1957:Q3,47971.00,47971.00,0.00,7996.00,2843.00,0.00,21712.00,1959.00,0.00,0.00,13461.00,0.00,15498.00,0.00,32473.00
1957:Q4,49217.00,49217.00,0.00,8670.00,3102.00,0.00,21824.00,2102.00,0.00,0.00,13519.00,0.00,15472.00,0.00,33745.00
1958:Q1,46775.00,46775.00,0.00,7436.00,2702.00,0.00,21464.00,2016.00,0.00,0.00,13157.00,0.00,14869.00,0.00,31906.00
1958:Q2,47704.00,47704.00,0.00,7878.00,2774.00,0.00,21909.00,2156.00,0.00,0.00,12987.00,0.00,14681.00,0.00,33023.00
1958:Q3,47940.00,47940.00,0.00,7967.00,2808.00,0.00,22186.00,2210.00,0.00,0.00,12769.00,0.00,14440.00,0.00,33500.00
1958:Q4,49490.00,49490.00,0.00,8820.00,3103.00,0.00,22509.00,2342.00,0.00,0.00,12716.00,0.00,14258.00,0.00,35232.00
1959:Q1,48991.00,48991.00,0.00,8044.00,2836.00,0.00,23077.00,2304.00,0.00,0.00,12730.00,0.00,14478.00,0.00,34513.00
1959:Q2,51878.00,51878.00,0.00,8605.00,2969.00,0.00,24470.00,2505.00,0.00,0.00,13329.00,0.00,15496.00,0.00,36382.00
1959:Q3,53918.00,53918.00,0.00,8532.00,2944.00,0.00,25684.00,2682.00,0.00,0.00,14076.00,0.00,16452.00,0.00,37466.00
1959:Q4,57213.00,57213.00,0.00,10118.00,3425.00,0.00,26300.00,2873.00,0.00,0.00,14497.00,0.00,16632.00,0.00,40581.00
1960:Q1,55757.00,55757.00,0.00,8318.00,2864.00,0.00,26954.00,2810.00,0.00,0.00,14811.00,0.00,16910.00,0.00,38847.00
1960:Q2,58622.00,58622.00,0.00,9021.00,3025.00,0.00,28067.00,3093.00,0.00,0.00,15416.00,0.00,17847.00,0.00,40775.00
1960:Q3,59590.00,59590.00,0.00,8753.00,2927.00,0.00,28668.00,3305.00,0.00,0.00,15937.00,0.00,18173.00,0.00,41417.00
1960:Q4,61248.00,61248.00,0.00,9623.00,3202.00,0.00,28861.00,3447.00,0.00,0.00,16115.00,0.00,18083.00,0.00,43165.00
1961:Q1,59339.00,59339.00,0.00,7966.00,2594.00,0.00,29664.00,3299.00,0.00,0.00,15816.00,0.00,17516.00,0.00,41823.00
1961:Q2,60597.00,60597.00,0.00,8546.00,2763.00,0.00,29852.00,3548.00,0.00,0.00,15888.00,0.00,17654.00,0.00,42943.00
1961:Q3,61082.00,61082.00,0.00,8589.00,2798.00,0.00,30207.00,3581.00,0.00,0.00,15907.00,0.00,17513.00,0.00,43569.00
1961:Q4,63435.00,63435.00,0.00,9617.00,3130.00,0.00,30727.00,3627.00,0.00,0.00,16334.00,0.00,17599.00,0.00,45836.00
1962:Q1,62038.00,62038.00,0.00,8531.00,2777.00,0.00,30750.00,3574.00,0.00,0.00,16406.00,0.00,17729.00,0.00,44309.00
1962:Q2,65435.00,65435.00,0.00,9406.00,3020.00,0.00,32265.00,3889.00,0.00,0.00,16855.00,0.00,18849.00,0.00,46586.00
1962:Q3,66626.00,66626.00,0.00,9434.00,3019.00,0.00,32881.00,4020.00,0.00,0.00,17272.00,0.00,19362.00,0.00,47264.00
1962:Q4,69344.00,69344.00,0.00,10390.00,3315.00,0.00,33597.00,4103.00,0.00,0.00,17939.00,0.00,19924.00,0.00,49420.00
1963:Q1,68935.00,68935.00,0.00,9350.00,2966.00,0.00,34305.00,4027.00,0.00,0.00,18287.00,0.00,20353.00,0.00,48582.00
1963:Q2,72217.00,72217.00,0.00,10079.00,3178.00,0.00,35885.00,4352.00,0.00,0.00,18723.00,0.00,21677.00,0.00,50540.00
1963:Q3,74362.00,74362.00,0.00,10256.00,3224.00,0.00,37049.00,4478.00,0.00,0.00,19355.00,0.00,22282.00,0.00,52080.00
1963:Q4,77870.00,77870.00,0.00,11345.00,3553.00,0.00,38261.00,4546.00,0.00,0.00,20165.00,0.00,22842.00,0.00,55028.00
1964:Q1,78041.00,78041.00,0.00,10499.00,3266.00,0.00,39129.00,4596.00,0.00,0.00,20551.00,0.00,23295.00,0.00,54746.00
1964:Q2,81812.00,81812.00,0.00,11033.00,3404.00,0.00,41172.00,5001.00,0.00,0.00,21202.00,0.00,24758.00,0.00,57054.00
1964:Q3,84142.00,84142.00,0.00,11181.00,3437.00,0.00,42507.00,5215.00,0.00,0.00,21802.00,0.00,25468.00,0.00,58674.00
1964:Q4,87352.00,87352.00,0.00,12281.00,3779.00,0.00,43435.00,5437.00,0.00,0.00,22420.00,0.00,25817.00,0.00,61535.00
1965:Q1,87645.00,87645.00,0.00,11407.00,3495.00,0.00,44650.00,5405.00,0.00,0.00,22688.00,0.00,26320.00,0.00,61325.00
1965:Q2,92243.00,92243.00,0.00,12039.00,3662.00,0.00,47147.00,5867.00,0.00,0.00,23528.00,0.00,27941.00,0.00,64302.00
1965:Q3,94391.00,94391.00,0.00,12045.00,3670.00,0.00,48272.00,6200.00,0.00,0.00,24204.00,0.00,28843.00,0.00,65548.00
1965:Q4,97489.00,97489.00,0.00,13226.00,4040.00,0.00,49070.00,6478.00,0.00,0.00,24675.00,0.00,29355.00,0.00,68134.00
1966:Q1,97096.00,97096.00,0.00,12172.00,3701.00,0.00,50235.00,6307.00,0.00,0.00,24681.00,0.00,29545.00,0.00,67551.00
1966:Q2,100205.00,100205.00,0.00,12791.00,3830.00,0.00,51668.00,6762.00,0.00,0.00,25154.00,0.00,30553.00,0.00,69652.00
1966:Q3,100989.00,100989.00,0.00,12452.00,3725.00,0.00,52007.00,7177.00,0.00,0.00,25628.00,0.00,30785.00,0.00,70204.00
1966:Q4,103422.00,103422.00,0.00,13397.00,3988.00,0.00,52150.00,7454.00,0.00,0.00,26433.00,0.00,30992.00,0.00,72430.00
1967:Q1,101348.00,101348.00,0.00,12394.00,3654.00,0.00,51986.00,7431.00,0.00,0.00,25883.00,0.00,30550.00,0.00,70798.00
1967:Q2,104131.00,104131.00,0.00,12893.00,3730.00,0.00,53662.00,7823.00,0.00,0.00,26023.00,0.00,31214.00,0.00,72917.00
1967:Q3,105544.00,105544.00,0.00,12695.00,3627.00,0.00,54931.00,8064.00,0.00,0.00,26227.00,0.00,31251.00,0.00,74293.00
1967:Q4,108567.00,108567.00,0.00,13681.00,3872.00,0.00,55823.00,8287.00,0.00,0.00,26904.00,0.00,31131.00,0.00,77436.00
1968:Q1,107272.00,107272.00,0.00,12624.00,3592.00,0.00,56026.00,8395.00,0.00,0.00,26635.00,1439.00,31252.00,0.00,74581.00
1968:Q2,111404.00,111404.00,0.00,13040.00,3677.00,0.00,58431.00,8920.00,0.00,0.00,27336.00,1598.00,32630.00,0.00,77176.00
1968:Q3,114160.00,114160.00,0.00,12584.00,3532.00,0.00,60758.00,9359.00,0.00,0.00,27927.00,1788.00,33583.00,0.00,78789.00
1968:Q4,119324.00,119324.00,0.00,13796.00,3852.00,0.00,62748.00,9731.00,0.00,0.00,29197.00,2105.00,34348.00,0.00,82871.00
1969:Q1,118884.00,118884.00,0.00,12802.00,3530.00,0.00,63529.00,9966.00,0.00,0.00,29057.00,2349.00,34568.00,0.00,81967.00
1969:Q2,123675.00,123675.00,0.00,13166.00,3567.00,0.00,66087.00,10776.00,0.00,0.00,30079.00,2698.00,36254.00,0.00,84723.00
1969:Q3,125813.00,125813.00,0.00,13050.00,3485.00,0.00,67095.00,11361.00,0.00,0.00,30822.00,3081.00,36728.00,0.00,86004.00
1969:Q4,129231.00,129231.00,0.00,14027.00,3712.00,0.00,67807.00,11704.00,0.00,0.00,31981.00,3720.00,36946.00,0.00,88565.00
1970:Q1,126663.00,126663.00,0.00,13005.00,3414.00,0.00,66922.00,11961.00,0.00,0.00,31361.00,3967.00,36119.00,0.00,86577.00
1970:Q2,129421.00,129421.00,0.00,13295.00,3478.00,0.00,68422.00,12484.00,0.00,0.00,31742.00,4229.00,36588.00,0.00,88604.00
1970:Q3,131424.00,131424.00,0.00,13679.00,3580.00,0.00,69850.00,12888.00,0.00,0.00,31427.00,4603.00,37047.00,0.00,89774.00
1970:Q4,133660.00,133660.00,0.00,14662.00,3829.00,0.00,70069.00,12986.00,0.00,0.00,32114.00,5130.00,36325.00,0.00,92205.00
1971:Q1,134072.00,134072.00,0.00,15668.00,3456.00,0.00,70407.00,13000.00,0.00,0.00,31541.00,7364.00,36396.00,0.00,90312.00
1971:Q2,138912.00,138912.00,0.00,16180.00,3541.00,0.00,73459.00,13689.00,0.00,0.00,32043.00,7643.00,38139.00,0.00,93130.00
1971:Q3,143465.00,143465.00,0.00,16413.00,3507.00,0.00,76364.00,14310.00,0.00,0.00,32871.00,8149.00,39412.00,0.00,95904.00
1971:Q4,149243.00,149243.00,0.00,17314.00,3712.00,0.00,79003.00,14770.00,0.00,0.00,34444.00,8529.00,40519.00,0.00,100195.00
1972:Q1,148847.00,148847.00,0.00,16047.00,3371.00,0.00,80280.00,14910.00,0.00,0.00,34239.00,8257.00,42672.00,0.00,97918.00
1972:Q2,156222.00,156222.00,0.00,16605.00,3407.00,0.00,84782.00,16010.00,0.00,0.00,35418.00,8670.00,45317.00,0.00,102235.00
1972:Q3,161529.00,161529.00,0.00,16957.00,3371.00,0.00,88353.00,16473.00,0.00,0.00,36375.00,9274.00,46772.00,0.00,105483.00
1972:Q4,168757.00,168757.00,0.00,17998.00,3630.00,0.00,92149.00,16964.00,0.00,0.00,38016.00,9701.00,47862.00,0.00,111194.00
1973:Q1,171528.00,171528.00,0.00,17026.00,3291.00,0.00,96042.00,17310.00,0.00,0.00,37859.00,9627.00,48904.00,0.00,112997.00
1973:Q2,180398.00,180398.00,0.00,17979.00,3374.00,0.00,101384.00,18389.00,0.00,0.00,39272.00,10215.00,51621.00,0.00,118562.00
1973:Q3,186695.00,186695.00,0.00,18082.00,3268.00,0.00,105428.00,19236.00,0.00,0.00,40681.00,10912.00,53391.00,0.00,122392.00
1973:Q4,192980.00,192980.00,0.00,19156.00,3437.00,0.00,108142.00,19633.00,0.00,0.00,42612.00,11710.00,53772.00,0.00,127498.00
1974:Q1,190460.00,190460.00,0.00,18135.00,3121.00,0.00,107936.00,19527.00,0.00,0.00,41741.00,11349.00,52834.00,0.00,126277.00
1974:Q2,196777.00,196777.00,0.00,19332.00,3166.00,0.00,110984.00,20449.00,0.00,0.00,42846.00,12138.00,54241.00,0.00,130398.00
1974:Q3,201241.00,201241.00,0.00,19718.00,3040.00,0.00,113073.00,21631.00,0.00,0.00,43779.00,13175.00,55557.00,0.00,132509.00
1974:Q4,201926.00,201926.00,0.00,20276.00,3083.00,0.00,112122.00,21895.00,0.00,0.00,44550.00,13682.00,54266.00,0.00,133978.00
1975:Q1,195912.00,195912.00,0.00,18926.00,2645.00,0.00,109561.00,21959.00,0.00,0.00,42821.00,13206.00,53085.00,0.00,129621.00
1975:Q2,195933.00,195933.00,0.00,19703.00,2659.00,0.00,110683.00,22878.00,0.00,0.00,40010.00,13429.00,53935.00,0.00,128569.00
1975:Q3,201183.00,201183.00,0.00,20083.00,2532.00,0.00,113642.00,24687.00,0.00,0.00,40239.00,14306.00,55862.00,0.00,131015.00
1975:Q4,206996.00,206996.00,0.00,21212.00,2668.00,0.00,116151.00,25666.00,0.00,0.00,41299.00,15020.00,57016.00,0.00,134960.00
1976:Q1,204908.00,204908.00,0.00,20306.00,2339.00,0.00,115991.00,26367.00,0.00,0.00,39905.00,14456.00,58332.00,0.00,132120.00
1976:Q2,213148.00,213148.00,0.00,21319.00,2378.00,0.00,120550.00,28314.00,0.00,0.00,40587.00,14889.00,62227.00,0.00,136032.00
1976:Q3,220688.00,220688.00,0.00,21784.00,2256.00,0.00,125248.00,30182.00,0.00,0.00,41218.00,16033.00,65237.00,0.00,139418.00
1976:Q4,228961.00,228961.00,0.00,23500.00,2481.00,0.00,128870.00,31169.00,0.00,0.00,42941.00,17190.00,66798.00,0.00,144973.00
1977:Q1,229155.00,229155.00,0.00,21220.00,2162.00,0.00,130773.00,32050.00,410.00,0.00,42540.00,31441.00,68787.00,0.00,128927.00
1977:Q2,242048.00,242048.00,0.00,22133.00,2058.00,0.00,138869.00,34352.00,430.00,0.00,44206.00,32939.00,73919.00,0.00,135190.00
1977:Q3,252953.00,252953.00,0.00,22565.00,1846.00,0.00,145949.00,36373.00,510.00,0.00,45710.00,34575.00,78468.00,0.00,139910.00
1977:Q4,264892.00,264892.00,0.00,24361.00,1997.00,0.00,152062.00,37605.00,515.00,0.00,48352.00,39274.00,80894.00,0.00,144724.00
1978:Q1,266971.00,266971.00,0.00,23075.00,1483.00,0.00,155123.00,38724.00,590.00,0.00,47976.00,38032.00,83579.00,0.00,145360.00
1978:Q2,284526.00,284526.00,0.00,23707.00,1347.00,0.00,166318.00,41936.00,690.00,0.00,50528.00,39880.00,90668.00,0.00,153978.00
1978:Q3,298022.00,298022.00,0.00,24315.00,1203.00,0.00,174822.00,43867.00,745.00,0.00,53070.00,42587.00,95805.00,0.00,159630.00
1978:Q4,311305.00,311305.00,0.00,26498.00,1458.00,0.00,179602.00,45172.00,915.00,0.00,57660.00,48309.00,98660.00,0.00,164336.00
1979:Q1,313819.00,313819.00,0.00,25092.00,952.00,0.00,182507.00,45513.00,1030.00,0.00,58725.00,46770.00,102240.00,0.00,164809.00
1979:Q2,327319.00,327319.00,0.00,25782.00,851.00,0.00,190641.00,46534.00,1140.00,0.00,62371.00,48545.00,107621.00,0.00,171153.00
1979:Q3,341528.00,341528.00,0.00,26550.00,721.00,0.00,199130.00,48000.00,1275.00,0.00,65852.00,51230.00,111453.00,0.00,178845.00
1979:Q4,354616.00,354616.00,0.00,28298.00,883.00,0.00,205718.00,47388.00,1505.00,0.00,70824.00,56937.00,112420.00,0.00,185259.00
1980:Q1,349662.00,349662.00,0.00,24914.00,409.00,0.00,203842.00,45723.00,1732.00,0.00,73042.00,54146.00,113413.00,0.00,182103.00
1980:Q2,345637.00,345637.00,0.00,25760.00,225.00,0.00,198657.00,42968.00,2122.00,0.00,75905.00,52850.00,111900.00,0.00,180887.00
1980:Q3,350336.00,350336.00,0.00,26888.00,150.00,0.00,200893.00,43568.00,2278.00,0.00,76559.00,53806.00,112399.00,0.00,184131.00
1980:Q4,358044.00,358044.00,0.00,29401.00,150.00,0.00,202867.00,44055.00,2639.00,0.00,78932.00,58506.00,111971.00,0.00,187567.00
1981:Q1,353902.00,353902.00,0.00,27758.00,75.00,0.00,199513.00,44395.00,3411.00,0.00,78750.00,55853.00,112730.00,0.00,185319.00
1981:Q2,361610.00,361610.00,0.00,28775.00,50.00,0.00,202591.00,46064.00,3649.00,0.00,80481.00,57795.00,115323.00,0.00,188492.00
1981:Q3,371928.00,371928.00,0.00,28923.00,50.00,0.00,206247.00,47372.00,4331.00,0.00,85005.00,59807.00,120059.00,0.00,192062.00
1981:Q4,377882.00,377882.00,0.00,30322.00,25.00,0.00,208179.00,46714.00,4826.00,0.00,87816.00,64807.00,119744.00,0.00,193331.00
1982:Q1,373537.00,373537.00,0.00,28025.00,25.00,0.00,206777.00,46575.00,5042.00,0.00,87093.00,60952.00,119806.00,0.00,192779.00
1982:Q2,380887.00,380887.00,0.00,28902.00,0.00,0.00,209448.00,47018.00,5418.00,0.00,90101.00,62578.00,123483.00,0.00,194826.00
1982:Q3,386815.00,386815.00,0.00,29171.00,0.00,0.00,213353.00,48201.00,6019.00,0.00,90071.00,64829.00,124731.00,0.00,197255.00
1982:Q4,396718.00,396718.00,0.00,30787.00,0.00,0.00,217486.00,48814.00,6413.00,0.00,93218.00,70461.00,127481.00,0.00,198776.00
1983:Q1,391910.00,391910.00,0.00,28889.00,0.00,0.00,214839.00,48835.00,5790.00,0.00,93557.00,66743.00,127370.00,0.00,197797.00
1983:Q2,403838.00,403838.00,0.00,30745.00,0.00,0.00,220288.00,50665.00,5363.00,0.00,96777.00,69388.00,133327.00,0.00,201123.00
1983:Q3,420612.00,420612.00,0.00,31866.00,0.00,0.00,231098.00,53449.00,5005.00,0.00,99194.00,73197.00,141178.00,0.00,206237.00
1983:Q4,444878.00,444878.00,0.00,35365.00,0.00,0.00,245152.00,56119.00,4581.00,0.00,103661.00,83802.00,146237.00,0.00,214839.00
1984:Q1,452010.00,452010.00,0.00,33076.00,0.00,0.00,254624.00,58462.00,4357.00,0.00,101491.00,82076.00,151698.00,0.00,218236.00
1984:Q2,479799.00,479799.00,0.00,34566.00,0.00,0.00,273573.00,62002.00,5028.00,0.00,104630.00,88387.00,161984.00,0.00,229428.00
1984:Q3,501839.00,501839.00,0.00,34980.00,0.00,0.00,289125.00,64980.00,5429.00,0.00,107325.00,93907.00,170368.00,0.00,237564.00
1984:Q4,526584.00,526584.00,0.00,38378.00,0.00,0.00,303070.00,67866.00,5573.00,0.00,111697.00,106256.00,175333.00,0.00,244995.00
1985:Q1,536023.00,536023.00,0.00,35506.00,0.00,0.00,314435.00,68912.00,5642.00,0.00,111528.00,106692.00,182290.00,0.00,247041.00
1985:Q2,559592.00,559592.00,0.00,37091.00,0.00,0.00,327793.00,70979.00,6082.00,0.00,117647.00,111191.00,193997.00,0.00,254404.00
1985:Q3,585905.00,585905.00,0.00,38100.00,0.00,0.00,340901.00,72859.00,6404.00,0.00,127641.00,117523.00,207095.00,0.00,261287.00
1985:Q4,610574.00,610574.00,0.00,42505.00,0.00,0.00,354848.00,74014.00,6799.00,0.00,132408.00,131553.00,211747.00,0.00,267274.00
1986:Q1,606799.00,606799.00,0.00,40118.00,0.00,0.00,354621.00,72078.00,6947.00,0.00,133035.00,128649.00,214870.00,0.00,263280.00
1986:Q2,627891.00,627891.00,0.00,41600.00,0.00,0.00,365225.00,73372.00,7808.00,0.00,139886.00,133079.00,227102.00,0.00,267710.00
1986:Q3,649888.00,649888.00,0.00,42515.00,0.00,0.00,373095.00,75545.00,7987.00,0.00,150746.00,136261.00,244593.00,0.00,269034.00
1986:Q4,666355.00,666355.00,0.00,47017.00,0.00,0.00,383100.00,77075.00,8174.00,0.00,150989.00,148902.00,247921.00,0.00,269532.00
1987:Q1,644317.00,644317.00,0.00,44423.00,0.00,0.00,372059.00,74654.00,8305.00,0.00,144876.00,141334.00,246372.00,0.00,256611.00
1987:Q2,660313.00,660313.00,0.00,46571.00,0.00,0.00,380721.00,76372.00,8959.00,0.00,147690.00,148421.00,254720.00,0.00,257172.00
1987:Q3,679637.00,679637.00,0.00,48075.00,0.00,0.00,388583.00,79777.00,9562.00,0.00,153640.00,155365.00,266000.00,0.00,258272.00
1987:Q4,698640.00,698640.00,0.00,54028.00,0.00,0.00,399425.00,81028.00,10043.00,0.00,154116.00,169639.00,266552.00,0.00,262449.00
1988:Q1,693732.00,693732.00,0.00,50913.00,0.00,0.00,398862.00,81080.00,10691.00,0.00,152186.00,165379.00,270129.00,0.00,258224.00
1988:Q2,710128.00,710128.00,0.00,52830.00,0.00,0.00,408568.00,83137.00,11495.00,0.00,154098.00,171371.00,278049.00,0.00,260708.00
1988:Q3,725838.00,725838.00,0.00,53787.00,0.00,0.00,418134.00,86523.00,12467.00,0.00,154927.00,176366.00,286351.00,0.00,263121.00
1988:Q4,745206.00,745206.00,0.00,60757.00,0.00,0.00,427569.00,88340.00,13202.00,0.00,155338.00,194460.00,285421.00,0.00,265325.00
1989:Q1,753193.00,753193.00,0.00,52653.00,0.00,0.00,421578.00,86747.00,13673.00,33377.00,145165.00,188471.00,285331.00,0.00,279391.00
1989:Q2,769617.00,769617.00,0.00,54392.00,0.00,0.00,429167.00,88288.00,14243.00,34535.00,148992.00,195893.00,290431.00,0.00,283293.00
1989:Q3,784207.00,784207.00,0.00,55776.00,0.00,0.00,436267.00,90948.00,14916.00,35835.00,150465.00,202075.00,293292.00,0.00,288840.00
1989:Q4,809285.00,809285.00,0.00,63829.00,0.00,0.00,445840.00,91654.00,16029.00,47335.00,144598.00,222295.00,290885.00,0.00,296105.00
1990:Q1,792320.00,792320.00,0.00,58512.00,0.00,0.00,433139.00,90034.00,16760.00,53930.00,139945.00,214920.00,287502.00,0.00,289898.00
1990:Q2,798712.00,798712.00,0.00,59585.00,0.00,0.00,429407.00,90360.00,17295.00,62958.00,139107.00,223520.00,289637.00,0.00,285555.00
1990:Q3,812302.00,812302.00,0.00,60075.00,0.00,0.00,432543.00,91628.00,17868.00,67173.00,143015.00,233653.00,290258.00,0.00,288391.00
1990:Q4,824391.00,824391.00,0.00,67141.00,0.00,0.00,431628.00,91597.00,19243.00,76663.00,138119.00,250909.00,283891.00,0.00,289591.00
1991:Q1,802207.00,802207.00,0.00,59186.00,0.00,0.00,420232.00,88475.00,20127.00,83251.00,130936.00,243907.00,275396.00,0.00,282904.00
1991:Q2,801306.00,801306.00,0.00,57385.00,0.00,0.00,414929.00,88520.00,20617.00,88611.00,131244.00,249675.00,269104.00,0.00,282527.00
1991:Q3,802500.00,802500.00,0.00,57243.00,0.00,0.00,409742.00,89222.00,20769.00,97418.00,128106.00,257752.00,267363.00,0.00,277385.00
1991:Q4,815581.00,815581.00,0.00,62988.00,0.00,0.00,412337.00,90302.00,21104.00,102957.00,125893.00,277089.00,264214.00,0.00,274278.00
1992:Q1,793353.00,793353.00,0.00,56032.00,0.00,0.00,396493.00,89473.00,21900.00,106694.00,122761.00,263739.00,262328.00,0.00,267286.00
