date,FU413065005.Q,FU413065105.Q,FU413065405.Q,FU413065505.Q,FU413065605.Q,FU413065005.Q
1945:Q4,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND
1946:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND
1947:Q4,0.00,0.00,0.00,0.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND
1948:Q4,4.00,0.00,0.00,0.00,4.00,4.00
1949:Q1,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND
1949:Q4,3.00,0.00,0.00,0.00,3.00,3.00
1950:Q1,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND
1950:Q4,25.00,0.00,0.00,0.00,25.00,25.00
1951:Q1,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND
2000:Q4,77350.00,74261.00,3007.00,0.00,82.00,77350.00
2001:Q1,42579.00,39298.00,3275.00,0.00,6.00,42579.00
2001:Q2,101566.00,96762.00,4798.00,0.00,6.00,101566.00
2001:Q3,123067.00,119815.00,3246.00,0.00,6.00,123067.00
2001:Q4,71327.00,67018.00,4302.00,0.00,7.00,71327.00
2002:Q1,124636.00,122100.00,2858.00,0.00,-322.00,124636.00
2002:Q2,86192.00,84354.00,2160.00,0.00,-322.00,86192.00
2002:Q3,42585.00,41064.00,1843.00,0.00,-322.00,42585.00
2002:Q4,73406.00,67661.00,6068.00,0.00,-323.00,73406.00
2003:Q1,71872.00,68222.00,3679.00,0.00,-29.00,71872.00
2003:Q2,62486.00,58865.00,3620.00,0.00,1.00,62486.00
2003:Q3,82200.00,73855.00,7655.00,0.00,690.00,82200.00
2003:Q4,118814.00,107320.00,11520.00,0.00,-26.00,118814.00
2004:Q1,3137.00,7716.00,-4542.00,0.00,-37.00,3137.00
2004:Q2,20144.00,17021.00,3122.00,0.00,1.00,20144.00
2004:Q3,14233.00,15162.00,-926.00,0.00,-3.00,14233.00
2004:Q4,3253.00,3936.00,-657.00,0.00,-26.00,3253.00
2005:Q1,23163.00,24468.00,-1249.00,0.00,-56.00,23163.00
2005:Q2,35169.00,36440.00,-1264.00,0.00,-7.00,35169.00
2005:Q3,42601.00,43772.00,-1131.00,0.00,-40.00,42601.00
2005:Q4,63532.00,64331.00,-808.00,0.00,9.00,63532.00
2006:Q1,78735.00,81088.00,-2807.00,0.00,454.00,78735.00
2006:Q2,64594.00,67275.00,-3196.00,0.00,515.00,64594.00
2006:Q3,76913.00,78857.00,-3238.00,0.00,1294.00,76913.00
2006:Q4,72394.00,75543.00,-3225.00,0.00,76.00,72394.00
2007:Q1,115659.00,117221.00,-1781.00,0.00,219.00,115659.00
2007:Q2,121712.00,121708.00,-1273.00,0.00,1277.00,121712.00
2007:Q3,175797.00,175714.00,144.00,0.00,-61.00,175797.00
2007:Q4,212848.00,210713.00,2210.00,0.00,-75.00,212848.00
2008:Q1,139591.00,139963.00,-282.00,0.00,-90.00,139591.00
2008:Q2,160212.00,157804.00,2554.00,0.00,-146.00,160212.00
2008:Q3,135780.00,137314.00,-1950.00,0.00,416.00,135780.00
2008:Q4,71841.00,67564.00,4327.00,0.00,-50.00,71841.00
2009:Q1,85488.00,84491.00,1053.00,0.00,-56.00,85488.00
2009:Q2,136177.00,132496.00,3729.00,0.00,-48.00,136177.00
2009:Q3,141005.00,137712.00,3358.00,0.00,-65.00,141005.00
2009:Q4,95659.00,90859.00,4818.00,0.00,-18.00,95659.00
2010:Q1,35217.00,33934.00,1922.00,0.00,-639.00,35217.00
2010:Q2,66276.00,61788.00,4008.00,0.00,480.00,66276.00
2010:Q3,49438.00,45947.00,3516.00,0.00,-25.00,49438.00
2010:Q4,43301.00,40295.00,3049.00,0.00,-43.00,43301.00
2011:Q1,47473.00,43666.00,4336.00,0.00,-529.00,47473.00
