1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,135866.00,29501.00,1686.00,0.00,553.00,27262.00,105064.00,5591.00,945.00,98528.00,405.00,124.00,281.00,896.00,0.00,135866.00,64264.00,42914.00,25514.00,17400.00,8223.00,7864.00,4517.00,1360.00,1101.00,363.00,195.00,0.00,91.00,915.00,0.00,492.00,1622.00,1622.00,0.00,6462.00
1954:Q3,137222.00,29169.00,1565.00,0.00,512.00,27092.00,106729.00,4120.00,724.00,101885.00,416.00,126.00,290.00,908.00,0.00,137222.00,68491.00,44460.00,26922.00,17538.00,6155.00,6936.00,4547.00,1344.00,1111.00,358.00,195.00,0.00,115.00,903.00,0.00,521.00,1362.00,1362.00,0.00,5271.00
1954:Q4,143349.00,29893.00,1359.00,0.00,494.00,28040.00,112081.00,4172.00,1075.00,106834.00,457.00,139.00,318.00,918.00,0.00,143349.00,68895.00,46132.00,28491.00,17641.00,5567.00,7943.00,4660.00,1323.00,1240.00,357.00,194.00,0.00,112.00,877.00,0.00,557.00,1708.00,1708.00,0.00,8444.00
1955:Q1,138890.00,28974.00,1680.00,0.00,386.00,26908.00,108542.00,4070.00,840.00,103632.00,447.00,134.00,313.00,927.00,0.00,138890.00,68572.00,44704.00,26982.00,17722.00,5564.00,7894.00,4504.00,1316.00,1061.00,367.00,191.00,0.00,102.00,888.00,0.00,579.00,1360.00,1360.00,0.00,6292.00
1955:Q2,140141.00,29123.00,1192.00,0.00,383.00,27548.00,109610.00,5078.00,906.00,103626.00,474.00,143.00,331.00,934.00,0.00,140141.00,66169.00,45722.00,27931.00,17791.00,6987.00,8354.00,4574.00,1319.00,1089.00,385.00,185.00,0.00,104.00,911.00,0.00,581.00,1432.00,1432.00,0.00,6903.00
1955:Q3,140826.00,29065.00,1303.00,0.00,384.00,27378.00,110353.00,4220.00,855.00,105278.00,465.00,139.00,326.00,943.00,0.00,140826.00,69654.00,46338.00,28481.00,17857.00,6179.00,7486.00,4685.00,1331.00,1160.00,404.00,179.00,0.00,99.00,948.00,0.00,564.00,1378.00,1378.00,0.00,5106.00
1955:Q4,145680.00,30046.00,1161.00,0.00,409.00,28476.00,114202.00,3709.00,981.00,109512.00,476.00,142.00,334.00,956.00,0.00,145680.00,70036.00,47377.00,29453.00,17924.00,5297.00,7982.00,4859.00,1348.00,1265.00,415.00,174.00,0.00,132.00,995.00,0.00,530.00,1532.00,1532.00,0.00,8597.00
1956:Q1,142244.00,28996.00,1299.00,0.00,349.00,27348.00,111789.00,6170.00,1087.00,104532.00,487.00,146.00,341.00,972.00,0.00,142244.00,69363.00,44282.00,26321.00,17961.00,7778.00,8084.00,4597.00,1354.00,1050.00,419.00,175.00,0.00,92.00,999.00,0.00,508.00,1582.00,1582.00,0.00,6558.00
1956:Q2,142494.00,30038.00,1290.00,0.00,306.00,28442.00,110949.00,5232.00,1161.00,104556.00,516.00,156.00,360.00,991.00,0.00,142494.00,67940.00,45140.00,27160.00,17980.00,7178.00,8700.00,4602.00,1345.00,1086.00,417.00,178.00,0.00,76.00,998.00,0.00,502.00,1623.00,1623.00,0.00,7311.00
1956:Q3,142444.00,29258.00,1363.00,0.00,334.00,27561.00,111629.00,5110.00,1063.00,105456.00,544.00,166.00,378.00,1013.00,0.00,142444.00,70649.00,45473.00,27458.00,18015.00,6961.00,6980.00,4599.00,1320.00,1084.00,414.00,183.00,0.00,88.00,997.00,0.00,513.00,1563.00,1563.00,0.00,6219.00
1956:Q4,147602.00,30070.00,1216.00,0.00,325.00,28529.00,115934.00,3733.00,1258.00,110943.00,559.00,170.00,389.00,1039.00,0.00,147602.00,71883.00,47263.00,29168.00,18095.00,5009.00,7438.00,4834.00,1280.00,1281.00,415.00,190.00,0.00,132.00,998.00,0.00,538.00,1753.00,1753.00,0.00,9422.00
1957:Q1,143972.00,29212.00,1301.00,0.00,352.00,27559.00,113143.00,6385.00,935.00,105823.00,547.00,169.00,378.00,1070.00,0.00,143972.00,70827.00,44792.00,26576.00,18216.00,8235.00,7358.00,4604.00,1253.00,1074.00,424.00,200.00,0.00,85.00,1009.00,0.00,559.00,1456.00,1456.00,0.00,6700.00
1957:Q2,143043.00,29850.00,1256.00,0.00,462.00,28132.00,111522.00,4490.00,1443.00,105589.00,565.00,177.00,388.00,1106.00,0.00,143043.00,68709.00,45624.00,27269.00,18355.00,6467.00,8347.00,4712.00,1242.00,1142.00,439.00,214.00,0.00,92.00,1015.00,0.00,568.00,2082.00,2082.00,0.00,7102.00
1957:Q3,144728.00,29702.00,1385.00,0.00,380.00,27937.00,113286.00,6330.00,1441.00,105515.00,597.00,177.00,420.00,1143.00,0.00,144728.00,71361.00,46414.00,27882.00,18532.00,7967.00,6191.00,4748.00,1249.00,1150.00,454.00,228.00,0.00,81.00,1022.00,0.00,564.00,1998.00,1998.00,0.00,6049.00
1957:Q4,147124.00,30106.00,1242.00,0.00,365.00,28499.00,115203.00,3898.00,1558.00,109747.00,638.00,179.00,459.00,1177.00,0.00,147124.00,71024.00,47970.00,29208.00,18762.00,5145.00,6781.00,4953.00,1272.00,1292.00,466.00,237.00,0.00,113.00,1026.00,0.00,547.00,2102.00,2102.00,0.00,9149.00
1958:Q1,143407.00,29248.00,1353.00,0.00,262.00,27633.00,112363.00,5560.00,1224.00,105579.00,585.00,183.00,402.00,1211.00,0.00,143407.00,70884.00,45295.00,26148.00,19147.00,6857.00,6402.00,4842.00,1298.00,1170.00,475.00,242.00,0.00,84.00,1036.00,0.00,537.00,1669.00,1669.00,0.00,7458.00
1958:Q2,147865.00,29534.00,1102.00,0.00,277.00,28155.00,116532.00,9460.00,1473.00,105599.00,552.00,195.00,357.00,1247.00,0.00,147865.00,67351.00,47104.00,27399.00,19705.00,10556.00,7585.00,4944.00,1321.00,1210.00,482.00,245.00,0.00,109.00,1040.00,0.00,537.00,1945.00,1945.00,0.00,8380.00
