1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2004:Q3,23313475.00,12660113.00,6870848.00,3103028.00,1225892.00,1460346.00,10653361.00,44697.00,248271.00,404213.00,285471.00,5719.00,159881.00,85624.00,31880.00,10627.00,31750.00,116972.00,62868.00,54104.00,116560.00,1883098.00,1923622.00,5464857.00,10223272.00,3028385.00,105121.00,199809.00,2723455.00,1924388.00,592700.00,763916.00,567771.00,1472502.00,100406.00,1357217.00,2340375.00,13090203.00,128723.00,5082956.00,10825172.00,37.84,45.75,82.70,19230474.00,8577113.00,3110146.00,2928475.00,1155238.00,1383254.00,9007202.00,59806.00,2708220.00,54.99
2004:Q4,23864002.00,12926739.00,7047575.00,3145391.00,1242156.00,1491616.00,10937264.00,53705.00,207164.00,400456.00,299560.00,6422.00,172188.00,95023.00,34014.00,11338.00,31813.00,125809.00,66598.00,59211.00,125553.00,1830643.00,2094695.00,5621068.00,10381604.00,3013802.00,97782.00,200424.00,2715596.00,1998727.00,618004.00,793298.00,587424.00,1501545.00,87996.00,1409774.00,2369760.00,13482399.00,131506.00,5247292.00,12033723.00,37.18,41.65,89.26,19589566.00,8652302.00,3142380.00,2951929.00,1168373.00,1389620.00,9207962.00,61053.00,2736129.00,54.44
2005:Q1,24190349.00,13074446.00,7082899.00,3197345.00,1259648.00,1534554.00,11115903.00,61301.00,201607.00,402506.00,295320.00,6190.00,189218.00,90942.00,49230.00,16410.00,32636.00,122355.00,67005.00,55350.00,124068.00,1944055.00,2151198.00,5618085.00,10601853.00,3025849.00,112002.00,201340.00,2712507.00,2034263.00,610884.00,819602.00,603776.00,1538626.00,99689.00,1436272.00,2467155.00,13588496.00,134731.00,5380456.00,11980205.00,37.24,42.24,88.16,19914772.00,8798869.00,3177842.00,2976051.00,1183132.00,1461844.00,9312919.00,62332.00,2765656.00,54.33
2005:Q2,24802671.00,13428862.00,7363398.00,3240397.00,1282062.00,1543005.00,11373809.00,57496.00,230455.00,393199.00,305196.00,8459.00,190900.00,90215.00,52929.00,17643.00,30113.00,123433.00,67417.00,56016.00,125722.00,2031068.00,2184743.00,5723138.00,10818920.00,3010583.00,110680.00,214976.00,2684927.00,2119537.00,617055.00,848949.00,653533.00,1591542.00,98061.00,1429161.00,2570036.00,13983751.00,138459.00,5502721.00,12159752.00,36.69,42.19,86.96,20276434.00,8902625.00,3217473.00,3003141.00,1199448.00,1482563.00,9457514.00,63641.00,2796893.00,54.24
2005:Q3,25349501.00,13708625.00,7570153.00,3259102.00,1299886.00,1579484.00,11640876.00,51419.00,256274.00,411596.00,321874.00,11692.00,196328.00,99352.00,48484.00,16161.00,32331.00,125631.00,67834.00,57797.00,131207.00,2108390.00,2174867.00,5851598.00,10997028.00,3029540.00,116494.00,226650.00,2686396.00,2147994.00,589699.00,858614.00,699681.00,1657124.00,96934.00,1468484.00,2596952.00,14352473.00,143698.00,5671578.00,12664344.00,36.07,40.88,88.24,20662837.00,9021961.00,3262092.00,3033930.00,1216455.00,1509484.00,9665809.00,65002.00,2830076.00,53.57
2005:Q4,26064581.00,14163936.00,7920256.00,3297800.00,1321968.00,1623912.00,11900645.00,63571.00,267957.00,450360.00,352211.00,14560.00,212576.00,110974.00,52117.00,17372.00,32113.00,127833.00,68250.00,59583.00,134404.00,2108248.00,2205709.00,5963216.00,11181788.00,3007209.00,90072.00,242658.00,2674479.00,2266214.00,590885.00,903438.00,771892.00,1700544.00,86222.00,1549444.00,2572154.00,14882793.00,147951.00,5883485.00,12653130.00,35.43,41.68,85.02,21025045.00,9124400.00,3307993.00,3064662.00,1232432.00,1519313.00,9843257.00,66384.00,2865842.00,53.57
2006:Q1,26524384.00,14460352.00,8126813.00,3345787.00,1343797.00,1643955.00,12064032.00,41996.00,240171.00,455331.00,353241.00,10103.00,206557.00,105397.00,50010.00,16670.00,34480.00,119291.00,66171.00,53120.00,146510.00,2167880.00,2295735.00,6027217.00,11313816.00,3037908.00,96496.00,250130.00,2691282.00,2314981.00,600603.00,921889.00,792488.00,1710303.00,98139.00,1594555.00,2557931.00,15210568.00,151913.00,6024898.00,13686947.00,35.19,39.11,89.98,21343131.00,9279099.00,3353312.00,3103926.00,1249440.00,1572421.00,10029314.00,67773.00,2907090.00,53.37
2006:Q2,27223730.00,14943481.00,8507193.00,3390267.00,1360367.00,1685654.00,12280249.00,53045.00,193655.00,445438.00,367125.00,12154.00,209504.00,118946.00,44880.00,14960.00,30718.00,114126.00,64068.00,50058.00,149921.00,2235216.00,2355401.00,6144665.00,11523425.00,3089133.00,111673.00,266619.00,2710841.00,2374296.00,598889.00,974216.00,801191.00,1761598.00,95147.00,1656131.00,2547120.00,15700305.00,154798.00,6166776.00,13113252.00,34.80,41.66,83.52,21716039.00,9435790.00,3410277.00,3142952.00,1267271.00,1615290.00,10192614.00,69068.00,2951794.00,53.60
2006:Q3,27897336.00,15444580.00,8902225.00,3451875.00,1378507.00,1711973.00,12452756.00,43697.00,177559.00,456342.00,390647.00,12668.00,205727.00,118689.00,44794.00,14931.00,27313.00,110266.00,61942.00,48324.00,159532.00,2217738.00,2447677.00,6230904.00,11654250.00,3102621.00,110581.00,274360.00,2717680.00,2395644.00,607586.00,967021.00,821037.00,1777551.00,94466.00,1706884.00,2577084.00,16243086.00,156734.00,6271343.00,13463770.00,33.85,40.84,82.89,22031924.00,9579168.00,3464551.00,3181629.00,1286461.00,1646527.00,10377674.00,70281.00,2998490.00,52.98
2006:Q4,28193089.00,15533637.00,8888379.00,3513636.00,1401109.00,1730513.00,12659452.00,49336.00,150742.00,496992.00,421275.00,15533.00,211417.00,122669.00,45463.00,15154.00,28131.00,108110.00,59817.00,48293.00,173221.00,2099243.00,2440731.00,6492852.00,11821030.00,3158380.00,112519.00,296788.00,2749073.00,2519087.00,612930.00,1028438.00,877720.00,1812853.00,85421.00,1722710.00,2522579.00,16372059.00,159206.00,6429631.00,14358011.00,34.68,39.54,87.70,22320922.00,9661470.00,3522232.00,3219095.00,1305986.00,1614157.00,10499892.00,71468.00,3046018.00,54.07
