1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q1,126232.00,119536.00,116498.00,29.00,0.00,3009.00,6696.00,6434.00,262.00,0.00,0.00,126232.00,118462.00,1000.00,1000.00,0.00,340.00,2584.00,1117.00,781.00,0.00,0.00,0.00,336.00,0.00,2729.00
1957:Q2,129781.00,123078.00,119932.00,27.00,0.00,3119.00,6703.00,6458.00,245.00,0.00,0.00,129781.00,121985.00,1000.00,1000.00,0.00,326.00,2723.00,1149.00,811.00,0.00,0.00,0.00,338.00,0.00,2598.00
1957:Q3,131736.00,124998.00,121769.00,25.00,0.00,3204.00,6738.00,6512.00,226.00,0.00,0.00,131736.00,123872.00,1000.00,1000.00,0.00,340.00,2742.00,1183.00,842.00,0.00,0.00,0.00,341.00,0.00,2599.00
1957:Q4,135000.00,128323.00,124918.00,24.00,0.00,3381.00,6677.00,6462.00,215.00,0.00,0.00,135000.00,127167.00,1000.00,1000.00,0.00,301.00,2783.00,1216.00,874.00,0.00,0.00,0.00,342.00,0.00,2533.00
1958:Q1,140684.00,131906.00,128403.00,23.00,0.00,3480.00,8778.00,8573.00,205.00,0.00,0.00,140684.00,130705.00,1550.00,1550.00,0.00,270.00,3433.00,1253.00,908.00,0.00,0.00,0.00,345.00,0.00,3473.00
1958:Q2,146137.00,136089.00,132474.00,23.00,0.00,3592.00,10048.00,9845.00,203.00,0.00,0.00,146137.00,134835.00,2100.00,2100.00,0.00,274.00,4114.00,1290.00,943.00,0.00,0.00,0.00,347.00,0.00,3524.00
1958:Q3,148605.00,139021.00,135320.00,22.00,0.00,3679.00,9584.00,9382.00,202.00,0.00,0.00,148605.00,137708.00,2000.00,2000.00,0.00,300.00,3735.00,1328.00,979.00,0.00,0.00,0.00,349.00,0.00,3534.00
1958:Q4,151862.00,142594.00,138703.00,22.00,0.00,3869.00,9268.00,9069.00,199.00,0.00,0.00,151862.00,141266.00,1900.00,1900.00,0.00,327.00,3589.00,1366.00,1017.00,0.00,0.00,0.00,349.00,0.00,3414.00
1959:Q1,154402.00,145217.00,141218.00,23.00,0.00,3976.00,9185.00,8982.00,203.00,0.00,0.00,154402.00,143832.00,1800.00,1800.00,0.00,320.00,3589.00,1417.00,1056.00,0.00,0.00,0.00,361.00,0.00,3444.00
1959:Q2,157912.00,149108.00,144979.00,23.00,0.00,4106.00,8804.00,8594.00,210.00,0.00,0.00,157912.00,147681.00,1700.00,1700.00,0.00,331.00,3647.00,1469.00,1096.00,0.00,0.00,0.00,373.00,0.00,3084.00
1959:Q3,159429.00,151384.00,147150.00,24.00,0.00,4210.00,8045.00,7829.00,216.00,0.00,0.00,159429.00,149934.00,1600.00,1600.00,0.00,320.00,3177.00,1525.00,1138.00,0.00,0.00,0.00,387.00,0.00,2873.00
1959:Q4,161648.00,154121.00,149665.00,25.00,0.00,4431.00,7527.00,7305.00,222.00,0.00,0.00,161648.00,152525.00,1500.00,1500.00,0.00,285.00,3179.00,1584.00,1182.00,0.00,0.00,0.00,402.00,0.00,2575.00
1960:Q1,163526.00,156063.00,151500.00,26.00,0.00,4537.00,7463.00,7233.00,230.00,0.00,0.00,163526.00,154522.00,1268.00,1268.00,0.00,280.00,3348.00,1633.00,1227.00,0.00,0.00,0.00,406.00,0.00,2475.00
1960:Q2,167569.00,159640.00,154952.00,27.00,0.00,4661.00,7929.00,7691.00,238.00,0.00,0.00,167569.00,158156.00,1087.00,1087.00,0.00,290.00,3748.00,1685.00,1275.00,0.00,0.00,0.00,410.00,0.00,2603.00
