1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,2042.00,0.00,2042.00,0.00,2042.00,0.00,24529.00,2174.00,93.00,0.00,2081.00,0.00,0.00,22355.00,22394.00,-39.00,0.00,-22487.00
1958:Q2,2084.00,0.00,2084.00,0.00,2084.00,0.00,23496.00,2187.00,56.00,0.00,2131.00,0.00,0.00,21309.00,21356.00,-47.00,0.00,-21412.00
1958:Q3,2031.00,0.00,2031.00,0.00,2031.00,0.00,22960.00,2178.00,55.00,0.00,2123.00,0.00,0.00,20782.00,20874.00,-92.00,0.00,-20929.00
1958:Q4,1958.00,0.00,1958.00,0.00,1958.00,0.00,22540.00,2041.00,48.00,0.00,1993.00,0.00,0.00,20499.00,20534.00,-35.00,0.00,-20582.00
1959:Q1,1793.00,0.00,1793.00,0.00,1793.00,0.00,22279.00,1871.00,44.00,0.00,1827.00,0.00,0.00,20408.00,20442.00,-34.00,0.00,-20486.00
1959:Q2,2111.00,0.00,2111.00,0.00,2111.00,0.00,21857.00,2186.00,41.00,0.00,2145.00,0.00,0.00,19671.00,19705.00,-34.00,0.00,-19746.00
1959:Q3,2085.00,0.00,2085.00,0.00,2085.00,0.00,21664.00,2346.00,88.00,0.00,2258.00,0.00,0.00,19318.00,19491.00,-173.00,0.00,-19579.00
1959:Q4,1997.00,0.00,1997.00,0.00,1997.00,0.00,21504.00,2110.00,51.00,0.00,2059.00,0.00,0.00,19394.00,19456.00,-62.00,0.00,-19507.00
1960:Q1,1888.00,0.00,1888.00,0.00,1888.00,0.00,21345.00,1993.00,49.00,0.00,1944.00,0.00,0.00,19352.00,19408.00,-56.00,0.00,-19457.00
1960:Q2,1807.00,0.00,1807.00,0.00,1807.00,0.00,21170.00,1928.00,41.00,0.00,1887.00,0.00,0.00,19242.00,19322.00,-80.00,0.00,-19363.00
1960:Q3,1705.00,0.00,1705.00,0.00,1705.00,0.00,20430.00,1851.00,40.00,0.00,1811.00,0.00,0.00,18579.00,18685.00,-106.00,0.00,-18725.00
1960:Q4,1555.00,0.00,1555.00,0.00,1555.00,0.00,19359.00,1693.00,37.00,0.00,1656.00,0.00,0.00,17666.00,17767.00,-101.00,0.00,-17804.00
1961:Q1,1555.00,0.00,1555.00,0.00,1530.00,25.00,18988.00,1659.00,45.00,0.00,1589.00,25.00,0.00,17329.00,17388.00,-59.00,0.00,-17433.00
1961:Q2,1705.00,0.00,1705.00,0.00,1519.00,186.00,19308.00,1868.00,53.00,0.00,1629.00,186.00,0.00,17440.00,17550.00,-110.00,0.00,-17603.00
1961:Q3,2064.00,0.00,2064.00,0.00,2002.00,62.00,19521.00,2214.00,81.00,0.00,2071.00,62.00,0.00,17307.00,17376.00,-69.00,0.00,-17457.00
1961:Q4,1806.00,0.00,1806.00,0.00,1690.00,116.00,18753.00,1911.00,58.00,0.00,1737.00,116.00,0.00,16842.00,16889.00,-47.00,0.00,-16947.00
1962:Q1,1686.00,0.00,1686.00,0.00,1456.00,230.00,18329.00,1686.00,35.00,0.00,1505.00,146.00,0.00,16643.00,16608.00,-49.00,84.00,-16643.00
1962:Q2,1963.00,0.00,1963.00,0.00,1409.00,554.00,18490.00,1665.00,92.00,0.00,1458.00,115.00,0.00,16825.00,16435.00,-49.00,439.00,-16527.00
1962:Q3,1528.00,0.00,1528.00,0.00,1078.00,450.00,17610.00,1238.00,15.00,0.00,1123.00,100.00,0.00,16372.00,16067.00,-45.00,350.00,-16082.00
1962:Q4,1163.00,0.00,1163.00,0.00,1064.00,99.00,17220.00,1209.00,79.00,0.00,1112.00,18.00,0.00,16011.00,15978.00,-48.00,81.00,-16057.00
1963:Q1,1242.00,0.00,1242.00,0.00,1110.00,132.00,17188.00,1265.00,68.00,0.00,1159.00,38.00,0.00,15923.00,15878.00,-49.00,94.00,-15946.00
1963:Q2,1235.00,0.00,1235.00,0.00,1109.00,126.00,17065.00,1312.00,97.00,0.00,1202.00,13.00,0.00,15753.00,15733.00,-93.00,113.00,-15830.00
