1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q1,420.00,144.00,1172.00,20.00,0.00,0.00,792.00,0.00,-828.00,800.00,760.00,60.00,16.00,252.00,0.00,80.00,12.00,0.00,1052.00,0.00,208.00,0.00,-24.00,8.00,860.00,0.00,860.00,156.00
1961:Q2,407.00,148.00,1252.00,28.00,0.00,0.00,908.00,0.00,-484.00,448.00,908.00,36.00,12.00,232.00,0.00,60.00,12.00,0.00,1020.00,0.00,288.00,0.00,-112.00,4.00,840.00,0.00,840.00,27.00
1961:Q3,411.00,149.00,1432.00,40.00,0.00,0.00,1076.00,0.00,352.00,-352.00,1060.00,16.00,4.00,252.00,0.00,48.00,12.00,0.00,1128.00,0.00,296.00,0.00,16.00,4.00,812.00,0.00,812.00,-42.00
1961:Q4,416.00,155.00,1660.00,44.00,0.00,0.00,1260.00,0.00,608.00,-520.00,1164.00,8.00,-8.00,304.00,0.00,48.00,12.00,0.00,1008.00,0.00,232.00,0.00,-12.00,4.00,784.00,0.00,784.00,-391.00
1962:Q1,517.00,143.00,1892.00,92.00,0.00,0.00,1372.00,0.00,-332.00,536.00,896.00,272.00,-4.00,248.00,0.00,168.00,16.00,0.00,988.00,0.00,168.00,0.00,96.00,4.00,720.00,0.00,720.00,-531.00
1962:Q2,560.00,148.00,2248.00,136.00,0.00,0.00,1636.00,0.00,-244.00,572.00,868.00,440.00,-16.00,248.00,0.00,232.00,12.00,0.00,676.00,0.00,108.00,0.00,-64.00,4.00,628.00,0.00,628.00,-1160.00
1962:Q3,445.00,151.00,2212.00,128.00,0.00,0.00,1604.00,0.00,248.00,92.00,832.00,432.00,-24.00,248.00,0.00,240.00,16.00,0.00,808.00,0.00,112.00,0.00,32.00,4.00,660.00,0.00,660.00,-1110.00
1962:Q4,215.00,153.00,1772.00,68.00,0.00,0.00,1292.00,0.00,652.00,-404.00,796.00,248.00,-40.00,248.00,0.00,192.00,12.00,0.00,964.00,0.00,184.00,0.00,-32.00,4.00,808.00,0.00,808.00,-746.00
1963:Q1,11.00,134.00,1320.00,8.00,0.00,0.00,1000.00,0.00,-440.00,612.00,772.00,56.00,-12.00,156.00,0.00,152.00,16.00,0.00,1184.00,0.00,252.00,0.00,-88.00,4.00,1016.00,0.00,1016.00,-260.00
1963:Q2,98.00,141.00,988.00,-44.00,0.00,0.00,752.00,0.00,28.00,92.00,764.00,-132.00,-12.00,156.00,0.00,124.00,12.00,0.00,1476.00,0.00,324.00,0.00,-116.00,0.00,1268.00,0.00,1268.00,445.00
1963:Q3,129.00,148.00,884.00,-64.00,0.00,0.00,668.00,0.00,484.00,-388.00,704.00,-132.00,-8.00,156.00,0.00,116.00,16.00,0.00,1644.00,0.00,324.00,0.00,120.00,0.00,1200.00,0.00,1200.00,741.00
1963:Q4,107.00,154.00,960.00,-56.00,0.00,0.00,732.00,0.00,560.00,-460.00,588.00,44.00,-20.00,156.00,0.00,132.00,16.00,0.00,1052.00,0.00,244.00,0.00,-4.00,0.00,812.00,0.00,812.00,45.00
