date,FU883140005.Q,FU313140003.Q,FU543140005.Q,FU883140005.Q,FU153040005.Q,FU763040005.Q,FU733040005.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND
1946:Q4,3800.00,1165.00,2635.00,3800.00,3800.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND
1947:Q4,3150.00,605.00,2545.00,3150.00,3150.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND
1948:Q4,2843.00,213.00,2630.00,2843.00,2843.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND
1949:Q4,2751.00,84.00,2667.00,2751.00,2751.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2945.00,309.00,2636.00,2945.00,2945.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND
1982:Q2,2036.00,364.00,1672.00,2036.00,2036.00,0.00,0.00
1982:Q3,1647.00,10.00,1637.00,1647.00,1647.00,0.00,0.00
1982:Q4,2215.00,437.00,1778.00,2215.00,2215.00,0.00,0.00
1983:Q1,1916.00,28.00,1888.00,1916.00,1916.00,0.00,0.00
1983:Q2,2370.00,405.00,1965.00,2370.00,2370.00,0.00,0.00
1983:Q3,2046.00,52.00,1994.00,2046.00,2046.00,0.00,0.00
1983:Q4,2447.00,473.00,1974.00,2447.00,2447.00,0.00,0.00
1984:Q1,1261.00,86.00,1175.00,1261.00,1261.00,0.00,0.00
1984:Q2,1523.00,454.00,1069.00,1523.00,1523.00,0.00,0.00
1984:Q3,1359.00,53.00,1306.00,1359.00,1359.00,0.00,0.00
1984:Q4,1907.00,491.00,1416.00,1907.00,1907.00,0.00,0.00
1985:Q1,2113.00,36.00,2077.00,2113.00,2113.00,0.00,0.00
1985:Q2,2847.00,469.00,2378.00,2847.00,2847.00,0.00,0.00
1985:Q3,2817.00,56.00,2761.00,2817.00,2817.00,0.00,0.00
1985:Q4,3772.00,547.00,3225.00,3772.00,3772.00,0.00,0.00
1986:Q1,3930.00,30.00,3900.00,3930.00,3930.00,0.00,0.00
1986:Q2,4596.00,496.00,4100.00,4596.00,4596.00,0.00,0.00
1986:Q3,4573.00,73.00,4500.00,4573.00,4573.00,0.00,0.00
1986:Q4,5164.00,443.00,4721.00,5164.00,5164.00,0.00,0.00
1987:Q1,7005.00,127.00,6878.00,7005.00,7005.00,0.00,0.00
1987:Q2,6386.00,489.00,5897.00,6386.00,6386.00,0.00,0.00
1987:Q3,7314.00,1031.00,6283.00,7314.00,7314.00,0.00,0.00
