1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,330.00,0.00,330.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2046.00,0.00,2093.00,-100.00,63.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,4.00,0.00,0.00,-11.00,-3.00,0.00,0.00,0.00,0.00,0.00,-1716.00,0.00,0.00,0.00
1958:Q4,-896.00,0.00,-897.00,ND,ND,1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1498.00,0.00,-676.00,-109.00,-657.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,6.00,0.00,0.00,-55.00,-7.00,0.00,0.00,0.00,0.00,0.00,602.00,0.00,0.00,0.00
1959:Q1,1088.00,0.00,1089.00,ND,ND,-1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-372.00,0.00,-1213.00,-31.00,833.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,7.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,0.00,1460.00,0.00,0.00,0.00
1959:Q2,255.00,0.00,255.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-275.00,0.00,-204.00,0.00,-81.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,530.00,0.00,0.00,0.00
1959:Q3,-553.00,0.00,-553.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,700.00,0.00,998.00,0.00,-343.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,9.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,-1253.00,0.00,0.00,0.00
1959:Q4,-689.00,0.00,-689.00,ND,ND,0.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-925.00,0.00,-422.00,3.00,-479.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,8.00,0.00,0.00,-35.00,0.00,0.00,0.00,0.00,0.00,0.00,236.00,0.00,0.00,0.00
1960:Q1,1732.00,0.00,1734.00,ND,ND,-2.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,649.00,0.00,-422.00,52.00,981.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,10.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,1083.00,0.00,0.00,0.00
1960:Q2,-431.00,0.00,-429.00,ND,ND,-2.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.00,0.00,-154.00,100.00,-12.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,10.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,-384.00,0.00,0.00,0.00
1960:Q3,-335.00,0.00,-334.00,ND,ND,-1.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,155.00,100.00,-209.00,ND,ND,1.00,ND,ND,0.00,ND,ND,0.00,0.00,11.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,-413.00,0.00,0.00,0.00
1960:Q4,-991.00,0.00,-989.00,ND,ND,-2.00,ND,ND,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-884.00,0.00,-331.00,95.00,-628.00,ND,ND,0.00,ND,ND,0.00,ND,ND,0.00,0.00,9.00,0.00,0.00,-32.00,3.00,0.00,0.00,0.00,0.00,0.00,-107.00,0.00,0.00,0.00
