1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,1203501.00,396573.00,250119.00,110508.00,380822.00,263576.00,306990.00,119116.00,85809.00,44212.00
1968:Q2,1223709.00,403692.00,253803.00,112911.00,390904.00,270242.00,308055.00,121058.00,91596.00,44607.00
1968:Q3,1249700.00,412000.00,258280.00,115599.00,401071.00,277802.00,313637.00,122992.00,94393.00,45308.00
1968:Q4,1279692.00,426692.00,262934.00,119324.00,412656.00,286074.00,314219.00,126125.00,99722.00,46034.00
1969:Q1,1297091.00,427990.00,265603.00,122479.00,423624.00,294256.00,315342.00,130135.00,98004.00,46841.00
1969:Q2,1312111.00,433499.00,269871.00,125419.00,437807.00,303762.00,307375.00,133430.00,107424.00,47924.00
1969:Q3,1336314.00,439972.00,274629.00,127326.00,450239.00,312057.00,309983.00,136120.00,111123.00,48491.00
1969:Q4,1364896.00,453272.00,278689.00,129231.00,460784.00,318879.00,312583.00,138257.00,124190.00,49216.00
1970:Q1,1383353.00,454743.00,277740.00,130530.00,473750.00,338845.00,314500.00,140360.00,128581.00,49888.00
1970:Q2,1404252.00,454821.00,278865.00,131338.00,488703.00,349441.00,317154.00,143574.00,133925.00,50327.00
1970:Q3,1432775.00,462108.00,281771.00,132924.00,501097.00,357036.00,323589.00,145981.00,134200.00,50881.00
1970:Q4,1456448.00,467163.00,286015.00,133660.00,511941.00,363384.00,327027.00,150317.00,141493.00,52024.00
1971:Q1,1485826.00,479214.00,291470.00,138226.00,522999.00,370451.00,328923.00,154690.00,139567.00,52988.00
1971:Q2,1522201.00,486221.00,295430.00,141017.00,537847.00,378233.00,339263.00,158870.00,139600.00,53984.00
1971:Q3,1560722.00,498739.00,302126.00,144770.00,551889.00,386805.00,347468.00,162626.00,142548.00,55452.00
1971:Q4,1596200.00,511310.00,309454.00,149243.00,563398.00,392236.00,354745.00,166747.00,153065.00,56551.00
1972:Q1,1634462.00,527747.00,317906.00,153380.00,579276.00,403333.00,356270.00,171169.00,154498.00,58034.00
1972:Q2,1670156.00,540898.00,324324.00,158564.00,596705.00,411260.00,358194.00,174359.00,160530.00,58034.00
1972:Q3,1710318.00,555453.00,333264.00,162799.00,613216.00,420541.00,364207.00,177442.00,164566.00,59203.00
