1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q3,137339.00,54843.00,67557.00,26755.00,21672.00,5083.00,40802.00,-12713.00,-12218.00,-495.00,82496.00,64045.00,52169.00,38113.00,11481.00,2575.00,11876.00,18451.00,12000.00,6451.00,150056.00,152902.00,123091.00,90591.00,64308.00,20981.00,5302.00,32501.00,29811.00,14087.00,15724.00,21.00,1035.00,-419.00,-419.00,0.00,0.00,1454.00,-1014.00,2021.00,-3035.00,-2868.00,20192.00,1469.00,8612.00,-9499.00,2357.00,18723.00,-23059.00,-16326.00,-6733.00,13812.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1978:Q4,140736.00,55571.00,69978.00,27956.00,22307.00,5650.00,42022.00,-14407.00,-22009.00,7602.00,85165.00,66355.00,54001.00,39440.00,11877.00,2685.00,12354.00,18810.00,12203.00,6607.00,157324.00,157640.00,128940.00,96041.00,69710.00,20674.00,5658.00,32898.00,28700.00,14608.00,14092.00,24.00,1439.00,-29.00,-29.00,0.00,0.00,1468.00,-1415.00,1754.00,-3169.00,-340.00,22543.00,2533.00,8654.00,-8797.00,2677.00,20010.00,-22882.00,-26168.00,3285.00,12545.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q1,147300.00,59252.00,73487.00,26039.00,22299.00,3740.00,47448.00,-14235.00,-15491.00,1256.00,88049.00,68805.00,55961.00,40855.00,12302.00,2804.00,12844.00,19244.00,12449.00,6795.00,155132.00,155585.00,131453.00,99097.00,70085.00,23034.00,5978.00,32356.00,24132.00,14505.00,9627.00,24.00,1967.00,474.00,474.00,0.00,0.00,1493.00,-1943.00,1485.00,-3427.00,-477.00,16704.00,-9739.00,427.00,-10732.00,567.00,26442.00,-17180.00,-19032.00,1852.00,1263.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1979:Q2,166484.00,75365.00,70153.00,26067.00,21785.00,4282.00,44087.00,5212.00,3745.00,1466.00,91120.00,71336.00,57997.00,42324.00,12738.00,2936.00,13339.00,19784.00,12755.00,7029.00,163373.00,164048.00,134824.00,102356.00,72375.00,23759.00,6223.00,32467.00,29225.00,15041.00,14184.00,27.00,1342.00,-109.00,-109.00,0.00,0.00,1450.00,-1315.00,1947.00,-3262.00,-702.00,2213.00,-21295.00,-11269.00,-11021.00,995.00,23508.00,-2915.00,-488.00,-2427.00,7997.00,425.00,425.00,322.00,103.00,0.00,0.00,0.00
1979:Q3,148529.00,54194.00,67383.00,25362.00,20303.00,5060.00,42021.00,-13188.00,-11056.00,-2133.00,94334.00,73948.00,60109.00,43845.00,13186.00,3079.00,13839.00,20386.00,13106.00,7280.00,171143.00,170535.00,136406.00,103426.00,71625.00,25083.00,6717.00,32981.00,34129.00,16252.00,17877.00,27.00,1977.00,498.00,498.00,0.00,0.00,1479.00,-1950.00,1635.00,-3584.00,581.00,25563.00,4163.00,14639.00,-11898.00,1421.00,21401.00,-24982.00,-15836.00,-9145.00,22445.00,677.00,677.00,494.00,183.00,0.00,0.00,0.00
1979:Q4,151488.00,53859.00,67967.00,23976.00,19178.00,4799.00,43990.00,-14107.00,-21717.00,7610.00,97629.00,76642.00,62297.00,45420.00,13645.00,3232.00,14345.00,20987.00,13445.00,7542.00,168937.00,169584.00,136970.00,104418.00,73779.00,23542.00,7097.00,32552.00,32614.00,15946.00,16668.00,30.00,2865.00,1278.00,1278.00,0.00,0.00,1587.00,-2835.00,1114.00,-3948.00,-677.00,22223.00,-1974.00,6989.00,-9897.00,933.00,24197.00,-22900.00,-25332.00,2432.00,13080.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q1,149768.00,48715.00,68702.00,19668.00,15035.00,4632.00,49035.00,-19987.00,-22736.00,2749.00,101053.00,79418.00,64561.00,47048.00,14117.00,3396.00,14857.00,21636.00,13815.00,7821.00,165570.00,168236.00,138641.00,107307.00,76980.00,22688.00,7638.00,31334.00,29596.00,16993.00,12603.00,30.00,2097.00,465.00,465.00,0.00,0.00,1632.00,-2067.00,2002.00,-4069.00,-2697.00,23183.00,-7742.00,439.00,-8572.00,391.00,30926.00,-25880.00,-27916.00,2036.00,9855.00,249.00,249.00,186.00,63.00,0.00,0.00,0.00
1980:Q2,164009.00,59391.00,68407.00,16386.00,15043.00,1343.00,52022.00,-9016.00,-9024.00,9.00,104617.00,82258.00,66920.00,48766.00,14592.00,3562.00,15338.00,22359.00,14242.00,8117.00,166132.00,163670.00,129823.00,103113.00,75780.00,19669.00,7664.00,26710.00,33848.00,17259.00,16589.00,32.00,1379.00,-381.00,-381.00,0.00,0.00,1760.00,-1347.00,2804.00,-4151.00,2430.00,21587.00,-17303.00,-9467.00,-5077.00,-2759.00,38890.00,-19158.00,-14845.00,-4313.00,12103.00,298.00,298.00,260.00,38.00,0.00,0.00,0.00
1980:Q3,151475.00,43179.00,70107.00,16698.00,14525.00,2173.00,53409.00,-26928.00,-22394.00,-4534.00,108296.00,85164.00,69375.00,50574.00,15071.00,3730.00,15789.00,23132.00,14687.00,8445.00,167740.00,160700.00,123768.00,95777.00,69785.00,17982.00,8010.00,27992.00,36932.00,17675.00,19257.00,33.00,2197.00,299.00,299.00,0.00,0.00,1898.00,-2164.00,1848.00,-4011.00,7007.00,45571.00,6262.00,11280.00,-2911.00,-2107.00,39309.00,-38564.00,-27230.00,-11335.00,17305.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1980:Q4,165379.00,53338.00,78280.00,19549.00,16168.00,3381.00,58731.00,-24942.00,-32097.00,7155.00,112041.00,88135.00,71926.00,52472.00,15554.00,3900.00,16210.00,23906.00,15148.00,8758.00,175121.00,173444.00,137869.00,107029.00,76894.00,21739.00,8395.00,30840.00,35576.00,18326.00,17250.00,33.00,4719.00,2917.00,2917.00,0.00,0.00,1803.00,-4686.00,-496.00,-4190.00,1644.00,33570.00,-8729.00,-1429.00,-6186.00,-1114.00,42298.00,-31926.00,-34779.00,2853.00,4668.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
