1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,2.00,4.00,8062.00,12.00,180.00,0.00,40.00,1328.00,0.00,-328.00,308.00,1348.00,296.00,3768.00,0.00,2438.00,0.00,8.00,2106.00,324.00,8064.00,5270.00,2792.00
1960:Q2,2.00,4.00,7470.00,-8.00,192.00,0.00,40.00,1116.00,0.00,-320.00,144.00,1292.00,328.00,3988.00,0.00,1814.00,0.00,92.00,1434.00,288.00,7472.00,4578.00,2892.00
1960:Q3,2.00,4.00,6942.00,0.00,196.00,0.00,44.00,1412.00,0.00,-196.00,-8.00,1616.00,328.00,3812.00,0.00,1150.00,0.00,4.00,778.00,368.00,6944.00,4022.00,2920.00
1960:Q4,2.00,4.00,6842.00,40.00,200.00,0.00,36.00,2084.00,0.00,-16.00,-100.00,2200.00,296.00,4324.00,0.00,-138.00,0.00,160.00,-478.00,180.00,6844.00,3574.00,3268.00
1961:Q1,2.00,4.00,6466.00,88.00,212.00,0.00,36.00,520.00,0.00,12.00,-32.00,540.00,272.00,4792.00,0.00,546.00,0.00,176.00,250.00,120.00,6468.00,3138.00,3328.00
1961:Q2,2.00,4.00,6482.00,132.00,220.00,0.00,28.00,1592.00,0.00,88.00,-80.00,1584.00,244.00,4888.00,0.00,-622.00,0.00,68.00,-878.00,188.00,6484.00,2810.00,3672.00
1961:Q3,2.00,4.00,6098.00,136.00,228.00,0.00,28.00,1088.00,0.00,8.00,44.00,1036.00,244.00,5132.00,0.00,-758.00,0.00,92.00,-1018.00,168.00,6100.00,2370.00,3728.00
1961:Q4,2.00,4.00,6002.00,100.00,236.00,0.00,36.00,1660.00,0.00,-24.00,112.00,1572.00,276.00,5564.00,0.00,-1870.00,0.00,172.00,-2182.00,140.00,6004.00,1822.00,4180.00
1962:Q1,2.00,4.00,5562.00,68.00,248.00,0.00,56.00,1096.00,0.00,-16.00,176.00,936.00,296.00,5144.00,128.00,-1474.00,0.00,36.00,-1958.00,448.00,5564.00,1294.00,4268.00
1962:Q2,2.00,4.00,4846.00,40.00,252.00,0.00,68.00,1808.00,0.00,152.00,84.00,1572.00,316.00,5128.00,312.00,-3078.00,0.00,-252.00,-3690.00,864.00,4848.00,974.00,3872.00
1962:Q3,2.00,4.00,4602.00,32.00,268.00,0.00,68.00,800.00,0.00,260.00,-12.00,552.00,324.00,4564.00,204.00,-1658.00,0.00,120.00,-2286.00,508.00,4604.00,926.00,3676.00
1962:Q4,2.00,4.00,5378.00,48.00,272.00,0.00,56.00,2012.00,0.00,304.00,-108.00,1816.00,328.00,5292.00,72.00,-2702.00,0.00,208.00,-3210.00,300.00,5380.00,1154.00,4224.00
1963:Q1,1.00,5.00,5860.00,56.00,288.00,0.00,44.00,1520.00,0.00,112.00,36.00,1372.00,324.00,4856.00,16.00,-1244.00,0.00,140.00,-1604.00,220.00,5864.00,1520.00,4340.00
1963:Q2,1.00,5.00,6528.00,56.00,296.00,0.00,20.00,1728.00,0.00,108.00,8.00,1612.00,312.00,6000.00,-60.00,-1824.00,0.00,124.00,-2028.00,80.00,6532.00,2000.00,4528.00
1963:Q3,1.00,5.00,7244.00,68.00,308.00,0.00,32.00,1788.00,0.00,-60.00,168.00,1680.00,336.00,5948.00,-44.00,-1192.00,0.00,120.00,-1460.00,148.00,7248.00,2448.00,4796.00
1963:Q4,1.00,5.00,7920.00,84.00,320.00,0.00,64.00,1300.00,0.00,156.00,-28.00,1172.00,404.00,6524.00,28.00,-804.00,0.00,124.00,-1388.00,460.00,7924.00,2796.00,5124.00
1964:Q1,2.00,5.00,8825.00,116.00,332.00,0.00,104.00,1788.00,0.00,772.00,64.00,952.00,548.00,6552.00,56.00,-671.00,0.00,180.00,-1595.00,744.00,8828.00,3069.00,5756.00
1964:Q2,2.00,5.00,9449.00,192.00,344.00,0.00,144.00,1484.00,0.00,-828.00,-52.00,2364.00,596.00,6796.00,148.00,-255.00,0.00,152.00,-1535.00,1128.00,9452.00,3381.00,6068.00
1964:Q3,2.00,5.00,10113.00,28.00,356.00,0.00,144.00,1164.00,0.00,-16.00,-44.00,1224.00,536.00,6912.00,132.00,841.00,0.00,144.00,-483.00,1180.00,10116.00,3785.00,6328.00
1964:Q4,2.00,5.00,10941.00,140.00,372.00,0.00,120.00,2720.00,0.00,216.00,460.00,2044.00,552.00,7172.00,152.00,-287.00,0.00,140.00,-1347.00,920.00,10944.00,4253.00,6688.00
1965:Q1,1.00,7.00,11358.00,-560.00,388.00,0.00,92.00,2160.00,0.00,776.00,-296.00,1680.00,564.00,8032.00,48.00,634.00,0.00,128.00,-186.00,692.00,11364.00,4710.00,6648.00
1965:Q2,1.00,7.00,11698.00,-96.00,400.00,0.00,68.00,1036.00,0.00,-800.00,4.00,1832.00,1024.00,7940.00,76.00,1250.00,0.00,24.00,634.00,592.00,11704.00,5450.00,6248.00
1965:Q3,1.00,7.00,12974.00,128.00,416.00,0.00,68.00,548.00,0.00,-1008.00,108.00,1448.00,492.00,8804.00,-48.00,2566.00,0.00,280.00,1962.00,324.00,12980.00,6346.00,6628.00
1965:Q4,1.00,7.00,14698.00,724.00,432.00,0.00,88.00,1448.00,0.00,328.00,92.00,1028.00,348.00,9040.00,-4.00,2622.00,0.00,184.00,1830.00,608.00,14704.00,7298.00,7400.00
1966:Q1,2.00,9.00,16073.00,64.00,452.00,0.00,104.00,3952.00,0.00,-240.00,44.00,4148.00,492.00,8740.00,68.00,2201.00,0.00,92.00,1265.00,844.00,16080.00,8053.00,8020.00
1966:Q2,2.00,9.00,16445.00,-664.00,468.00,0.00,116.00,1320.00,0.00,-408.00,40.00,1688.00,332.00,9528.00,108.00,5237.00,0.00,-12.00,4181.00,1068.00,16452.00,8965.00,7480.00
1966:Q3,2.00,9.00,16861.00,-288.00,480.00,0.00,124.00,1588.00,0.00,-104.00,-132.00,1824.00,476.00,8608.00,228.00,5645.00,0.00,-136.00,4533.00,1248.00,16868.00,9701.00,7160.00
1966:Q4,2.00,9.00,17677.00,156.00,588.00,0.00,128.00,2280.00,0.00,-188.00,16.00,2452.00,804.00,9348.00,0.00,4373.00,0.00,240.00,3245.00,888.00,17684.00,10109.00,7568.00
1967:Q1,3.00,10.00,18245.00,264.00,484.00,0.00,132.00,984.00,0.00,-624.00,-56.00,1664.00,320.00,10728.00,-80.00,5413.00,0.00,416.00,4225.00,772.00,18252.00,10109.00,8136.00
1967:Q2,3.00,10.00,18725.00,60.00,572.00,0.00,144.00,-128.00,0.00,-596.00,-168.00,636.00,-60.00,11500.00,56.00,6581.00,0.00,108.00,5305.00,1168.00,18732.00,10317.00,8408.00
1967:Q3,3.00,10.00,19697.00,172.00,588.00,0.00,140.00,1432.00,0.00,-128.00,-112.00,1672.00,332.00,11580.00,0.00,5453.00,0.00,284.00,4181.00,988.00,19704.00,10469.00,9228.00
1967:Q4,3.00,10.00,19833.00,48.00,740.00,0.00,128.00,504.00,0.00,80.00,-100.00,524.00,96.00,11824.00,100.00,6393.00,0.00,76.00,5237.00,1080.00,19840.00,10557.00,9276.00
1968:Q1,3.00,13.00,19962.00,-92.00,488.00,0.00,120.00,2496.00,0.00,880.00,84.00,1532.00,32.00,10904.00,312.00,5702.00,0.00,-108.00,4630.00,1180.00,19972.00,10758.00,9204.00
1968:Q2,3.00,13.00,21058.00,316.00,668.00,0.00,112.00,56.00,0.00,-104.00,84.00,76.00,-164.00,12628.00,-132.00,7574.00,0.00,492.00,6582.00,500.00,21068.00,11486.00,9572.00
1968:Q3,3.00,13.00,23278.00,132.00,728.00,0.00,104.00,752.00,0.00,-244.00,88.00,908.00,84.00,13448.00,32.00,7998.00,0.00,220.00,7046.00,732.00,23288.00,12930.00,10348.00
1968:Q4,3.00,13.00,25602.00,128.00,780.00,0.00,104.00,1004.00,0.00,956.00,-16.00,64.00,-16.00,14380.00,120.00,9102.00,0.00,200.00,8162.00,740.00,25612.00,14710.00,10892.00
1969:Q1,3.00,15.00,26676.00,-40.00,476.00,0.00,104.00,-108.00,0.00,404.00,144.00,-656.00,48.00,14408.00,268.00,11520.00,0.00,-16.00,10616.00,920.00,26688.00,16168.00,10508.00
1969:Q2,3.00,16.00,28287.00,16.00,964.00,0.00,96.00,-632.00,0.00,-1076.00,140.00,304.00,-40.00,13564.00,276.00,14043.00,0.00,28.00,13187.00,828.00,28300.00,17767.00,10520.00
