1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,3756.00,2904.00,-9880.00,12784.00,0.00,852.00,496.00,0.00,0.00,356.00,0.00,3756.00,5344.00,496.00,4848.00,-12052.00,0.00,256.00,0.00,256.00,696.00,3816.00,-3120.00,8484.00,68.00,20.00,8.00,28.00,0.00,28.00,-1284.00,0.00,-1284.00,-32.00,-24.00,-8.00,356.00,356.00,0.00,764.00,0.00,0.00,0.00,-44.00,0.00,-44.00,12.00,0.00,-116.00,0.00,1704.00,0.00,-456.00,0.00,-456.00
1954:Q3,4176.00,3124.00,-904.00,4028.00,0.00,1052.00,632.00,0.00,0.00,420.00,0.00,4176.00,-11596.00,632.00,-12228.00,5968.00,0.00,688.00,0.00,688.00,-2996.00,-3068.00,72.00,11364.00,36.00,20.00,8.00,256.00,0.00,256.00,-1044.00,0.00,-1044.00,12.00,8.00,4.00,420.00,420.00,0.00,304.00,0.00,0.00,0.00,24.00,0.00,24.00,16.00,0.00,96.00,0.00,-780.00,0.00,1380.00,0.00,1380.00
1954:Q4,5388.00,3836.00,41080.00,-37244.00,0.00,1552.00,1052.00,0.00,0.00,500.00,0.00,5388.00,-2564.00,1052.00,-3616.00,4628.00,0.00,604.00,0.00,604.00,264.00,31600.00,-31336.00,1768.00,164.00,8.00,8.00,320.00,0.00,320.00,-272.00,0.00,-272.00,112.00,84.00,28.00,500.00,500.00,0.00,292.00,0.00,0.00,0.00,44.00,0.00,44.00,16.00,0.00,-188.00,0.00,-32.00,0.00,-284.00,0.00,-284.00
1955:Q1,-3108.00,-4156.00,-42948.00,38792.00,0.00,1048.00,796.00,0.00,0.00,252.00,0.00,-3108.00,6120.00,796.00,5324.00,80.00,0.00,756.00,0.00,756.00,-736.00,-20824.00,20088.00,-8904.00,-136.00,-8.00,12.00,-460.00,0.00,-460.00,264.00,0.00,264.00,240.00,180.00,60.00,252.00,252.00,0.00,220.00,0.00,0.00,0.00,-8.00,0.00,-8.00,20.00,0.00,532.00,0.00,-1376.00,0.00,24.00,0.00,24.00
1955:Q2,1688.00,1132.00,-15508.00,16640.00,0.00,556.00,76.00,0.00,0.00,480.00,0.00,1688.00,11360.00,76.00,11284.00,-3020.00,0.00,1080.00,0.00,1080.00,-1628.00,-6948.00,5320.00,-6440.00,76.00,-24.00,16.00,-232.00,0.00,-232.00,-200.00,0.00,-200.00,416.00,312.00,104.00,480.00,480.00,0.00,160.00,0.00,0.00,0.00,108.00,0.00,108.00,20.00,0.00,-452.00,0.00,-376.00,0.00,344.00,0.00,344.00
1955:Q3,1368.00,-164.00,-13972.00,13808.00,0.00,1532.00,-24.00,0.00,0.00,1556.00,0.00,1368.00,-2764.00,-24.00,-2740.00,7324.00,0.00,1208.00,0.00,1208.00,176.00,-22316.00,22492.00,-7464.00,-56.00,-24.00,16.00,324.00,0.00,324.00,312.00,0.00,312.00,388.00,292.00,96.00,1556.00,1556.00,0.00,352.00,0.00,0.00,0.00,216.00,0.00,216.00,20.00,0.00,-928.00,0.00,-40.00,0.00,752.00,0.00,752.00
1955:Q4,2488.00,1816.00,32788.00,-30972.00,0.00,672.00,204.00,0.00,0.00,468.00,0.00,2488.00,-3692.00,204.00,-3896.00,10648.00,0.00,1544.00,0.00,1544.00,200.00,15588.00,-15388.00,-6424.00,16.00,-16.00,16.00,-180.00,0.00,-180.00,-2352.00,0.00,-2352.00,144.00,108.00,36.00,468.00,468.00,0.00,400.00,0.00,0.00,0.00,88.00,0.00,88.00,20.00,0.00,1196.00,0.00,184.00,0.00,228.00,0.00,228.00
1956:Q1,-3984.00,-5000.00,14072.00,-19072.00,0.00,1016.00,672.00,0.00,0.00,344.00,0.00,-3984.00,6040.00,672.00,5368.00,-9612.00,0.00,1048.00,0.00,1048.00,608.00,16832.00,-16224.00,-2648.00,-48.00,4.00,16.00,-664.00,0.00,-664.00,-1996.00,0.00,-1996.00,-92.00,-68.00,-24.00,344.00,344.00,0.00,852.00,0.00,0.00,0.00,-68.00,0.00,-68.00,20.00,0.00,1280.00,0.00,-612.00,0.00,1544.00,0.00,1544.00
1956:Q2,-15108.00,-15060.00,-17844.00,2784.00,0.00,-48.00,-308.00,0.00,0.00,260.00,0.00,-15108.00,8716.00,-308.00,9024.00,-12844.00,0.00,1332.00,0.00,1332.00,-588.00,500.00,-1088.00,-11176.00,112.00,20.00,16.00,-604.00,0.00,-604.00,-492.00,0.00,-492.00,-216.00,-164.00,-52.00,260.00,260.00,0.00,96.00,0.00,0.00,0.00,-68.00,0.00,-68.00,20.00,0.00,44.00,0.00,44.00,0.00,220.00,0.00,220.00
1956:Q3,-2308.00,-4648.00,12876.00,-17524.00,0.00,2340.00,-328.00,0.00,0.00,2668.00,0.00,-2308.00,-5108.00,-328.00,-4780.00,-368.00,0.00,992.00,0.00,992.00,-724.00,-492.00,-232.00,-260.00,108.00,20.00,16.00,-112.00,0.00,-112.00,-480.00,0.00,-480.00,-312.00,-232.00,-80.00,2668.00,2668.00,0.00,104.00,0.00,0.00,0.00,176.00,0.00,176.00,20.00,0.00,-40.00,0.00,-32.00,0.00,1024.00,0.00,1024.00
