1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,548523.00,21891.00,0.00,4803.00,0.00,22260.00,4517.00,821.00,0.00,477.00,207907.00,832.00,133646.00,3315.00,19825.00,50289.00,151540.00,34386.00,10740.00,81800.00,24614.00,17283.00,0.00,1030.00,0.00,550.00,115444.00,513867.00,21937.00,135866.00,100284.00,0.00,29.00,7508.00,2355.00,2029.00,3124.00,8474.00,6966.00,1508.00,0.00,4895.00,190.00,58831.00,148566.00,1299.00,1118.00,24870.00,51314.00,0.00
1954:Q3,559905.00,21774.00,0.00,4815.00,0.00,21846.00,4547.00,837.00,0.00,517.00,211256.00,964.00,136287.00,1941.00,20665.00,51399.00,155495.00,34853.00,10929.00,84741.00,24972.00,18618.00,0.00,1045.00,0.00,567.00,118588.00,523950.00,21802.00,137222.00,102332.00,0.00,332.00,7423.00,2331.00,2162.00,2930.00,8667.00,7059.00,1608.00,0.00,5469.00,200.00,59600.00,152538.00,1580.00,1129.00,25656.00,51552.00,0.00
1954:Q4,576465.00,21676.00,0.00,4829.00,0.00,22163.00,4660.00,848.00,0.00,260.00,217220.00,957.00,138992.00,3673.00,21260.00,52338.00,161219.00,35768.00,11824.00,88117.00,25510.00,20208.00,0.00,1064.00,0.00,595.00,121723.00,538676.00,21485.00,143349.00,104819.00,0.00,21.00,7274.00,2373.00,2142.00,2759.00,9362.00,7475.00,1887.00,0.00,6110.00,200.00,60389.00,156605.00,1634.00,1234.00,26194.00,51649.00,0.00
1955:Q1,580703.00,21683.00,0.00,4841.00,0.00,22368.00,4504.00,873.00,0.00,992.00,212639.00,902.00,132852.00,3798.00,22150.00,52937.00,165657.00,36085.00,11801.00,91368.00,26403.00,21065.00,0.00,1084.00,0.00,613.00,124384.00,543108.00,21635.00,138890.00,106910.00,0.00,674.00,7595.00,2612.00,2131.00,2852.00,9092.00,7367.00,1725.00,0.00,6525.00,200.00,61170.00,160719.00,1364.00,1245.00,27089.00,51628.00,0.00
1955:Q2,593447.00,21616.00,0.00,4846.00,0.00,21672.00,4574.00,904.00,0.00,555.00,211709.00,781.00,132049.00,2917.00,22244.00,53718.00,175274.00,38715.00,12418.00,95363.00,28778.00,23700.00,0.00,1106.00,0.00,632.00,126859.00,554708.00,21254.00,140141.00,109566.00,0.00,61.00,7898.00,2667.00,2456.00,2775.00,9898.00,7968.00,1930.00,0.00,7186.00,200.00,61931.00,165063.00,1034.00,1259.00,29217.00,51869.00,0.00
1955:Q3,606278.00,21655.00,0.00,4850.00,0.00,22872.00,4685.00,939.00,0.00,1048.00,211261.00,812.00,131248.00,2382.00,22636.00,54183.00,182820.00,40289.00,12695.00,99339.00,30497.00,25119.00,0.00,1130.00,0.00,652.00,129247.00,566294.00,22755.00,140826.00,110976.00,0.00,478.00,8300.00,2649.00,2707.00,2944.00,10371.00,8095.00,2276.00,0.00,7257.00,200.00,62688.00,169458.00,1220.00,1273.00,30492.00,52052.00,0.00
1955:Q4,621825.00,21629.00,0.00,4852.00,0.00,23379.00,4859.00,979.00,0.00,855.00,213680.00,739.00,131603.00,3131.00,22825.00,55382.00,191207.00,43430.00,13283.00,102788.00,31706.00,26944.00,0.00,1156.00,0.00,675.00,131610.00,581048.00,22832.00,145680.00,113274.00,0.00,44.00,8664.00,2387.00,3121.00,3156.00,11201.00,8819.00,2382.00,0.00,7839.00,210.00,63459.00,173766.00,1260.00,1351.00,31468.00,52012.00,0.00
1956:Q1,627996.00,21686.00,0.00,4859.00,0.00,22971.00,4597.00,1004.00,0.00,1454.00,211097.00,847.00,127443.00,3179.00,23374.00,56254.00,195380.00,44014.00,13474.00,105728.00,32164.00,28817.00,0.00,1185.00,0.00,695.00,134251.00,586657.00,22420.00,142244.00,115386.00,0.00,833.00,9926.00,2964.00,3238.00,3724.00,10432.00,8296.00,2136.00,0.00,8555.00,220.00,64251.00,178087.00,1169.00,1365.00,31769.00,52241.00,0.00
1956:Q2,635941.00,21771.00,0.00,4876.00,0.00,22154.00,4602.00,1030.00,0.00,852.00,209595.00,728.00,125574.00,2655.00,23581.00,57057.00,202723.00,46149.00,13589.00,109296.00,33689.00,28541.00,0.00,1217.00,0.00,718.00,137862.00,594356.00,21416.00,142494.00,118567.00,0.00,98.00,10340.00,2932.00,3454.00,3954.00,10562.00,8460.00,2102.00,0.00,8613.00,230.00,65070.00,182354.00,935.00,1374.00,32303.00,52394.00,0.00
1956:Q3,646890.00,21853.00,0.00,4890.00,0.00,23389.00,4599.00,1056.00,0.00,1334.00,211619.00,850.00,126146.00,2438.00,23936.00,58249.00,207090.00,46631.00,13382.00,112756.00,34321.00,27872.00,0.00,1252.00,0.00,741.00,141195.00,604825.00,23538.00,142444.00,120060.00,0.00,791.00,10894.00,3000.00,3702.00,4192.00,10421.00,8314.00,2107.00,0.00,8506.00,230.00,65875.00,186928.00,1280.00,1383.00,32475.00,52524.00,0.00
