1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,9514.00,8806.00,0.00,336.00,217.00,47.00,100.00,8.00,9614.00,9114.00,500.00,-100.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,16929.00,16061.00,0.00,453.00,162.00,76.00,165.00,12.00,17015.00,16515.00,500.00,-86.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1953:Q2,16363.00,15201.00,0.00,634.00,195.00,125.00,198.00,10.00,7867.00,7363.00,504.00,8496.00
1953:Q3,18802.00,17399.00,0.00,744.00,248.00,160.00,240.00,11.00,7859.00,7363.00,496.00,10943.00
1953:Q4,19889.00,17986.00,0.00,977.00,355.00,231.00,319.00,21.00,7820.00,7363.00,457.00,12069.00
1954:Q1,16006.00,14340.00,0.00,851.00,323.00,185.00,294.00,13.00,4926.00,4482.00,444.00,11080.00
1954:Q2,12623.00,11324.00,0.00,693.00,239.00,140.00,205.00,22.00,4940.00,4482.00,458.00,7683.00
1954:Q3,14743.00,13163.00,0.00,884.00,266.00,168.00,233.00,29.00,4959.00,4482.00,477.00,9784.00
1954:Q4,16401.00,14767.00,0.00,948.00,246.00,183.00,235.00,22.00,4985.00,4482.00,503.00,11416.00
1955:Q1,14300.00,12936.00,0.00,738.00,220.00,189.00,198.00,19.00,6429.00,5911.00,518.00,7871.00
1955:Q2,13060.00,12026.00,0.00,533.00,159.00,156.00,171.00,15.00,6437.00,5911.00,526.00,6623.00
1955:Q3,16468.00,15248.00,0.00,582.00,182.00,198.00,238.00,20.00,6431.00,5911.00,520.00,10037.00
1955:Q4,19690.00,18430.00,0.00,573.00,165.00,222.00,274.00,26.00,6455.00,5911.00,544.00,13235.00
1956:Q1,16302.00,15133.00,0.00,531.00,167.00,204.00,250.00,17.00,5882.00,5388.00,494.00,10420.00
1956:Q2,13110.00,12175.00,0.00,468.00,108.00,154.00,192.00,13.00,5866.00,5388.00,478.00,7244.00
1956:Q3,15539.00,14259.00,0.00,711.00,60.00,244.00,248.00,17.00,5840.00,5388.00,452.00,9699.00
1956:Q4,18206.00,16754.00,0.00,878.00,18.00,262.00,276.00,18.00,5944.00,5388.00,556.00,12262.00
1957:Q1,15570.00,14218.00,0.00,799.00,25.00,261.00,248.00,19.00,5221.00,4667.00,554.00,10349.00
1957:Q2,13118.00,11957.00,0.00,691.00,58.00,185.00,211.00,16.00,5223.00,4667.00,556.00,7895.00
1957:Q3,14921.00,13511.00,0.00,829.00,82.00,224.00,256.00,19.00,5218.00,4667.00,551.00,9703.00
1957:Q4,16256.00,14621.00,0.00,959.00,101.00,264.00,286.00,25.00,5191.00,4667.00,524.00,11065.00
1958:Q1,13257.00,11495.00,0.00,1020.00,15.00,387.00,318.00,22.00,4028.00,3476.00,552.00,9229.00
1958:Q2,10433.00,8991.00,0.00,824.00,73.00,300.00,221.00,24.00,4045.00,3476.00,569.00,6388.00
1958:Q3,11910.00,10322.00,0.00,899.00,105.00,335.00,219.00,30.00,4081.00,3476.00,605.00,7829.00
1958:Q4,13724.00,12026.00,0.00,934.00,166.00,348.00,217.00,33.00,4064.00,3476.00,588.00,9660.00
1959:Q1,13226.00,11682.00,0.00,813.00,104.00,380.00,209.00,38.00,6207.00,5649.00,558.00,7019.00
1959:Q2,13825.00,12591.00,0.00,571.00,98.00,339.00,191.00,35.00,6235.00,5649.00,586.00,7590.00
1959:Q3,14645.00,13275.00,0.00,528.00,127.00,418.00,251.00,46.00,6218.00,5649.00,569.00,8427.00
