1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,925914.00,0.00,63347.00,72177.00,0.00,78323.00,791.00,65426.00,79.00,5740.00,6287.00,19516.00,893.00,18623.00,0.00,184698.00,3482.00,57777.00,108809.00,82023.00,26786.00,328509.00,9276.00,85567.00,0.00,83447.00,51792.00,25350.00,550.00,4186.00,1569.00,1034.00,1086.00
1952:Q1,938428.00,0.00,62451.00,73469.00,0.00,80979.00,978.00,66245.00,123.00,7499.00,6134.00,19400.00,748.00,18652.00,0.00,186383.00,3612.00,58445.00,112851.00,83268.00,29583.00,331382.00,9456.00,86307.00,0.00,84144.00,53149.00,24597.00,550.00,4229.00,1619.00,1058.00,1105.00
1952:Q2,952741.00,0.00,60701.00,75744.00,0.00,82987.00,893.00,65904.00,0.00,9835.00,6355.00,19608.00,695.00,18913.00,0.00,192556.00,3696.00,59153.00,116622.00,85762.00,30860.00,332041.00,9633.00,90493.00,0.00,88286.00,54880.00,26878.00,533.00,4300.00,1695.00,1084.00,1123.00
1952:Q3,964349.00,0.00,63517.00,77273.00,0.00,84828.00,1047.00,67045.00,0.00,10606.00,6130.00,19803.00,677.00,19126.00,0.00,192065.00,3837.00,59892.00,120444.00,88152.00,32292.00,332879.00,9811.00,93522.00,0.00,91270.00,56721.00,27965.00,466.00,4347.00,1771.00,1110.00,1142.00
1952:Q4,961964.00,0.00,65505.00,79651.00,0.00,85382.00,1040.00,67389.00,-1.00,10957.00,5997.00,20003.00,714.00,19289.00,0.00,181107.00,3932.00,60665.00,124409.00,90933.00,33476.00,330662.00,10648.00,97960.00,0.00,95665.00,58486.00,30522.00,417.00,4404.00,1836.00,1133.00,1162.00
1953:Q1,965504.00,0.00,66259.00,81545.00,0.00,85999.00,1270.00,66956.00,52.00,11875.00,5846.00,20356.00,737.00,19619.00,0.00,177857.00,3867.00,61439.00,128324.00,93738.00,34586.00,329029.00,10829.00,100274.00,0.00,97936.00,60073.00,30901.00,431.00,4618.00,1913.00,1154.00,1184.00
1953:Q2,962855.00,0.00,63030.00,84177.00,0.00,89516.00,1213.00,69312.00,135.00,12743.00,6113.00,20525.00,639.00,19886.00,0.00,168582.00,3778.00,62199.00,132392.00,96268.00,36124.00,327660.00,10996.00,104767.00,0.00,102387.00,62293.00,32672.00,571.00,4864.00,1987.00,1173.00,1207.00
1953:Q3,968845.00,0.00,65669.00,85755.00,0.00,90016.00,1389.00,69128.00,209.00,13542.00,5748.00,20683.00,663.00,20020.00,0.00,163848.00,3753.00,62937.00,136525.00,99136.00,37389.00,328513.00,11146.00,107296.00,0.00,104873.00,64272.00,33354.00,347.00,4850.00,2050.00,1192.00,1231.00
1953:Q4,992535.00,0.00,66817.00,87886.00,0.00,89348.00,1296.00,68038.00,154.00,13873.00,5987.00,20993.00,708.00,20285.00,0.00,177572.00,4146.00,63647.00,140617.00,102112.00,38505.00,330216.00,11293.00,110689.00,0.00,108223.00,66003.00,34614.00,478.00,4996.00,2132.00,1212.00,1254.00
1954:Q1,1010201.00,0.00,65248.00,89888.00,0.00,89865.00,1424.00,68196.00,140.00,14386.00,5719.00,21278.00,786.00,20492.00,0.00,188593.00,4512.00,64339.00,144626.00,104862.00,39764.00,330444.00,11408.00,110561.00,0.00,108053.00,67416.00,32744.00,583.00,5086.00,2224.00,1233.00,1275.00
1954:Q2,1032270.00,0.00,64264.00,92829.00,0.00,89295.00,1300.00,67555.00,140.00,14678.00,5622.00,21650.00,833.00,20817.00,0.00,203782.00,4895.00,65018.00,148566.00,107362.00,41204.00,330484.00,11487.00,114932.00,0.00,112383.00,70234.00,34006.00,510.00,5311.00,2322.00,1255.00,1294.00
1954:Q3,1062194.00,0.00,68491.00,94440.00,0.00,88373.00,1301.00,66201.00,152.00,15246.00,5473.00,22026.00,919.00,21107.00,0.00,221823.00,5469.00,65687.00,152538.00,110191.00,42347.00,331774.00,11573.00,117763.00,0.00,115171.00,72336.00,34242.00,581.00,5615.00,2397.00,1277.00,1315.00
1954:Q4,1074095.00,0.00,68895.00,97182.00,0.00,88122.00,1072.00,66087.00,147.00,15964.00,4852.00,22443.00,1020.00,21423.00,0.00,222895.00,6110.00,66349.00,156605.00,112747.00,43858.00,333826.00,11668.00,123092.00,0.00,120453.00,75356.00,35963.00,675.00,6047.00,2412.00,1298.00,1341.00
1955:Q1,1092566.00,0.00,68572.00,99274.00,0.00,90275.00,1362.00,67640.00,39.00,16484.00,4750.00,22819.00,1023.00,21796.00,0.00,229212.00,6525.00,67031.00,160719.00,115377.00,45342.00,336329.00,11810.00,126315.00,0.00,123626.00,78237.00,35702.00,804.00,6442.00,2441.00,1318.00,1371.00
1955:Q2,1121755.00,0.00,66169.00,101868.00,0.00,91875.00,1457.00,68240.00,117.00,17509.00,4552.00,23002.00,913.00,22089.00,0.00,249889.00,7186.00,67740.00,165063.00,117245.00,47818.00,337045.00,11918.00,133426.00,0.00,130685.00,81697.00,38755.00,1386.00,6552.00,2295.00,1336.00,1405.00
1955:Q3,1151398.00,0.00,69654.00,103362.00,0.00,93957.00,1503.00,69181.00,232.00,18360.00,4681.00,23300.00,985.00,22315.00,0.00,263912.00,7257.00,68498.00,169458.00,119272.00,50186.00,339991.00,12009.00,138787.00,0.00,135989.00,85032.00,40543.00,1451.00,6701.00,2262.00,1356.00,1442.00
1955:Q4,1166384.00,0.00,70036.00,105783.00,0.00,94951.00,1354.00,68843.00,605.00,19174.00,4975.00,23624.00,899.00,22725.00,0.00,265154.00,7839.00,69254.00,173766.00,121800.00,51966.00,343804.00,12173.00,144426.00,0.00,141563.00,87936.00,42949.00,1799.00,6713.00,2166.00,1381.00,1482.00
1956:Q1,1199188.00,0.00,69363.00,107946.00,0.00,97763.00,1832.00,70474.00,721.00,19569.00,5167.00,24171.00,972.00,23199.00,0.00,281337.00,8555.00,70104.00,178087.00,124201.00,53886.00,349615.00,12247.00,146185.00,0.00,143247.00,90356.00,42251.00,1432.00,6770.00,2438.00,1413.00,1525.00
1956:Q2,1203207.00,0.00,67940.00,110925.00,0.00,98874.00,1682.00,70183.00,958.00,20436.00,5615.00,24509.00,835.00,23674.00,0.00,272249.00,8613.00,71013.00,182354.00,127259.00,55095.00,354374.00,12356.00,151446.00,0.00,148421.00,93327.00,44281.00,1388.00,6856.00,2569.00,1452.00,1573.00
1956:Q3,1213378.00,0.00,70649.00,112516.00,0.00,100441.00,1601.00,70632.00,1115.00,21308.00,5785.00,24843.00,867.00,23976.00,0.00,267245.00,8506.00,71904.00,186928.00,130248.00,56680.00,357913.00,12433.00,154833.00,0.00,151718.00,96174.00,44978.00,874.00,6905.00,2787.00,1493.00,1622.00
1956:Q4,1247643.00,0.00,71883.00,115230.00,0.00,100615.00,1420.00,70225.00,959.00,21900.00,6111.00,25209.00,882.00,24327.00,0.00,287591.00,9046.00,72724.00,191968.00,133727.00,58241.00,360829.00,12548.00,159600.00,0.00,156401.00,98745.00,46580.00,1181.00,7034.00,2861.00,1530.00,1669.00
1957:Q1,1250832.00,0.00,70827.00,118462.00,0.00,103038.00,1836.00,70878.00,933.00,22537.00,6854.00,25686.00,815.00,24871.00,0.00,274073.00,9106.00,73468.00,199016.00,139416.00,59600.00,364484.00,12672.00,160761.00,0.00,157484.00,100851.00,45242.00,1507.00,7006.00,2878.00,1563.00,1714.00
1957:Q2,1280966.00,0.00,68709.00,121985.00,0.00,103367.00,1617.00,70743.00,1154.00,22812.00,7041.00,26147.00,814.00,25333.00,0.00,290373.00,9687.00,74135.00,206575.00,144309.00,62266.00,367235.00,12753.00,165828.00,0.00,162474.00,103039.00,47223.00,1972.00,7317.00,2923.00,1594.00,1760.00
1957:Q3,1273506.00,0.00,71361.00,123872.00,0.00,105341.00,1713.00,71650.00,1100.00,23526.00,7352.00,26676.00,833.00,25843.00,0.00,264793.00,9001.00,74784.00,214010.00,150604.00,63406.00,370840.00,12828.00,168971.00,0.00,165542.00,105397.00,47971.00,1724.00,7327.00,3123.00,1625.00,1804.00
1957:Q4,1288916.00,0.00,71024.00,127167.00,0.00,105712.00,1715.00,71507.00,1463.00,23851.00,7176.00,27177.00,894.00,26283.00,0.00,266234.00,8714.00,75462.00,221333.00,156743.00,64590.00,373182.00,12911.00,172076.00,0.00,168575.00,107374.00,49217.00,1568.00,7160.00,3256.00,1658.00,1843.00
1958:Q1,1320606.00,0.00,70884.00,130705.00,0.00,106501.00,1979.00,70949.00,1208.00,24382.00,7983.00,27701.00,951.00,26750.00,0.00,280386.00,9463.00,76183.00,226766.00,160068.00,66698.00,378990.00,13027.00,171212.00,0.00,167641.00,108975.00,46775.00,762.00,7550.00,3579.00,1694.00,1877.00
1958:Q2,1345434.00,0.00,67351.00,134835.00,0.00,104662.00,2034.00,71186.00,824.00,23317.00,7301.00,28584.00,1045.00,27539.00,0.00,294788.00,10610.00,76958.00,232144.00,163033.00,69111.00,382457.00,13045.00,174783.00,0.00,171149.00,111142.00,47704.00,333.00,8111.00,3859.00,1731.00,1903.00
1958:Q3,1392498.00,0.00,72831.00,137708.00,0.00,103061.00,2064.00,68645.00,798.00,23794.00,7760.00,29284.00,1116.00,28168.00,0.00,323591.00,11791.00,77752.00,237630.00,165658.00,71972.00,385686.00,13164.00,178359.00,0.00,174659.00,114035.00,47940.00,472.00,8280.00,3932.00,1769.00,1931.00
1958:Q4,1417906.00,0.00,73738.00,141266.00,0.00,103828.00,1817.00,68638.00,833.00,24616.00,7924.00,30043.00,1156.00,28887.00,0.00,333401.00,13242.00,78535.00,243343.00,168396.00,74947.00,387268.00,13242.00,184149.00,0.00,180371.00,117177.00,49490.00,1239.00,8591.00,3874.00,1809.00,1969.00
1959:Q1,1436606.00,0.00,73282.00,143832.00,0.00,106442.00,1866.00,69977.00,917.00,25460.00,8222.00,30602.00,1272.00,29330.00,0.00,339692.00,14132.00,79331.00,247721.00,170714.00,77007.00,388193.00,13379.00,186644.00,0.00,182567.00,119935.00,48991.00,781.00,8742.00,4118.00,2060.00,2017.00
1959:Q2,1458484.00,0.00,72456.00,147681.00,0.00,107046.00,1883.00,69458.00,1523.00,26068.00,8114.00,31057.00,1118.00,29939.00,0.00,351283.00,14973.00,80133.00,252546.00,172464.00,80082.00,387796.00,13513.00,193679.00,0.00,189505.00,123346.00,51878.00,1016.00,8985.00,4280.00,2100.00,2074.00
1959:Q3,1466497.00,0.00,76025.00,149934.00,0.00,109726.00,2064.00,70444.00,2011.00,27058.00,8149.00,31345.00,1031.00,30314.00,0.00,345399.00,14747.00,80994.00,257312.00,175078.00,82234.00,387354.00,13661.00,199894.00,0.00,195611.00,127007.00,53918.00,1320.00,8984.00,4382.00,2150.00,2133.00
1959:Q4,1497387.00,0.00,75571.00,152525.00,0.00,112037.00,1607.00,71584.00,2267.00,28362.00,8217.00,30443.00,-358.00,30801.00,0.00,364442.00,15818.00,81956.00,262175.00,177142.00,85033.00,388619.00,13801.00,206702.00,0.00,202315.00,130099.00,57213.00,1424.00,9206.00,4373.00,2200.00,2187.00
1960:Q1,1492633.00,0.00,73783.00,154522.00,0.00,118347.00,2740.00,75466.00,1630.00,28972.00,9539.00,30621.00,-721.00,31342.00,0.00,344090.00,15312.00,82895.00,267741.00,181482.00,86259.00,391395.00,13927.00,207626.00,0.00,203148.00,132580.00,55757.00,908.00,9090.00,4813.00,2240.00,2238.00
1960:Q2,1509964.00,0.00,72070.00,158156.00,0.00,118953.00,2779.00,74183.00,1909.00,30072.00,10010.00,31213.00,-897.00,32110.00,0.00,350070.00,16097.00,83772.00,273388.00,184092.00,89296.00,392196.00,14049.00,214485.00,0.00,209907.00,135366.00,58622.00,1572.00,9401.00,4946.00,2290.00,2288.00
1960:Q3,1501759.00,0.00,75706.00,161281.00,0.00,118329.00,2843.00,73602.00,1294.00,30503.00,10087.00,32280.00,-540.00,32820.00,0.00,325875.00,15640.00,84539.00,278717.00,188557.00,90160.00,395209.00,14183.00,219067.00,0.00,214461.00,138582.00,59590.00,1526.00,9679.00,5084.00,2270.00,2336.00
1960:Q4,1557260.00,0.00,77582.00,164461.00,0.00,117396.00,2550.00,72194.00,1033.00,31007.00,10612.00,33623.00,48.00,33575.00,0.00,364553.00,17026.00,85184.00,284547.00,190682.00,93865.00,398556.00,14332.00,224550.00,0.00,219861.00,141378.00,61248.00,2122.00,9901.00,5212.00,2310.00,2379.00
1961:Q1,1610393.00,0.00,75534.00,169701.00,0.00,116910.00,3048.00,72095.00,359.00,30769.00,10639.00,33818.00,-607.00,34425.00,0.00,403160.00,19440.00,85872.00,290230.00,192332.00,97898.00,401247.00,14481.00,225311.00,0.00,220584.00,143645.00,59339.00,1795.00,10472.00,5333.00,2310.00,2417.00
1961:Q2,1626180.00,0.00,73877.00,175096.00,0.00,116959.00,2960.00,70684.00,224.00,31610.00,11481.00,35336.00,83.00,35253.00,0.00,403029.00,20003.00,86665.00,295620.00,194812.00,100808.00,404952.00,14643.00,231512.00,0.00,226654.00,146603.00,60597.00,2857.00,11139.00,5458.00,2410.00,2448.00
1961:Q3,1654877.00,0.00,76806.00,177733.00,0.00,117661.00,2911.00,72300.00,244.00,31180.00,11026.00,35408.00,-602.00,36010.00,0.00,412628.00,21007.00,87588.00,301097.00,197674.00,103423.00,410146.00,14803.00,235787.00,0.00,230869.00,150179.00,61082.00,2725.00,11279.00,5604.00,2440.00,2478.00
1961:Q4,1706205.00,0.00,76992.00,182845.00,0.00,118070.00,2188.00,71944.00,592.00,32506.00,10840.00,36094.00,-740.00,36834.00,0.00,443217.00,22875.00,88631.00,306733.00,199518.00,107215.00,415782.00,14966.00,242913.00,0.00,237901.00,154027.00,63435.00,2992.00,11700.00,5747.00,2500.00,2512.00
1962:Q1,1710810.00,0.00,75249.00,189204.00,0.00,119180.00,3090.00,73081.00,567.00,31469.00,10973.00,36277.00,-1100.00,37377.00,0.00,433050.00,22981.00,89663.00,309318.00,200329.00,108989.00,420786.00,15102.00,244240.00,0.00,239141.00,156488.00,62038.00,3202.00,11525.00,5888.00,2550.00,2549.00
1962:Q2,1614595.00,0.00,73123.00,196080.00,0.00,118961.00,3105.00,73108.00,410.00,31384.00,10954.00,37525.00,-450.00,37975.00,0.00,329789.00,18257.00,90651.00,310998.00,204680.00,106318.00,423966.00,15245.00,251339.00,0.00,246172.00,160237.00,65435.00,3084.00,11362.00,6054.00,2580.00,2587.00
1962:Q3,1652403.00,0.00,75484.00,201423.00,0.00,120509.00,3342.00,74836.00,286.00,31852.00,10193.00,38068.00,-338.00,38406.00,0.00,348408.00,18796.00,91563.00,313957.00,204686.00,109271.00,428807.00,15388.00,257554.00,0.00,252328.00,164345.00,66626.00,3259.00,11883.00,6215.00,2600.00,2626.00
1962:Q4,1753724.00,0.00,77233.00,208828.00,0.00,119244.00,2993.00,73718.00,235.00,32087.00,10211.00,38142.00,-864.00,39006.00,0.00,431230.00,20909.00,92398.00,317344.00,203613.00,113731.00,432851.00,15545.00,265049.00,0.00,259752.00,168307.00,69344.00,3450.00,12308.00,6343.00,2630.00,2667.00
1963:Q1,1793525.00,0.00,78438.00,215765.00,0.00,116747.00,3850.00,70567.00,9.00,31665.00,10656.00,37860.00,-1464.00,39324.00,0.00,455641.00,22156.00,93355.00,322748.00,205627.00,117121.00,435115.00,15700.00,267959.00,0.00,262568.00,171352.00,68935.00,3160.00,12575.00,6546.00,2680.00,2711.00
1963:Q2,1831090.00,0.00,77301.00,223030.00,0.00,116957.00,4362.00,70564.00,0.00,31642.00,10389.00,39185.00,-908.00,40093.00,0.00,477302.00,23306.00,94378.00,328362.00,206948.00,121414.00,435407.00,15862.00,277476.00,0.00,271958.00,175801.00,72217.00,3756.00,13531.00,6653.00,2760.00,2758.00
1963:Q3,1867331.00,0.00,80017.00,227746.00,0.00,117735.00,4754.00,71976.00,0.00,31128.00,9877.00,39325.00,-994.00,40319.00,0.00,497411.00,24118.00,95473.00,334218.00,209575.00,124643.00,435270.00,16018.00,284993.00,0.00,279337.00,180662.00,74362.00,3373.00,14161.00,6779.00,2850.00,2806.00
1963:Q4,1861985.00,0.00,82063.00,234936.00,0.00,119325.00,4196.00,72892.00,0.00,32094.00,10143.00,39382.00,-1146.00,40528.00,0.00,469895.00,24819.00,96635.00,340285.00,212321.00,127964.00,438467.00,16178.00,294004.00,0.00,288211.00,185106.00,77870.00,3794.00,14502.00,6939.00,2940.00,2853.00
1964:Q1,1908453.00,0.00,79350.00,240745.00,0.00,121324.00,4649.00,74239.00,0.00,32475.00,9961.00,40727.00,-153.00,40880.00,0.00,499442.00,26433.00,97719.00,346742.00,214218.00,132524.00,439582.00,16389.00,297969.00,0.00,292001.00,188776.00,78041.00,3561.00,14538.00,7085.00,3070.00,2898.00
1964:Q2,1946165.00,0.00,79904.00,247988.00,0.00,122521.00,5403.00,74497.00,0.00,33112.00,9509.00,39781.00,-1377.00,41158.00,0.00,515081.00,27156.00,98806.00,353281.00,215877.00,137404.00,445036.00,16611.00,307566.00,0.00,301505.00,193368.00,81812.00,4366.00,14718.00,7241.00,3120.00,2941.00
1964:Q3,1989637.00,0.00,84711.00,253567.00,0.00,123292.00,5042.00,74484.00,0.00,34138.00,9628.00,41040.00,-573.00,41613.00,0.00,532323.00,28523.00,99913.00,360086.00,218835.00,141251.00,449319.00,16863.00,314378.00,0.00,308222.00,198076.00,84142.00,3863.00,14749.00,7392.00,3170.00,2986.00
1964:Q4,2027309.00,0.00,84854.00,261041.00,0.00,124133.00,5173.00,73571.00,245.00,34854.00,10290.00,41275.00,-823.00,42098.00,0.00,544127.00,28447.00,101051.00,367066.00,222294.00,144772.00,458152.00,17163.00,323369.00,0.00,317130.00,202335.00,87352.00,5134.00,14765.00,7544.00,3200.00,3039.00
1965:Q1,2064419.00,0.00,82506.00,268791.00,0.00,126691.00,6231.00,76555.00,21.00,33771.00,10113.00,41419.00,-756.00,42175.00,0.00,557830.00,29751.00,102149.00,374249.00,225596.00,148653.00,463552.00,17481.00,326864.00,0.00,320497.00,205891.00,87645.00,4309.00,14930.00,7722.00,3270.00,3097.00
1965:Q2,2061665.00,0.00,82788.00,275058.00,0.00,126933.00,6710.00,76144.00,618.00,33792.00,9669.00,41802.00,-678.00,42480.00,0.00,534567.00,29291.00,103382.00,381287.00,229868.00,151419.00,468733.00,17824.00,336469.00,0.00,329929.00,210329.00,92243.00,4292.00,15156.00,7909.00,3380.00,3160.00
1965:Q3,2137380.00,0.00,88801.00,280622.00,0.00,128195.00,6422.00,75984.00,909.00,34915.00,9965.00,41843.00,-548.00,42391.00,0.00,581085.00,32050.00,104656.00,389515.00,231974.00,157541.00,472429.00,18184.00,343385.00,0.00,336667.00,215042.00,94391.00,3929.00,15215.00,8090.00,3490.00,3228.00
1965:Q4,2207695.00,0.00,91581.00,288514.00,0.00,127470.00,6044.00,74762.00,1132.00,36531.00,9001.00,42301.00,-310.00,42611.00,0.00,616096.00,34410.00,105876.00,397864.00,235865.00,161999.00,485043.00,18540.00,352786.00,0.00,345863.00,219449.00,97489.00,4707.00,15956.00,8262.00,3620.00,3303.00
1966:Q1,2213075.00,0.00,90014.00,294109.00,0.00,134926.00,6752.00,78944.00,1843.00,37666.00,9721.00,41956.00,-644.00,42600.00,0.00,596561.00,35326.00,107050.00,406395.00,241201.00,165194.00,487835.00,18903.00,355964.00,0.00,348849.00,223358.00,97096.00,3546.00,16409.00,8440.00,3730.00,3385.00
1966:Q2,2218037.00,0.00,88946.00,299561.00,0.00,136655.00,6728.00,76488.00,4946.00,38778.00,9715.00,43122.00,-305.00,43427.00,0.00,571128.00,34547.00,108192.00,415048.00,247613.00,167435.00,501666.00,19172.00,365660.00,0.00,358365.00,227232.00,100205.00,5292.00,17016.00,8620.00,3820.00,3475.00
1966:Q3,2184361.00,0.00,91892.00,301554.00,0.00,142742.00,7463.00,79238.00,5724.00,39058.00,11259.00,43937.00,-53.00,43990.00,0.00,512747.00,31301.00,109349.00,423648.00,256847.00,166801.00,507680.00,19511.00,369551.00,0.00,362093.00,230272.00,100989.00,4707.00,17321.00,8804.00,3890.00,3568.00
1966:Q4,2255355.00,0.00,93455.00,307135.00,0.00,145474.00,8294.00,79080.00,5850.00,41151.00,11099.00,44552.00,-65.00,44617.00,0.00,548264.00,33850.00,110570.00,433633.00,261146.00,172487.00,518538.00,19884.00,376022.00,0.00,368393.00,232742.00,103422.00,5378.00,17891.00,8960.00,3970.00,3659.00
1967:Q1,2355252.00,0.00,92853.00,317399.00,0.00,145259.00,9855.00,77816.00,5837.00,39687.00,12064.00,45721.00,762.00,44959.00,0.00,617507.00,38226.00,111835.00,443332.00,262251.00,181081.00,522659.00,20461.00,375812.00,0.00,368006.00,234221.00,101348.00,4488.00,18796.00,9153.00,4070.00,3736.00
1967:Q2,2386067.00,0.00,93682.00,328269.00,0.00,140763.00,9807.00,74762.00,5716.00,38330.00,12148.00,46643.00,1299.00,45344.00,0.00,622982.00,39284.00,113072.00,452431.00,266761.00,185670.00,528075.00,20866.00,383147.00,0.00,375100.00,237076.00,104131.00,5045.00,19647.00,9201.00,4240.00,3807.00
1967:Q3,2458850.00,0.00,97490.00,335929.00,0.00,144422.00,9031.00,77240.00,5625.00,39262.00,13264.00,47453.00,1576.00,45877.00,0.00,659985.00,42006.00,114314.00,462338.00,270096.00,192242.00,533661.00,21252.00,389209.00,0.00,380913.00,241547.00,105544.00,3532.00,20891.00,9399.00,4420.00,3876.00
