1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q3,52264.00,20782.00,0.00,5063.00,949.00,337.00,337.00,0.00,210.00,24678.00,18.00,24660.00,22492.00,2168.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,244.00,0.00,244.00,51265.00,18101.00,3140.00,29532.00,1176.00,686.00,490.00,0.00,320.00,0.00,28036.00,0.00,0.00,0.00,492.00,357.00,135.00
1958:Q4,53573.00,20499.00,0.00,5078.00,1296.00,46.00,46.00,0.00,101.00,26295.00,43.00,26252.00,20900.00,5352.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,18.00,0.00,240.00,0.00,240.00,52616.00,18504.00,3249.00,30264.00,1041.00,683.00,358.00,0.00,279.00,0.00,28944.00,0.00,0.00,0.00,599.00,363.00,236.00
1959:Q1,52585.00,20408.00,0.00,5090.00,746.00,572.00,572.00,0.00,70.00,25436.00,12.00,25424.00,20146.00,5278.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,18.00,0.00,245.00,0.00,245.00,51650.00,18194.00,3090.00,29629.00,1231.00,714.00,517.00,0.00,315.00,0.00,28083.00,0.00,0.00,0.00,737.00,374.00,363.00
1959:Q2,52898.00,19671.00,0.00,5123.00,846.00,892.00,892.00,0.00,70.00,26000.00,6.00,25994.00,20674.00,5320.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,17.00,0.00,279.00,0.00,279.00,51848.00,18188.00,3260.00,29889.00,929.00,394.00,535.00,0.00,306.00,0.00,28654.00,0.00,0.00,0.00,511.00,380.00,131.00
1959:Q3,52654.00,19318.00,0.00,5153.00,951.00,329.00,329.00,0.00,70.00,26513.00,0.00,26513.00,13069.00,13444.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,319.00,0.00,319.00,51563.00,17760.00,3240.00,30007.00,1081.00,377.00,704.00,0.00,318.00,0.00,28608.00,0.00,0.00,0.00,556.00,383.00,173.00
1959:Q4,53683.00,19394.00,0.00,5155.00,1590.00,453.00,453.00,0.00,73.00,26650.00,44.00,26606.00,13113.00,13493.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00,0.00,363.00,0.00,363.00,52897.00,18174.00,3012.00,30826.00,895.00,391.00,504.00,0.00,353.00,0.00,29578.00,0.00,0.00,0.00,885.00,387.00,498.00
1960:Q1,51857.00,19352.00,0.00,5184.00,823.00,815.00,815.00,0.00,125.00,25173.00,7.00,25166.00,9770.00,15396.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,20.00,0.00,365.00,0.00,365.00,50976.00,17716.00,3360.00,29378.00,947.00,436.00,511.00,0.00,231.00,0.00,28200.00,0.00,0.00,0.00,522.00,395.00,127.00
1960:Q2,52663.00,19242.00,0.00,5198.00,868.00,267.00,267.00,0.00,225.00,26328.00,5.00,26323.00,10978.00,15345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535.00,0.00,535.00,51787.00,17528.00,3490.00,29743.00,899.00,395.00,504.00,0.00,264.00,0.00,28580.00,0.00,0.00,0.00,1026.00,400.00,626.00
1960:Q3,52594.00,18579.00,0.00,5219.00,987.00,593.00,593.00,0.00,325.00,26488.00,8.00,26480.00,16814.00,9666.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,19.00,0.00,384.00,0.00,384.00,51718.00,18058.00,3540.00,29588.00,958.00,404.00,554.00,0.00,200.00,0.00,28430.00,0.00,0.00,0.00,532.00,403.00,129.00
1960:Q4,52584.00,17666.00,0.00,5242.00,1868.00,25.00,25.00,0.00,420.00,27038.00,54.00,26984.00,11960.00,15024.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,8.00,0.00,317.00,0.00,317.00,51767.00,17081.00,3346.00,30612.00,862.00,377.00,485.00,0.00,226.00,0.00,29524.00,0.00,0.00,0.00,728.00,409.00,319.00
