1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1971:Q1,-260.00,-376.00,1200.00,0.00,0.00,0.00,-1576.00,0.00,0.00,-919.00,0.00,-657.00,0.00,116.00,93.00,23.00,-260.00,-1685.00,565.00,0.00,31.00,453.00,-32.00,0.00,0.00,876.00,0.00,0.00,0.00,-182.00,-41.00,0.00,-140.00,-105.00
1971:Q2,-1317.00,-1793.00,-1477.00,0.00,0.00,0.00,-316.00,0.00,0.00,-357.00,0.00,41.00,0.00,476.00,381.00,95.00,-1317.00,-1119.00,-163.00,0.00,-76.00,-271.00,-20.00,0.00,0.00,661.00,0.00,0.00,0.00,-121.00,-76.00,0.00,-46.00,-86.00
1971:Q3,1288.00,780.00,578.00,0.00,0.00,0.00,202.00,0.00,0.00,-277.00,312.00,167.00,0.00,508.00,406.00,102.00,1288.00,-37.00,719.00,0.00,29.00,113.00,56.00,0.00,0.00,399.00,0.00,0.00,0.00,-70.00,248.00,0.00,-317.00,148.00
1971:Q4,183.00,444.00,-1187.00,0.00,0.00,0.00,1631.00,0.00,0.00,1090.00,468.00,73.00,0.00,-261.00,-209.00,-52.00,183.00,40.00,765.00,0.00,39.00,146.00,67.00,0.00,0.00,-1308.00,0.00,0.00,0.00,275.00,-131.00,0.00,406.00,-116.00
1972:Q1,1586.00,1489.00,1291.00,0.00,0.00,0.00,198.00,0.00,0.00,-543.00,542.00,199.00,0.00,97.00,78.00,19.00,1586.00,-768.00,1113.00,0.00,-61.00,-632.00,70.00,0.00,0.00,1182.00,308.00,0.00,0.00,45.00,-77.00,250.00,121.00,35.00
1972:Q2,-174.00,751.00,588.00,0.00,0.00,0.00,163.00,0.00,0.00,-251.00,615.00,-201.00,0.00,-925.00,-740.00,-185.00,-174.00,-927.00,831.00,0.00,4.00,-175.00,-3.00,0.00,0.00,-388.00,486.00,0.00,0.00,-124.00,18.00,250.00,-142.00,-4.00
1972:Q3,-826.00,-354.00,-365.00,0.00,0.00,0.00,11.00,0.00,0.00,-1049.00,663.00,397.00,0.00,-472.00,-378.00,-94.00,-826.00,-2609.00,294.00,0.00,-13.00,-255.00,115.00,0.00,0.00,1235.00,528.00,0.00,0.00,119.00,490.00,250.00,60.00,-1040.00
1972:Q4,1008.00,709.00,-793.00,0.00,0.00,0.00,1502.00,0.00,0.00,593.00,640.00,269.00,0.00,299.00,240.00,59.00,1008.00,-131.00,722.00,0.00,60.00,967.00,-68.00,0.00,0.00,-1818.00,433.00,0.00,0.00,-169.00,-17.00,250.00,-168.00,947.00
1973:Q1,-708.00,-669.00,-1097.00,0.00,0.00,0.00,428.00,0.00,0.00,-251.00,-140.00,819.00,0.00,-39.00,-32.00,-7.00,-708.00,-2269.00,-977.00,0.00,74.00,-1300.00,207.00,0.00,0.00,2256.00,349.00,0.00,0.00,474.00,-255.00,250.00,473.00,10.00
1973:Q2,2115.00,1734.00,161.00,0.00,0.00,0.00,1573.00,0.00,0.00,725.00,21.00,827.00,0.00,381.00,305.00,76.00,2115.00,1855.00,179.00,0.00,-78.00,-346.00,205.00,0.00,0.00,-758.00,278.00,0.00,0.00,154.00,31.00,250.00,155.00,190.00
1973:Q3,2798.00,1855.00,303.00,0.00,0.00,0.00,1552.00,0.00,0.00,-195.00,799.00,948.00,0.00,943.00,755.00,188.00,2798.00,741.00,196.00,0.00,-9.00,743.00,-278.00,0.00,0.00,-379.00,295.00,0.00,0.00,179.00,-96.00,250.00,178.00,978.00
1973:Q4,4161.00,3432.00,2047.00,0.00,0.00,0.00,1385.00,0.00,0.00,1680.00,55.00,-350.00,0.00,729.00,583.00,146.00,4161.00,4451.00,1243.00,0.00,11.00,163.00,104.00,0.00,0.00,-1096.00,402.00,0.00,0.00,-309.00,127.00,250.00,-308.00,-877.00
1974:Q1,4904.00,3617.00,853.00,15.00,15.00,0.00,2749.00,0.00,0.00,2180.00,-595.00,1164.00,0.00,1287.00,1029.00,258.00,4904.00,557.00,1336.00,0.00,-38.00,157.00,165.00,0.00,0.00,1410.00,475.00,0.00,185.00,86.00,122.00,250.00,86.00,113.00
1974:Q2,3194.00,156.00,732.00,-14.00,-14.00,0.00,-562.00,0.00,0.00,347.00,-1816.00,907.00,0.00,3038.00,2431.00,607.00,3194.00,3017.00,-1081.00,0.00,74.00,302.00,235.00,0.00,0.00,-532.00,515.00,0.00,168.00,114.00,-82.00,250.00,114.00,100.00
1974:Q3,7209.00,4320.00,2602.00,89.00,89.00,0.00,1629.00,0.00,0.00,611.00,-669.00,1687.00,0.00,2889.00,2311.00,578.00,7209.00,4339.00,1802.00,0.00,86.00,139.00,26.00,0.00,0.00,-8.00,601.00,0.00,225.00,-178.00,6.00,250.00,-179.00,100.00
1974:Q4,2452.00,-22.00,-56.00,91.00,91.00,0.00,-57.00,0.00,0.00,435.00,-185.00,-307.00,0.00,2474.00,1979.00,495.00,2452.00,-2011.00,2069.00,0.00,389.00,174.00,227.00,0.00,0.00,196.00,733.00,0.00,67.00,-286.00,830.00,250.00,-286.00,100.00
1975:Q1,1931.00,1683.00,1496.00,74.00,74.00,0.00,113.00,0.00,0.00,-542.00,33.00,622.00,0.00,248.00,199.00,49.00,1931.00,-4081.00,1668.00,0.00,49.00,1388.00,-410.00,0.00,0.00,612.00,926.00,0.00,405.00,136.00,702.00,250.00,136.00,150.00
1975:Q2,-3061.00,-2061.00,-2351.00,133.00,133.00,0.00,157.00,0.00,0.00,223.00,97.00,-163.00,0.00,-1000.00,-800.00,-200.00,-3061.00,-3910.00,430.00,0.00,-346.00,-520.00,359.00,0.00,0.00,86.00,1179.00,0.00,-262.00,-198.00,-82.00,250.00,-197.00,150.00
1975:Q3,-1468.00,-509.00,122.00,19.00,19.00,0.00,-650.00,0.00,0.00,-601.00,-56.00,7.00,0.00,-959.00,-768.00,-191.00,-1468.00,-4522.00,582.00,0.00,192.00,839.00,-36.00,0.00,0.00,1626.00,939.00,0.00,-50.00,-269.00,-850.00,250.00,-269.00,100.00
1975:Q4,1389.00,-567.00,-2164.00,152.00,152.00,0.00,1445.00,0.00,0.00,1544.00,45.00,-144.00,0.00,1956.00,1565.00,391.00,1389.00,-2169.00,1104.00,0.00,267.00,2083.00,77.00,0.00,0.00,-1581.00,619.00,0.00,-210.00,265.00,319.00,250.00,265.00,100.00
1976:Q1,1824.00,1648.00,1310.00,148.00,148.00,0.00,190.00,0.00,0.00,600.00,-183.00,-227.00,0.00,176.00,141.00,35.00,1824.00,895.00,953.00,0.00,-201.00,-697.00,26.00,0.00,0.00,434.00,826.00,0.00,186.00,-618.00,409.00,-1.00,-463.00,75.00
1976:Q2,1600.00,709.00,892.00,213.00,213.00,0.00,-396.00,0.00,0.00,62.00,-39.00,-419.00,0.00,891.00,713.00,178.00,1600.00,609.00,-251.00,0.00,-179.00,235.00,-95.00,0.00,0.00,806.00,548.00,0.00,123.00,19.00,265.00,-507.00,-48.00,75.00
1976:Q3,-381.00,-195.00,-929.00,220.00,220.00,0.00,514.00,0.00,0.00,572.00,56.00,-114.00,0.00,-186.00,-149.00,-37.00,-381.00,-2294.00,413.00,0.00,-273.00,934.00,371.00,0.00,0.00,211.00,316.00,0.00,-65.00,-172.00,-530.00,795.00,-162.00,75.00
1976:Q4,5142.00,2189.00,160.00,142.00,142.00,0.00,1887.00,0.00,0.00,2026.00,-104.00,-35.00,0.00,2953.00,2362.00,591.00,5142.00,-2105.00,1025.00,0.00,108.00,3089.00,156.00,0.00,0.00,-1040.00,196.00,0.00,172.00,253.00,-177.00,2930.00,460.00,75.00
1977:Q1,2803.00,2630.00,1034.00,326.00,326.00,0.00,1270.00,0.00,0.00,1209.00,-45.00,106.00,0.00,173.00,139.00,34.00,2803.00,7171.00,-17.00,0.00,-167.00,-2754.00,178.00,0.00,0.00,1500.00,186.00,0.00,-120.00,-33.00,239.00,-3607.00,127.00,100.00
1977:Q2,5454.00,4701.00,711.00,208.00,208.00,0.00,3782.00,0.00,0.00,3146.00,71.00,565.00,0.00,753.00,602.00,151.00,5454.00,4258.00,-1052.00,0.00,14.00,273.00,-327.00,0.00,0.00,261.00,134.00,0.00,103.00,377.00,941.00,200.00,172.00,100.00
1977:Q3,456.00,580.00,261.00,146.00,146.00,0.00,173.00,0.00,0.00,-150.00,-62.00,385.00,0.00,-124.00,-99.00,-25.00,456.00,276.00,-458.00,0.00,-39.00,55.00,284.00,0.00,0.00,942.00,37.00,0.00,-11.00,193.00,-594.00,-474.00,145.00,100.00
1977:Q4,6287.00,3926.00,-367.00,-115.00,-115.00,0.00,4408.00,0.00,0.00,4193.00,-5.00,220.00,0.00,2361.00,1889.00,472.00,6287.00,2992.00,406.00,0.00,-4.00,2775.00,-58.00,0.00,0.00,-3031.00,5.00,0.00,148.00,-25.00,-353.00,3334.00,-2.00,100.00
1978:Q1,1849.00,3337.00,911.00,87.00,87.00,0.00,2339.00,0.00,0.00,1305.00,23.00,1011.00,0.00,-1488.00,-1191.00,-297.00,1849.00,27.00,942.00,0.00,0.00,-2985.00,284.00,0.00,0.00,2888.00,36.00,0.00,441.00,453.00,-237.00,-589.00,489.00,100.00
1978:Q2,5778.00,5669.00,700.00,254.00,254.00,0.00,4715.00,0.00,0.00,2725.00,109.00,1881.00,0.00,109.00,88.00,21.00,5778.00,6996.00,-1002.00,0.00,0.00,-56.00,384.00,0.00,0.00,-322.00,-15.00,0.00,799.00,27.00,-361.00,-698.00,-74.00,100.00
1978:Q3,-299.00,2061.00,573.00,392.00,392.00,0.00,1096.00,0.00,0.00,102.00,16.00,978.00,0.00,-2360.00,-1888.00,-472.00,-299.00,-295.00,-269.00,0.00,0.00,665.00,180.00,0.00,0.00,1565.00,-162.00,0.00,379.00,-386.00,-552.00,-1217.00,-307.00,100.00
1978:Q4,10339.00,7291.00,507.00,300.00,300.00,0.00,6484.00,0.00,0.00,3694.00,-40.00,2830.00,0.00,3048.00,2552.00,496.00,10339.00,7963.00,451.00,0.00,0.00,612.00,121.00,0.00,0.00,-2678.00,-11.00,0.00,969.00,454.00,-48.00,1638.00,703.00,165.00
1979:Q1,8278.00,7993.00,2166.00,226.00,226.00,0.00,5601.00,0.00,0.00,4969.00,32.00,600.00,0.00,285.00,225.00,60.00,8278.00,4569.00,-616.00,0.00,0.00,-700.00,142.00,0.00,0.00,1731.00,431.00,0.00,3360.00,-41.00,-18.00,-844.00,-271.00,535.00
1979:Q2,12666.00,9972.00,2899.00,135.00,100.00,35.00,6938.00,0.00,0.00,4326.00,91.00,2521.00,0.00,2694.00,2134.00,560.00,12666.00,3101.00,-292.00,0.00,0.00,1019.00,-171.00,0.00,0.00,961.00,905.00,0.00,3672.00,2.00,-123.00,3065.00,27.00,500.00
1979:Q3,9101.00,4734.00,3264.00,735.00,618.00,117.00,735.00,0.00,0.00,-633.00,-91.00,1459.00,0.00,4367.00,3477.00,890.00,9101.00,3445.00,-872.00,0.00,0.00,297.00,375.00,0.00,0.00,1085.00,1396.00,0.00,2787.00,81.00,5.00,-164.00,166.00,500.00
1979:Q4,7484.00,5957.00,690.00,577.00,473.00,104.00,4690.00,0.00,0.00,4620.00,103.00,-33.00,0.00,1527.00,1217.00,310.00,7484.00,-1341.00,1854.00,0.00,0.00,1579.00,277.00,0.00,0.00,-2169.00,1502.00,0.00,5827.00,-117.00,284.00,-692.00,68.00,412.00
1980:Q1,11128.00,7730.00,6994.00,664.00,549.00,115.00,72.00,0.00,0.00,-1935.00,-113.00,2120.00,0.00,3398.00,2698.00,700.00,11128.00,4471.00,590.00,0.00,0.00,-1055.00,-20.00,0.00,0.00,-655.00,1225.00,0.00,6847.00,128.00,152.00,-1025.00,232.00,238.00
1980:Q2,8649.00,5085.00,5282.00,314.00,181.00,133.00,-511.00,0.00,0.00,-1157.00,-76.00,122.00,600.00,3564.00,2911.00,653.00,8649.00,-7782.00,-419.00,0.00,0.00,2725.00,-252.00,0.00,0.00,894.00,1050.00,0.00,10169.00,-226.00,671.00,1769.00,-200.00,250.00
1980:Q3,-2479.00,-3466.00,-4145.00,297.00,213.00,84.00,382.00,0.00,0.00,-719.00,-56.00,438.00,719.00,987.00,196.00,791.00,-2479.00,-2827.00,-493.00,0.00,0.00,584.00,654.00,0.00,0.00,2782.00,979.00,0.00,-4053.00,447.00,-501.00,-1258.00,957.00,250.00
1980:Q4,1997.00,1816.00,-4163.00,1127.00,664.00,463.00,4852.00,0.00,0.00,2849.00,17.00,2881.00,-895.00,181.00,426.00,-245.00,1997.00,2544.00,-132.00,0.00,0.00,-123.00,401.00,0.00,0.00,-836.00,881.00,0.00,-700.00,149.00,-284.00,95.00,-182.00,184.00
1981:Q1,12784.00,8521.00,3811.00,1528.00,739.00,789.00,3182.00,0.00,0.00,1778.00,15.00,-176.00,1565.00,4263.00,3621.00,642.00,12784.00,3008.00,-333.00,0.00,0.00,-277.00,187.00,0.00,0.00,2653.00,755.00,0.00,14683.00,-542.00,-107.00,49.00,-6958.00,-334.00
1981:Q2,17959.00,15876.00,5982.00,1081.00,-117.00,1198.00,8813.00,0.00,0.00,5444.00,0.00,3090.00,279.00,2083.00,1126.00,957.00,17959.00,-8135.00,-636.00,0.00,0.00,1297.00,463.00,0.00,5.00,1293.00,1501.00,0.00,9107.00,267.00,33.00,3931.00,9133.00,-300.00
1981:Q3,18007.00,15723.00,6262.00,524.00,-310.00,834.00,8937.00,0.00,0.00,2281.00,2.00,3752.00,2902.00,2284.00,1899.00,385.00,18007.00,-7028.00,-142.00,0.00,0.00,-920.00,86.00,0.00,20.00,3190.00,1440.00,0.00,15786.00,118.00,102.00,-2699.00,8354.00,-300.00
1981:Q4,2500.00,-603.00,-1359.00,741.00,268.00,473.00,15.00,0.00,0.00,118.00,3.00,350.00,-456.00,3103.00,1871.00,1232.00,2500.00,1888.00,178.00,0.00,0.00,900.00,308.00,0.00,25.00,286.00,1278.00,0.00,-738.00,84.00,284.00,3541.00,-5175.00,-359.00
1982:Q1,7390.00,5413.00,7114.00,552.00,396.00,156.00,-2253.00,0.00,0.00,-5012.00,-31.00,1675.00,1115.00,1977.00,1419.00,558.00,7390.00,4011.00,-291.00,0.00,0.00,3570.00,-523.00,0.00,52.00,1520.00,-2530.00,0.00,2666.00,56.00,-254.00,-2147.00,1701.00,-441.00
1982:Q2,16759.00,13488.00,1905.00,1719.00,311.00,1408.00,9864.00,0.00,0.00,4383.00,-31.00,3382.00,2130.00,3271.00,2338.00,933.00,16759.00,6838.00,328.00,0.00,0.00,-1768.00,-20.00,0.00,144.00,1547.00,-1368.00,0.00,5154.00,257.00,54.00,3584.00,2409.00,-400.00
1982:Q3,-8731.00,-8388.00,-2015.00,-164.00,-506.00,342.00,-6209.00,0.00,0.00,-4144.00,-31.00,-4331.00,2297.00,-343.00,352.00,-695.00,-8731.00,-7238.00,-505.00,0.00,0.00,1581.00,-36.00,0.00,294.00,1728.00,-2807.00,0.00,-3420.00,-421.00,-240.00,1390.00,1343.00,-400.00
1982:Q4,-9751.00,-15905.00,-13129.00,-243.00,-162.00,-81.00,-2533.00,0.00,0.00,-1040.00,-31.00,700.00,-2162.00,6154.00,5400.00,754.00,-9751.00,3107.00,217.00,0.00,0.00,-621.00,-120.00,0.00,1498.00,-624.00,-2597.00,0.00,-5687.00,-51.00,158.00,2048.00,-6608.00,-471.00
1983:Q1,-532.00,5167.00,3573.00,1733.00,-736.00,2469.00,-139.00,0.00,0.00,506.00,-17.00,431.00,-1059.00,-5699.00,-4776.00,-923.00,-532.00,-760.00,123.00,0.00,0.00,433.00,-622.00,0.00,784.00,3002.00,-960.00,164.00,-7280.00,611.00,254.00,-8132.00,10735.00,1116.00
1983:Q2,7347.00,5185.00,-2338.00,1770.00,438.00,1332.00,5753.00,0.00,220.00,4128.00,-17.00,631.00,791.00,2162.00,2222.00,-60.00,7347.00,-5768.00,1272.00,0.00,0.00,-557.00,449.00,0.00,898.00,385.00,1059.00,242.00,4493.00,304.00,-354.00,639.00,4598.00,-313.00
1983:Q3,8725.00,4811.00,1698.00,829.00,394.00,435.00,2284.00,0.00,220.00,877.00,-17.00,1546.00,-342.00,3914.00,1793.00,2121.00,8725.00,-5716.00,600.00,0.00,0.00,189.00,-87.00,0.00,1388.00,1600.00,1695.00,289.00,2465.00,-42.00,216.00,1254.00,5047.00,-173.00
1983:Q4,11395.00,6507.00,-3772.00,2154.00,45.00,2109.00,8125.00,0.00,220.00,3543.00,-17.00,849.00,3530.00,4888.00,3789.00,1099.00,11395.00,7306.00,2245.00,0.00,0.00,-834.00,-106.00,0.00,1751.00,-1560.00,250.00,305.00,-2629.00,-92.00,263.00,1390.00,2949.00,157.00
1984:Q1,14867.00,16867.00,5743.00,2618.00,1003.00,1615.00,8506.00,0.00,220.00,4974.00,55.00,3377.00,-120.00,-2000.00,-2706.00,706.00,14867.00,214.00,444.00,0.00,0.00,-576.00,-949.00,119.00,693.00,3534.00,2334.00,321.00,9146.00,1346.00,-29.00,-957.00,-1941.00,1168.00
1984:Q2,27904.00,20229.00,10945.00,6358.00,68.00,6290.00,2926.00,0.00,220.00,3971.00,56.00,4520.00,-5841.00,7675.00,5523.00,2152.00,27904.00,8367.00,-1386.00,0.00,0.00,-959.00,60.00,62.00,1011.00,1616.00,2532.00,336.00,4537.00,451.00,-135.00,955.00,10197.00,260.00
1984:Q3,4073.00,6106.00,6886.00,-3809.00,127.00,-3936.00,3029.00,0.00,220.00,-1375.00,57.00,-2879.00,7006.00,-2033.00,-5363.00,3330.00,4073.00,3291.00,-57.00,0.00,0.00,387.00,-59.00,-28.00,244.00,1559.00,58.00,383.00,5845.00,1067.00,-167.00,1496.00,-11122.00,1176.00
1984:Q4,5079.00,5024.00,-1859.00,1014.00,-351.00,1365.00,5869.00,0.00,220.00,5073.00,59.00,1115.00,-598.00,55.00,-1026.00,1081.00,5079.00,9988.00,-1447.00,0.00,0.00,-1183.00,57.00,-91.00,150.00,-2565.00,-2562.00,460.00,12212.00,-807.00,231.00,4209.00,-12180.00,-1393.00
1985:Q1,12152.00,15879.00,4482.00,917.00,1325.00,-408.00,10480.00,0.00,220.00,6367.00,35.00,1498.00,2360.00,-3727.00,-3311.00,-416.00,12152.00,-6840.00,460.00,0.00,0.00,-343.00,35.00,91.00,477.00,2669.00,-279.00,539.00,-1449.00,-335.00,-157.00,-6802.00,23650.00,436.00
1985:Q2,9067.00,12059.00,5914.00,1200.00,51.00,1149.00,4945.00,0.00,220.00,5182.00,34.00,-42.00,-449.00,-2992.00,-3646.00,654.00,9067.00,-2694.00,-404.00,0.00,0.00,-775.00,277.00,-27.00,396.00,-415.00,-95.00,617.00,11814.00,353.00,-96.00,2119.00,-895.00,-1108.00
1985:Q3,16547.00,18038.00,150.00,1579.00,-193.00,1772.00,16309.00,0.00,220.00,11547.00,33.00,-39.00,4548.00,-1491.00,-1344.00,-147.00,16547.00,2282.00,-472.00,0.00,0.00,-1374.00,105.00,66.00,773.00,1177.00,608.00,664.00,-7347.00,673.00,-79.00,1310.00,17776.00,385.00
1985:Q4,15059.00,16209.00,4052.00,2506.00,286.00,2220.00,9651.00,0.00,220.00,6466.00,33.00,823.00,2109.00,-1150.00,-2554.00,1404.00,15059.00,-1917.00,1152.00,0.00,0.00,-933.00,-91.00,-16.00,1206.00,-3674.00,2126.00,680.00,-1872.00,-859.00,-253.00,621.00,18763.00,126.00
1986:Q1,1272.00,4976.00,-2693.00,5972.00,2666.00,3306.00,1697.00,0.00,220.00,5931.00,91.00,-8019.00,3474.00,-3704.00,-3597.00,-107.00,1272.00,-10461.00,1168.00,0.00,0.00,1421.00,-358.00,-25.00,27.00,-364.00,512.00,714.00,2835.00,3408.00,-62.00,1576.00,28.00,853.00
1986:Q2,14544.00,15713.00,-860.00,4336.00,377.00,3959.00,12237.00,0.00,220.00,5158.00,-41.00,3354.00,3546.00,-1169.00,-1814.00,645.00,14544.00,350.00,-1378.00,0.00,0.00,-1551.00,209.00,-3.00,-72.00,752.00,629.00,766.00,7508.00,-145.00,4.00,2015.00,4961.00,499.00
1986:Q3,14522.00,12369.00,4125.00,3677.00,-113.00,3790.00,4567.00,0.00,220.00,4969.00,152.00,-2280.00,1506.00,2153.00,-802.00,2955.00,14522.00,12821.00,-890.00,0.00,0.00,-1504.00,66.00,-48.00,-33.00,3977.00,890.00,875.00,8409.00,337.00,42.00,-3031.00,-5922.00,-1467.00
1986:Q4,-3960.00,-823.00,-9914.00,-2501.00,-745.00,-1756.00,11592.00,0.00,220.00,5532.00,126.00,3690.00,2024.00,-3137.00,-2468.00,-669.00,-3960.00,-3049.00,795.00,0.00,0.00,2443.00,-69.00,644.00,141.00,1056.00,1718.00,915.00,-12641.00,1244.00,5.00,-2510.00,5361.00,-13.00
1987:Q1,11318.00,10989.00,728.00,-129.00,690.00,-819.00,10390.00,0.00,377.00,1531.00,214.00,5624.00,2644.00,329.00,351.00,-22.00,11318.00,-4744.00,2211.00,0.00,0.00,-537.00,672.00,-587.00,61.00,684.00,1530.00,941.00,4036.00,3009.00,17.00,-2557.00,7395.00,-813.00
1987:Q2,18379.00,14120.00,4323.00,-1691.00,313.00,-2004.00,11488.00,0.00,419.00,1749.00,-23.00,1543.00,7800.00,4259.00,-1192.00,5451.00,18379.00,-635.00,1431.00,0.00,0.00,-1579.00,-485.00,41.00,59.00,-1953.00,2741.00,959.00,-2735.00,-259.00,-35.00,1312.00,17133.00,2384.00
1987:Q3,6594.00,8920.00,192.00,5023.00,66.00,4957.00,3705.00,0.00,468.00,4277.00,7.00,-902.00,-145.00,-2326.00,-2051.00,-275.00,6594.00,-5643.00,3071.00,86.00,0.00,-1982.00,131.00,6.00,108.00,3296.00,1983.00,759.00,4998.00,2080.00,-35.00,1492.00,-4771.00,1015.00
1987:Q4,-3944.00,-7258.00,-3644.00,635.00,1327.00,-692.00,-4249.00,0.00,520.00,3155.00,157.00,-4789.00,-3292.00,3314.00,1878.00,1436.00,-3944.00,10236.00,-1920.00,133.00,0.00,4517.00,872.00,255.00,210.00,-2472.00,1003.00,343.00,-326.00,-3117.00,6.00,-1724.00,-10357.00,-1603.00
1988:Q1,9581.00,14906.00,-261.00,1299.00,-314.00,1613.00,13868.00,0.00,383.00,-2498.00,25.00,451.00,15507.00,-5325.00,-4239.00,-1086.00,9581.00,-1212.00,-2671.00,148.00,0.00,-2884.00,-600.00,11.00,344.00,2614.00,-2516.00,-25.00,7197.00,5158.00,222.00,414.00,2039.00,1342.00
1988:Q2,27248.00,26633.00,4340.00,1493.00,95.00,1398.00,20800.00,0.00,412.00,6834.00,-8.00,1690.00,11872.00,615.00,90.00,525.00,27248.00,9024.00,3053.00,133.00,0.00,-303.00,-127.00,129.00,510.00,1401.00,-45.00,-347.00,2316.00,-3069.00,-62.00,2817.00,14065.00,-2247.00
1988:Q3,9918.00,10111.00,2456.00,2395.00,-22.00,2417.00,5260.00,0.00,442.00,-1906.00,-26.00,-1954.00,8704.00,-193.00,544.00,-737.00,9918.00,16767.00,-1623.00,109.00,0.00,1250.00,-48.00,125.00,495.00,2910.00,-2596.00,-432.00,-2440.00,3042.00,0.00,-3223.00,-7339.00,2921.00
1988:Q4,28690.00,26526.00,5373.00,3511.00,-344.00,3855.00,17642.00,0.00,476.00,14640.00,-107.00,-385.00,3018.00,2164.00,336.00,1828.00,28690.00,13632.00,-77.00,78.00,0.00,2096.00,308.00,144.00,299.00,-1794.00,-1333.00,-285.00,11304.00,-273.00,195.00,615.00,2980.00,801.00
1989:Q1,29667.00,35021.00,10471.00,4452.00,1583.00,2869.00,20098.00,0.00,1585.00,5104.00,-7.00,3688.00,9728.00,-5354.00,-1494.00,-3860.00,29667.00,6669.00,1038.00,109.00,0.00,-2906.00,63.00,402.00,97.00,3478.00,131.00,137.00,20369.00,-139.00,5.00,563.00,-2226.00,1877.00
1989:Q2,19172.00,17588.00,13912.00,-1662.00,395.00,-2057.00,5338.00,0.00,1953.00,1973.00,-109.00,259.00,1262.00,1584.00,-1003.00,2587.00,19172.00,-11727.00,2840.00,204.00,0.00,75.00,202.00,206.00,-111.00,-2815.00,-535.00,33.00,11522.00,1326.00,400.00,400.00,16463.00,689.00
1989:Q3,7393.00,7510.00,3214.00,4765.00,-1127.00,5892.00,-469.00,0.00,2410.00,-1278.00,-36.00,1183.00,-2748.00,-117.00,-1280.00,1163.00,7393.00,-2504.00,-3175.00,266.00,0.00,-1101.00,325.00,-430.00,-113.00,78.00,74.00,173.00,13515.00,-320.00,597.00,-1534.00,1502.00,40.00
1989:Q4,9631.00,9975.00,-6161.00,5524.00,3481.00,2043.00,10612.00,0.00,2970.00,2854.00,-16.00,-773.00,5577.00,-344.00,-1480.00,1136.00,9631.00,1886.00,-60.00,297.00,0.00,2641.00,-228.00,79.00,90.00,2859.00,-1341.00,-823.00,12874.00,-1260.00,1854.00,3609.00,-11085.00,-1761.00
1990:Q1,15164.00,18876.00,18922.00,-3730.00,-141.00,-3589.00,3684.00,0.00,2969.00,3562.00,-292.00,725.00,-3280.00,-3712.00,-1499.00,-2213.00,15164.00,-14726.00,-2717.00,391.00,0.00,-475.00,47.00,73.00,332.00,-1361.00,40.00,266.00,17400.00,305.00,-224.00,-714.00,17839.00,-1312.00
1990:Q2,-409.00,1811.00,2625.00,5770.00,85.00,5685.00,-6584.00,0.00,3530.00,-1906.00,-51.00,-6274.00,-1883.00,-2220.00,-2002.00,-218.00,-409.00,-3587.00,981.00,546.00,0.00,-326.00,1021.00,228.00,612.00,4791.00,-351.00,1441.00,-14290.00,23.00,-712.00,-2613.00,11304.00,523.00
1990:Q3,18877.00,19230.00,3152.00,6391.00,3593.00,2798.00,9687.00,0.00,4197.00,-1200.00,25.00,-7070.00,13735.00,-353.00,473.00,-826.00,18877.00,7639.00,-539.00,680.00,0.00,-107.00,-134.00,154.00,534.00,2521.00,-357.00,410.00,19910.00,893.00,-69.00,-334.00,-11594.00,-730.00
1990:Q4,-2975.00,-3962.00,-14959.00,3893.00,733.00,3160.00,7104.00,0.00,4989.00,2657.00,116.00,-6054.00,5396.00,987.00,-1385.00,2372.00,-2975.00,16451.00,1820.00,789.00,0.00,1666.00,1088.00,720.00,98.00,-3003.00,-642.00,413.00,-2085.00,-306.00,1519.00,4243.00,-25290.00,-456.00
1991:Q1,-2072.00,6229.00,2999.00,12032.00,5808.00,6224.00,-8802.00,0.00,1689.00,-10447.00,-40.00,-2344.00,2340.00,-8301.00,-1906.00,-6395.00,-2072.00,-17833.00,9.00,930.00,0.00,1600.00,-816.00,198.00,-300.00,5750.00,-379.00,1552.00,8443.00,1011.00,-2451.00,-1071.00,1638.00,-353.00
1991:Q2,-24183.00,-21773.00,-414.00,-13089.00,-1055.00,-12034.00,-8270.00,0.00,1779.00,-171.00,36.00,-1624.00,-8290.00,-2410.00,-2314.00,-96.00,-24183.00,-18368.00,2021.00,1101.00,0.00,-1655.00,-166.00,482.00,-790.00,2036.00,914.00,2730.00,-4881.00,-416.00,-108.00,-2702.00,-4021.00,-360.00
