date,FU893065105.Q,FU153165105.Q,FU103165105.Q,FU113165105.Q,FU893065105.Q,FU153065103.Q,FU103065105.Q,FU113065103.Q,FU313065105.Q,FU213065103.Q,FU763065105.Q,FU753065103.Q,FU743065103.Q,FU473065100.Q,FU543065105.Q,FU573065103.Q,FU223065143.Q,FU403065105.Q,FU413065105.Q,FU673065105.Q,FU613065105.Q,FU643065105.Q,FV893065153.Q,FU893065125.Q,FU763065125.Q,FU753065203.Q,FU473065125.Q,FU673065123.Q,FU613065123.Q
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q1,2788.00,2788.00,0.00,0.00,2788.00,20.00,-14.00,0.00,317.00,57.00,1834.00,0.00,1.00,104.00,233.00,25.00,30.00,83.00,0.00,0.00,98.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q2,3439.00,3439.00,0.00,0.00,3439.00,0.00,-12.00,0.00,333.00,64.00,2736.00,0.00,-2.00,7.00,194.00,28.00,30.00,110.00,0.00,0.00,-49.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q3,3716.00,3716.00,0.00,0.00,3716.00,-113.00,-41.00,0.00,208.00,63.00,2871.00,0.00,-3.00,50.00,319.00,31.00,35.00,203.00,0.00,0.00,93.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1959:Q4,3092.00,3092.00,0.00,0.00,3092.00,-115.00,0.00,0.00,67.00,55.00,2243.00,0.00,-3.00,-28.00,463.00,31.00,43.00,263.00,0.00,0.00,73.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q1,2481.00,2481.00,0.00,0.00,2481.00,57.00,0.00,0.00,-123.00,47.00,1474.00,0.00,0.00,178.00,403.00,34.00,53.00,330.00,0.00,0.00,28.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q2,2786.00,2786.00,0.00,0.00,2786.00,242.00,0.00,0.00,10.00,40.00,1967.00,0.00,1.00,-24.00,297.00,38.00,64.00,230.00,0.00,0.00,-79.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q3,3216.00,3216.00,0.00,0.00,3216.00,200.00,0.00,0.00,55.00,38.00,2326.00,0.00,2.00,-31.00,242.00,38.00,67.00,206.00,0.00,0.00,73.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q4,2796.00,2796.00,0.00,0.00,2796.00,263.00,0.00,0.00,87.00,41.00,1936.00,0.00,2.00,-22.00,354.00,33.00,62.00,95.00,0.00,0.00,-55.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q1,2267.00,2267.00,0.00,0.00,2267.00,398.00,0.00,0.00,55.00,45.00,1442.00,0.00,3.00,140.00,231.00,30.00,60.00,-133.00,0.00,0.00,-4.00,0.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q2,2958.00,2958.00,0.00,0.00,2958.00,238.00,0.00,0.00,46.00,48.00,2555.00,0.00,3.00,-67.00,227.00,28.00,61.00,-248.00,0.00,0.00,67.00,0.00,0.00,ND,ND,ND,ND,ND,ND
