1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,2475.00,2898.00,-429.00,242.00,-37.00,-199.00,3269.00,-232.00,2898.00,0.00,0.00,603.00,-794.00,523.00,523.00,0.00,2375.00,2375.00,0.00,0.00,-232.00,-232.00,-184.00,-48.00,163.00,163.00,0.00,263.00,311.00,48.00,-177.00,-180.00,3.00,0.00,0.00,0.00,603.00,-540.00,-536.00,22.00,37.00,199.00,4.00,-794.00
1952:Q1,1600.00,1088.00,-24.00,520.00,-8.00,24.00,392.00,-1344.00,1088.00,0.00,0.00,648.00,1208.00,-1060.00,-1060.00,0.00,2148.00,2148.00,0.00,0.00,-1344.00,-1344.00,-1896.00,552.00,52.00,52.00,0.00,572.00,676.00,104.00,-24.00,-28.00,4.00,0.00,0.00,0.00,648.00,1240.00,1252.00,60.00,8.00,-24.00,12.00,1208.00
1952:Q2,-5328.00,-2708.00,-2900.00,408.00,4.00,-132.00,-3236.00,-968.00,-2708.00,0.00,0.00,440.00,-2092.00,-152.00,-152.00,0.00,-2556.00,-2556.00,0.00,0.00,-968.00,-968.00,-516.00,-452.00,-24.00,-24.00,0.00,460.00,552.00,92.00,-4.00,-8.00,4.00,0.00,0.00,0.00,440.00,-1916.00,-1912.00,52.00,-4.00,132.00,4.00,-2092.00
1952:Q3,13864.00,7080.00,7508.00,-604.00,8.00,-128.00,8064.00,1872.00,7080.00,0.00,0.00,-888.00,5800.00,-32.00,-32.00,0.00,7112.00,7112.00,0.00,0.00,1872.00,1872.00,628.00,1244.00,-268.00,-268.00,0.00,-632.00,-724.00,-92.00,-12.00,-8.00,-4.00,0.00,0.00,0.00,-888.00,5896.00,5880.00,-40.00,-8.00,128.00,-16.00,5800.00
1952:Q4,-10880.00,-5660.00,-5364.00,224.00,12.00,-92.00,-5528.00,4.00,-5660.00,0.00,0.00,128.00,-5352.00,1468.00,1468.00,0.00,-7128.00,-7128.00,0.00,0.00,4.00,4.00,916.00,-912.00,24.00,24.00,0.00,240.00,288.00,48.00,136.00,136.00,0.00,0.00,0.00,0.00,128.00,-5256.00,-5248.00,24.00,-12.00,92.00,8.00,-5352.00
1953:Q1,3852.00,1284.00,2796.00,-356.00,0.00,128.00,2844.00,1624.00,1284.00,0.00,0.00,-64.00,1008.00,-828.00,-828.00,0.00,2112.00,2112.00,0.00,0.00,1624.00,1624.00,-628.00,2252.00,180.00,180.00,0.00,-352.00,-232.00,120.00,-108.00,-112.00,4.00,0.00,0.00,0.00,-64.00,880.00,872.00,-8.00,0.00,-128.00,-8.00,1008.00
1953:Q2,-5468.00,-1124.00,-4324.00,224.00,-4.00,-240.00,-4340.00,-3380.00,-1124.00,0.00,0.00,164.00,-1128.00,184.00,184.00,0.00,-1308.00,-1308.00,0.00,0.00,-3380.00,-3380.00,-836.00,-2544.00,-28.00,-28.00,0.00,240.00,128.00,-112.00,48.00,48.00,0.00,0.00,0.00,0.00,164.00,-868.00,-868.00,16.00,4.00,240.00,0.00,-1128.00
1953:Q3,6256.00,540.00,5928.00,-92.00,-4.00,-116.00,2036.00,1436.00,540.00,0.00,0.00,60.00,4220.00,-368.00,-368.00,0.00,908.00,908.00,0.00,0.00,1436.00,1436.00,336.00,1100.00,156.00,156.00,0.00,-96.00,-100.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,4336.00,4336.00,-4.00,4.00,116.00,0.00,4220.00
1953:Q4,-6188.00,-824.00,-5436.00,208.00,-4.00,-132.00,-1552.00,-264.00,-824.00,0.00,0.00,-464.00,-4636.00,48.00,48.00,0.00,-872.00,-872.00,0.00,0.00,-264.00,-264.00,1000.00,-1264.00,-672.00,-672.00,0.00,240.00,296.00,56.00,32.00,24.00,8.00,0.00,0.00,0.00,-464.00,-4476.00,-4468.00,32.00,4.00,132.00,8.00,-4636.00
1954:Q1,-4264.00,-1964.00,-2220.00,-32.00,0.00,-48.00,-3408.00,-1124.00,-1964.00,0.00,0.00,-320.00,-856.00,460.00,460.00,0.00,-2424.00,-2424.00,0.00,0.00,-1124.00,-1124.00,-1600.00,476.00,-324.00,-324.00,0.00,-36.00,-32.00,4.00,-40.00,-36.00,-4.00,0.00,0.00,0.00,-320.00,-808.00,-808.00,0.00,0.00,48.00,0.00,-856.00
1954:Q2,488.00,424.00,188.00,100.00,4.00,-228.00,128.00,-312.00,424.00,0.00,0.00,16.00,360.00,212.00,212.00,0.00,212.00,212.00,0.00,0.00,-312.00,-312.00,128.00,-440.00,-36.00,-36.00,0.00,124.00,160.00,36.00,72.00,64.00,8.00,0.00,0.00,0.00,16.00,600.00,600.00,16.00,-4.00,228.00,0.00,360.00
1954:Q3,1636.00,-1564.00,3432.00,68.00,4.00,-304.00,-1096.00,384.00,-1564.00,0.00,0.00,84.00,2732.00,12.00,12.00,0.00,-1576.00,-1576.00,0.00,0.00,384.00,384.00,-224.00,608.00,120.00,120.00,0.00,72.00,96.00,24.00,108.00,108.00,0.00,0.00,0.00,0.00,84.00,3036.00,3044.00,12.00,-4.00,304.00,8.00,2732.00
1954:Q4,-5640.00,-2204.00,-3712.00,484.00,16.00,-224.00,-1264.00,532.00,-2204.00,0.00,0.00,408.00,-4376.00,-856.00,-856.00,0.00,-1348.00,-1348.00,0.00,0.00,532.00,532.00,1188.00,-656.00,-4.00,-4.00,0.00,520.00,620.00,100.00,108.00,104.00,4.00,0.00,0.00,0.00,408.00,-4136.00,-4120.00,48.00,-16.00,224.00,16.00,-4376.00
1955:Q1,2100.00,1156.00,1044.00,-168.00,-4.00,72.00,2444.00,1328.00,1156.00,0.00,0.00,-40.00,-344.00,1540.00,1540.00,0.00,-384.00,-384.00,0.00,0.00,1328.00,1328.00,-1024.00,2352.00,8.00,8.00,0.00,-184.00,-216.00,-32.00,-136.00,-132.00,-4.00,0.00,0.00,0.00,-40.00,-424.00,-432.00,-20.00,4.00,-72.00,-8.00,-344.00
1955:Q2,-1100.00,-1232.00,-4.00,352.00,-4.00,-212.00,-1728.00,-900.00,-1232.00,0.00,0.00,404.00,628.00,-516.00,-516.00,0.00,-716.00,-716.00,0.00,0.00,-900.00,-900.00,1192.00,-2092.00,108.00,108.00,0.00,380.00,440.00,60.00,84.00,80.00,4.00,0.00,0.00,0.00,404.00,868.00,876.00,32.00,4.00,212.00,8.00,628.00
1955:Q3,6812.00,2720.00,4520.00,-152.00,-8.00,-268.00,4816.00,2048.00,2720.00,0.00,0.00,48.00,1996.00,452.00,452.00,0.00,2268.00,2268.00,0.00,0.00,2048.00,2048.00,-248.00,2296.00,128.00,128.00,0.00,-164.00,-196.00,-32.00,-84.00,-84.00,0.00,0.00,0.00,0.00,48.00,2260.00,2260.00,-12.00,8.00,268.00,0.00,1996.00
1955:Q4,-2424.00,-1276.00,-1132.00,156.00,-12.00,-160.00,-200.00,1020.00,-1276.00,0.00,0.00,56.00,-2224.00,-624.00,-624.00,0.00,-652.00,-652.00,0.00,0.00,1020.00,1020.00,3188.00,-2168.00,-68.00,-68.00,0.00,160.00,188.00,28.00,36.00,40.00,-4.00,0.00,0.00,0.00,56.00,-2044.00,-2044.00,8.00,12.00,160.00,0.00,-2224.00
1956:Q1,-160.00,996.00,-1024.00,84.00,-16.00,-200.00,616.00,-772.00,996.00,0.00,0.00,392.00,-776.00,1108.00,1108.00,0.00,-112.00,-112.00,0.00,0.00,-772.00,-772.00,-3168.00,2396.00,248.00,248.00,0.00,100.00,132.00,32.00,-44.00,-48.00,4.00,0.00,0.00,0.00,392.00,-548.00,-548.00,12.00,16.00,200.00,0.00,-776.00
1956:Q2,-3916.00,-2816.00,-1268.00,364.00,-20.00,-176.00,-3276.00,-244.00,-2816.00,0.00,0.00,-216.00,-640.00,-2488.00,-2488.00,0.00,-328.00,-328.00,0.00,0.00,-244.00,-244.00,1652.00,-1896.00,-676.00,-676.00,0.00,396.00,484.00,88.00,-64.00,-72.00,8.00,0.00,0.00,0.00,-216.00,-420.00,-400.00,44.00,20.00,176.00,20.00,-640.00
1956:Q3,8324.00,3812.00,4372.00,340.00,-24.00,-176.00,5668.00,780.00,3812.00,0.00,0.00,1076.00,2656.00,2684.00,2684.00,0.00,1128.00,1128.00,0.00,0.00,780.00,780.00,-584.00,1364.00,924.00,924.00,0.00,380.00,464.00,84.00,228.00,220.00,8.00,0.00,0.00,0.00,1076.00,2888.00,2896.00,40.00,24.00,176.00,8.00,2656.00
1956:Q4,-936.00,540.00,-1368.00,136.00,-24.00,-220.00,916.00,228.00,540.00,0.00,0.00,148.00,-1852.00,1012.00,1012.00,0.00,-472.00,-472.00,0.00,0.00,228.00,228.00,2420.00,-2192.00,-252.00,-252.00,0.00,152.00,188.00,36.00,-248.00,-252.00,4.00,0.00,0.00,0.00,148.00,-1596.00,-1588.00,20.00,24.00,220.00,8.00,-1852.00
1957:Q1,-5612.00,-2264.00,-3044.00,-120.00,-28.00,-156.00,-3824.00,-1164.00,-2264.00,0.00,0.00,-396.00,-1788.00,-976.00,-976.00,0.00,-1288.00,-1288.00,0.00,0.00,-1164.00,-1164.00,-3432.00,2268.00,-244.00,-244.00,0.00,-112.00,-128.00,-16.00,40.00,24.00,16.00,0.00,0.00,0.00,-396.00,-1612.00,-1612.00,-8.00,28.00,156.00,0.00,-1788.00
1957:Q2,2280.00,884.00,1164.00,368.00,-32.00,-104.00,2608.00,1816.00,884.00,0.00,0.00,-92.00,-328.00,20.00,20.00,0.00,864.00,864.00,0.00,0.00,1816.00,1816.00,888.00,928.00,-436.00,-436.00,0.00,384.00,444.00,60.00,40.00,24.00,16.00,0.00,0.00,0.00,-92.00,-192.00,-168.00,24.00,32.00,104.00,24.00,-328.00
1957:Q3,2888.00,408.00,2700.00,-76.00,-32.00,-112.00,-228.00,-368.00,408.00,0.00,0.00,-268.00,3116.00,-152.00,-152.00,0.00,560.00,560.00,0.00,0.00,-368.00,-368.00,-176.00,-192.00,-212.00,-212.00,0.00,-68.00,-88.00,-20.00,-12.00,-32.00,20.00,0.00,0.00,0.00,-268.00,3248.00,3248.00,-12.00,32.00,112.00,0.00,3116.00
1957:Q4,-3380.00,1168.00,-4352.00,108.00,-20.00,-284.00,-172.00,-1148.00,1168.00,0.00,0.00,-192.00,-3208.00,1404.00,1404.00,0.00,-236.00,-236.00,0.00,0.00,-1148.00,-1148.00,1756.00,-2904.00,-240.00,-240.00,0.00,124.00,140.00,16.00,76.00,44.00,32.00,0.00,0.00,0.00,-192.00,-2920.00,-2904.00,0.00,20.00,284.00,16.00,-3208.00
1958:Q1,-7840.00,-2104.00,-5440.00,212.00,-24.00,-484.00,-4152.00,-2608.00,-2104.00,0.00,0.00,560.00,-3688.00,-1312.00,-1312.00,0.00,-792.00,-792.00,0.00,0.00,-2608.00,-2608.00,-2880.00,272.00,280.00,280.00,0.00,172.00,200.00,28.00,-108.00,-56.00,-52.00,0.00,0.00,0.00,560.00,-3168.00,-3164.00,16.00,24.00,484.00,4.00,-3688.00
1958:Q2,-940.00,288.00,-1376.00,536.00,-24.00,-364.00,1516.00,408.00,288.00,0.00,0.00,820.00,-2456.00,368.00,368.00,0.00,-80.00,-80.00,0.00,0.00,408.00,408.00,368.00,40.00,456.00,456.00,0.00,504.00,584.00,80.00,140.00,196.00,-56.00,0.00,0.00,0.00,820.00,-2044.00,-2024.00,44.00,24.00,364.00,20.00,-2456.00
1958:Q3,5680.00,-668.00,6632.00,132.00,-16.00,-400.00,668.00,1448.00,-668.00,0.00,0.00,-112.00,5012.00,-32.00,-32.00,0.00,-636.00,-636.00,0.00,0.00,1448.00,1448.00,612.00,836.00,-200.00,-200.00,0.00,136.00,160.00,24.00,48.00,44.00,4.00,0.00,0.00,0.00,-112.00,5428.00,5440.00,12.00,16.00,400.00,12.00,5012.00
1958:Q4,-1708.00,20.00,-1452.00,16.00,-4.00,-288.00,-416.00,224.00,20.00,0.00,0.00,-660.00,-1292.00,632.00,632.00,0.00,-612.00,-612.00,0.00,0.00,224.00,224.00,1388.00,-1164.00,-692.00,-692.00,0.00,16.00,16.00,0.00,-16.00,-20.00,4.00,0.00,0.00,0.00,-660.00,-1004.00,-1004.00,-4.00,4.00,288.00,0.00,-1292.00
1959:Q1,1956.00,340.00,1980.00,-184.00,12.00,-192.00,880.00,-96.00,340.00,0.00,0.00,636.00,1076.00,-356.00,-356.00,0.00,696.00,696.00,0.00,0.00,-96.00,-96.00,-2200.00,2104.00,664.00,664.00,0.00,-176.00,-88.00,88.00,-148.00,-144.00,-4.00,0.00,0.00,0.00,636.00,1268.00,1256.00,0.00,-12.00,192.00,-12.00,1076.00
1959:Q2,1416.00,-292.00,1992.00,-240.00,36.00,-80.00,1136.00,1680.00,-292.00,0.00,0.00,-252.00,280.00,844.00,844.00,0.00,-1136.00,-1136.00,0.00,0.00,1680.00,1680.00,400.00,1280.00,-32.00,-32.00,0.00,-228.00,-96.00,132.00,-8.00,-8.00,0.00,0.00,0.00,0.00,-252.00,336.00,324.00,0.00,-36.00,80.00,-12.00,280.00
1959:Q3,952.00,-760.00,1812.00,-184.00,36.00,48.00,-3076.00,-1832.00,-760.00,0.00,0.00,-484.00,4028.00,-828.00,-828.00,0.00,68.00,68.00,0.00,0.00,-1832.00,-1832.00,420.00,-2252.00,-236.00,-236.00,0.00,-172.00,-60.00,112.00,76.00,80.00,-4.00,0.00,0.00,0.00,-484.00,3960.00,3948.00,4.00,-36.00,-48.00,-12.00,4028.00
1959:Q4,-1948.00,-1556.00,0.00,-328.00,32.00,-96.00,1680.00,3052.00,-1556.00,0.00,0.00,184.00,-3628.00,-608.00,-608.00,0.00,-948.00,-948.00,0.00,0.00,3052.00,3052.00,2556.00,496.00,536.00,536.00,0.00,-304.00,-544.00,-240.00,48.00,48.00,0.00,0.00,0.00,0.00,184.00,-3540.00,-3556.00,8.00,-32.00,96.00,-16.00,-3628.00
1960:Q1,1204.00,1816.00,-1036.00,336.00,-4.00,92.00,1164.00,-1620.00,1816.00,0.00,0.00,968.00,40.00,1368.00,1368.00,0.00,448.00,448.00,0.00,0.00,-1620.00,-1620.00,-3068.00,1448.00,472.00,472.00,0.00,420.00,488.00,68.00,-76.00,-76.00,0.00,0.00,0.00,0.00,968.00,36.00,-4.00,44.00,4.00,-92.00,-40.00,40.00
1960:Q2,-2784.00,-1080.00,-2032.00,280.00,-16.00,64.00,-1636.00,-2012.00,-1080.00,0.00,0.00,1456.00,-1148.00,1116.00,1116.00,0.00,-2196.00,-2196.00,0.00,0.00,-2012.00,-2012.00,180.00,-2192.00,1120.00,1120.00,0.00,376.00,492.00,116.00,40.00,32.00,8.00,0.00,0.00,0.00,1456.00,-1108.00,-1144.00,52.00,16.00,-64.00,-36.00,-1148.00
1960:Q3,8984.00,3180.00,5476.00,408.00,-24.00,-56.00,5920.00,1780.00,3180.00,0.00,0.00,960.00,3064.00,-876.00,-876.00,0.00,4056.00,4056.00,0.00,0.00,1780.00,1780.00,476.00,1304.00,536.00,536.00,0.00,496.00,532.00,36.00,72.00,68.00,4.00,0.00,0.00,0.00,960.00,3228.00,3196.00,52.00,24.00,56.00,-32.00,3064.00
1960:Q4,-8388.00,-6952.00,-1556.00,368.00,-24.00,-224.00,-5772.00,1252.00,-6952.00,0.00,0.00,-72.00,-2616.00,-272.00,-272.00,0.00,-6680.00,-6680.00,0.00,0.00,1252.00,1252.00,3524.00,-2272.00,-436.00,-436.00,0.00,464.00,536.00,72.00,100.00,96.00,4.00,0.00,0.00,0.00,-72.00,-2276.00,-2312.00,56.00,24.00,224.00,-36.00,-2616.00
1961:Q1,-5704.00,-1000.00,-5132.00,820.00,-32.00,-360.00,-3992.00,-4044.00,-1000.00,0.00,0.00,1052.00,-1712.00,804.00,804.00,0.00,-1804.00,-1804.00,0.00,0.00,-4044.00,-4044.00,-4368.00,324.00,224.00,224.00,0.00,772.00,896.00,124.00,-56.00,-52.00,-4.00,0.00,0.00,0.00,1052.00,-1364.00,-1328.00,-8.00,32.00,360.00,36.00,-1712.00
1961:Q2,468.00,-616.00,680.00,804.00,-40.00,-360.00,2084.00,1380.00,-616.00,0.00,0.00,1320.00,-1616.00,-1892.00,-1892.00,0.00,1276.00,1276.00,0.00,0.00,1380.00,1380.00,1664.00,-284.00,632.00,632.00,0.00,752.00,892.00,140.00,64.00,68.00,-4.00,0.00,0.00,0.00,1320.00,-1264.00,-1224.00,-8.00,40.00,360.00,40.00,-1616.00
1961:Q3,6384.00,2788.00,4028.00,32.00,-40.00,-424.00,3528.00,704.00,2788.00,0.00,0.00,36.00,2856.00,2552.00,2552.00,0.00,236.00,236.00,0.00,0.00,704.00,704.00,516.00,188.00,32.00,32.00,0.00,72.00,40.00,-32.00,68.00,64.00,4.00,0.00,0.00,0.00,36.00,3356.00,3344.00,24.00,40.00,424.00,-12.00,2856.00
1961:Q4,3396.00,1424.00,3460.00,-1080.00,-32.00,-376.00,3656.00,4132.00,1424.00,0.00,0.00,-1900.00,-260.00,-92.00,-92.00,0.00,1516.00,1516.00,0.00,0.00,4132.00,4132.00,4000.00,132.00,-548.00,-548.00,0.00,-972.00,-1068.00,-96.00,380.00,360.00,20.00,0.00,0.00,0.00,-1900.00,236.00,408.00,260.00,32.00,376.00,172.00,-260.00
1962:Q1,-7256.00,796.00,-7780.00,156.00,-20.00,-408.00,-3464.00,-5308.00,796.00,0.00,0.00,1048.00,-3792.00,356.00,356.00,0.00,440.00,440.00,0.00,0.00,-5308.00,-5308.00,-5528.00,220.00,632.00,632.00,0.00,92.00,88.00,-4.00,-324.00,-308.00,-16.00,0.00,0.00,0.00,1048.00,-3412.00,-3516.00,-152.00,20.00,408.00,-104.00,-3792.00
1962:Q2,-744.00,-1836.00,984.00,128.00,-12.00,-8.00,-116.00,1668.00,-1836.00,0.00,0.00,52.00,-628.00,-1676.00,-1676.00,0.00,-160.00,-160.00,0.00,0.00,1668.00,1668.00,2176.00,-508.00,-4.00,-4.00,0.00,64.00,88.00,24.00,8.00,20.00,-12.00,0.00,0.00,0.00,52.00,-660.00,-764.00,-156.00,12.00,8.00,-104.00,-628.00
1962:Q3,11064.00,4104.00,7096.00,-8.00,-8.00,-120.00,7600.00,3592.00,4104.00,0.00,0.00,-96.00,3464.00,2880.00,2880.00,0.00,1224.00,1224.00,0.00,0.00,3592.00,3592.00,716.00,2876.00,-256.00,-256.00,0.00,76.00,64.00,-12.00,-84.00,-84.00,0.00,0.00,0.00,0.00,-96.00,3676.00,3632.00,40.00,8.00,120.00,-44.00,3464.00
1962:Q4,-3628.00,524.00,-4192.00,204.00,-8.00,-156.00,1244.00,2148.00,524.00,0.00,0.00,-1428.00,-4872.00,1760.00,1760.00,0.00,-1236.00,-1236.00,0.00,0.00,2148.00,2148.00,5048.00,-2900.00,-1100.00,-1100.00,0.00,12.00,68.00,56.00,340.00,324.00,16.00,0.00,0.00,0.00,-1428.00,-4916.00,-4548.00,160.00,8.00,156.00,368.00,-4872.00
1963:Q1,-7324.00,-3052.00,-4248.00,300.00,-12.00,-312.00,-6816.00,-6092.00,-3052.00,0.00,0.00,2328.00,-508.00,-1880.00,-1880.00,0.00,-1172.00,-1172.00,0.00,0.00,-6092.00,-6092.00,-6720.00,628.00,1760.00,1760.00,0.00,372.00,384.00,12.00,-196.00,-192.00,-4.00,0.00,0.00,0.00,2328.00,-108.00,-236.00,-52.00,12.00,312.00,-128.00,-508.00
1963:Q2,-540.00,-1380.00,540.00,244.00,-8.00,64.00,-656.00,1268.00,-1380.00,0.00,0.00,-544.00,116.00,-1636.00,-1636.00,0.00,256.00,256.00,0.00,0.00,1268.00,1268.00,1660.00,-392.00,-644.00,-644.00,0.00,328.00,380.00,52.00,228.00,232.00,-4.00,0.00,0.00,0.00,-544.00,148.00,16.00,-44.00,8.00,-64.00,-132.00,116.00
1963:Q3,5024.00,2756.00,2316.00,144.00,-8.00,-184.00,3576.00,664.00,2756.00,0.00,0.00,156.00,1448.00,2764.00,2764.00,0.00,-8.00,-8.00,0.00,0.00,664.00,664.00,-812.00,1476.00,-120.00,-120.00,0.00,216.00,228.00,12.00,-60.00,-64.00,4.00,0.00,0.00,0.00,156.00,1708.00,1760.00,120.00,8.00,184.00,52.00,1448.00
1963:Q4,-1240.00,-984.00,8.00,-28.00,-12.00,-224.00,1008.00,2924.00,-984.00,0.00,0.00,-932.00,-2248.00,-288.00,-288.00,0.00,-696.00,-696.00,0.00,0.00,2924.00,2924.00,4660.00,-1736.00,-400.00,-400.00,0.00,-108.00,-60.00,48.00,424.00,416.00,8.00,0.00,0.00,0.00,-932.00,-2100.00,-1920.00,92.00,12.00,224.00,180.00,-2248.00
1964:Q1,-164.00,1560.00,-1772.00,244.00,-12.00,-184.00,-1800.00,-4316.00,1560.00,0.00,0.00,956.00,1636.00,144.00,144.00,0.00,1416.00,1416.00,0.00,0.00,-4316.00,-4316.00,-4412.00,96.00,600.00,600.00,0.00,180.00,232.00,52.00,-176.00,-172.00,-4.00,0.00,0.00,0.00,956.00,1772.00,1800.00,-32.00,12.00,184.00,28.00,1636.00
1964:Q2,-1460.00,756.00,-2100.00,208.00,-12.00,-312.00,672.00,640.00,756.00,0.00,0.00,-724.00,-2132.00,1496.00,1496.00,0.00,-740.00,-740.00,0.00,0.00,640.00,640.00,544.00,96.00,-600.00,-600.00,0.00,144.00,224.00,80.00,268.00,268.00,0.00,0.00,0.00,0.00,-724.00,-1872.00,-1844.00,-36.00,12.00,312.00,28.00,-2132.00
1964:Q3,4072.00,1104.00,2808.00,360.00,-12.00,-188.00,2048.00,-208.00,1104.00,0.00,0.00,1152.00,2024.00,-604.00,-604.00,0.00,1708.00,1708.00,0.00,0.00,-208.00,-208.00,-264.00,56.00,236.00,236.00,0.00,604.00,728.00,124.00,-312.00,-316.00,4.00,0.00,0.00,0.00,1152.00,2464.00,2280.00,56.00,12.00,188.00,-184.00,2024.00
1964:Q4,536.00,876.00,-360.00,372.00,-4.00,-348.00,5836.00,4408.00,876.00,0.00,0.00,552.00,-5300.00,56.00,56.00,0.00,820.00,820.00,0.00,0.00,4408.00,4408.00,4156.00,252.00,236.00,236.00,0.00,548.00,668.00,120.00,232.00,224.00,8.00,0.00,0.00,0.00,552.00,-4780.00,-4716.00,232.00,4.00,348.00,64.00,-5300.00
1965:Q1,2952.00,108.00,1688.00,1064.00,0.00,92.00,-3368.00,-6156.00,108.00,0.00,0.00,2680.00,6320.00,76.00,76.00,0.00,32.00,32.00,0.00,0.00,-6156.00,-6156.00,-5968.00,-188.00,1540.00,1540.00,0.00,900.00,1044.00,144.00,-240.00,-240.00,0.00,0.00,0.00,0.00,2680.00,6064.00,6088.00,-140.00,0.00,-92.00,24.00,6320.00
1965:Q2,6688.00,3928.00,1596.00,920.00,12.00,232.00,7708.00,3088.00,3928.00,0.00,0.00,692.00,-1020.00,2224.00,2224.00,0.00,1704.00,1704.00,0.00,0.00,3088.00,3088.00,940.00,2148.00,-116.00,-116.00,0.00,916.00,1044.00,128.00,108.00,108.00,0.00,0.00,0.00,0.00,692.00,-1268.00,-1232.00,32.00,-12.00,-232.00,36.00,-1020.00
