1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q2,183.00,0.00,0.00,183.00,183.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,0.00,0.00,183.00
1958:Q3,171.00,0.00,0.00,171.00,171.00,0.00,0.00,0.00,0.00,0.00,0.00,171.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,171.00,0.00,0.00,171.00
1958:Q4,116.00,0.00,0.00,116.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00,0.00,0.00,116.00
1959:Q1,149.00,0.00,0.00,149.00,149.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,149.00,0.00,0.00,149.00
1959:Q2,150.00,0.00,0.00,150.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,0.00,0.00,150.00
1959:Q3,186.00,0.00,0.00,186.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00,0.00,0.00,186.00
1959:Q4,152.00,0.00,0.00,152.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,152.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.00,0.00,0.00,152.00
1960:Q1,180.00,0.00,0.00,180.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,0.00,0.00,180.00
1960:Q2,189.00,0.00,0.00,189.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,0.00,0.00,189.00
1960:Q3,208.00,0.00,0.00,208.00,208.00,0.00,0.00,0.00,0.00,0.00,0.00,208.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,208.00,0.00,0.00,208.00
1960:Q4,177.00,0.00,0.00,177.00,177.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.00,0.00,0.00,177.00
