1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,20285.00,5424.00,7222.00,4382.00,0.00,2191.00,217.00,707.00,142.00,23904.00,16920.00,3468.00,916.00,2259.00,341.00,-3619.00,3237.00,47.00,-286.00,-144.00,6387.00,6513.00,84.00,-210.00,1600.00,10.00,402.00,43.00,0.00,216.00,132.00,0.00,64.00,11.00,57.00,0.00,217.00,568.00,0.00,-351.00,0.00,0.00,-105.00,793.00,-108.00,1810.00,0.00,0.00,10.00,592.00,151.00,1350.00,-193.00,0.00,-193.00,-208.00,-59.00,1668.00,-6531.00,1729.00,1939.00
1954:Q3,21807.00,7166.00,7198.00,4354.00,0.00,1931.00,220.00,793.00,146.00,23033.00,16087.00,3364.00,1072.00,2294.00,216.00,-1226.00,3283.00,-123.00,-286.00,2466.00,1748.00,6747.00,94.00,-5093.00,364.00,-175.00,-2996.00,112.00,0.00,1006.00,229.00,0.00,172.00,30.00,27.00,0.00,-483.00,-460.00,0.00,-23.00,0.00,0.00,290.00,2223.00,158.00,5457.00,0.00,0.00,2.00,3341.00,3296.00,1510.00,-24.00,0.00,-24.00,44.00,-100.00,2194.00,718.00,216.00,5309.00
1954:Q4,21472.00,6496.00,7472.00,4761.00,0.00,1561.00,223.00,806.00,153.00,24871.00,17683.00,3560.00,1155.00,2320.00,153.00,-3399.00,3353.00,-81.00,-293.00,328.00,88.00,6115.00,109.00,-6135.00,2946.00,38.00,419.00,7.00,0.00,-834.00,204.00,0.00,151.00,54.00,-1.00,0.00,215.00,130.00,0.00,85.00,0.00,0.00,-44.00,2735.00,206.00,9081.00,0.00,0.00,2.00,6916.00,3828.00,1287.00,-14.00,0.00,-14.00,207.00,-127.00,2097.00,239.00,2809.00,8944.00
1955:Q1,24773.00,8944.00,7286.00,5063.00,0.00,2377.00,226.00,706.00,171.00,24088.00,16568.00,3763.00,1165.00,2331.00,261.00,684.00,3375.00,-109.00,-309.00,4478.00,9198.00,5414.00,135.00,3649.00,3229.00,-81.00,-52.00,-38.00,0.00,230.00,257.00,0.00,189.00,79.00,-11.00,0.00,262.00,49.00,0.00,213.00,0.00,0.00,35.00,2616.00,0.00,-420.00,0.00,0.00,3.00,-2623.00,-4372.00,1492.00,8.00,0.00,8.00,12.00,-99.00,2279.00,-4720.00,3032.00,-617.00
1955:Q2,25822.00,8486.00,7840.00,5602.00,0.00,2743.00,231.00,736.00,185.00,24205.00,16705.00,3756.00,1090.00,2339.00,315.00,1617.00,3415.00,50.00,-277.00,5259.00,10594.00,6194.00,150.00,4250.00,5579.00,14.00,1883.00,71.00,0.00,-402.00,302.00,0.00,270.00,33.00,-1.00,0.00,265.00,108.00,0.00,157.00,0.00,0.00,-47.00,3466.00,27.00,1329.00,0.00,0.00,-1.00,-535.00,-602.00,1112.00,-9.00,0.00,-9.00,86.00,-52.00,1840.00,-5335.00,5318.00,1068.00
1955:Q3,25131.00,8158.00,8012.00,5496.00,0.00,2196.00,236.00,841.00,192.00,24831.00,17551.00,3587.00,1097.00,2410.00,186.00,299.00,3511.00,10.00,-309.00,4110.00,4545.00,6643.00,162.00,-2260.00,3147.00,-37.00,-1676.00,-157.00,0.00,1136.00,289.00,0.00,302.00,-21.00,8.00,0.00,110.00,34.00,0.00,76.00,0.00,0.00,104.00,3131.00,247.00,5407.00,0.00,0.00,0.00,3220.00,2461.00,1401.00,3.00,0.00,3.00,184.00,1.00,1999.00,-435.00,2842.00,5102.00
1955:Q4,24549.00,7270.00,8330.00,5880.00,0.00,1801.00,242.00,830.00,197.00,25518.00,18078.00,3648.00,1124.00,2490.00,178.00,-969.00,3591.00,-7.00,-350.00,2979.00,2527.00,6105.00,169.00,-3747.00,3424.00,-30.00,-386.00,48.00,0.00,-415.00,347.00,0.00,386.00,-55.00,16.00,0.00,122.00,65.00,0.00,57.00,0.00,0.00,222.00,3293.00,223.00,7171.00,0.00,0.00,0.00,4854.00,3122.00,1029.00,10.00,0.00,10.00,281.00,-15.00,2041.00,452.00,3028.00,6775.00
1956:Q1,27231.00,9814.00,8033.00,5454.00,0.00,2735.00,254.00,749.00,193.00,24606.00,16854.00,3911.00,1002.00,2522.00,317.00,2625.00,3707.00,65.00,-363.00,6630.00,10221.00,5657.00,168.00,4396.00,3863.00,-41.00,2583.00,146.00,0.00,-158.00,212.00,0.00,262.00,-66.00,16.00,0.00,-20.00,19.00,0.00,-39.00,0.00,0.00,-39.00,1148.00,32.00,-533.00,0.00,0.00,2.00,-3043.00,-4284.00,1235.00,7.00,0.00,7.00,175.00,58.00,2268.00,-3591.00,3594.00,-802.00
1956:Q2,28281.00,9770.00,8444.00,5710.00,0.00,3132.00,262.00,771.00,193.00,26000.00,18093.00,3940.00,1082.00,2622.00,263.00,2280.00,3787.00,194.00,-426.00,6300.00,11663.00,6674.00,170.00,4818.00,2657.00,-51.00,16.00,-19.00,0.00,-563.00,353.00,0.00,333.00,12.00,8.00,0.00,267.00,23.00,0.00,244.00,0.00,0.00,346.00,2290.00,18.00,-2161.00,0.00,0.00,3.00,-4528.00,-4983.00,921.00,2.00,0.00,2.00,186.00,90.00,2086.00,-5363.00,2322.00,-2496.00
1956:Q3,26440.00,8974.00,8638.00,5184.00,0.00,2274.00,269.00,909.00,193.00,25148.00,17122.00,3815.00,1148.00,2704.00,359.00,1291.00,3874.00,84.00,-400.00,5482.00,5508.00,7568.00,172.00,-2232.00,2852.00,155.00,-1937.00,-163.00,0.00,1878.00,293.00,0.00,248.00,49.00,-4.00,0.00,56.00,16.00,0.00,40.00,0.00,0.00,84.00,2091.00,395.00,5084.00,0.00,0.00,5.00,2384.00,1433.00,1185.00,35.00,0.00,35.00,239.00,86.00,2335.00,-26.00,2569.00,4801.00
1956:Q4,26052.00,8034.00,9123.00,5645.00,0.00,1876.00,275.00,909.00,191.00,27875.00,19312.00,3926.00,1201.00,2869.00,567.00,-1823.00,3948.00,52.00,-396.00,2469.00,2148.00,7237.00,173.00,-5262.00,2294.00,545.00,-1494.00,53.00,0.00,-586.00,266.00,0.00,209.00,76.00,-19.00,0.00,466.00,44.00,0.00,422.00,0.00,0.00,-51.00,2881.00,214.00,7556.00,0.00,0.00,9.00,4314.00,3051.00,824.00,24.00,0.00,24.00,417.00,69.00,2723.00,322.00,2061.00,7323.00
1957:Q1,29194.00,10401.00,8710.00,5512.00,0.00,3222.00,288.00,872.00,189.00,27296.00,18642.00,4339.00,1089.00,2871.00,355.00,1898.00,4053.00,35.00,-407.00,6323.00,9782.00,6714.00,172.00,2896.00,4780.00,-58.00,3146.00,194.00,0.00,-174.00,82.00,0.00,29.00,68.00,-15.00,0.00,67.00,92.00,0.00,-25.00,0.00,0.00,73.00,1272.00,178.00,1884.00,0.00,0.00,7.00,-585.00,-1670.00,1063.00,57.00,0.00,57.00,112.00,46.00,2247.00,-3460.00,4694.00,1798.00
1957:Q2,30435.00,10815.00,9201.00,5530.00,0.00,3562.00,294.00,845.00,189.00,28365.00,18962.00,4624.00,1159.00,2967.00,653.00,2070.00,4128.00,94.00,-472.00,6576.00,10315.00,7477.00,174.00,2664.00,325.00,73.00,-779.00,125.00,0.00,-1118.00,10.00,0.00,-11.00,12.00,9.00,0.00,-149.00,94.00,0.00,-243.00,0.00,0.00,171.00,1861.00,131.00,-2339.00,0.00,0.00,11.00,-5133.00,-5592.00,911.00,2.00,0.00,2.00,134.00,22.00,2625.00,-3739.00,334.00,-2330.00
1957:Q3,28153.00,9425.00,9278.00,5309.00,0.00,2626.00,297.00,1021.00,198.00,28339.00,18980.00,4428.00,1205.00,3031.00,695.00,-185.00,4207.00,-6.00,-464.00,4492.00,5579.00,8231.00,177.00,-2829.00,5149.00,254.00,-656.00,33.00,0.00,2242.00,-139.00,0.00,-139.00,-40.00,40.00,0.00,287.00,133.00,0.00,154.00,0.00,0.00,-15.00,2856.00,287.00,7978.00,0.00,0.00,8.00,5304.00,4170.00,1356.00,114.00,48.00,66.00,139.00,12.00,2401.00,-1088.00,5222.00,8051.00
1957:Q4,26329.00,8246.00,9428.00,5072.00,0.00,2034.00,298.00,1057.00,195.00,30083.00,20722.00,4741.00,1285.00,3142.00,193.00,-3753.00,4267.00,-17.00,-421.00,952.00,1772.00,7808.00,181.00,-6217.00,436.00,35.00,-2232.00,2.00,0.00,-422.00,-186.00,0.00,-207.00,-55.00,76.00,0.00,614.00,164.00,0.00,450.00,0.00,0.00,-207.00,2729.00,103.00,6653.00,0.00,0.00,10.00,3026.00,874.00,1177.00,74.00,48.00,26.00,539.00,7.00,2997.00,-821.00,617.00,6834.00
1958:Q1,27558.00,10027.00,8932.00,4080.00,0.00,3149.00,305.00,875.00,191.00,29290.00,19298.00,5444.00,1066.00,3028.00,454.00,-1732.00,4257.00,-29.00,-431.00,2985.00,5775.00,7010.00,189.00,-1424.00,1725.00,94.00,1333.00,619.00,0.00,-62.00,-260.00,0.00,-334.00,-2.00,76.00,0.00,343.00,120.00,0.00,223.00,0.00,0.00,-268.00,25.00,-99.00,3149.00,0.00,0.00,16.00,508.00,-1548.00,1460.00,177.00,126.00,51.00,101.00,7.00,2340.00,-2790.00,2008.00,3432.00
1958:Q2,29083.00,10263.00,9451.00,4339.00,0.00,3571.00,307.00,965.00,188.00,30829.00,20346.00,5796.00,1203.00,3027.00,457.00,-1746.00,4328.00,47.00,-416.00,2951.00,6240.00,8034.00,193.00,-1987.00,4873.00,13.00,4882.00,685.00,0.00,-1758.00,54.00,0.00,69.00,-54.00,39.00,0.00,224.00,108.00,0.00,116.00,0.00,0.00,-107.00,893.00,-13.00,6860.00,0.00,0.00,12.00,3576.00,3486.00,1143.00,162.00,125.00,37.00,146.00,11.00,2953.00,-3289.00,4767.00,6754.00
1958:Q3,28115.00,9552.00,9429.00,4904.00,0.00,2625.00,310.00,1107.00,189.00,31064.00,20304.00,5540.00,1338.00,3095.00,787.00,-2949.00,4424.00,85.00,-406.00,1796.00,2840.00,8889.00,196.00,-6245.00,-977.00,-9.00,-6758.00,-353.00,0.00,2093.00,46.00,0.00,76.00,-48.00,18.00,0.00,475.00,106.00,0.00,369.00,0.00,0.00,37.00,3271.00,221.00,5268.00,0.00,0.00,3.00,2317.00,707.00,1541.00,151.00,92.00,59.00,283.00,16.00,2498.00,-1044.00,-1112.00,5133.00
1958:Q4,28144.00,8708.00,9908.00,5641.00,0.00,2076.00,317.00,1301.00,194.00,32609.00,21962.00,5446.00,1568.00,3209.00,424.00,-4465.00,4505.00,-74.00,-414.00,528.00,1178.00,8688.00,198.00,-7708.00,4496.00,-137.00,634.00,-119.00,0.00,-676.00,122.00,0.00,156.00,-48.00,14.00,0.00,672.00,288.00,0.00,384.00,0.00,0.00,61.00,3798.00,141.00,12204.00,0.00,0.00,7.00,8747.00,7134.00,1306.00,126.00,93.00,33.00,379.00,22.00,2923.00,-651.00,4307.00,12015.00
1959:Q1,30308.00,10330.00,9272.00,5502.00,21.00,3778.00,307.00,996.00,102.00,31039.00,19602.00,5918.00,1856.00,3471.00,192.00,-731.00,4565.00,-35.00,-412.00,4281.00,3981.00,8161.00,198.00,-4378.00,-490.00,-170.00,636.00,-7.00,0.00,-1213.00,193.00,0.00,221.00,-36.00,8.00,0.00,728.00,485.00,0.00,243.00,0.00,0.00,39.00,-783.00,87.00,3888.00,0.00,0.00,6.00,1213.00,-81.00,1578.00,74.00,49.00,25.00,197.00,27.00,2371.00,299.00,-736.00,3642.00
1959:Q2,34834.00,11807.00,10708.00,6567.00,21.00,4308.00,308.00,972.00,143.00,32363.00,21224.00,5716.00,1881.00,3387.00,155.00,2471.00,4621.00,45.00,-423.00,7470.00,7861.00,9116.00,200.00,-1455.00,3514.00,315.00,1110.00,69.00,0.00,-204.00,334.00,0.00,317.00,15.00,2.00,0.00,775.00,491.00,0.00,284.00,0.00,0.00,112.00,908.00,95.00,4969.00,0.00,0.00,15.00,1851.00,881.00,1258.00,114.00,51.00,63.00,104.00,31.00,2854.00,-391.00,3134.00,4589.00
1959:Q3,30243.00,10383.00,9208.00,5769.00,21.00,3203.00,316.00,1262.00,81.00,32432.00,21072.00,5542.00,1993.00,3550.00,275.00,-2189.00,4684.00,187.00,-456.00,2764.00,4516.00,9772.00,345.00,-5601.00,3241.00,160.00,1123.00,-481.00,0.00,998.00,215.00,0.00,210.00,14.00,-9.00,0.00,439.00,364.00,0.00,75.00,0.00,0.00,77.00,880.00,-170.00,8842.00,0.00,0.00,5.00,6128.00,4276.00,1939.00,150.00,107.00,43.00,214.00,28.00,2317.00,-1753.00,2988.00,8589.00
1959:Q4,31648.00,9769.00,11864.00,5808.00,21.00,2585.00,327.00,1056.00,218.00,32898.00,21127.00,5741.00,1901.00,3693.00,436.00,-1250.00,4750.00,-133.00,-466.00,4099.00,1694.00,8807.00,346.00,-7459.00,538.00,-236.00,-517.00,-33.00,0.00,-422.00,398.00,0.00,467.00,-45.00,-24.00,0.00,97.00,185.00,0.00,-88.00,0.00,0.00,147.00,1092.00,12.00,7997.00,0.00,0.00,13.00,4141.00,3064.00,1067.00,162.00,108.00,54.00,452.00,23.00,3206.00,2406.00,17.00,7476.00
1960:Q1,33953.00,11266.00,10201.00,5949.00,22.00,4685.00,684.00,1067.00,80.00,32403.00,20122.00,6150.00,1717.00,4235.00,179.00,1550.00,4819.00,-75.00,-482.00,6926.00,6247.00,7971.00,280.00,-2004.00,-865.00,-117.00,240.00,164.00,0.00,-422.00,367.00,0.00,358.00,35.00,-26.00,0.00,254.00,-24.00,0.00,278.00,0.00,0.00,186.00,-1669.00,132.00,1139.00,0.00,0.00,13.00,-2165.00,-3781.00,1587.00,138.00,100.00,38.00,427.00,21.00,2705.00,678.00,-1261.00,743.00
1960:Q2,38420.00,13504.00,11743.00,5950.00,25.00,5175.00,698.00,1149.00,177.00,33714.00,21156.00,6113.00,1983.00,4258.00,204.00,4706.00,4884.00,366.00,-537.00,9760.00,9543.00,8872.00,342.00,329.00,2906.00,-65.00,2831.00,410.00,0.00,-154.00,352.00,0.00,311.00,55.00,-14.00,0.00,334.00,87.00,0.00,247.00,0.00,0.00,10.00,-1050.00,238.00,2577.00,0.00,0.00,9.00,-592.00,-1672.00,1105.00,200.00,102.00,98.00,119.00,18.00,2823.00,217.00,2497.00,2168.00
