1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,428.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,142.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.00,221.00,65.00,0.00,0.00,0.00,428.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,428.00,221.00,221.00,207.00,0.00,65.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-286.00,-79.00,-207.00,286.00,0.00
1954:Q3,434.00,0.00,0.00,0.00,0.00,0.00,0.00,148.00,148.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286.00,223.00,63.00,0.00,0.00,0.00,434.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,434.00,223.00,223.00,211.00,0.00,63.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-286.00,-75.00,-211.00,286.00,0.00
1954:Q4,440.00,0.00,0.00,0.00,0.00,0.00,0.00,147.00,147.00,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,293.00,230.00,63.00,0.00,0.00,0.00,440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,440.00,230.00,230.00,210.00,0.00,63.00,147.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-293.00,-83.00,-210.00,293.00,0.00
1955:Q1,481.00,0.00,0.00,0.00,0.00,0.00,0.00,170.00,170.00,168.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,311.00,246.00,65.00,0.00,0.00,0.00,481.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,479.00,246.00,246.00,233.00,0.00,65.00,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,-309.00,-76.00,-233.00,311.00,0.00
1955:Q2,458.00,0.00,0.00,0.00,0.00,0.00,0.00,179.00,179.00,177.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,279.00,212.00,67.00,0.00,0.00,0.00,458.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,456.00,212.00,212.00,244.00,0.00,67.00,177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,-277.00,-33.00,-244.00,279.00,0.00
1955:Q3,500.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,189.00,187.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,311.00,235.00,76.00,0.00,0.00,0.00,500.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,498.00,235.00,235.00,263.00,0.00,76.00,187.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,-309.00,-46.00,-263.00,311.00,0.00
1955:Q4,535.00,0.00,0.00,0.00,0.00,0.00,0.00,183.00,183.00,181.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,352.00,275.00,77.00,0.00,0.00,0.00,535.00,2.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,0.00,533.00,275.00,275.00,258.00,0.00,77.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,-350.00,-92.00,-258.00,352.00,0.00
1956:Q1,557.00,0.00,0.00,0.00,0.00,0.00,0.00,189.00,189.00,185.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,368.00,286.00,82.00,0.00,0.00,0.00,557.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,552.00,286.00,286.00,266.00,0.00,82.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,-363.00,-97.00,-266.00,368.00,0.00
1956:Q2,628.00,0.00,0.00,0.00,0.00,0.00,0.00,197.00,197.00,193.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,431.00,347.00,84.00,0.00,0.00,0.00,628.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,623.00,347.00,347.00,276.00,0.00,84.00,193.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,-426.00,-150.00,-276.00,431.00,0.00
1956:Q3,616.00,0.00,0.00,0.00,0.00,0.00,0.00,211.00,211.00,207.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,405.00,320.00,85.00,0.00,0.00,0.00,616.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,611.00,320.00,320.00,291.00,0.00,85.00,207.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,-400.00,-109.00,-291.00,405.00,0.00
