1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1961:Q3,3728.00,0.00,104.00,0.00,0.00,220.00,0.00,4.00,8.00,208.00,0.00,3304.00,0.00,100.00,0.00,0.00,100.00,3728.00
1961:Q4,4180.00,0.00,112.00,0.00,0.00,328.00,0.00,-8.00,24.00,312.00,0.00,3656.00,0.00,84.00,0.00,0.00,84.00,4180.00
1962:Q1,4268.00,0.00,116.00,0.00,0.00,224.00,0.00,-4.00,40.00,188.00,0.00,3660.00,0.00,268.00,0.00,0.00,268.00,4268.00
1962:Q2,3872.00,0.00,120.00,0.00,0.00,376.00,0.00,40.00,20.00,316.00,0.00,2856.00,0.00,520.00,0.00,0.00,520.00,3872.00
1962:Q3,3676.00,0.00,124.00,0.00,0.00,168.00,0.00,64.00,-4.00,108.00,0.00,3080.00,0.00,304.00,0.00,0.00,304.00,3676.00
1962:Q4,4224.00,0.00,128.00,0.00,0.00,416.00,0.00,76.00,-24.00,364.00,0.00,3500.00,0.00,180.00,0.00,0.00,180.00,4224.00
1963:Q1,4340.00,0.00,136.00,0.00,0.00,312.00,0.00,28.00,8.00,276.00,0.00,3760.00,0.00,132.00,0.00,0.00,132.00,4340.00
1963:Q2,4528.00,0.00,140.00,0.00,0.00,348.00,0.00,28.00,0.00,320.00,0.00,3992.00,0.00,48.00,0.00,0.00,48.00,4528.00
1963:Q3,4796.00,0.00,144.00,0.00,0.00,360.00,0.00,-16.00,40.00,336.00,0.00,4204.00,0.00,88.00,0.00,0.00,88.00,4796.00
1963:Q4,5124.00,0.00,152.00,0.00,0.00,268.00,0.00,40.00,-8.00,236.00,0.00,4428.00,0.00,276.00,0.00,0.00,276.00,5124.00
1964:Q1,5756.00,0.00,156.00,0.00,0.00,400.00,0.00,192.00,16.00,192.00,0.00,4752.00,0.00,448.00,0.00,0.00,448.00,5756.00
1964:Q2,6068.00,0.00,160.00,0.00,0.00,252.00,0.00,-208.00,-12.00,472.00,0.00,4980.00,0.00,676.00,0.00,0.00,676.00,6068.00
1964:Q3,6328.00,0.00,168.00,0.00,0.00,228.00,0.00,-4.00,-12.00,244.00,0.00,5224.00,0.00,708.00,0.00,0.00,708.00,6328.00
1964:Q4,6688.00,0.00,176.00,0.00,0.00,568.00,0.00,56.00,104.00,408.00,0.00,5392.00,0.00,552.00,0.00,0.00,552.00,6688.00
1965:Q1,6648.00,0.00,180.00,0.00,0.00,460.00,0.00,192.00,-68.00,336.00,0.00,5592.00,0.00,416.00,0.00,0.00,416.00,6648.00
1965:Q2,6248.00,0.00,188.00,0.00,0.00,172.00,0.00,-200.00,4.00,368.00,0.00,5532.00,0.00,356.00,0.00,0.00,356.00,6248.00
1965:Q3,6628.00,0.00,196.00,0.00,0.00,60.00,0.00,-252.00,24.00,288.00,0.00,6176.00,0.00,196.00,0.00,0.00,196.00,6628.00
1965:Q4,7400.00,0.00,204.00,0.00,0.00,312.00,0.00,84.00,20.00,208.00,0.00,6520.00,0.00,364.00,0.00,0.00,364.00,7400.00
1966:Q1,8020.00,0.00,212.00,0.00,0.00,776.00,0.00,-60.00,8.00,828.00,0.00,6524.00,0.00,508.00,0.00,0.00,508.00,8020.00
1966:Q2,7480.00,0.00,220.00,0.00,0.00,240.00,0.00,-104.00,8.00,336.00,0.00,6380.00,0.00,640.00,0.00,0.00,640.00,7480.00
1966:Q3,7160.00,0.00,224.00,0.00,0.00,316.00,0.00,-24.00,-28.00,368.00,0.00,5872.00,0.00,748.00,0.00,0.00,748.00,7160.00
1966:Q4,7568.00,0.00,276.00,0.00,0.00,444.00,0.00,-48.00,4.00,488.00,0.00,6316.00,0.00,532.00,0.00,0.00,532.00,7568.00
1967:Q1,8136.00,0.00,228.00,0.00,0.00,164.00,0.00,-156.00,-12.00,332.00,0.00,7280.00,0.00,464.00,0.00,0.00,464.00,8136.00
1967:Q2,8408.00,0.00,272.00,0.00,0.00,-56.00,0.00,-148.00,-36.00,128.00,0.00,7492.00,0.00,700.00,0.00,0.00,700.00,8408.00
1967:Q3,9228.00,0.00,276.00,0.00,0.00,276.00,0.00,-32.00,-28.00,336.00,0.00,8084.00,0.00,592.00,0.00,0.00,592.00,9228.00
1967:Q4,9276.00,0.00,348.00,0.00,0.00,104.00,0.00,20.00,-20.00,104.00,0.00,8176.00,0.00,648.00,0.00,0.00,648.00,9276.00
1968:Q1,9204.00,0.00,228.00,0.00,0.00,544.00,0.00,220.00,16.00,308.00,0.00,7724.00,0.00,708.00,0.00,0.00,708.00,9204.00
1968:Q2,9572.00,0.00,312.00,0.00,0.00,4.00,0.00,-28.00,20.00,12.00,0.00,8956.00,0.00,300.00,0.00,0.00,300.00,9572.00
1968:Q3,10348.00,0.00,344.00,0.00,0.00,144.00,0.00,-60.00,20.00,184.00,0.00,9420.00,0.00,440.00,0.00,0.00,440.00,10348.00
1968:Q4,10892.00,0.00,368.00,0.00,0.00,248.00,0.00,240.00,-4.00,12.00,0.00,9832.00,0.00,444.00,0.00,0.00,444.00,10892.00
1969:Q1,10508.00,0.00,224.00,0.00,0.00,0.00,0.00,100.00,32.00,-132.00,0.00,9732.00,0.00,552.00,0.00,0.00,552.00,10508.00
1969:Q2,10520.00,0.00,452.00,0.00,0.00,-176.00,0.00,-268.00,32.00,60.00,0.00,9748.00,0.00,496.00,0.00,0.00,496.00,10520.00
1969:Q3,10888.00,0.00,336.00,0.00,0.00,472.00,0.00,-32.00,72.00,432.00,0.00,9560.00,0.00,520.00,0.00,0.00,520.00,10888.00
1969:Q4,10884.00,0.00,396.00,0.00,0.00,204.00,0.00,24.00,48.00,132.00,0.00,9828.00,0.00,456.00,0.00,0.00,456.00,10884.00
1970:Q1,2272.00,0.00,408.00,0.00,0.00,180.00,0.00,-104.00,-24.00,308.00,0.00,1136.00,0.00,548.00,0.00,0.00,548.00,2272.00
1970:Q2,2384.00,0.00,412.00,0.00,0.00,80.00,0.00,-96.00,72.00,104.00,0.00,924.00,0.00,968.00,0.00,0.00,968.00,2384.00
1970:Q3,2464.00,0.00,440.00,0.00,0.00,792.00,0.00,168.00,224.00,400.00,0.00,1036.00,0.00,196.00,0.00,0.00,196.00,2464.00
1970:Q4,2820.00,0.00,404.00,0.00,0.00,616.00,0.00,-28.00,-8.00,652.00,0.00,1468.00,0.00,332.00,0.00,0.00,332.00,2820.00
1971:Q1,2148.00,0.00,472.00,0.00,0.00,-544.00,0.00,136.00,-128.00,-552.00,0.00,1912.00,0.00,308.00,0.00,0.00,308.00,2148.00
1971:Q2,2628.00,0.00,376.00,0.00,0.00,-728.00,0.00,-260.00,-148.00,-320.00,0.00,2360.00,0.00,620.00,0.00,0.00,620.00,2628.00
1971:Q3,3184.00,0.00,504.00,0.00,0.00,-328.00,0.00,44.00,0.00,-372.00,0.00,2456.00,0.00,552.00,0.00,0.00,552.00,3184.00
1971:Q4,3836.00,0.00,444.00,0.00,0.00,672.00,0.00,80.00,12.00,580.00,0.00,2192.00,0.00,528.00,0.00,0.00,528.00,3836.00
1972:Q1,7308.00,0.00,456.00,0.00,0.00,1028.00,492.00,416.00,220.00,-100.00,0.00,2896.00,0.00,2928.00,0.00,0.00,2928.00,7308.00
1972:Q2,10584.00,0.00,580.00,0.00,0.00,1708.00,780.00,-88.00,308.00,708.00,0.00,3444.00,0.00,4852.00,0.00,0.00,4852.00,10584.00
1972:Q3,11344.00,0.00,628.00,0.00,0.00,2476.00,844.00,172.00,472.00,988.00,0.00,3292.00,0.00,4948.00,0.00,0.00,4948.00,11344.00
1972:Q4,8320.00,0.00,668.00,0.00,0.00,1740.00,692.00,756.00,296.00,-4.00,0.00,2444.00,0.00,3468.00,0.00,0.00,3468.00,8320.00
