1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q4,23201.00,1345.00,0.00,0.00,13222.00,0.00,5439.00,0.00,6249.00,1534.00,160.00,6721.00,0.00,1599.00,154.00,0.00,14320.00,0.00,0.00,166.00,498.00,13656.00,0.00,13656.00
1959:Q1,23425.00,1348.00,0.00,0.00,13358.00,0.00,5360.00,0.00,6453.00,1545.00,160.00,6763.00,0.00,1639.00,157.00,0.00,14525.00,0.00,0.00,104.00,498.00,13923.00,0.00,13923.00
1959:Q2,24044.00,1348.00,0.00,0.00,13603.00,0.00,5356.00,0.00,6690.00,1557.00,158.00,7092.00,0.00,1683.00,160.00,0.00,14821.00,0.00,0.00,98.00,499.00,14224.00,0.00,14224.00
1959:Q3,24288.00,1345.00,0.00,0.00,14004.00,0.00,5476.00,0.00,6955.00,1573.00,155.00,6890.00,0.00,1731.00,163.00,0.00,15154.00,0.00,0.00,127.00,500.00,14527.00,0.00,14527.00
1959:Q4,25095.00,1337.00,0.00,0.00,14460.00,0.00,5626.00,0.00,7239.00,1595.00,146.00,7204.00,0.00,1782.00,166.00,0.00,15465.00,0.00,0.00,145.00,520.00,14800.00,0.00,14800.00
1960:Q1,25050.00,1334.00,0.00,0.00,14764.00,0.00,5532.00,114.00,7500.00,1618.00,145.00,6808.00,0.00,1830.00,169.00,0.00,15688.00,0.00,0.00,118.00,521.00,15049.00,0.00,15049.00
1960:Q2,25635.00,1333.00,0.00,0.00,14995.00,0.00,5437.00,190.00,7727.00,1641.00,145.00,7119.00,0.00,1872.00,171.00,0.00,15914.00,0.00,0.00,111.00,523.00,15280.00,0.00,15280.00
1960:Q3,25479.00,1333.00,0.00,0.00,15184.00,0.00,5439.00,163.00,7919.00,1663.00,147.00,6734.00,0.00,1907.00,174.00,0.00,16150.00,0.00,0.00,124.00,525.00,15501.00,0.00,15501.00
1960:Q4,26401.00,1332.00,0.00,0.00,15352.00,0.00,5446.00,140.00,8084.00,1682.00,149.00,7456.00,0.00,1934.00,178.00,0.00,16403.00,0.00,0.00,139.00,543.00,15721.00,0.00,15721.00
1961:Q1,27559.00,1337.00,0.00,0.00,15550.00,0.00,5239.00,340.00,8274.00,1697.00,153.00,8384.00,0.00,1954.00,181.00,0.00,16614.00,0.00,0.00,133.00,545.00,15936.00,0.00,15936.00
1961:Q2,27798.00,1344.00,0.00,0.00,15777.00,0.00,5118.00,452.00,8501.00,1706.00,156.00,8368.00,0.00,1969.00,184.00,0.00,16797.00,0.00,0.00,105.00,546.00,16146.00,0.00,16146.00
1961:Q3,28313.00,1354.00,0.00,0.00,16046.00,0.00,5206.00,364.00,8766.00,1710.00,157.00,8588.00,0.00,1981.00,187.00,0.00,17005.00,0.00,0.00,109.00,547.00,16349.00,0.00,16349.00
1961:Q4,29373.00,1365.00,0.00,0.00,16361.00,0.00,5358.00,234.00,9057.00,1712.00,155.00,9309.00,0.00,1993.00,190.00,0.00,17259.00,0.00,0.00,106.00,608.00,16545.00,0.00,16545.00
1962:Q1,29672.00,1388.00,0.00,0.00,16704.00,0.00,5275.00,368.00,9281.00,1780.00,154.00,9197.00,0.00,2035.00,194.00,0.00,17464.00,0.00,0.00,130.00,609.00,16725.00,0.00,16725.00
1962:Q2,28120.00,1422.00,0.00,0.00,17113.00,0.00,5214.00,511.00,9498.00,1890.00,150.00,7145.00,0.00,2093.00,197.00,0.00,17606.00,0.00,0.00,114.00,610.00,16882.00,0.00,16882.00
1962:Q3,29139.00,1454.00,0.00,0.00,17514.00,0.00,5276.00,534.00,9706.00,1998.00,144.00,7673.00,0.00,2153.00,201.00,0.00,17780.00,0.00,0.00,122.00,611.00,17047.00,0.00,17047.00
1962:Q4,30467.00,1471.00,0.00,0.00,17837.00,0.00,5439.00,433.00,9905.00,2060.00,134.00,8620.00,0.00,2201.00,204.00,0.00,17946.00,0.00,0.00,114.00,583.00,17249.00,0.00,17249.00
1963:Q1,31230.00,1473.00,0.00,0.00,18087.00,0.00,5329.00,586.00,10098.00,2074.00,131.00,9092.00,0.00,2239.00,208.00,0.00,18179.00,0.00,0.00,92.00,584.00,17503.00,0.00,17503.00
1963:Q2,31763.00,1462.00,0.00,0.00,18275.00,0.00,5336.00,609.00,10289.00,2041.00,128.00,9417.00,0.00,2270.00,211.00,0.00,18467.00,0.00,0.00,63.00,584.00,17820.00,0.00,17820.00
1963:Q3,32193.00,1446.00,0.00,0.00,18442.00,0.00,5457.00,512.00,10465.00,2008.00,126.00,9665.00,0.00,2299.00,215.00,0.00,18797.00,0.00,0.00,93.00,584.00,18120.00,0.00,18120.00
1963:Q4,32688.00,1432.00,0.00,0.00,18625.00,0.00,5597.00,397.00,10612.00,2019.00,121.00,9959.00,0.00,2332.00,219.00,0.00,19029.00,0.00,0.00,92.00,614.00,18323.00,0.00,18323.00
1964:Q1,33451.00,1424.00,0.00,0.00,18817.00,0.00,5472.00,548.00,10728.00,2069.00,120.00,10499.00,0.00,2368.00,223.00,0.00,19309.00,0.00,0.00,77.00,614.00,18618.00,0.00,18618.00
1964:Q2,34041.00,1418.00,0.00,0.00,19004.00,0.00,5328.00,719.00,10811.00,2146.00,120.00,10866.00,0.00,2406.00,227.00,0.00,19593.00,0.00,0.00,61.00,615.00,18917.00,0.00,18917.00
