1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1993:Q3,455088.00,0.00,1482.00,37988.00,76480.00,1537.00,31927.00,19021.00,0.00,23995.00,301448.00,237834.00,15813.00,47801.00,18.00,37672.00,473866.00,36299.00,27919.00,8380.00,9192.00,9886.00,251162.00,54539.00,16490.00,22589.00,73709.00,44070.00,29639.00
1993:Q4,467304.00,0.00,981.00,46268.00,84166.00,2405.00,36113.00,21481.00,0.00,24167.00,303227.00,243052.00,15115.00,45060.00,3.00,32659.00,486476.00,40358.00,21591.00,18767.00,8347.00,10406.00,265307.00,51203.00,16027.00,24035.00,70793.00,44541.00,26252.00
1994:Q1,459523.00,0.00,614.00,36784.00,90077.00,1772.00,39220.00,25089.00,0.00,23996.00,293580.00,236363.00,13681.00,43536.00,2.00,38466.00,493925.00,48781.00,34007.00,14774.00,8805.00,10159.00,259052.00,53640.00,14372.00,24462.00,74654.00,43630.00,31024.00
1994:Q2,473548.00,0.00,760.00,45564.00,92506.00,1915.00,39562.00,24794.00,0.00,26235.00,288792.00,232736.00,13542.00,42514.00,2.00,45924.00,509833.00,49923.00,32524.00,17399.00,8605.00,10644.00,262651.00,55545.00,14163.00,24658.00,83644.00,46560.00,37084.00
1994:Q3,474844.00,0.00,645.00,44131.00,91309.00,1830.00,37341.00,23970.00,0.00,28168.00,291783.00,236417.00,13942.00,41424.00,2.00,46974.00,513579.00,48076.00,32345.00,15731.00,8701.00,9158.00,279693.00,46841.00,14652.00,25539.00,80919.00,41396.00,39523.00
1994:Q4,488735.00,0.00,952.00,54694.00,86863.00,2170.00,32656.00,23030.00,0.00,29007.00,300383.00,247135.00,12987.00,40261.00,2.00,45841.00,532127.00,49921.00,35290.00,14631.00,8768.00,9273.00,285236.00,54253.00,13439.00,26261.00,84976.00,44072.00,40904.00
1995:Q1,506974.00,0.00,419.00,36363.00,121453.00,1190.00,53242.00,31240.00,0.00,35781.00,305159.00,253802.00,12531.00,38826.00,4.00,43576.00,593886.00,72822.00,58265.00,14557.00,8135.00,8689.00,291212.00,50819.00,13041.00,27851.00,121317.00,50226.00,71091.00
1995:Q2,531157.00,0.00,760.00,38693.00,134406.00,1817.00,59959.00,36110.00,0.00,36520.00,317148.00,266850.00,12640.00,37658.00,8.00,40142.00,622718.00,75111.00,60544.00,14567.00,7933.00,9150.00,295020.00,61587.00,12876.00,28083.00,132958.00,52251.00,80707.00
1995:Q3,542541.00,0.00,473.00,44372.00,134877.00,1519.00,58937.00,36165.00,0.00,38256.00,320680.00,272684.00,11167.00,36829.00,2.00,42137.00,617324.00,77859.00,59468.00,18391.00,8138.00,8860.00,298917.00,52589.00,11643.00,30943.00,128375.00,51329.00,77046.00
1995:Q4,550876.00,0.00,848.00,47341.00,139357.00,1745.00,62276.00,37288.00,0.00,38048.00,326760.00,281581.00,10056.00,35123.00,7.00,36563.00,609602.00,77601.00,64224.00,13377.00,8659.00,8541.00,288991.00,56611.00,10356.00,32662.00,126181.00,50734.00,75447.00
1996:Q1,545346.00,0.00,454.00,38167.00,145866.00,1975.00,67778.00,39111.00,0.00,37002.00,329459.00,286468.00,9787.00,33204.00,7.00,31393.00,618631.00,91224.00,69710.00,21514.00,8564.00,8250.00,288489.00,58503.00,10033.00,32726.00,120842.00,52693.00,68149.00
1996:Q2,560530.00,0.00,586.00,40641.00,151084.00,1484.00,72038.00,40505.00,0.00,37057.00,340319.00,299397.00,8612.00,32310.00,7.00,27893.00,621176.00,82916.00,64805.00,18111.00,8727.00,7653.00,294087.00,70272.00,8780.00,30752.00,117989.00,52851.00,65138.00
