date,FL893065105.Q,FL153165105.Q,FL103165105.Q,FL113165105.Q,FL893065105.Q,FL153065103.Q,FL103065105.Q,FL113065103.Q,FL313065105.Q,FL213065103.Q,FL763065105.Q,FL753065103.Q,FL743065103.Q,FL473065100.Q,FL543065105.Q,FL573065103.Q,FL223065143.Q,FL403065105.Q,FL413065105.Q,FL673065105.Q,FL613065105.Q,FL643065105.Q,FL893065125.Q,FL763065125.Q,FL753065203.Q,FL473065125.Q,FL673065123.Q,FL613065123.Q
1960:Q1,132580.00,132580.00,0.00,0.00,132580.00,9558.00,0.00,0.00,4083.00,1269.00,87772.00,0.00,65.00,930.00,23986.00,493.00,589.00,2370.00,0.00,0.00,1465.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q2,135366.00,135366.00,0.00,0.00,135366.00,9800.00,0.00,0.00,4093.00,1309.00,89739.00,0.00,66.00,906.00,24283.00,531.00,653.00,2600.00,0.00,0.00,1386.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q3,138582.00,138582.00,0.00,0.00,138582.00,10000.00,0.00,0.00,4148.00,1347.00,92065.00,0.00,68.00,875.00,24525.00,569.00,720.00,2806.00,0.00,0.00,1459.00,0.00,ND,ND,ND,ND,ND,ND
1960:Q4,141378.00,141378.00,0.00,0.00,141378.00,10263.00,0.00,0.00,4235.00,1388.00,94001.00,0.00,70.00,853.00,24879.00,602.00,782.00,2901.00,0.00,0.00,1404.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q1,143645.00,143645.00,0.00,0.00,143645.00,10661.00,0.00,0.00,4290.00,1433.00,95443.00,0.00,73.00,993.00,25110.00,632.00,842.00,2768.00,0.00,0.00,1400.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q2,146603.00,146603.00,0.00,0.00,146603.00,10899.00,0.00,0.00,4336.00,1481.00,97998.00,0.00,76.00,926.00,25337.00,660.00,903.00,2520.00,0.00,0.00,1467.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q3,150179.00,150179.00,0.00,0.00,150179.00,11114.00,0.00,0.00,4378.00,1527.00,100700.00,0.00,81.00,1015.00,25413.00,687.00,962.00,2604.00,0.00,0.00,1698.00,0.00,ND,ND,ND,ND,ND,ND
1961:Q4,154027.00,154027.00,0.00,0.00,154027.00,11242.00,0.00,0.00,4448.00,1564.00,103273.00,0.00,88.00,1083.00,25776.00,717.00,1015.00,2870.00,0.00,0.00,1951.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q1,156488.00,156488.00,0.00,0.00,156488.00,11677.00,0.00,0.00,4506.00,1595.00,104939.00,0.00,98.00,1134.00,25825.00,749.00,1062.00,3020.00,0.00,0.00,1883.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q2,160237.00,160237.00,0.00,0.00,160237.00,11920.00,0.00,0.00,4476.00,1620.00,108193.00,0.00,111.00,1095.00,25966.00,784.00,1106.00,2863.00,0.00,0.00,2103.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q3,164345.00,164345.00,0.00,0.00,164345.00,12176.00,0.00,0.00,4463.00,1640.00,111588.00,0.00,124.00,1158.00,26059.00,820.00,1148.00,2840.00,0.00,0.00,2329.00,0.00,ND,ND,ND,ND,ND,ND
1962:Q4,168307.00,168307.00,0.00,0.00,168307.00,12568.00,0.00,0.00,4496.00,1656.00,114637.00,0.00,135.00,1227.00,26374.00,855.00,1190.00,2835.00,0.00,0.00,2334.00,0.00,ND,ND,ND,ND,ND,ND
1963:Q1,171352.00,171352.00,0.00,0.00,171352.00,12882.00,0.00,0.00,4453.00,1668.00,117371.00,0.00,145.00,1327.00,26538.00,890.00,1235.00,2517.00,0.00,0.00,2326.00,0.00,ND,ND,ND,ND,ND,ND
