1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,33138.00,550.00,22183.00,4565.00,5023.00,3235.00,0.00,1788.00,0.00,0.00,817.00,326.00,355.00,136.00,33138.00,5.00,32422.00,711.00,0.00,0.00
1952:Q1,32772.00,550.00,21916.00,4605.00,4861.00,3353.00,0.00,1508.00,0.00,0.00,840.00,248.00,327.00,265.00,32772.00,18.00,31949.00,805.00,0.00,0.00
1952:Q2,33707.00,533.00,21494.00,4938.00,5896.00,3499.00,0.00,2397.00,0.00,0.00,846.00,288.00,287.00,271.00,33707.00,20.00,32799.00,888.00,0.00,0.00
1952:Q3,33622.00,466.00,21955.00,4965.00,5381.00,3630.00,0.00,1751.00,0.00,0.00,855.00,294.00,301.00,260.00,33622.00,49.00,32765.00,808.00,0.00,0.00
1952:Q4,35892.00,417.00,22979.00,4944.00,6697.00,4355.00,0.00,2342.00,0.00,0.00,855.00,279.00,279.00,297.00,35892.00,34.00,35011.00,847.00,0.00,0.00
1953:Q1,35214.00,431.00,23076.00,4825.00,6071.00,4168.00,0.00,1903.00,0.00,0.00,811.00,244.00,283.00,284.00,35214.00,22.00,34364.00,828.00,0.00,0.00
1953:Q2,35336.00,571.00,22709.00,4995.00,6356.00,4258.00,0.00,2098.00,0.00,0.00,705.00,212.00,225.00,268.00,35336.00,13.00,34465.00,858.00,0.00,0.00
1953:Q3,35784.00,347.00,23000.00,5130.00,6697.00,4353.00,0.00,2344.00,0.00,0.00,610.00,186.00,187.00,237.00,35784.00,3.00,34924.00,857.00,0.00,0.00
1953:Q4,34977.00,478.00,22417.00,4434.00,6921.00,4184.00,0.00,2737.00,0.00,0.00,727.00,223.00,266.00,238.00,34977.00,17.00,34061.00,899.00,0.00,0.00
1954:Q1,34028.00,583.00,22094.00,4521.00,6109.00,3877.00,0.00,2232.00,0.00,0.00,721.00,220.00,257.00,244.00,34028.00,16.00,33106.00,906.00,0.00,0.00
1954:Q2,34386.00,510.00,21445.00,4764.00,6966.00,4015.00,0.00,2951.00,0.00,0.00,701.00,205.00,269.00,227.00,34386.00,16.00,33431.00,939.00,0.00,0.00
1954:Q3,34853.00,581.00,21273.00,5029.00,7059.00,3969.00,0.00,3090.00,0.00,0.00,911.00,297.00,365.00,249.00,34853.00,106.00,33782.00,965.00,0.00,0.00
1954:Q4,35768.00,675.00,21761.00,4661.00,7475.00,4045.00,0.00,3430.00,0.00,0.00,1196.00,422.00,449.00,325.00,35768.00,134.00,34605.00,1029.00,0.00,0.00
1955:Q1,36085.00,804.00,22121.00,4649.00,7367.00,4245.00,0.00,3122.00,0.00,0.00,1144.00,413.00,386.00,345.00,36085.00,94.00,35001.00,990.00,0.00,0.00
1955:Q2,38715.00,1386.00,22866.00,5292.00,7968.00,4514.00,0.00,3454.00,0.00,0.00,1203.00,426.00,390.00,387.00,38715.00,54.00,37628.00,1033.00,0.00,0.00
1955:Q3,40289.00,1451.00,23814.00,5665.00,8095.00,4859.00,0.00,3236.00,0.00,0.00,1264.00,434.00,372.00,458.00,40289.00,14.00,39279.00,996.00,0.00,0.00
1955:Q4,43430.00,1799.00,25662.00,5737.00,8819.00,4972.00,0.00,3847.00,0.00,0.00,1413.00,427.00,458.00,528.00,43430.00,2.00,42431.00,997.00,0.00,0.00
1956:Q1,44014.00,1432.00,27113.00,5764.00,8296.00,4987.00,0.00,3309.00,0.00,0.00,1409.00,422.00,419.00,568.00,44014.00,1.00,43004.00,1009.00,0.00,0.00
1956:Q2,46149.00,1388.00,28607.00,6217.00,8460.00,5080.00,0.00,3380.00,0.00,0.00,1477.00,439.00,451.00,587.00,46149.00,1.00,45080.00,1068.00,0.00,0.00
1956:Q3,46631.00,874.00,29331.00,6565.00,8314.00,5256.00,0.00,3058.00,0.00,0.00,1547.00,436.00,467.00,644.00,46631.00,1.00,45501.00,1129.00,0.00,0.00
1956:Q4,48540.00,1181.00,30747.00,6279.00,8544.00,5268.00,0.00,3276.00,0.00,0.00,1789.00,500.00,579.00,710.00,48540.00,26.00,47375.00,1139.00,0.00,0.00
1957:Q1,48116.00,1507.00,30873.00,6218.00,7730.00,5057.00,0.00,2673.00,0.00,0.00,1788.00,477.00,585.00,726.00,48116.00,26.00,46979.00,1111.00,0.00,0.00
1957:Q2,50490.00,1972.00,32125.00,6582.00,7951.00,4969.00,0.00,2982.00,0.00,0.00,1860.00,522.00,602.00,736.00,50490.00,1.00,49334.00,1155.00,0.00,0.00
1957:Q3,50151.00,1724.00,31811.00,6658.00,8006.00,4971.00,0.00,3035.00,0.00,0.00,1952.00,609.00,570.00,773.00,50151.00,7.00,49015.00,1129.00,0.00,0.00
1957:Q4,50713.00,1568.00,31971.00,6732.00,8336.00,4943.00,0.00,3393.00,0.00,0.00,2106.00,678.00,569.00,859.00,50713.00,5.00,49588.00,1120.00,0.00,0.00
1958:Q1,48684.00,762.00,30808.00,6609.00,8355.00,5057.00,0.00,3298.00,0.00,0.00,2150.00,704.00,522.00,924.00,48684.00,0.00,47544.00,1140.00,0.00,0.00
1958:Q2,50145.00,333.00,30687.00,7098.00,9659.00,5171.00,0.00,4488.00,0.00,0.00,2368.00,799.00,611.00,958.00,50145.00,0.00,48932.00,1213.00,0.00,0.00
1958:Q3,48511.00,472.00,30474.00,7158.00,7861.00,4885.00,0.00,2976.00,0.00,0.00,2546.00,900.00,623.00,1023.00,48511.00,1.00,47280.00,1230.00,0.00,0.00
1958:Q4,51916.00,1239.00,31650.00,7288.00,9092.00,5400.00,0.00,3692.00,0.00,0.00,2647.00,892.00,656.00,1099.00,51916.00,18.00,50681.00,1217.00,0.00,0.00
1959:Q1,50969.00,781.00,31437.00,7374.00,8831.00,5914.00,0.00,2917.00,0.00,0.00,2546.00,798.00,652.00,1096.00,50969.00,18.00,49709.00,1242.00,0.00,0.00
1959:Q2,54594.00,1016.00,33407.00,7986.00,9576.00,6457.00,0.00,3119.00,0.00,0.00,2609.00,798.00,680.00,1131.00,54594.00,17.00,53310.00,1267.00,0.00,0.00
1959:Q3,56558.00,1320.00,34014.00,8279.00,10264.00,6963.00,0.00,3301.00,0.00,0.00,2681.00,818.00,671.00,1192.00,56558.00,1.00,55252.00,1305.00,0.00,0.00
1959:Q4,60559.00,1424.00,35439.00,8343.00,12492.00,7247.00,0.00,5245.00,0.00,0.00,2861.00,888.00,722.00,1251.00,60559.00,5.00,59231.00,1323.00,0.00,0.00
1960:Q1,59674.00,908.00,35977.00,8464.00,11584.00,7180.00,0.00,4404.00,0.00,0.00,2741.00,860.00,691.00,1190.00,59674.00,20.00,58365.00,1289.00,0.00,0.00
1960:Q2,62131.00,1572.00,36856.00,8850.00,12153.00,7238.00,0.00,4915.00,0.00,0.00,2700.00,800.00,679.00,1221.00,62131.00,0.00,60771.00,1360.00,0.00,0.00
1960:Q3,61622.00,1526.00,36542.00,8882.00,11938.00,6658.00,0.00,5280.00,0.00,0.00,2734.00,788.00,704.00,1242.00,61622.00,19.00,60159.00,1444.00,0.00,0.00
1960:Q4,63668.00,2122.00,37651.00,8858.00,12027.00,6693.00,0.00,5334.00,0.00,0.00,3010.00,861.00,765.00,1384.00,63668.00,8.00,62153.00,1507.00,0.00,0.00
1961:Q1,61810.00,1795.00,37641.00,8971.00,10386.00,5247.00,0.00,5139.00,0.00,0.00,3017.00,849.00,807.00,1361.00,61810.00,8.00,59854.00,1948.00,0.00,0.00
1961:Q2,63008.00,2857.00,37343.00,9214.00,10385.00,5149.00,0.00,5236.00,0.00,0.00,3209.00,839.00,863.00,1507.00,63008.00,1.00,60916.00,2091.00,0.00,0.00
1961:Q3,63898.00,2725.00,37134.00,9395.00,11384.00,5449.00,0.00,5935.00,0.00,0.00,3260.00,793.00,885.00,1582.00,63898.00,2.00,61951.00,1945.00,0.00,0.00
1961:Q4,68122.00,2992.00,38585.00,9459.00,13346.00,6350.00,0.00,6996.00,0.00,0.00,3740.00,988.00,1013.00,1739.00,68122.00,15.00,66244.00,1863.00,0.00,0.00
1962:Q1,66909.00,3202.00,38089.00,9617.00,11872.00,5232.00,0.00,6640.00,0.00,0.00,4129.00,1120.00,1163.00,1846.00,66909.00,65.00,65118.00,1726.00,0.00,0.00
1962:Q2,68661.00,3084.00,39474.00,10147.00,11812.00,5987.00,0.00,5825.00,0.00,0.00,4144.00,1200.00,1172.00,1772.00,68661.00,33.00,67058.00,1570.00,0.00,0.00
1962:Q3,70053.00,3259.00,40045.00,10332.00,12318.00,6129.00,0.00,6189.00,0.00,0.00,4099.00,1163.00,1108.00,1828.00,70053.00,11.00,68368.00,1674.00,0.00,0.00
1962:Q4,75331.00,3450.00,42226.00,10573.00,14929.00,6999.00,0.00,7930.00,0.00,0.00,4153.00,1033.00,1246.00,1874.00,75331.00,1.00,73638.00,1692.00,0.00,0.00
1963:Q1,73087.00,3160.00,41735.00,10639.00,13572.00,6239.00,0.00,7333.00,0.00,0.00,3981.00,914.00,1169.00,1898.00,73087.00,30.00,71199.00,1858.00,0.00,0.00
1963:Q2,76407.00,3756.00,42769.00,11221.00,14556.00,6830.00,0.00,7726.00,0.00,0.00,4105.00,880.00,1173.00,2052.00,76407.00,0.00,74402.00,2005.00,0.00,0.00
1963:Q3,77862.00,3373.00,42999.00,11351.00,15871.00,7417.00,0.00,8454.00,0.00,0.00,4268.00,916.00,1201.00,2151.00,77862.00,30.00,75631.00,2201.00,0.00,0.00
1963:Q4,83246.00,3794.00,45623.00,11731.00,17313.00,8428.00,0.00,8885.00,0.00,0.00,4785.00,914.00,1412.00,2459.00,83246.00,32.00,81068.00,2146.00,0.00,0.00
1964:Q1,79857.00,3561.00,45036.00,11911.00,14201.00,7208.00,0.00,6993.00,0.00,0.00,5148.00,890.00,1597.00,2661.00,79857.00,0.00,77670.00,2187.00,0.00,0.00
1964:Q2,86469.00,4366.00,46688.00,12393.00,17648.00,8416.00,0.00,9232.00,0.00,0.00,5374.00,818.00,1689.00,2867.00,86469.00,0.00,84231.00,2238.00,0.00,0.00
1964:Q3,85537.00,3863.00,47295.00,12529.00,16084.00,7824.00,0.00,8260.00,0.00,0.00,5766.00,816.00,1867.00,3083.00,85537.00,2.00,83225.00,2310.00,0.00,0.00
1964:Q4,91975.00,5134.00,50264.00,12477.00,17588.00,8388.00,0.00,9200.00,0.00,0.00,6512.00,939.00,1968.00,3605.00,91975.00,30.00,89781.00,2164.00,0.00,0.00
1965:Q1,93352.00,4309.00,52461.00,12968.00,16179.00,7881.00,0.00,8298.00,0.00,0.00,7435.00,1074.00,2265.00,4096.00,93352.00,15.00,91072.00,2265.00,0.00,0.00
1965:Q2,99774.00,4292.00,55467.00,13599.00,19377.00,9726.00,0.00,9651.00,0.00,0.00,7039.00,1034.00,2082.00,3923.00,99774.00,11.00,97590.00,2173.00,0.00,0.00
1965:Q3,99148.00,3929.00,56659.00,13802.00,17722.00,10233.00,0.00,7489.00,0.00,0.00,7036.00,1073.00,2047.00,3916.00,99148.00,7.00,96831.00,2310.00,0.00,0.00
1965:Q4,107748.00,4707.00,61141.00,14046.00,20753.00,11706.00,0.00,9047.00,0.00,0.00,7101.00,1064.00,2118.00,3919.00,107748.00,41.00,105702.00,2005.00,0.00,0.00
1966:Q1,106267.00,3546.00,62119.00,14668.00,19018.00,10895.00,0.00,8123.00,0.00,0.00,6916.00,954.00,2036.00,3926.00,106267.00,20.00,104167.00,2080.00,0.00,0.00
1966:Q2,115639.00,5292.00,66583.00,15622.00,21255.00,12095.00,0.00,9160.00,0.00,0.00,6887.00,987.00,2005.00,3895.00,115639.00,5.00,113580.00,2054.00,0.00,0.00
1966:Q3,112920.00,4707.00,67759.00,15650.00,17885.00,10585.00,0.00,7300.00,0.00,0.00,6919.00,957.00,2133.00,3829.00,112920.00,15.00,110684.00,2221.00,0.00,0.00
1966:Q4,119155.00,5378.00,69715.00,16296.00,20715.00,11074.00,0.00,9641.00,0.00,0.00,7051.00,960.00,2249.00,3842.00,119155.00,0.00,116710.00,2445.00,0.00,0.00
1967:Q1,116270.00,4488.00,70151.00,16495.00,18190.00,9285.00,0.00,8905.00,0.00,0.00,6946.00,888.00,2205.00,3853.00,116270.00,10.00,113709.00,2551.00,0.00,0.00
1967:Q2,120912.00,5045.00,73315.00,17240.00,18717.00,10311.00,0.00,8406.00,0.00,0.00,6595.00,891.00,2040.00,3664.00,120912.00,15.00,118375.00,2522.00,0.00,0.00
1967:Q3,119677.00,3532.00,72504.00,17199.00,19714.00,10233.00,0.00,9481.00,0.00,0.00,6728.00,970.00,2032.00,3726.00,119677.00,0.00,117072.00,2605.00,0.00,0.00
1967:Q4,135323.00,13404.00,76269.00,17657.00,21298.00,10712.00,0.00,10586.00,0.00,0.00,6695.00,975.00,1847.00,3873.00,135323.00,0.00,132740.00,2583.00,0.00,0.00
1968:Q1,124088.00,4976.00,75965.00,17895.00,18762.00,8707.00,105.00,9950.00,0.00,0.00,6490.00,927.00,1821.00,3742.00,124088.00,15.00,121322.00,2751.00,0.00,0.00
1968:Q2,130884.00,6276.00,79707.00,18759.00,19725.00,10278.00,207.00,9240.00,0.00,0.00,6417.00,856.00,1892.00,3669.00,130884.00,13.00,128009.00,2862.00,0.00,0.00
1968:Q3,131284.00,5424.00,80255.00,18709.00,20474.00,9889.00,335.00,10250.00,0.00,0.00,6422.00,818.00,2006.00,3598.00,131284.00,0.00,128285.00,2999.00,0.00,0.00
1968:Q4,142036.00,6808.00,86106.00,19120.00,23706.00,11819.00,566.00,11321.00,0.00,0.00,6296.00,774.00,1907.00,3615.00,142036.00,0.00,139072.00,2964.00,0.00,0.00
1969:Q1,140493.00,4866.00,87278.00,19989.00,22178.00,10803.00,625.00,10750.00,0.00,0.00,6182.00,760.00,1949.00,3473.00,140493.00,0.00,137256.00,3237.00,0.00,0.00
1969:Q2,148831.00,5892.00,91765.00,21026.00,23969.00,13021.00,710.00,10238.00,0.00,0.00,6179.00,769.00,2066.00,3344.00,148831.00,0.00,145383.00,3448.00,0.00,0.00
1969:Q3,145958.00,5043.00,91186.00,21617.00,22229.00,11103.00,776.00,10350.00,0.00,0.00,5883.00,697.00,2038.00,3148.00,145958.00,0.00,142108.00,3850.00,0.00,0.00
1969:Q4,155409.00,7557.00,95655.00,21874.00,24294.00,12817.00,955.00,10522.00,0.00,0.00,6029.00,765.00,2095.00,3169.00,155409.00,0.00,151216.00,4193.00,0.00,0.00
1970:Q1,148525.00,5199.00,93524.00,21835.00,21915.00,11674.00,791.00,9450.00,0.00,0.00,6052.00,813.00,2098.00,3141.00,148525.00,40.00,143364.00,5121.00,0.00,0.00
1970:Q2,154379.00,5751.00,96837.00,22451.00,23393.00,14194.00,897.00,8302.00,0.00,0.00,5947.00,804.00,1984.00,3159.00,154379.00,90.00,149203.00,5086.00,0.00,0.00
1970:Q3,157302.00,5633.00,98636.00,22522.00,24522.00,14178.00,894.00,9450.00,0.00,0.00,5989.00,646.00,2188.00,3155.00,157302.00,0.00,151086.00,6216.00,0.00,0.00
1970:Q4,163900.00,7493.00,101697.00,22287.00,26599.00,14977.00,1033.00,10589.00,0.00,0.00,5824.00,623.00,2031.00,3170.00,163900.00,0.00,157244.00,6656.00,0.00,0.00
1971:Q1,159626.00,5153.00,99687.00,22836.00,26294.00,14756.00,1288.00,10250.00,0.00,0.00,5656.00,601.00,1734.00,3321.00,159626.00,0.00,153180.00,6446.00,0.00,0.00
1971:Q2,166639.00,6879.00,102607.00,23780.00,27619.00,16306.00,1416.00,9897.00,0.00,0.00,5754.00,622.00,1662.00,3470.00,166639.00,0.00,160313.00,6326.00,0.00,0.00
1971:Q3,167620.00,6039.00,104363.00,23887.00,26704.00,14339.00,1615.00,10750.00,0.00,0.00,6627.00,702.00,2187.00,3738.00,167620.00,0.00,160913.00,6707.00,0.00,0.00
1971:Q4,175266.00,8094.00,106157.00,24461.00,29263.00,15926.00,1635.00,11702.00,0.00,0.00,7291.00,806.00,2372.00,4113.00,175266.00,0.00,168101.00,7165.00,0.00,0.00
1972:Q1,176304.00,6401.00,106744.00,24887.00,30546.00,15902.00,2094.00,12550.00,0.00,0.00,7726.00,811.00,2486.00,4429.00,176304.00,0.00,168656.00,7648.00,0.00,0.00
1972:Q2,185671.00,8386.00,110749.00,26261.00,32376.00,16816.00,2215.00,13345.00,0.00,0.00,7899.00,884.00,2207.00,4808.00,185671.00,0.00,178019.00,7652.00,0.00,0.00
1972:Q3,189833.00,7181.00,112568.00,26176.00,34630.00,17517.00,2163.00,14950.00,0.00,0.00,9278.00,939.00,3044.00,5295.00,189833.00,0.00,181390.00,8443.00,0.00,0.00
1972:Q4,206045.00,8616.00,119174.00,27222.00,40644.00,20881.00,2970.00,16793.00,0.00,0.00,10389.00,1002.00,3528.00,5859.00,206045.00,0.00,196065.00,9980.00,0.00,0.00
1973:Q1,217668.00,10062.00,126701.00,30669.00,38931.00,20406.00,4015.00,14510.00,0.00,0.00,11305.00,1024.00,4177.00,6104.00,217668.00,0.00,207145.00,10523.00,0.00,0.00
1973:Q2,231048.00,10434.00,131863.00,35916.00,40418.00,22865.00,4993.00,12560.00,0.00,0.00,12417.00,1183.00,4619.00,6615.00,231048.00,0.00,220053.00,10995.00,0.00,0.00
1973:Q3,237098.00,12058.00,132131.00,40998.00,40222.00,22512.00,5453.00,12257.00,0.00,0.00,11689.00,1170.00,4425.00,6094.00,237098.00,0.00,225202.00,11896.00,0.00,0.00
1973:Q4,247213.00,11894.00,134126.00,44887.00,43202.00,24370.00,6330.00,12502.00,0.00,0.00,13104.00,1440.00,5128.00,6536.00,247213.00,0.00,233792.00,13421.00,0.00,0.00
1974:Q1,251551.00,10048.00,137548.00,47909.00,41472.00,22918.00,7417.00,10937.00,200.00,0.00,14574.00,1705.00,6420.00,6449.00,251551.00,0.00,238046.00,13505.00,0.00,0.00
1974:Q2,271401.00,12490.00,147980.00,50597.00,42461.00,23727.00,8619.00,9715.00,400.00,0.00,17873.00,2009.00,8466.00,7398.00,271401.00,0.00,255052.00,16349.00,0.00,0.00
1974:Q3,275910.00,13625.00,151507.00,52204.00,41659.00,22109.00,9400.00,9550.00,600.00,0.00,16915.00,1947.00,7503.00,7465.00,275910.00,0.00,259009.00,16901.00,0.00,0.00
1974:Q4,285987.00,16666.00,156066.00,53190.00,42305.00,22208.00,9580.00,9717.00,800.00,0.00,17760.00,1705.00,8244.00,7811.00,285987.00,0.00,266388.00,19599.00,0.00,0.00
1975:Q1,271327.00,15443.00,147759.00,54100.00,37497.00,17924.00,9069.00,9504.00,1000.00,0.00,16528.00,1711.00,6726.00,8091.00,271327.00,0.00,252409.00,18918.00,0.00,0.00
1975:Q2,273444.00,17578.00,145313.00,55093.00,36930.00,18491.00,7609.00,9530.00,1300.00,0.00,18530.00,1768.00,8022.00,8740.00,273444.00,0.00,254212.00,19232.00,0.00,0.00
1975:Q3,268348.00,18517.00,141120.00,55983.00,32202.00,13959.00,6228.00,10415.00,1600.00,0.00,20526.00,1917.00,9008.00,9601.00,268348.00,0.00,248689.00,19659.00,0.00,0.00
1975:Q4,273642.00,21548.00,141944.00,56659.00,31872.00,13260.00,5300.00,11312.00,2000.00,0.00,21619.00,1964.00,9335.00,10320.00,273642.00,0.00,252902.00,20740.00,0.00,0.00
1976:Q1,264455.00,19479.00,134401.00,57632.00,30369.00,13072.00,4765.00,10432.00,2100.00,0.00,22574.00,2081.00,10092.00,10401.00,264455.00,0.00,243438.00,21017.00,0.00,0.00
1976:Q2,273874.00,21438.00,136841.00,59546.00,31634.00,12977.00,4301.00,12156.00,2200.00,0.00,24415.00,2166.00,11359.00,10890.00,273874.00,0.00,251738.00,22136.00,0.00,0.00
1976:Q3,271220.00,19908.00,135801.00,60857.00,30747.00,11353.00,3987.00,13107.00,2300.00,0.00,23907.00,2093.00,10759.00,11055.00,271220.00,0.00,248958.00,22262.00,0.00,0.00
1976:Q4,285984.00,21741.00,138761.00,62117.00,34970.00,13277.00,3400.00,15961.00,2332.00,0.00,28395.00,2855.00,13534.00,12006.00,285984.00,0.00,261354.00,24630.00,0.00,0.00
1977:Q1,285049.00,22287.00,141318.00,63660.00,31864.00,12160.00,2878.00,14526.00,2300.00,0.00,25920.00,2409.00,11679.00,11832.00,285049.00,0.00,261573.00,23476.00,0.00,0.00
1977:Q2,294719.00,22236.00,147277.00,66680.00,32255.00,12569.00,2280.00,15006.00,2400.00,0.00,26271.00,2636.00,12159.00,11476.00,294719.00,0.00,270209.00,24510.00,0.00,0.00
1977:Q3,303069.00,21660.00,148563.00,68840.00,35568.00,14346.00,2000.00,16722.00,2500.00,0.00,28438.00,2768.00,13751.00,11919.00,303069.00,0.00,276313.00,26756.00,0.00,0.00
1977:Q4,317187.00,21888.00,153766.00,70439.00,39645.00,16744.00,1870.00,18445.00,2586.00,0.00,31449.00,2937.00,16184.00,12328.00,317187.00,0.00,287354.00,29833.00,0.00,0.00
1978:Q1,323452.00,20780.00,162017.00,72859.00,35200.00,15119.00,1720.00,15761.00,2600.00,0.00,32596.00,3077.00,16821.00,12698.00,323452.00,0.00,290526.00,32926.00,0.00,0.00
1978:Q2,340683.00,21717.00,168747.00,77792.00,38355.00,17363.00,1352.00,16940.00,2700.00,0.00,34072.00,2996.00,17410.00,13666.00,340683.00,0.00,305121.00,35562.00,0.00,0.00
1978:Q3,348559.00,20917.00,167988.00,82437.00,38372.00,17313.00,1226.00,16933.00,2900.00,0.00,38845.00,3705.00,19410.00,15730.00,348559.00,0.00,308722.00,39837.00,0.00,0.00
1978:Q4,371002.00,21191.00,173563.00,85961.00,40347.00,20083.00,1160.00,15824.00,3280.00,0.00,49940.00,5167.00,25707.00,19066.00,371002.00,0.00,322926.00,48076.00,0.00,0.00
1979:Q1,372813.00,18725.00,180066.00,89249.00,38289.00,19226.00,1100.00,13763.00,4200.00,0.00,46484.00,5980.00,21959.00,18545.00,372813.00,0.00,322822.00,49991.00,0.00,0.00
1979:Q2,394161.00,16781.00,190082.00,94380.00,44435.00,22141.00,1020.00,16174.00,5100.00,0.00,48483.00,5161.00,23431.00,19891.00,394161.00,0.00,339165.00,54996.00,0.00,0.00
1979:Q3,414294.00,15675.00,198376.00,98714.00,46334.00,24367.00,930.00,15037.00,6000.00,0.00,55195.00,7653.00,25387.00,22155.00,414294.00,0.00,351396.00,62898.00,0.00,0.00
1979:Q4,421697.00,15841.00,204440.00,101694.00,46728.00,24449.00,830.00,14805.00,6644.00,0.00,52994.00,7307.00,21622.00,24065.00,421697.00,0.00,360488.00,61209.00,0.00,0.00
1980:Q1,424362.00,14815.00,211726.00,102154.00,45415.00,24193.00,800.00,13122.00,7300.00,0.00,50252.00,7874.00,19485.00,22893.00,424362.00,0.00,362303.00,61993.00,66.00,0.00
1980:Q2,419907.00,17010.00,200606.00,102796.00,45978.00,24057.00,751.00,13170.00,8000.00,0.00,53517.00,9228.00,20936.00,23353.00,419907.00,0.00,356428.00,63316.00,163.00,0.00
1980:Q3,434438.00,15861.00,211545.00,103488.00,45351.00,24779.00,710.00,11162.00,8700.00,0.00,58193.00,10002.00,23476.00,24715.00,434438.00,0.00,365382.00,68777.00,279.00,0.00
1980:Q4,467025.00,17469.00,231595.00,104594.00,48593.00,25386.00,680.00,13265.00,9262.00,0.00,64774.00,11851.00,26300.00,26623.00,467025.00,0.00,390477.00,76148.00,400.00,0.00
1981:Q1,461006.00,18657.00,229633.00,106493.00,43517.00,24558.00,651.00,11508.00,6800.00,0.00,62706.00,10938.00,22831.00,28937.00,461006.00,0.00,385526.00,74941.00,539.00,0.00
1981:Q2,485454.00,19654.00,240073.00,111361.00,49757.00,26538.00,620.00,14746.00,7853.00,0.00,64609.00,11226.00,23677.00,29706.00,485454.00,0.00,409833.00,74965.00,656.00,0.00
1981:Q3,504937.00,18736.00,253343.00,114801.00,50183.00,26932.00,590.00,13861.00,8800.00,0.00,67874.00,11796.00,25527.00,30551.00,504937.00,0.00,422376.00,81716.00,845.00,0.00
1981:Q4,522273.00,20911.00,263884.00,115997.00,53680.00,27295.00,560.00,16020.00,9805.00,0.00,67801.00,12621.00,21837.00,33343.00,522273.00,0.00,438826.00,82247.00,1200.00,0.00
1982:Q1,496978.00,19071.00,276785.00,114722.00,49347.00,28593.00,526.00,10828.00,9400.00,0.00,37053.00,4831.00,14676.00,17546.00,496978.00,0.00,440330.00,54909.00,1739.00,0.00
1982:Q2,517454.00,20733.00,297491.00,114130.00,50006.00,28602.00,551.00,11805.00,9048.00,0.00,35094.00,5540.00,13619.00,15935.00,517454.00,0.00,460890.00,54079.00,2485.00,0.00
1982:Q3,532242.00,20160.00,313553.00,112249.00,51961.00,28513.00,573.00,13275.00,9600.00,0.00,34319.00,5954.00,13429.00,14936.00,532242.00,0.00,471842.00,57138.00,3262.00,0.00
1982:Q4,544511.00,22220.00,323733.00,109439.00,55334.00,29886.00,576.00,14575.00,10297.00,0.00,33785.00,5435.00,15055.00,13295.00,544511.00,0.00,483662.00,56949.00,3900.00,0.00
1983:Q1,547058.00,17677.00,326056.00,108888.00,56225.00,31095.00,570.00,13760.00,10800.00,0.00,38212.00,6690.00,15836.00,15686.00,547058.00,0.00,482687.00,59945.00,4426.00,0.00
1983:Q2,552280.00,16842.00,325790.00,110273.00,60784.00,31471.00,480.00,17540.00,11293.00,0.00,38591.00,7541.00,15890.00,15160.00,552280.00,0.00,490156.00,57240.00,4884.00,0.00
1983:Q3,555731.00,17026.00,331693.00,110852.00,58351.00,31576.00,420.00,15455.00,10900.00,0.00,37809.00,7275.00,15360.00,15174.00,555731.00,0.00,490857.00,59576.00,5298.00,0.00
1983:Q4,583772.00,20370.00,352715.00,111560.00,61719.00,32314.00,351.00,18460.00,10594.00,0.00,37408.00,8475.00,14151.00,14782.00,583772.00,0.00,517957.00,60115.00,5700.00,0.00
