date,FU152090205.Q,FU112090205.Q,FU662090205.Q
1945:Q4,ND,ND,ND
1946:Q1,ND,ND,ND
1946:Q2,ND,ND,ND
1946:Q3,ND,ND,ND
1946:Q4,571.00,571.00,0.00
1947:Q1,ND,ND,ND
1947:Q2,ND,ND,ND
1947:Q3,ND,ND,ND
1947:Q4,86.00,86.00,0.00
1948:Q1,ND,ND,ND
1948:Q2,ND,ND,ND
1948:Q3,ND,ND,ND
1948:Q4,4819.00,4819.00,0.00
1949:Q1,ND,ND,ND
1949:Q2,ND,ND,ND
1949:Q3,ND,ND,ND
1949:Q4,1412.00,1412.00,0.00
1950:Q1,ND,ND,ND
1950:Q2,ND,ND,ND
1950:Q3,ND,ND,ND
1950:Q4,2103.00,2103.00,0.00
1951:Q1,ND,ND,ND
1951:Q2,ND,ND,ND
1951:Q3,ND,ND,ND
1993:Q2,7710.00,8053.00,-343.00
1993:Q3,10404.00,9756.00,648.00
1993:Q4,11601.00,11941.00,-340.00
1994:Q1,9694.00,9707.00,-13.00
1994:Q2,16047.00,16588.00,-541.00
1994:Q3,10294.00,10318.00,-24.00
1994:Q4,7980.00,8517.00,-537.00
1995:Q1,10909.00,10881.00,28.00
1995:Q2,4069.00,4526.00,-457.00
1995:Q3,2814.00,2260.00,554.00
1995:Q4,1078.00,1713.00,-635.00
1996:Q1,-2951.00,-3293.00,342.00
1996:Q2,1649.00,1948.00,-299.00
1996:Q3,9.00,-307.00,316.00
1996:Q4,-1695.00,-1642.00,-53.00
1997:Q1,-6664.00,-7600.00,936.00
1997:Q2,-6813.00,-6925.00,112.00
1997:Q3,-5559.00,-5987.00,428.00
1997:Q4,-101.00,291.00,-392.00
1998:Q1,-9071.00,-8560.00,-511.00
1998:Q2,-14545.00,-14122.00,-423.00
1998:Q3,-1555.00,-2659.00,1104.00
1998:Q4,-11901.00,-10310.00,-1591.00
1999:Q1,-6707.00,-6402.00,-305.00
1999:Q2,-21737.00,-21491.00,-246.00
1999:Q3,-17131.00,-18158.00,1027.00
1999:Q4,-22385.00,-23158.00,773.00
2000:Q1,-6059.00,-5931.00,-128.00
2000:Q2,-8310.00,-9179.00,869.00
2000:Q3,5591.00,6423.00,-832.00
2000:Q4,-10707.00,-10611.00,-96.00
2001:Q1,6194.00,2950.00,3244.00
2001:Q2,-5399.00,-6278.00,879.00
2001:Q3,-3383.00,-5840.00,2457.00
2001:Q4,-17347.00,-7485.00,-9862.00
2002:Q1,-18003.00,-15936.00,-2067.00
2002:Q2,-18796.00,-21124.00,2328.00
2002:Q3,-16285.00,-18735.00,2450.00
2002:Q4,-18282.00,-16205.00,-2077.00
2003:Q1,12813.00,12884.00,-71.00
2003:Q2,13028.00,14248.00,-1220.00
2003:Q3,16037.00,16504.00,-467.00
2003:Q4,12117.00,13753.00,-1636.00
2004:Q1,9205.00,11186.00,-1981.00
2004:Q2,25726.00,26064.00,-338.00
2004:Q3,19740.00,18939.00,801.00
2004:Q4,15787.00,18433.00,-2646.00
2005:Q1,-3439.00,-4046.00,607.00
2005:Q2,-10099.00,-9903.00,-196.00
2005:Q3,-23094.00,-21891.00,-1203.00
2005:Q4,-16194.00,-15769.00,-425.00
2006:Q1,3978.00,4221.00,-243.00
2006:Q2,-480.00,-310.00,-170.00
2006:Q3,-54.00,778.00,-832.00
2006:Q4,-8937.00,-3366.00,-5571.00
2007:Q1,-10976.00,-12807.00,1831.00
2007:Q2,-11611.00,-10197.00,-1414.00
2007:Q3,-10914.00,-10760.00,-154.00
2007:Q4,-13177.00,-16498.00,3321.00
2008:Q1,-86201.00,-88286.00,2085.00
2008:Q2,-78237.00,-77227.00,-1010.00
2008:Q3,-76383.00,-77811.00,1428.00
2008:Q4,-65257.00,-74358.00,9101.00
2009:Q1,-29237.00,-35053.00,5816.00
2009:Q2,-28603.00,-23119.00,-5484.00
2009:Q3,-28090.00,-25936.00,-2154.00
2009:Q4,-21670.00,-24053.00,2383.00
2010:Q1,45505.00,45532.00,-27.00
2010:Q2,41424.00,39953.00,1471.00
2010:Q3,38987.00,39787.00,-800.00
2010:Q4,41337.00,41103.00,234.00
2011:Q1,54531.00,57862.00,-3331.00
2011:Q2,56067.00,56437.00,-370.00
2011:Q3,58881.00,57771.00,1110.00
2011:Q4,62051.00,62323.00,-272.00
2012:Q1,32040.00,24840.00,7200.00
2012:Q2,22262.00,21055.00,1207.00
2012:Q3,19793.00,20995.00,-1202.00
2012:Q4,15850.00,16353.00,-503.00
2013:Q1,44860.00,46173.00,-1313.00
2013:Q2,43813.00,43652.00,161.00
2013:Q3,44057.00,48355.00,-4298.00
2013:Q4,48844.00,48591.00,253.00
2014:Q1,10898.00,9926.00,972.00
2014:Q2,4718.00,5048.00,-330.00
2014:Q3,6219.00,4496.00,1723.00
2014:Q4,6121.00,6439.00,-318.00
2015:Q1,11996.00,12308.00,-312.00
2015:Q2,8941.00,9430.00,-489.00
2015:Q3,20479.00,14434.00,6045.00
2015:Q4,10075.00,13000.00,-2925.00
2016:Q1,23552.00,25515.00,-1963.00
2016:Q2,28089.00,28898.00,-809.00
