1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,1710.00,0.00,0.00,0.00,0.00,0.00,0.00,568.00,568.00,568.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1142.00,884.00,258.00,0.00,0.00,0.00,1710.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1710.00,884.00,884.00,826.00,0.00,258.00,568.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1142.00,-316.00,-826.00,1142.00,0.00
1954:Q3,1735.00,0.00,0.00,0.00,0.00,0.00,0.00,592.00,592.00,592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1143.00,892.00,251.00,0.00,0.00,0.00,1735.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1735.00,892.00,892.00,843.00,0.00,251.00,592.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1143.00,-300.00,-843.00,1143.00,0.00
1954:Q4,1760.00,0.00,0.00,0.00,0.00,0.00,0.00,588.00,588.00,588.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1172.00,920.00,252.00,0.00,0.00,0.00,1760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1760.00,920.00,920.00,840.00,0.00,252.00,588.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1172.00,-332.00,-840.00,1172.00,0.00
1955:Q1,1924.00,0.00,0.00,0.00,0.00,0.00,0.00,680.00,680.00,672.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,1244.00,984.00,260.00,0.00,0.00,0.00,1924.00,8.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,1916.00,984.00,984.00,932.00,0.00,260.00,672.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,-1236.00,-304.00,-932.00,1244.00,0.00
1955:Q2,1832.00,0.00,0.00,0.00,0.00,0.00,0.00,716.00,716.00,708.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,1116.00,848.00,268.00,0.00,0.00,0.00,1832.00,8.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,1824.00,848.00,848.00,976.00,0.00,268.00,708.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,-1108.00,-132.00,-976.00,1116.00,0.00
1955:Q3,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,756.00,756.00,748.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,1244.00,940.00,304.00,0.00,0.00,0.00,2000.00,8.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,1992.00,940.00,940.00,1052.00,0.00,304.00,748.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,-1236.00,-184.00,-1052.00,1244.00,0.00
1955:Q4,2140.00,0.00,0.00,0.00,0.00,0.00,0.00,732.00,732.00,724.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,1408.00,1100.00,308.00,0.00,0.00,0.00,2140.00,8.00,0.00,0.00,0.00,8.00,0.00,8.00,0.00,0.00,0.00,2132.00,1100.00,1100.00,1032.00,0.00,308.00,724.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-8.00,0.00,-1400.00,-368.00,-1032.00,1408.00,0.00
1956:Q1,2227.00,0.00,0.00,0.00,0.00,0.00,0.00,756.00,756.00,738.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,1471.00,1144.00,327.00,0.00,0.00,0.00,2227.00,18.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00,2209.00,1144.00,1144.00,1065.00,0.00,327.00,738.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,-1453.00,-388.00,-1065.00,1471.00,0.00
1956:Q2,2511.00,0.00,0.00,0.00,0.00,0.00,0.00,788.00,788.00,770.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,1723.00,1388.00,335.00,0.00,0.00,0.00,2511.00,18.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00,2493.00,1388.00,1388.00,1105.00,0.00,335.00,770.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,-1705.00,-600.00,-1105.00,1723.00,0.00
1956:Q3,2463.00,0.00,0.00,0.00,0.00,0.00,0.00,844.00,844.00,826.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,1619.00,1280.00,339.00,0.00,0.00,0.00,2463.00,18.00,0.00,0.00,0.00,18.00,0.00,18.00,0.00,0.00,0.00,2445.00,1280.00,1280.00,1165.00,0.00,339.00,826.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-18.00,0.00,-1601.00,-436.00,-1165.00,1619.00,0.00
