1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q2,22582.00,21578.00,812.00,1572.00,-210.00,-1170.00,25505.00,1853.00,21578.00,0.00,0.00,2074.00,-2923.00,2950.00,2950.00,0.00,18628.00,18628.00,0.00,0.00,1853.00,1853.00,1029.00,824.00,444.00,444.00,0.00,1734.00,2108.00,374.00,104.00,76.00,28.00,0.00,0.00,0.00,2074.00,-1409.00,-1356.00,187.00,210.00,1170.00,53.00,-2923.00
1957:Q3,23045.00,21634.00,1221.00,1553.00,-218.00,-1145.00,25402.00,1761.00,21634.00,0.00,0.00,2007.00,-2357.00,3040.00,3040.00,0.00,18594.00,18594.00,0.00,0.00,1761.00,1761.00,985.00,776.00,391.00,391.00,0.00,1717.00,2086.00,369.00,101.00,68.00,33.00,0.00,0.00,0.00,2007.00,-863.00,-810.00,184.00,218.00,1145.00,53.00,-2357.00
1957:Q4,22704.00,22369.00,259.00,1580.00,-223.00,-1281.00,25802.00,1474.00,22369.00,0.00,0.00,1959.00,-3098.00,3335.00,3335.00,0.00,19034.00,19034.00,0.00,0.00,1474.00,1474.00,1424.00,50.00,331.00,331.00,0.00,1748.00,2121.00,373.00,120.00,79.00,41.00,0.00,0.00,0.00,1959.00,-1467.00,-1410.00,184.00,223.00,1281.00,57.00,-3098.00
1958:Q1,20136.00,21316.00,-1151.00,1633.00,-229.00,-1433.00,24237.00,822.00,21316.00,0.00,0.00,2099.00,-4101.00,2890.00,2890.00,0.00,18426.00,18426.00,0.00,0.00,822.00,822.00,704.00,118.00,401.00,401.00,0.00,1791.00,2171.00,380.00,93.00,65.00,28.00,0.00,0.00,0.00,2099.00,-2309.00,-2251.00,188.00,229.00,1433.00,58.00,-4101.00
1958:Q2,20285.00,21585.00,-1352.00,1767.00,-235.00,-1480.00,24813.00,924.00,21585.00,0.00,0.00,2304.00,-4528.00,3017.00,3017.00,0.00,18568.00,18568.00,0.00,0.00,924.00,924.00,796.00,128.00,515.00,515.00,0.00,1917.00,2317.00,400.00,128.00,114.00,14.00,0.00,0.00,0.00,2304.00,-2677.00,-2614.00,199.00,235.00,1480.00,63.00,-4528.00
1958:Q3,21209.00,21241.00,-74.00,1800.00,-239.00,-1519.00,24803.00,1286.00,21241.00,0.00,0.00,2276.00,-3594.00,3140.00,3140.00,0.00,18101.00,18101.00,0.00,0.00,1286.00,1286.00,949.00,337.00,465.00,465.00,0.00,1951.00,2357.00,406.00,140.00,125.00,15.00,0.00,0.00,0.00,2276.00,-1700.00,-1634.00,202.00,239.00,1519.00,66.00,-3594.00
1958:Q4,21502.00,21753.00,-150.00,1804.00,-240.00,-1665.00,25206.00,1342.00,21753.00,0.00,0.00,2111.00,-3704.00,3249.00,3249.00,0.00,18504.00,18504.00,0.00,0.00,1342.00,1342.00,1296.00,46.00,292.00,292.00,0.00,1955.00,2361.00,406.00,136.00,120.00,16.00,0.00,0.00,0.00,2111.00,-1664.00,-1598.00,201.00,240.00,1665.00,66.00,-3704.00
1959:Q1,21356.00,21284.00,258.00,1758.00,-188.00,-1756.00,24872.00,1318.00,21284.00,0.00,0.00,2270.00,-3516.00,3090.00,3090.00,0.00,18194.00,18194.00,0.00,0.00,1318.00,1318.00,746.00,572.00,458.00,458.00,0.00,1911.00,2339.00,428.00,99.00,84.00,15.00,0.00,0.00,0.00,2270.00,-1434.00,-1371.00,201.00,188.00,1756.00,63.00,-3516.00
1959:Q2,22310.00,21448.00,1015.00,1698.00,-130.00,-1721.00,25393.00,1738.00,21448.00,0.00,0.00,2207.00,-3083.00,3260.00,3260.00,0.00,18188.00,18188.00,0.00,0.00,1738.00,1738.00,846.00,892.00,450.00,450.00,0.00,1854.00,2315.00,461.00,97.00,82.00,15.00,0.00,0.00,0.00,2207.00,-1091.00,-1031.00,201.00,130.00,1721.00,60.00,-3083.00
1959:Q3,21988.00,21000.00,1051.00,1652.00,-74.00,-1641.00,24366.00,1280.00,21000.00,0.00,0.00,2086.00,-2378.00,3240.00,3240.00,0.00,17760.00,17760.00,0.00,0.00,1280.00,1280.00,951.00,329.00,391.00,391.00,0.00,1811.00,2300.00,489.00,116.00,102.00,14.00,0.00,0.00,0.00,2086.00,-518.00,-461.00,202.00,74.00,1641.00,57.00,-2378.00
