1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1976:Q3,4286.00,2906.00,-976.00,3882.00,507.00,873.00,4286.00,1088.00,510.00,0.00,348.00,390.00,6.00,98.00,0.00,1209.00,210.00,233.00,0.00,88.00,0.00,0.00,0.00,106.00,0.00
1976:Q4,2792.00,1371.00,-3316.00,4687.00,618.00,803.00,2792.00,-2103.00,244.00,0.00,-7.00,1420.00,14.00,121.00,0.00,2220.00,188.00,-23.00,0.00,414.00,0.00,0.00,0.00,304.00,0.00
1977:Q1,4468.00,2494.00,-3326.00,5820.00,753.00,1221.00,4468.00,508.00,-124.00,0.00,-257.00,1363.00,-80.00,-61.00,0.00,3112.00,118.00,-488.00,0.00,459.00,0.00,0.00,0.00,-82.00,0.00
1977:Q2,12570.00,9509.00,2226.00,7283.00,910.00,2151.00,12570.00,4586.00,292.00,0.00,-143.00,4327.00,12.00,-58.00,0.00,1718.00,93.00,756.00,0.00,419.00,0.00,0.00,0.00,539.00,29.00
1977:Q3,6889.00,4327.00,-352.00,4679.00,928.00,1634.00,6889.00,-1132.00,672.00,0.00,416.00,3323.00,137.00,18.00,0.00,2718.00,225.00,-72.00,0.00,472.00,0.00,0.00,0.00,84.00,28.00
1977:Q4,5817.00,3344.00,-1463.00,4807.00,809.00,1664.00,5817.00,1996.00,-698.00,0.00,563.00,586.00,-21.00,19.00,0.00,3163.00,21.00,-12.00,0.00,280.00,0.00,0.00,0.00,-109.00,29.00
1978:Q1,9722.00,7689.00,-1683.00,9372.00,708.00,1325.00,9722.00,5891.00,-735.00,0.00,639.00,318.00,-34.00,100.00,0.00,3680.00,-49.00,-158.00,0.00,432.00,0.00,0.00,0.00,-390.00,28.00
1978:Q2,15297.00,12538.00,1543.00,10995.00,623.00,2136.00,15297.00,7390.00,794.00,0.00,-213.00,3263.00,-57.00,92.00,0.00,3401.00,-59.00,346.00,0.00,53.00,0.00,0.00,0.00,258.00,29.00
1978:Q3,12803.00,10016.00,468.00,9548.00,608.00,2179.00,12803.00,5565.00,547.00,0.00,-178.00,3313.00,-19.00,64.00,0.00,3661.00,130.00,-64.00,0.00,143.00,0.00,0.00,0.00,-387.00,28.00
1978:Q4,13434.00,10749.00,256.00,10493.00,661.00,2024.00,13434.00,8005.00,-365.00,0.00,-930.00,3051.00,-23.00,64.00,0.00,2799.00,329.00,283.00,0.00,-100.00,0.00,0.00,0.00,292.00,29.00
1979:Q1,9251.00,6228.00,-1184.00,7412.00,698.00,2325.00,9251.00,5152.00,274.00,0.00,-781.00,1889.00,-10.00,-159.00,0.00,2835.00,-312.00,122.00,0.00,330.00,0.00,0.00,0.00,-122.00,33.00
1979:Q2,10559.00,7524.00,831.00,6693.00,720.00,2315.00,10559.00,7460.00,-265.00,0.00,-76.00,1459.00,24.00,-116.00,0.00,1451.00,-1.00,-206.00,0.00,647.00,0.00,0.00,0.00,149.00,33.00
1979:Q3,11071.00,7691.00,1623.00,6068.00,736.00,2644.00,11071.00,4288.00,-617.00,0.00,56.00,3883.00,19.00,16.00,0.00,2836.00,151.00,13.00,0.00,409.00,0.00,0.00,0.00,-16.00,33.00
1979:Q4,8425.00,4976.00,-293.00,5269.00,746.00,2703.00,8425.00,2357.00,455.00,0.00,351.00,1939.00,33.00,15.00,0.00,2758.00,188.00,30.00,0.00,-30.00,0.00,0.00,0.00,296.00,33.00
1980:Q1,6682.00,3824.00,-1285.00,5109.00,739.00,2119.00,6682.00,334.00,3257.00,0.00,248.00,609.00,31.00,-33.00,0.00,2542.00,34.00,191.00,756.00,-244.00,0.00,0.00,0.00,-1076.00,33.00
1980:Q2,9945.00,6351.00,1301.00,5050.00,717.00,2877.00,9945.00,2608.00,163.00,0.00,318.00,3533.00,75.00,-12.00,0.00,1727.00,-124.00,-76.00,903.00,167.00,0.00,0.00,0.00,630.00,33.00
1980:Q3,10051.00,6568.00,1474.00,5094.00,764.00,2719.00,10051.00,2144.00,-559.00,0.00,55.00,5160.00,48.00,-17.00,0.00,1882.00,128.00,-104.00,810.00,489.00,0.00,0.00,0.00,-20.00,35.00
1980:Q4,8580.00,4551.00,247.00,4304.00,880.00,3149.00,8580.00,1325.00,2043.00,0.00,-401.00,3356.00,2.00,-53.00,0.00,1571.00,235.00,138.00,-502.00,41.00,0.00,0.00,0.00,791.00,34.00
1981:Q1,8786.00,4819.00,254.00,4565.00,934.00,3033.00,8786.00,12851.00,-4341.00,0.00,-134.00,-921.00,1.00,-80.00,0.00,1074.00,131.00,-139.00,712.00,412.00,0.00,0.00,0.00,-813.00,33.00
1981:Q2,9993.00,5095.00,440.00,4655.00,929.00,3969.00,9993.00,8015.00,-1822.00,0.00,-162.00,1235.00,-37.00,-113.00,0.00,1092.00,124.00,75.00,684.00,499.00,0.00,0.00,0.00,370.00,33.00
1981:Q3,13628.00,9396.00,1495.00,7901.00,1097.00,3135.00,13628.00,8333.00,787.00,0.00,213.00,2773.00,-3.00,-115.00,0.00,1163.00,88.00,-136.00,267.00,524.00,0.00,0.00,0.00,-300.00,34.00
1981:Q4,11806.00,7072.00,-1051.00,8123.00,1440.00,3294.00,11806.00,-476.00,6620.00,0.00,214.00,2630.00,-32.00,-92.00,0.00,648.00,107.00,-3.00,765.00,154.00,0.00,0.00,0.00,1238.00,33.00
1982:Q1,13210.00,7810.00,-778.00,8588.00,1760.00,3640.00,13210.00,12355.00,-1748.00,0.00,459.00,-590.00,-28.00,-31.00,0.00,764.00,350.00,-205.00,2866.00,116.00,0.00,0.00,0.00,-1131.00,33.00
1982:Q2,17367.00,11989.00,3810.00,8179.00,2054.00,3324.00,17367.00,17136.00,-2150.00,0.00,3.00,-1156.00,-18.00,7.00,0.00,1198.00,375.00,197.00,824.00,359.00,0.00,0.00,0.00,558.00,34.00
1982:Q3,17123.00,10549.00,3074.00,7475.00,2272.00,4302.00,17123.00,10606.00,1564.00,0.00,4.00,-266.00,-4.00,19.00,0.00,703.00,365.00,-298.00,3541.00,179.00,0.00,0.00,0.00,677.00,33.00
1982:Q4,16696.00,10405.00,625.00,9780.00,2414.00,3877.00,16696.00,1829.00,3906.00,0.00,-222.00,6312.00,0.00,5.00,0.00,380.00,806.00,-419.00,1695.00,851.00,0.00,0.00,0.00,1520.00,33.00
1983:Q1,12861.00,7698.00,-3033.00,10731.00,2709.00,2454.00,12861.00,11373.00,2262.00,0.00,168.00,-4904.00,0.00,1.00,0.00,176.00,172.00,-768.00,3704.00,1821.00,0.00,0.00,131.00,-1309.00,34.00
1983:Q2,22400.00,16363.00,1850.00,14513.00,3154.00,2883.00,22400.00,18163.00,1645.00,0.00,-297.00,1215.00,-115.00,1.00,0.00,-156.00,633.00,120.00,-763.00,1210.00,0.00,0.00,209.00,502.00,33.00
1983:Q3,16394.00,11249.00,-6.00,11255.00,3072.00,2073.00,16394.00,14556.00,-1844.00,0.00,252.00,1843.00,100.00,1.00,0.00,-241.00,170.00,-60.00,322.00,1245.00,0.00,0.00,224.00,-207.00,33.00
1983:Q4,15402.00,10916.00,-292.00,11208.00,2465.00,2021.00,15402.00,1318.00,4027.00,0.00,449.00,5465.00,-82.00,-3.00,0.00,-80.00,-36.00,-423.00,334.00,1363.00,0.00,0.00,178.00,2858.00,34.00
1984:Q1,14986.00,10618.00,-2754.00,13372.00,2368.00,2000.00,14986.00,8440.00,5304.00,0.00,499.00,-793.00,-12.00,1.00,0.00,-586.00,-972.00,151.00,4474.00,1079.00,0.00,0.00,144.00,-2776.00,33.00
1984:Q2,20681.00,16181.00,458.00,15723.00,2281.00,2219.00,20681.00,19407.00,-546.00,0.00,289.00,-395.00,-50.00,1.00,0.00,-553.00,-302.00,113.00,1173.00,1712.00,0.00,0.00,125.00,-326.00,33.00
1984:Q3,20976.00,16049.00,-521.00,16570.00,2563.00,2364.00,20976.00,16034.00,-2362.00,0.00,-61.00,5369.00,65.00,1.00,0.00,-420.00,-268.00,-196.00,48.00,1045.00,0.00,0.00,113.00,1574.00,34.00
1984:Q4,18854.00,1936.00,-839.00,2775.00,2959.00,13959.00,18854.00,318.00,1819.00,0.00,334.00,8101.00,-94.00,0.00,0.00,-366.00,269.00,-534.00,1360.00,1442.00,0.00,0.00,108.00,6064.00,33.00
1985:Q1,25310.00,21146.00,-2850.00,23996.00,2464.00,1700.00,25310.00,27389.00,-4207.00,0.00,-366.00,-4743.00,-2.00,16.00,0.00,201.00,178.00,16.00,10482.00,2499.00,200.00,0.00,94.00,-6497.00,50.00
1985:Q2,29988.00,23110.00,233.00,22877.00,2378.00,4500.00,29988.00,13010.00,8382.00,0.00,-499.00,2011.00,12.00,-2.00,0.00,580.00,23.00,-272.00,974.00,4460.00,200.00,0.00,72.00,987.00,50.00
1985:Q3,31691.00,24454.00,4937.00,19517.00,1837.00,5400.00,31691.00,16475.00,-4545.00,0.00,994.00,10842.00,-16.00,-8.00,0.00,1653.00,130.00,-53.00,1643.00,3563.00,250.00,0.00,78.00,635.00,50.00
1985:Q4,121167.00,86683.00,-117.00,86800.00,23484.00,11000.00,121167.00,47913.00,3459.00,0.00,460.00,49758.00,-71.00,-6.00,0.00,1072.00,664.00,-97.00,-623.00,4386.00,300.00,0.00,113.00,13789.00,50.00
1986:Q1,-4106.00,1530.00,-1389.00,2919.00,-2636.00,-3000.00,-4106.00,4004.00,-5042.00,0.00,217.00,-17827.00,0.00,0.00,0.00,2484.00,315.00,-190.00,15981.00,6880.00,250.00,0.00,153.00,-11381.00,50.00
1986:Q2,26854.00,30431.00,4223.00,26208.00,-305.00,-3272.00,26854.00,13344.00,4784.00,0.00,264.00,-5371.00,0.00,0.00,0.00,3153.00,768.00,258.00,3867.00,6092.00,250.00,0.00,199.00,-804.00,50.00
1986:Q3,15611.00,16041.00,-2962.00,19003.00,806.00,-1236.00,15611.00,-13394.00,-1169.00,0.00,226.00,8908.00,0.00,0.00,0.00,3757.00,857.00,-161.00,5533.00,8089.00,250.00,0.00,192.00,2473.00,50.00
1986:Q4,21540.00,24760.00,2.00,24758.00,-827.00,-2393.00,21540.00,13915.00,910.00,0.00,103.00,-14408.00,0.00,0.00,0.00,4295.00,11.00,-326.00,2260.00,7910.00,300.00,0.00,135.00,6385.00,50.00
1987:Q1,28661.00,28483.00,-1724.00,30207.00,-33.00,211.00,28661.00,23885.00,-1747.00,0.00,29.00,-10944.00,0.00,0.00,0.00,5204.00,-1001.00,-156.00,6456.00,10981.00,241.00,0.00,25.00,-4362.00,50.00
1987:Q2,16113.00,17467.00,-5961.00,23428.00,-151.00,-1203.00,16113.00,28574.00,-3314.00,0.00,2.00,-6972.00,0.00,-2.00,0.00,6484.00,286.00,53.00,-3520.00,-2041.00,217.00,0.00,172.00,-3876.00,50.00
1987:Q3,24488.00,24777.00,3521.00,21256.00,-240.00,-49.00,24488.00,27281.00,-709.00,0.00,-65.00,-5458.00,0.00,0.00,0.00,6347.00,-736.00,41.00,-1795.00,-537.00,293.00,0.00,162.00,-386.00,50.00
1987:Q4,22330.00,22078.00,3336.00,18742.00,125.00,127.00,22330.00,27290.00,79.00,0.00,-176.00,-5763.00,0.00,2.00,0.00,4793.00,473.00,161.00,-3411.00,-1771.00,520.00,0.00,-184.00,267.00,50.00
1988:Q1,8779.00,9145.00,-1429.00,10574.00,105.00,-471.00,8779.00,7997.00,-313.00,0.00,-166.00,-7277.00,0.00,11.00,0.00,3497.00,-121.00,-141.00,8688.00,-1789.00,643.00,0.00,-20.00,-2280.00,50.00
1988:Q2,11741.00,11219.00,-1892.00,13111.00,107.00,415.00,11741.00,15830.00,-2960.00,0.00,-39.00,-5299.00,0.00,19.00,0.00,2461.00,-534.00,75.00,-4305.00,3945.00,1082.00,0.00,47.00,1369.00,50.00
1988:Q3,16488.00,16020.00,3699.00,12321.00,704.00,-236.00,16488.00,16663.00,-79.00,0.00,86.00,-2814.00,0.00,18.00,0.00,1806.00,-528.00,-120.00,-701.00,1496.00,1179.00,0.00,-160.00,-408.00,50.00
1988:Q4,18379.00,17327.00,1584.00,15743.00,575.00,477.00,18379.00,18104.00,782.00,0.00,202.00,-7128.00,0.00,7.00,0.00,1531.00,-379.00,-89.00,586.00,2262.00,1322.00,0.00,616.00,513.00,50.00
1989:Q1,7503.00,8579.00,-1203.00,9782.00,-293.00,-783.00,7503.00,-1146.00,6137.00,0.00,226.00,-3915.00,0.00,-1.00,0.00,691.00,-298.00,-66.00,2029.00,5506.00,1068.00,0.00,-189.00,-2589.00,50.00
1989:Q2,7119.00,7409.00,-1486.00,8895.00,246.00,-536.00,7119.00,6055.00,1717.00,0.00,159.00,-4717.00,0.00,-10.00,0.00,23.00,-15.00,-64.00,-1297.00,2280.00,861.00,0.00,-49.00,2126.00,50.00
1989:Q3,17919.00,17367.00,5238.00,12129.00,954.00,-402.00,17919.00,10081.00,3349.00,0.00,98.00,-3060.00,0.00,-11.00,0.00,-194.00,149.00,-67.00,2932.00,3924.00,1826.00,0.00,73.00,-1231.00,50.00
1989:Q4,17295.00,14249.00,758.00,13491.00,2244.00,802.00,17295.00,15006.00,4354.00,0.00,45.00,-6254.00,0.00,-9.00,0.00,186.00,43.00,-68.00,313.00,1327.00,849.00,0.00,142.00,1311.00,50.00
1990:Q1,17696.00,18076.00,-1410.00,19486.00,167.00,-547.00,17696.00,15177.00,-7714.00,0.00,55.00,-3486.00,0.00,0.00,0.00,442.00,297.00,211.00,7827.00,4716.00,822.00,0.00,234.00,-935.00,50.00
1990:Q2,12289.00,11141.00,-1579.00,12720.00,813.00,335.00,12289.00,14648.00,-726.00,0.00,129.00,-5918.00,0.00,5.00,0.00,568.00,1644.00,7.00,-1397.00,2457.00,-155.00,0.00,413.00,564.00,50.00
1990:Q3,10299.00,9981.00,6049.00,3932.00,570.00,-252.00,10299.00,-77.00,1891.00,0.00,229.00,-1263.00,0.00,3.00,0.00,606.00,859.00,-241.00,3023.00,3937.00,480.00,0.00,139.00,663.00,50.00
1990:Q4,8537.00,6981.00,-115.00,7096.00,1429.00,127.00,8537.00,6118.00,-1131.00,0.00,354.00,-5324.00,0.00,-7.00,0.00,554.00,494.00,228.00,4491.00,1336.00,873.00,0.00,-4.00,505.00,50.00
1991:Q1,13159.00,13651.00,224.00,13427.00,-199.00,-293.00,13159.00,-4019.00,809.00,0.00,313.00,-4314.00,0.00,-17.00,0.00,-1852.00,1674.00,-109.00,7338.00,12623.00,2104.00,0.00,-183.00,-1258.00,50.00
1991:Q2,20188.00,18081.00,-155.00,18236.00,1430.00,677.00,20188.00,20516.00,-25.00,0.00,104.00,-4664.00,0.00,-30.00,0.00,-3561.00,-2685.00,123.00,-3437.00,8336.00,3008.00,0.00,-60.00,2513.00,50.00
1991:Q3,30297.00,28455.00,6948.00,21507.00,2102.00,-260.00,30297.00,16214.00,11187.00,0.00,-93.00,-3291.00,0.00,-29.00,0.00,-3393.00,566.00,62.00,-1175.00,7757.00,3172.00,0.00,-16.00,-714.00,50.00
1991:Q4,29816.00,30625.00,-146.00,30771.00,484.00,-1293.00,29816.00,2392.00,8176.00,0.00,-280.00,-2453.00,0.00,-19.00,0.00,-1352.00,-1693.00,70.00,3868.00,17481.00,3008.00,0.00,-445.00,1013.00,50.00
1992:Q1,3374.00,1948.00,-4974.00,6922.00,1076.00,350.00,3374.00,-796.00,-11496.00,0.00,-343.00,-2625.00,0.00,-8.00,0.00,437.00,-106.00,-65.00,6717.00,9118.00,3998.00,0.00,75.00,-1582.00,50.00
1992:Q2,11638.00,9642.00,-2762.00,12404.00,1233.00,763.00,11638.00,-7700.00,7556.00,0.00,-284.00,-1851.00,0.00,0.00,0.00,1964.00,127.00,-20.00,-3361.00,9119.00,3765.00,0.00,19.00,2254.00,50.00
1992:Q3,14218.00,13595.00,11456.00,2139.00,-384.00,1007.00,14218.00,632.00,-894.00,0.00,-249.00,154.00,0.00,-10.00,0.00,2650.00,446.00,-156.00,-1613.00,10364.00,3555.00,0.00,45.00,-756.00,50.00
1992:Q4,-5908.00,-8544.00,-4793.00,-3751.00,455.00,2181.00,-5908.00,-33458.00,5829.00,0.00,-249.00,-1689.00,0.00,-31.00,0.00,2495.00,615.00,67.00,3678.00,11817.00,2951.00,0.00,68.00,1949.00,50.00
1993:Q1,19387.00,17657.00,517.00,17140.00,688.00,1042.00,19387.00,-3902.00,-1319.00,0.00,-249.00,-1547.00,0.00,-52.00,0.00,2624.00,95.00,15.00,5247.00,16978.00,3018.00,0.00,-163.00,-1409.00,50.00
1993:Q2,28290.00,25679.00,-255.00,25934.00,1233.00,1378.00,28290.00,-6547.00,2587.00,0.00,-253.00,820.00,0.00,-92.00,0.00,3034.00,1011.00,157.00,-2644.00,22722.00,3018.00,0.00,-20.00,4447.00,50.00
1993:Q3,16988.00,15068.00,3782.00,11286.00,-72.00,1992.00,16988.00,-14046.00,9069.00,0.00,-254.00,2583.00,0.00,-77.00,0.00,3155.00,1317.00,605.00,2688.00,9391.00,3018.00,0.00,-376.00,-135.00,50.00
1993:Q4,1632.00,253.00,-2252.00,2505.00,-788.00,2167.00,1632.00,-22854.00,-1442.00,1484.00,-263.00,101.00,0.00,-25.00,0.00,2987.00,791.00,149.00,4297.00,9922.00,3018.00,0.00,500.00,2917.00,50.00
1994:Q1,-296.00,-3044.00,2115.00,-5159.00,665.00,2083.00,-296.00,-9159.00,-2648.00,32.00,-254.00,414.00,0.00,87.00,0.00,1126.00,-122.00,-655.00,11891.00,2567.00,405.00,0.00,24.00,-4054.00,50.00
1994:Q2,-9126.00,-12753.00,-6712.00,-6041.00,1107.00,2520.00,-9126.00,10419.00,-2091.00,33.00,-229.00,-346.00,0.00,75.00,0.00,1250.00,-1579.00,129.00,-3714.00,-13529.00,405.00,0.00,578.00,-576.00,50.00
1994:Q3,-10996.00,-12443.00,3579.00,-16022.00,469.00,978.00,-10996.00,-22802.00,66.00,32.00,-204.00,-772.00,0.00,100.00,0.00,2000.00,-427.00,259.00,-502.00,10101.00,405.00,0.00,799.00,-101.00,50.00
1994:Q4,-15510.00,-17699.00,-1160.00,-16539.00,945.00,1244.00,-15510.00,-7611.00,6671.00,33.00,-188.00,-1352.00,0.00,122.00,0.00,3282.00,239.00,8.00,185.00,-21049.00,405.00,0.00,642.00,3053.00,50.00
1995:Q1,-14377.00,-14813.00,3597.00,-18410.00,377.00,59.00,-14377.00,-23672.00,-9334.00,149.00,-166.00,-2217.00,0.00,-20.00,0.00,1618.00,-1101.00,-59.00,5878.00,18153.00,1199.00,0.00,-426.00,-4617.00,238.00
1995:Q2,-7198.00,-8699.00,-4117.00,-4582.00,488.00,1013.00,-7198.00,-28363.00,15988.00,150.00,-142.00,-918.00,0.00,-42.00,0.00,1700.00,1423.00,78.00,1567.00,-1431.00,1199.00,0.00,491.00,864.00,238.00
1995:Q3,-25739.00,-25849.00,-62.00,-25787.00,-639.00,749.00,-25739.00,-5051.00,-23074.00,149.00,-1108.00,-1159.00,0.00,110.00,0.00,1950.00,-453.00,243.00,2486.00,370.00,1199.00,0.00,758.00,-2397.00,238.00
1995:Q4,-10299.00,-11542.00,1812.00,-13354.00,-5.00,1248.00,-10299.00,-25866.00,-3499.00,150.00,-2077.00,-13.00,0.00,17.00,0.00,1986.00,-812.00,456.00,4397.00,8253.00,1199.00,0.00,1854.00,3418.00,238.00
1996:Q1,-3314.00,-4750.00,1435.00,-6185.00,1257.00,179.00,-3314.00,-8154.00,-8771.00,103.00,-1058.00,-437.00,0.00,33.00,0.00,1968.00,439.00,441.00,13345.00,-351.00,240.00,0.00,2507.00,-3857.00,238.00
1996:Q2,4986.00,1222.00,-1655.00,2877.00,1591.00,2173.00,4986.00,-1879.00,3421.00,104.00,736.00,-309.00,0.00,-12.00,0.00,3995.00,-222.00,-974.00,-4312.00,2564.00,240.00,0.00,1460.00,-64.00,238.00
1996:Q3,-18133.00,-19271.00,3338.00,-22609.00,1164.00,-26.00,-18133.00,-21869.00,2166.00,104.00,-233.00,242.00,0.00,-89.00,0.00,1248.00,271.00,-801.00,1925.00,-752.00,240.00,0.00,112.00,-935.00,238.00
1996:Q4,9935.00,7099.00,3134.00,3965.00,2069.00,767.00,9935.00,-12174.00,-2586.00,104.00,79.00,1606.00,0.00,-71.00,0.00,7119.00,989.00,65.00,5857.00,5319.00,240.00,0.00,187.00,2963.00,238.00
1997:Q1,4670.00,2786.00,1009.00,1777.00,1083.00,801.00,4670.00,-4983.00,-656.00,137.00,-209.00,-307.00,0.00,-62.00,0.00,-1351.00,146.00,1490.00,11252.00,-174.00,76.00,0.00,-153.00,-774.00,238.00
1997:Q2,16905.00,12751.00,-2395.00,15146.00,3006.00,1148.00,16905.00,8884.00,5901.00,137.00,110.00,397.00,0.00,5.00,0.00,989.00,218.00,8.00,-3887.00,2764.00,76.00,0.00,-242.00,1307.00,238.00
1997:Q3,10813.00,8216.00,5270.00,2946.00,715.00,1882.00,10813.00,-2402.00,-2891.00,138.00,-540.00,1934.00,0.00,-51.00,0.00,1318.00,380.00,408.00,7079.00,5403.00,76.00,0.00,37.00,-314.00,238.00
1997:Q4,24511.00,21864.00,4430.00,17434.00,2327.00,320.00,24511.00,12755.00,-5991.00,137.00,-100.00,452.00,0.00,86.00,0.00,1675.00,2536.00,-964.00,8077.00,2476.00,76.00,0.00,905.00,2154.00,238.00
1998:Q1,25679.00,19826.00,901.00,18925.00,4013.00,1840.00,25679.00,-1330.00,1823.00,-88.00,-400.00,-1343.00,0.00,66.00,0.00,4992.00,523.00,577.00,12872.00,7233.00,317.00,0.00,1021.00,-822.00,238.00
1998:Q2,29699.00,24097.00,-5449.00,29546.00,3952.00,1650.00,29699.00,20522.00,-2724.00,-87.00,-500.00,2926.00,0.00,-133.00,0.00,2676.00,399.00,147.00,-2493.00,4967.00,317.00,0.00,531.00,2913.00,238.00
1998:Q3,6668.00,4013.00,-3651.00,7664.00,1138.00,1517.00,6668.00,-15235.00,-676.00,-88.00,40.00,3412.00,0.00,10.00,0.00,2145.00,383.00,-76.00,8377.00,5041.00,317.00,0.00,3375.00,-595.00,238.00
1998:Q4,22152.00,18743.00,1931.00,16812.00,2655.00,754.00,22152.00,-6607.00,-55.00,-88.00,154.00,3621.00,0.00,6.00,0.00,6651.00,408.00,1101.00,7415.00,8970.00,317.00,0.00,1575.00,-1554.00,238.00
1999:Q1,22433.00,19032.00,921.00,18111.00,2021.00,1380.00,22433.00,6547.00,-1014.00,-32.00,78.00,1763.00,0.00,111.00,0.00,-3875.00,614.00,1284.00,11005.00,5506.00,1780.00,0.00,-817.00,-755.00,238.00
1999:Q2,16364.00,12389.00,-2146.00,14535.00,2821.00,1154.00,16364.00,14673.00,-3638.00,-31.00,61.00,1248.00,0.00,21.00,0.00,625.00,475.00,-1295.00,-7984.00,5735.00,2878.00,0.00,1409.00,1949.00,238.00
1999:Q3,5893.00,1510.00,1471.00,39.00,2703.00,1680.00,5893.00,-11095.00,8327.00,-32.00,62.00,1913.00,0.00,-49.00,0.00,-3385.00,376.00,-119.00,3010.00,2977.00,3521.00,0.00,1644.00,-1495.00,238.00
1999:Q4,9671.00,5954.00,2317.00,3637.00,2868.00,849.00,9671.00,6319.00,-4421.00,-32.00,124.00,1411.00,0.00,1.00,0.00,-2466.00,216.00,-78.00,12455.00,-5370.00,831.00,0.00,1341.00,-897.00,238.00
2000:Q1,4514.00,3303.00,1661.00,1642.00,775.00,436.00,4514.00,2145.00,3227.00,-63.00,68.00,1127.00,0.00,121.00,0.00,-4256.00,-117.00,-144.00,11702.00,-8913.00,902.00,0.00,-420.00,-1105.00,240.00
2000:Q2,10411.00,6893.00,-1247.00,8140.00,3400.00,118.00,10411.00,23660.00,3833.00,-63.00,38.00,423.00,0.00,-10.00,0.00,-4367.00,-340.00,-64.00,-4523.00,-7261.00,-519.00,0.00,578.00,-974.00,0.00
2000:Q3,-5091.00,-6061.00,-1931.00,-4130.00,413.00,557.00,-5091.00,-8291.00,-5144.00,-63.00,65.00,1078.00,0.00,10.00,0.00,-2281.00,-220.00,-564.00,7129.00,1437.00,-499.00,0.00,1284.00,968.00,0.00
2000:Q4,13790.00,12369.00,2874.00,9495.00,1171.00,250.00,13790.00,313.00,5020.00,-63.00,33.00,770.00,0.00,13.00,0.00,-3966.00,-289.00,-565.00,18202.00,-5718.00,-1868.00,0.00,1455.00,453.00,0.00
2001:Q1,28840.00,27203.00,6191.00,21012.00,1155.00,482.00,28840.00,15815.00,-5297.00,265.00,47.00,-418.00,0.00,-339.00,0.00,-3127.00,-29.00,236.00,11162.00,7989.00,914.00,0.00,253.00,1369.00,0.00
2001:Q2,39001.00,34186.00,2279.00,31907.00,3668.00,1147.00,39001.00,32773.00,-3215.00,265.00,100.00,3850.00,0.00,-4.00,0.00,0.00,-77.00,-164.00,-2777.00,4700.00,1362.00,0.00,1170.00,1019.00,0.00
2001:Q3,8686.00,5958.00,10396.00,-4438.00,2138.00,590.00,8686.00,-1251.00,2911.00,264.00,5.00,2015.00,0.00,-25.00,0.00,-6196.00,-31.00,-1064.00,4582.00,2966.00,1995.00,0.00,195.00,2320.00,0.00
2001:Q4,46158.00,38011.00,4982.00,33029.00,6866.00,1281.00,46158.00,7810.00,2994.00,265.00,93.00,2478.00,0.00,142.00,0.00,-983.00,-259.00,936.00,14388.00,8058.00,2680.00,0.00,4543.00,3013.00,0.00
2002:Q1,23696.00,21771.00,1109.00,20662.00,2112.00,-187.00,23696.00,16221.00,504.00,-34.00,26.00,-1352.00,0.00,-18.00,0.00,2094.00,387.00,-965.00,4199.00,4823.00,2160.00,0.00,1055.00,-5404.00,0.00
2002:Q2,54051.00,50049.00,5124.00,44925.00,3185.00,817.00,54051.00,43402.00,-2017.00,-34.00,24.00,-192.00,0.00,-5.00,0.00,1947.00,233.00,136.00,-2379.00,6018.00,2044.00,0.00,1061.00,3813.00,0.00
2002:Q3,25491.00,23209.00,8406.00,14803.00,1434.00,848.00,25491.00,4594.00,5405.00,-34.00,4.00,2968.00,0.00,34.00,0.00,779.00,386.00,15.00,630.00,2781.00,2203.00,0.00,1129.00,2847.00,1750.00
2002:Q4,56185.00,48890.00,10582.00,38308.00,5838.00,1457.00,56185.00,27939.00,-1092.00,-34.00,77.00,1042.00,0.00,-3.00,0.00,4348.00,179.00,21.00,13924.00,1541.00,4941.00,0.00,792.00,760.00,1750.00
2003:Q1,31057.00,26815.00,1681.00,25134.00,4090.00,152.00,31057.00,-9686.00,203.00,-170.00,-3.00,1582.00,0.00,38.00,0.00,9018.00,1683.00,18.00,20474.00,7304.00,982.00,0.00,-319.00,-1818.00,1750.00
2003:Q2,59737.00,54848.00,-218.00,55066.00,3770.00,1119.00,59737.00,39285.00,-1469.00,-170.00,127.00,4135.00,0.00,6.00,0.00,8699.00,1688.00,-25.00,-3595.00,6734.00,-310.00,0.00,-39.00,2921.00,1750.00
2003:Q3,12221.00,8830.00,2722.00,6108.00,2766.00,625.00,12221.00,-14603.00,3746.00,-170.00,114.00,5287.00,0.00,95.00,0.00,10544.00,1381.00,1719.00,-2553.00,-959.00,2094.00,0.00,1320.00,1956.00,2250.00
2003:Q4,34540.00,29964.00,6190.00,23774.00,3180.00,1396.00,34540.00,4019.00,793.00,-170.00,202.00,752.00,0.00,-48.00,0.00,12957.00,1434.00,1816.00,8829.00,-3507.00,416.00,0.00,4024.00,773.00,2250.00
