1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1957:Q1,12.00,0.00,0.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00
1957:Q2,6.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00
1957:Q3,-7.00,0.00,0.00,-7.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.00,0.00,0.00,-7.00
1957:Q4,4.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,4.00
1958:Q1,30.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00
1958:Q2,30.00,0.00,0.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00
1958:Q3,-12.00,0.00,0.00,-12.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.00,0.00,0.00,-12.00
1958:Q4,-55.00,0.00,0.00,-55.00,-55.00,0.00,0.00,0.00,0.00,0.00,0.00,-55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-55.00,0.00,0.00,-55.00
1959:Q1,33.00,0.00,0.00,33.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,33.00
1959:Q2,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00
1959:Q3,36.00,0.00,0.00,36.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,36.00
1959:Q4,-34.00,0.00,0.00,-34.00,-34.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.00,0.00,0.00,-34.00
1960:Q1,28.00,0.00,0.00,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00,0.00,0.00,28.00
1960:Q2,9.00,0.00,0.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,9.00
1960:Q3,19.00,0.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,19.00
1960:Q4,-31.00,0.00,0.00,-31.00,-31.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.00,0.00,0.00,-31.00
1961:Q1,63.00,0.00,0.00,63.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,63.00
1961:Q2,-38.00,0.00,0.00,-38.00,-38.00,0.00,0.00,0.00,0.00,0.00,0.00,-38.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-38.00,0.00,0.00,-38.00
1961:Q3,54.00,0.00,0.00,54.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,0.00,0.00,54.00
1961:Q4,-82.00,0.00,0.00,-82.00,-82.00,0.00,0.00,0.00,0.00,0.00,0.00,-82.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-82.00,0.00,0.00,-82.00
1962:Q1,142.00,0.00,0.00,142.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,0.00,0.00,142.00
1962:Q2,-62.00,0.00,0.00,-62.00,-62.00,0.00,0.00,0.00,0.00,0.00,0.00,-62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-62.00,0.00,0.00,-62.00
1962:Q3,18.00,0.00,0.00,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00
1962:Q4,17.00,0.00,0.00,17.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,17.00
1963:Q1,26.00,0.00,0.00,26.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,26.00
1963:Q2,-27.00,0.00,0.00,-27.00,-27.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-27.00,0.00,0.00,-27.00
1963:Q3,-2.00,0.00,0.00,-2.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.00,0.00,0.00,-2.00
1963:Q4,20.00,0.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00
1964:Q1,-16.00,0.00,0.00,-16.00,-16.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-16.00,0.00,0.00,-16.00
1964:Q2,44.00,0.00,0.00,44.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.00,0.00,0.00,44.00
1964:Q3,-72.00,0.00,0.00,-72.00,-72.00,0.00,0.00,0.00,0.00,0.00,0.00,-72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-72.00,0.00,0.00,-72.00
1964:Q4,19.00,0.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,19.00
1965:Q1,105.00,0.00,0.00,105.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105.00,0.00,0.00,105.00
1965:Q2,18.00,0.00,0.00,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,0.00,18.00
1965:Q3,33.00,0.00,0.00,33.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,33.00
1965:Q4,59.00,0.00,0.00,59.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,59.00
1966:Q1,-3.00,0.00,0.00,-3.00,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.00,0.00,0.00,-3.00
1966:Q2,90.00,0.00,0.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,90.00
1966:Q3,210.00,0.00,0.00,210.00,210.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,210.00,0.00,0.00,210.00
1966:Q4,-26.00,0.00,0.00,-26.00,-26.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-26.00,0.00,0.00,-26.00
1967:Q1,-35.00,0.00,0.00,-35.00,-35.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,0.00,0.00,-35.00
1967:Q2,68.00,0.00,0.00,68.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,0.00,68.00
1967:Q3,-25.00,0.00,0.00,-25.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.00,0.00,0.00,-25.00
1967:Q4,47.00,0.00,0.00,47.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.00,0.00,0.00,47.00
1968:Q1,554.00,0.00,0.00,554.00,554.00,0.00,0.00,0.00,0.00,0.00,0.00,554.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,554.00,0.00,0.00,554.00
1968:Q2,-263.00,0.00,0.00,-263.00,-263.00,0.00,0.00,0.00,0.00,0.00,0.00,-263.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-263.00,0.00,0.00,-263.00
1968:Q3,58.00,0.00,0.00,58.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.00,0.00,58.00
1968:Q4,-149.00,0.00,0.00,-149.00,-149.00,0.00,0.00,0.00,0.00,0.00,0.00,-149.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-149.00,0.00,0.00,-149.00
1969:Q1,358.00,0.00,0.00,358.00,358.00,0.00,0.00,0.00,0.00,0.00,0.00,358.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,358.00,0.00,0.00,358.00
1969:Q2,109.00,0.00,0.00,109.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.00,0.00,0.00,109.00
1969:Q3,202.00,0.00,0.00,202.00,202.00,0.00,0.00,0.00,0.00,0.00,0.00,202.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,202.00,0.00,0.00,202.00
1969:Q4,-106.00,0.00,0.00,-106.00,-106.00,0.00,0.00,0.00,0.00,0.00,0.00,-106.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-106.00,0.00,0.00,-106.00
1970:Q1,237.00,0.00,0.00,237.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,237.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,237.00,0.00,0.00,237.00
1970:Q2,-777.00,0.00,0.00,-777.00,-777.00,0.00,0.00,0.00,0.00,0.00,0.00,-777.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-777.00,0.00,0.00,-777.00
1970:Q3,721.00,0.00,0.00,721.00,721.00,0.00,0.00,0.00,0.00,0.00,0.00,721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,721.00,0.00,0.00,721.00
1970:Q4,-367.00,0.00,0.00,-367.00,-367.00,0.00,0.00,0.00,0.00,0.00,0.00,-367.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-367.00,0.00,0.00,-367.00
1971:Q1,-140.00,0.00,0.00,-140.00,-140.00,0.00,0.00,0.00,0.00,0.00,0.00,-140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-140.00,0.00,0.00,-140.00
1971:Q2,-46.00,0.00,0.00,-46.00,-46.00,0.00,0.00,0.00,0.00,0.00,0.00,-46.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-46.00,0.00,0.00,-46.00
1971:Q3,-317.00,0.00,0.00,-317.00,-317.00,0.00,0.00,0.00,0.00,0.00,0.00,-317.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-317.00,0.00,0.00,-317.00
1971:Q4,406.00,0.00,0.00,406.00,406.00,0.00,0.00,0.00,0.00,0.00,0.00,406.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,406.00,0.00,0.00,406.00
