date,FA893169005.Q,FA313069205.Q,FA153169203.Q,FA103169205.Q,FA113169205.Q,FA213169203.Q,FA403169283.Q,FA313069223.Q,FA503169205.Q,FA263169205.Q,FA263069500.Q,FA263069500.Q,FA763069703.Q,FA753069703.Q,FA103169705.Q,FA263169705.Q,FA733069005.Q,FA733069013.Q,FA733069023.Q,FA153169405.Q,FA313069403.Q,FA543069405.Q,FA403069330.Q,FA763169335.Q,FA473169333.Q,FA513169333.Q,FA543169373.Q,FA613169333.Q,FA643169373.Q,FA403069395.Q,FA153169305.Q,FA183169305.Q,FA113169305.Q,FA763169383.Q,FA673069505.Q,FA673069505.Q,FA613069500.Q,FA103169535.Q,FA113169535.Q,FA663067003.Q,FA663067003.Q,FA153067005.Q,FA153067005.Q,FA103169803.Q,FA153069803.Q,FA543069873.Q,FA653069803.Q,FA673069803.Q,FA663069803.Q,FA503069805.Q
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1765.00,1318.00,0.00,-16.00,152.00,70.00,0.00,0.00,0.00,1112.00,0.00,0.00,-2.00,0.00,3.00,-5.00,0.00,0.00,0.00,132.00,12.00,120.00,77.00,77.00,0.00,0.00,0.00,0.00,0.00,167.00,0.00,2.00,165.00,0.00,0.00,0.00,110.00,99.00,11.00,-31.00,-31.00,-6.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q4,1122.00,803.00,0.00,127.00,282.00,-85.00,0.00,0.00,0.00,479.00,0.00,0.00,11.00,2.00,24.00,-11.00,0.00,0.00,0.00,199.00,16.00,183.00,-82.00,-82.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,20.00,0.00,0.00,0.00,-243.00,-219.00,-24.00,364.00,364.00,48.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1950:Q4,2213.00,403.00,0.00,-22.00,237.00,67.00,0.00,0.00,0.00,121.00,0.00,0.00,97.00,25.00,64.00,58.00,0.00,0.00,0.00,190.00,17.00,173.00,383.00,383.00,0.00,0.00,0.00,0.00,0.00,107.00,0.00,2.00,105.00,0.00,0.00,0.00,216.00,194.00,22.00,523.00,523.00,269.00,269.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,1341.00,662.00,0.00,17.00,231.00,261.00,0.00,0.00,0.00,153.00,0.00,0.00,77.00,19.00,38.00,58.00,0.00,0.00,0.00,194.00,17.00,177.00,101.00,101.00,0.00,0.00,0.00,0.00,0.00,203.00,0.00,3.00,200.00,0.00,0.00,0.00,234.00,211.00,23.00,-71.00,-71.00,-78.00,-78.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q1,-1996.00,740.00,0.00,-54.00,402.00,-180.00,0.00,0.00,0.00,572.00,0.00,0.00,-104.00,-16.00,-176.00,56.00,0.00,0.00,0.00,168.00,20.00,148.00,-1288.00,-1288.00,0.00,0.00,0.00,0.00,0.00,-324.00,0.00,-7.00,-317.00,0.00,0.00,0.00,-596.00,-536.00,-60.00,4.00,4.00,-580.00,-580.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q2,1896.00,1260.00,0.00,-64.00,276.00,292.00,0.00,0.00,0.00,756.00,0.00,0.00,-132.00,-20.00,-60.00,-92.00,0.00,0.00,0.00,156.00,20.00,136.00,256.00,256.00,0.00,0.00,0.00,0.00,0.00,-168.00,0.00,-3.00,-165.00,0.00,0.00,0.00,628.00,565.00,63.00,128.00,128.00,-212.00,-212.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q3,2776.00,1496.00,0.00,60.00,136.00,544.00,0.00,0.00,0.00,756.00,0.00,0.00,120.00,-28.00,244.00,-152.00,0.00,0.00,0.00,144.00,0.00,144.00,248.00,248.00,0.00,0.00,0.00,0.00,0.00,-52.00,0.00,1.00,-53.00,0.00,0.00,0.00,876.00,788.00,88.00,44.00,44.00,-72.00,-72.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1952:Q4,3064.00,456.00,0.00,144.00,92.00,632.00,0.00,0.00,0.00,-412.00,0.00,0.00,124.00,64.00,80.00,108.00,0.00,0.00,0.00,80.00,16.00,64.00,596.00,596.00,0.00,0.00,0.00,0.00,0.00,632.00,0.00,11.00,621.00,0.00,0.00,0.00,816.00,734.00,82.00,148.00,148.00,148.00,148.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q1,-500.00,-188.00,0.00,88.00,728.00,-900.00,0.00,0.00,0.00,-104.00,0.00,0.00,-120.00,-24.00,-88.00,-56.00,0.00,0.00,0.00,204.00,24.00,180.00,-1012.00,-1012.00,0.00,0.00,0.00,0.00,0.00,-788.00,0.00,-18.00,-770.00,0.00,0.00,0.00,684.00,616.00,68.00,652.00,652.00,92.00,92.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q2,1044.00,28.00,16.00,56.00,24.00,-296.00,0.00,0.00,0.00,228.00,0.00,0.00,-88.00,0.00,-128.00,40.00,0.00,0.00,0.00,212.00,20.00,192.00,428.00,428.00,0.00,0.00,0.00,0.00,0.00,-164.00,0.00,1.00,-165.00,0.00,0.00,0.00,264.00,238.00,26.00,756.00,756.00,-392.00,-392.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q3,2116.00,944.00,8.00,72.00,128.00,12.00,0.00,0.00,0.00,724.00,0.00,0.00,280.00,12.00,244.00,48.00,0.00,0.00,0.00,196.00,20.00,176.00,332.00,332.00,0.00,0.00,0.00,0.00,0.00,-48.00,0.00,-3.00,-45.00,0.00,0.00,0.00,564.00,508.00,56.00,-260.00,-260.00,96.00,96.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1953:Q4,644.00,-128.00,8.00,-204.00,264.00,-272.00,0.00,0.00,0.00,76.00,0.00,0.00,184.00,80.00,136.00,128.00,0.00,0.00,0.00,268.00,12.00,256.00,604.00,604.00,0.00,0.00,0.00,0.00,0.00,160.00,0.00,0.00,160.00,0.00,0.00,0.00,-1012.00,-911.00,-101.00,308.00,308.00,180.00,180.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q1,-1328.00,-420.00,12.00,-172.00,544.00,-416.00,0.00,0.00,0.00,-388.00,0.00,0.00,24.00,4.00,104.00,-76.00,0.00,0.00,0.00,260.00,28.00,232.00,-1288.00,-1288.00,0.00,0.00,0.00,0.00,0.00,-256.00,0.00,-1.00,-255.00,0.00,0.00,0.00,-52.00,-47.00,-5.00,88.00,88.00,312.00,312.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q2,-176.00,-1424.00,12.00,-404.00,-84.00,-772.00,0.00,0.00,0.00,-176.00,0.00,0.00,28.00,40.00,4.00,64.00,0.00,0.00,0.00,260.00,20.00,240.00,180.00,180.00,0.00,0.00,0.00,0.00,0.00,-52.00,0.00,4.00,-56.00,0.00,0.00,0.00,-24.00,-22.00,-2.00,628.00,628.00,188.00,188.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q3,1844.00,-112.00,8.00,48.00,164.00,-96.00,0.00,0.00,0.00,-236.00,0.00,0.00,64.00,-32.00,76.00,-44.00,0.00,0.00,0.00,228.00,20.00,208.00,56.00,56.00,0.00,0.00,0.00,0.00,0.00,172.00,0.00,2.00,170.00,0.00,0.00,0.00,144.00,130.00,14.00,980.00,980.00,344.00,344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1954:Q4,4480.00,320.00,8.00,-48.00,432.00,-56.00,0.00,0.00,0.00,-16.00,0.00,0.00,844.00,228.00,720.00,352.00,0.00,0.00,0.00,192.00,20.00,172.00,712.00,712.00,0.00,0.00,0.00,0.00,0.00,296.00,0.00,4.00,292.00,0.00,0.00,0.00,-44.00,-40.00,-4.00,1528.00,1528.00,404.00,404.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q1,-120.00,812.00,100.00,36.00,744.00,32.00,0.00,0.00,0.00,-100.00,0.00,0.00,-208.00,-56.00,-280.00,16.00,0.00,0.00,0.00,284.00,40.00,244.00,-660.00,-660.00,0.00,0.00,0.00,0.00,0.00,-60.00,0.00,4.00,-64.00,0.00,0.00,0.00,-1440.00,-1296.00,-144.00,1196.00,1196.00,12.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q2,2512.00,608.00,24.00,80.00,272.00,-36.00,0.00,0.00,0.00,268.00,0.00,0.00,-488.00,-80.00,-604.00,36.00,0.00,0.00,0.00,168.00,20.00,148.00,1260.00,1260.00,0.00,0.00,0.00,0.00,0.00,-80.00,0.00,6.00,-86.00,0.00,0.00,0.00,1316.00,1184.00,132.00,248.00,248.00,-440.00,-440.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q3,2752.00,284.00,8.00,-100.00,404.00,12.00,64.00,0.00,0.00,-104.00,0.00,0.00,52.00,-40.00,56.00,-44.00,0.00,0.00,0.00,188.00,20.00,168.00,1032.00,1032.00,0.00,0.00,0.00,0.00,0.00,172.00,0.00,2.00,170.00,0.00,0.00,0.00,376.00,338.00,38.00,400.00,400.00,288.00,288.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1955:Q4,2220.00,188.00,16.00,-92.00,220.00,40.00,200.00,0.00,0.00,-196.00,0.00,0.00,-92.00,-12.00,-252.00,148.00,0.00,0.00,0.00,132.00,40.00,92.00,568.00,568.00,0.00,0.00,0.00,0.00,0.00,116.00,0.00,-1.00,117.00,0.00,0.00,0.00,1764.00,1588.00,176.00,-100.00,-100.00,-344.00,-344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q1,-92.00,-176.00,20.00,-140.00,-32.00,28.00,-160.00,0.00,0.00,108.00,0.00,0.00,56.00,16.00,-8.00,80.00,0.00,0.00,0.00,244.00,20.00,224.00,-1116.00,-1116.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,4.00,-80.00,0.00,0.00,0.00,704.00,634.00,70.00,-36.00,-36.00,292.00,292.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q2,724.00,952.00,36.00,168.00,116.00,8.00,272.00,0.00,0.00,352.00,0.00,0.00,76.00,76.00,-88.00,240.00,0.00,0.00,0.00,296.00,24.00,272.00,140.00,140.00,0.00,0.00,0.00,0.00,0.00,92.00,0.00,5.00,87.00,0.00,0.00,0.00,-372.00,-335.00,-37.00,12.00,12.00,-548.00,-548.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q3,788.00,124.00,36.00,-8.00,96.00,140.00,16.00,0.00,0.00,-156.00,0.00,0.00,388.00,56.00,464.00,-20.00,0.00,0.00,0.00,180.00,36.00,144.00,-124.00,-124.00,0.00,0.00,0.00,0.00,0.00,244.00,0.00,3.00,241.00,0.00,0.00,0.00,-188.00,-169.00,-19.00,-20.00,-20.00,128.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1956:Q4,3672.00,1668.00,40.00,-16.00,676.00,96.00,1052.00,0.00,0.00,-180.00,0.00,0.00,520.00,112.00,264.00,368.00,0.00,0.00,0.00,296.00,20.00,276.00,344.00,344.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,300.00,0.00,0.00,0.00,192.00,173.00,19.00,180.00,180.00,60.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q1,232.00,-120.00,72.00,40.00,140.00,228.00,-600.00,0.00,0.00,0.00,0.00,0.00,164.00,44.00,-268.00,476.00,0.00,0.00,0.00,324.00,20.00,304.00,-1068.00,-1068.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,1.00,3.00,0.00,0.00,0.00,1660.00,1494.00,166.00,-508.00,-508.00,-268.00,-268.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q2,1032.00,-1020.00,84.00,300.00,-196.00,8.00,-832.00,0.00,0.00,-384.00,0.00,0.00,-128.00,28.00,-496.00,396.00,0.00,0.00,0.00,380.00,48.00,332.00,472.00,472.00,0.00,0.00,0.00,0.00,0.00,-24.00,0.00,0.00,-24.00,0.00,0.00,0.00,548.00,493.00,55.00,780.00,780.00,-4.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q3,3236.00,584.00,72.00,-196.00,-20.00,264.00,460.00,0.00,0.00,4.00,0.00,0.00,700.00,144.00,936.00,-92.00,0.00,0.00,0.00,384.00,32.00,352.00,160.00,160.00,0.00,0.00,0.00,0.00,0.00,284.00,0.00,3.00,281.00,0.00,0.00,0.00,1320.00,1188.00,132.00,-416.00,-416.00,76.00,76.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1957:Q4,3036.00,1760.00,84.00,88.00,-84.00,104.00,-148.00,0.00,0.00,1716.00,0.00,0.00,352.00,56.00,344.00,64.00,0.00,0.00,0.00,452.00,40.00,412.00,584.00,584.00,0.00,0.00,0.00,0.00,0.00,464.00,0.00,17.00,447.00,0.00,0.00,0.00,328.00,295.00,33.00,-1204.00,-1204.00,244.00,244.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q1,1288.00,852.00,120.00,-108.00,436.00,204.00,-296.00,0.00,0.00,496.00,0.00,0.00,708.00,188.00,1016.00,-120.00,0.00,0.00,0.00,444.00,40.00,404.00,-2276.00,-2276.00,0.00,0.00,0.00,0.00,0.00,68.00,0.00,1.00,67.00,0.00,0.00,0.00,80.00,72.00,8.00,996.00,996.00,228.00,228.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q2,2448.00,424.00,124.00,60.00,-40.00,148.00,-28.00,0.00,0.00,160.00,0.00,0.00,-564.00,-80.00,-576.00,-68.00,0.00,0.00,0.00,392.00,40.00,352.00,932.00,932.00,0.00,0.00,0.00,0.00,0.00,148.00,0.00,6.00,142.00,0.00,0.00,0.00,-908.00,-817.00,-91.00,1728.00,1728.00,376.00,376.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q3,2396.00,1436.00,96.00,16.00,104.00,236.00,76.00,0.00,0.00,908.00,0.00,0.00,-228.00,-68.00,-152.00,-144.00,0.00,0.00,0.00,308.00,40.00,268.00,324.00,324.00,0.00,0.00,0.00,0.00,0.00,392.00,0.00,11.00,381.00,0.00,0.00,0.00,-324.00,-292.00,-32.00,272.00,272.00,284.00,284.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,5416.00,1496.00,88.00,84.00,64.00,132.00,164.00,0.00,0.00,964.00,0.00,0.00,-280.00,-128.00,-436.00,28.00,0.00,0.00,0.00,292.00,40.00,252.00,1152.00,1152.00,0.00,0.00,0.00,0.00,0.00,512.00,0.00,20.00,492.00,0.00,0.00,0.00,1348.00,1213.00,135.00,864.00,864.00,160.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q1,2536.00,932.00,88.00,76.00,464.00,100.00,100.00,0.00,0.00,104.00,0.00,0.00,-448.00,-96.00,-440.00,-104.00,0.00,0.00,0.00,380.00,40.00,340.00,-844.00,-844.00,0.00,0.00,0.00,0.00,0.00,396.00,0.00,16.00,380.00,0.00,0.00,0.00,1616.00,1454.00,162.00,136.00,136.00,464.00,464.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q2,5120.00,1096.00,168.00,168.00,20.00,252.00,-172.00,0.00,0.00,660.00,0.00,0.00,-228.00,4.00,-288.00,64.00,0.00,0.00,0.00,416.00,40.00,376.00,1800.00,1800.00,0.00,0.00,0.00,0.00,0.00,400.00,0.00,18.00,382.00,0.00,0.00,0.00,1860.00,1674.00,186.00,388.00,388.00,-616.00,-616.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q3,2032.00,260.00,144.00,-116.00,-104.00,172.00,-28.00,0.00,0.00,192.00,0.00,0.00,-92.00,-40.00,28.00,-160.00,0.00,0.00,0.00,468.00,40.00,428.00,1032.00,1032.00,0.00,0.00,0.00,0.00,0.00,364.00,0.00,12.00,352.00,0.00,0.00,0.00,1004.00,904.00,100.00,-616.00,-616.00,-348.00,-348.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1959:Q4,-1712.00,-392.00,168.00,-12.00,-212.00,216.00,416.00,0.00,0.00,-968.00,0.00,0.00,632.00,96.00,744.00,-16.00,0.00,0.00,0.00,616.00,40.00,576.00,1356.00,1356.00,0.00,0.00,0.00,0.00,0.00,224.00,0.00,-1.00,225.00,0.00,0.00,0.00,1208.00,1087.00,121.00,104.00,104.00,-5556.00,-5556.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q1,888.00,1072.00,76.00,20.00,96.00,152.00,372.00,0.00,0.00,356.00,0.00,0.00,688.00,196.00,464.00,420.00,0.00,0.00,0.00,712.00,40.00,672.00,-2456.00,-2456.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,11.00,89.00,0.00,0.00,0.00,3280.00,2952.00,328.00,-1252.00,-1252.00,-1452.00,-1452.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q2,4888.00,928.00,276.00,672.00,-116.00,392.00,-928.00,0.00,0.00,632.00,0.00,0.00,52.00,60.00,-596.00,708.00,0.00,0.00,0.00,780.00,60.00,720.00,1000.00,1000.00,0.00,0.00,0.00,0.00,0.00,-40.00,0.00,7.00,-47.00,0.00,0.00,0.00,2624.00,2362.00,262.00,188.00,188.00,-704.00,-704.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q3,4648.00,532.00,196.00,-476.00,80.00,316.00,224.00,0.00,0.00,192.00,0.00,0.00,912.00,216.00,312.00,816.00,0.00,0.00,0.00,604.00,20.00,584.00,-136.00,-136.00,0.00,0.00,0.00,0.00,0.00,236.00,0.00,4.00,232.00,0.00,0.00,0.00,544.00,490.00,54.00,312.00,312.00,1428.00,1428.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1960:Q4,7436.00,512.00,116.00,96.00,-76.00,-40.00,-76.00,0.00,0.00,492.00,0.00,0.00,1152.00,228.00,784.00,596.00,0.00,0.00,0.00,516.00,40.00,476.00,980.00,980.00,0.00,0.00,0.00,0.00,0.00,256.00,0.00,3.00,253.00,0.00,0.00,0.00,1184.00,1066.00,118.00,256.00,256.00,2352.00,2352.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q1,-760.00,2104.00,184.00,-20.00,656.00,200.00,-96.00,0.00,0.00,1180.00,0.00,0.00,652.00,192.00,-188.00,1032.00,0.00,0.00,0.00,608.00,40.00,568.00,-2016.00,-2016.00,0.00,0.00,0.00,0.00,0.00,284.00,0.00,6.00,278.00,0.00,0.00,0.00,-1456.00,-1310.00,-146.00,1492.00,1492.00,-2620.00,-2620.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q2,5812.00,-1072.00,128.00,688.00,-212.00,452.00,-52.00,0.00,0.00,-2076.00,0.00,0.00,128.00,68.00,-460.00,656.00,0.00,0.00,0.00,700.00,100.00,600.00,1568.00,1568.00,0.00,0.00,0.00,0.00,0.00,-116.00,0.00,9.00,-125.00,0.00,0.00,0.00,-64.00,-58.00,-6.00,1840.00,1840.00,2760.00,2760.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q3,2748.00,2376.00,236.00,-184.00,320.00,152.00,36.00,0.00,0.00,1816.00,0.00,0.00,484.00,108.00,116.00,476.00,0.00,0.00,0.00,488.00,44.00,444.00,1020.00,1020.00,0.00,0.00,0.00,0.00,0.00,372.00,0.00,12.00,360.00,0.00,0.00,0.00,804.00,724.00,80.00,-164.00,-164.00,-2740.00,-2740.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1961:Q4,7152.00,1216.00,116.00,-200.00,-176.00,100.00,380.00,0.00,0.00,996.00,0.00,0.00,832.00,160.00,776.00,216.00,0.00,0.00,0.00,440.00,44.00,396.00,2152.00,2152.00,0.00,0.00,0.00,0.00,0.00,248.00,0.00,5.00,243.00,0.00,0.00,0.00,1528.00,1375.00,153.00,1128.00,1128.00,-552.00,-552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
