1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2009:Q2,-422587.00,-42800.00,32648.00,18852.00,-9441.00,182157.00,-154028.00,-8048.00,-4898.00,-103812.00,4984.00,-3812.00,-14096.00,154118.00,32898.00,-507310.00,84585.00,132926.00,-83028.00,-23896.00,3288.00,91486.00,118486.00,-1852.00,-3784.00,1557.00,-97234.00,27844.00,-21944.00,-150780.00,-103921.00,20008.00,70284.00,3951.00,-7760.00,104630.00,4324.00,-507172.00
2009:Q3,145533.00,114752.00,32648.00,-6276.00,-49666.00,-183955.00,29212.00,21708.00,-9526.00,42508.00,79828.00,-167285.00,-8552.00,325756.00,80616.00,-156235.00,-509335.00,-268932.00,-84112.00,-45624.00,7372.00,46602.00,-268167.00,-30936.00,-4212.00,4498.00,61318.00,27844.00,18092.00,-21498.00,-103697.00,7336.00,-90256.00,-23588.00,-876.00,178271.00,81232.00,654868.00
2009:Q4,662878.00,368175.00,32648.00,21660.00,34815.00,650639.00,-106616.00,-1480.00,2571.00,-78120.00,36072.00,-83143.00,-1212.00,-260125.00,-25144.00,72138.00,557643.00,-150516.00,-84648.00,188056.00,101892.00,29864.00,170567.00,10940.00,-5924.00,6369.00,-2277.00,27840.00,15896.00,193104.00,-23001.00,27856.00,-17380.00,81622.00,20092.00,-48137.00,15428.00,105235.00
2010:Q1,183832.00,380511.00,-70188.00,-16788.00,29759.00,190685.00,54264.00,-12424.00,-26057.00,27720.00,-222360.00,-38103.00,13416.00,191674.00,-20599.00,-297679.00,35114.00,217277.00,75788.00,-1256.00,-100416.00,8514.00,36409.00,-1216.00,3732.00,-31382.00,36579.00,14156.00,14636.00,-88156.00,-219584.00,-8652.00,40560.00,-170615.00,4036.00,215563.00,-10860.00,148718.00
2010:Q2,719769.00,709219.00,-49044.00,20760.00,-16251.00,-239224.00,51788.00,21700.00,-3188.00,119624.00,-35580.00,66346.00,-11656.00,-13153.00,27033.00,71395.00,-157750.00,280619.00,72040.00,-76784.00,-1796.00,-6216.00,-95338.00,-2524.00,23260.00,9819.00,26198.00,14156.00,11500.00,-139006.00,-86873.00,30776.00,-37444.00,35593.00,-7100.00,-189219.00,-19412.00,877520.00
2010:Q3,339757.00,488946.00,-49044.00,-5428.00,-60331.00,-135104.00,45024.00,-18724.00,-7586.00,-88436.00,2868.00,-115041.00,40260.00,57153.00,52064.00,133136.00,221513.00,179614.00,73440.00,21972.00,7856.00,4508.00,-231341.00,-2744.00,-4744.00,16028.00,-38981.00,14152.00,25320.00,22348.00,-34765.00,-276.00,105396.00,-81197.00,18844.00,55809.00,70276.00,118244.00
2010:Q4,45587.00,343063.00,-49044.00,11024.00,158107.00,14510.00,-146864.00,-13976.00,3747.00,-51180.00,103344.00,-148538.00,-25676.00,5118.00,-253274.00,95227.00,-168303.00,27623.00,77664.00,16684.00,5940.00,63246.00,-93858.00,-54808.00,-4304.00,171455.00,-64676.00,14156.00,24340.00,189303.00,-121322.00,10772.00,8764.00,-188874.00,-10412.00,-39708.00,-200288.00,213890.00
2011:Q1,497684.00,786359.00,-21048.00,-9068.00,-204390.00,16434.00,2264.00,-1776.00,7657.00,4416.00,-161224.00,-55266.00,18728.00,20703.00,88819.00,5077.00,487065.00,-120880.00,118656.00,-3640.00,-3700.00,40928.00,295717.00,54024.00,-560.00,-1470.00,47107.00,43404.00,24504.00,-108450.00,62078.00,5212.00,-159240.00,-61971.00,39096.00,152611.00,63640.00,10619.00
2011:Q2,827113.00,774564.00,-21048.00,24740.00,67242.00,-37393.00,50744.00,-5252.00,-3531.00,1112.00,10156.00,-11680.00,7972.00,144496.00,30094.00,-205104.00,56187.00,-157433.00,110832.00,-1020.00,-2352.00,50992.00,-43338.00,20900.00,4292.00,-23527.00,29433.00,43404.00,21104.00,-106202.00,78695.00,-4128.00,1472.00,-24810.00,13124.00,-47284.00,92032.00,770926.00
2011:Q3,-434773.00,840972.00,-21052.00,644.00,-195509.00,-627149.00,117328.00,13844.00,-11590.00,112280.00,6560.00,-7879.00,12700.00,-133972.00,-12421.00,-529529.00,664129.00,323728.00,112864.00,-1216.00,240.00,-6474.00,-307458.00,-11932.00,18956.00,-22545.00,168385.00,43400.00,-23760.00,33257.00,299504.00,9660.00,179176.00,31287.00,3224.00,-198678.00,12512.00,-1098901.00
2011:Q4,940933.00,796398.00,-21048.00,38052.00,222506.00,-35916.00,5028.00,-22604.00,12623.00,-79352.00,-21064.00,46401.00,-10868.00,-270427.00,-239680.00,520884.00,-538412.00,-24812.00,111668.00,800.00,1948.00,85258.00,-188557.00,-2888.00,-19516.00,-3814.00,-14777.00,43404.00,-8060.00,178143.00,-395272.00,1012.00,-21968.00,31759.00,-21368.00,-34567.00,-256806.00,1479345.00
2012:Q1,355763.00,626843.00,51764.00,-14412.00,-74413.00,297692.00,-39268.00,-1088.00,8912.00,-46856.00,-7148.00,-16348.00,61568.00,14478.00,-252062.00,-253900.00,-77591.00,57453.00,211096.00,-12168.00,2268.00,62700.00,135161.00,22752.00,60.00,-6508.00,-50160.00,34132.00,-8140.00,-122137.00,-340817.00,12644.00,6268.00,-65344.00,25364.00,251910.00,-294126.00,433354.00
2012:Q2,563517.00,959792.00,51760.00,14868.00,59218.00,-148575.00,-20248.00,-5024.00,-5765.00,-14436.00,4940.00,-8386.00,-13964.00,-17090.00,73214.00,-366787.00,413666.00,534485.00,206220.00,-1164.00,6308.00,75104.00,64076.00,-17300.00,16004.00,-4710.00,30302.00,34128.00,-20076.00,-74188.00,7506.00,-3504.00,-56440.00,-28512.00,9044.00,-123025.00,-240592.00,149852.00
2012:Q3,991566.00,962629.00,51764.00,-14932.00,-176248.00,155036.00,53852.00,5180.00,-3324.00,57948.00,-11680.00,-112677.00,89744.00,-8012.00,-210831.00,153118.00,8882.00,-101985.00,206948.00,-940.00,9476.00,60594.00,-152675.00,34812.00,-10412.00,6757.00,16244.00,34132.00,14784.00,81458.00,-33972.00,16924.00,14720.00,-88917.00,32152.00,48198.00,-179416.00,982684.00
2012:Q4,1025140.00,611777.00,51764.00,-18732.00,205439.00,-120421.00,-89756.00,-7248.00,1554.00,98988.00,-7660.00,49695.00,-35564.00,-305336.00,-2038.00,592677.00,516555.00,-102557.00,203188.00,436.00,6484.00,62996.00,-87318.00,-41428.00,-4964.00,8345.00,108247.00,34132.00,12128.00,139863.00,-10749.00,9496.00,51784.00,45997.00,36396.00,-135248.00,179328.00,508584.00
2013:Q1,989128.00,536497.00,41804.00,16080.00,-76341.00,274048.00,-3984.00,-3596.00,15787.00,-8324.00,-11784.00,-31587.00,-27600.00,237717.00,296334.00,-265924.00,1516718.00,579206.00,257060.00,3100.00,6364.00,80178.00,99231.00,35776.00,1804.00,-10088.00,69097.00,27556.00,17520.00,-85044.00,-109182.00,-24648.00,61288.00,-75817.00,21916.00,269102.00,292300.00,-527590.00
2013:Q2,-51950.00,389635.00,41804.00,7028.00,58778.00,120557.00,-25480.00,260.00,-4458.00,39900.00,12220.00,-10906.00,9024.00,-127173.00,-93688.00,-469452.00,612499.00,241188.00,251228.00,-20192.00,-788.00,57052.00,141954.00,31052.00,23924.00,24892.00,9201.00,27556.00,11028.00,-53563.00,-52914.00,-59096.00,-756.00,10510.00,25892.00,-42581.00,-13088.00,-664449.00
2013:Q3,-32025.00,187653.00,41808.00,-31980.00,-166023.00,-146274.00,-49456.00,-3120.00,-8198.00,-40552.00,-2284.00,-47932.00,-63608.00,198745.00,10902.00,88294.00,197992.00,-92788.00,253128.00,15088.00,4020.00,2014.00,-144039.00,-13988.00,11092.00,-29173.00,-23585.00,27560.00,13576.00,68489.00,150698.00,-6928.00,-3496.00,-82009.00,-56876.00,-16556.00,121764.00,-230018.00
2013:Q4,612957.00,918112.00,41804.00,13920.00,222269.00,-4607.00,-43744.00,-5628.00,2806.00,30252.00,-25144.00,-10419.00,-6276.00,-430817.00,14928.00,-104499.00,668090.00,293978.00,255120.00,16744.00,3848.00,24294.00,-101730.00,-600.00,-2620.00,11585.00,42065.00,27556.00,16172.00,80634.00,-83990.00,-28804.00,-4828.00,79656.00,43988.00,-3427.00,-1552.00,-55133.00
2014:Q1,1204963.00,1295103.00,39296.00,-12772.00,-65620.00,164463.00,4236.00,2116.00,3969.00,65852.00,-8644.00,-14604.00,19816.00,82378.00,44542.00,-415169.00,1138838.00,626038.00,58776.00,10980.00,9300.00,7704.00,123213.00,56296.00,-12496.00,351.00,57534.00,25876.00,10496.00,-76058.00,154354.00,400.00,-54072.00,-41867.00,45612.00,162353.00,-25952.00,66125.00
2014:Q2,1004749.00,691658.00,35916.00,15976.00,74365.00,113106.00,-1356.00,1660.00,3657.00,-14700.00,-1224.00,7274.00,13904.00,-102673.00,140692.00,26495.00,340607.00,220267.00,144848.00,13172.00,12760.00,4446.00,-120.00,3736.00,20284.00,4965.00,11272.00,25872.00,11348.00,-107574.00,-54669.00,-3644.00,-2716.00,17769.00,28156.00,-20576.00,11012.00,664142.00
