1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985:Q2,218.00,0.00,0.00,68.00,0.00,20.00,48.00,150.00,125.00,182.00,73.00,61.00,12.00,4.00,8.00,-130.00
1985:Q3,221.00,0.00,0.00,73.00,0.00,21.00,52.00,148.00,160.00,190.00,103.00,88.00,15.00,5.00,10.00,-133.00
1985:Q4,1940.00,0.00,0.00,1175.00,1.00,95.00,1079.00,765.00,875.00,144.00,120.00,102.00,18.00,6.00,12.00,611.00
1986:Q1,654.00,0.00,0.00,122.00,1.00,25.00,96.00,532.00,828.00,99.00,218.00,84.00,134.00,44.00,90.00,511.00
1986:Q2,1527.00,0.00,0.00,161.00,0.00,34.00,127.00,1366.00,1481.00,427.00,311.00,84.00,227.00,75.00,152.00,743.00
1986:Q3,2013.00,0.00,0.00,53.00,0.00,11.00,42.00,1960.00,1475.00,484.00,70.00,84.00,-14.00,-4.00,-10.00,921.00
1986:Q4,-249.00,0.00,0.00,-332.00,-1.00,-69.00,-262.00,83.00,1387.00,2758.00,-26.00,65.00,-91.00,-30.00,-61.00,-1345.00
1987:Q1,1405.00,0.00,0.00,125.00,1.00,26.00,98.00,1280.00,1098.00,283.00,207.00,116.00,91.00,30.00,61.00,608.00
1987:Q2,2033.00,0.00,0.00,-15.00,0.00,-3.00,-12.00,2048.00,2018.00,1899.00,120.00,116.00,4.00,1.00,3.00,-1.00
1987:Q3,1821.00,0.00,0.00,183.00,0.00,43.00,140.00,1638.00,2245.00,1678.00,158.00,121.00,37.00,12.00,25.00,409.00
1987:Q4,2246.00,0.00,0.00,254.00,0.00,53.00,201.00,1992.00,2115.00,1518.00,300.00,112.00,188.00,62.00,126.00,297.00
1988:Q1,377.00,0.00,0.00,156.00,0.00,32.00,124.00,221.00,1330.00,384.00,172.00,185.00,-13.00,-4.00,-9.00,774.00
1988:Q2,589.00,0.00,0.00,21.00,0.00,4.00,17.00,568.00,711.00,424.00,295.00,277.00,18.00,6.00,12.00,-8.00
1988:Q3,835.00,0.00,0.00,282.00,1.00,59.00,222.00,553.00,941.00,37.00,60.00,84.00,-24.00,-8.00,-16.00,844.00
1988:Q4,2622.00,0.00,0.00,433.00,1.00,90.00,342.00,2189.00,2233.00,569.00,1216.00,924.00,292.00,96.00,196.00,448.00
1989:Q1,642.00,0.00,0.00,-140.00,-1.00,-29.00,-110.00,782.00,-441.00,578.00,736.00,688.00,48.00,16.00,32.00,-1755.00
1989:Q2,1301.00,0.00,0.00,-33.00,0.00,-7.00,-26.00,1334.00,570.00,211.00,128.00,108.00,20.00,7.00,13.00,231.00
1989:Q3,218.00,0.00,0.00,-79.00,0.00,-16.00,-63.00,297.00,105.00,158.00,188.00,59.00,129.00,42.00,87.00,-241.00
1989:Q4,-54.00,0.00,0.00,86.00,0.00,18.00,68.00,-140.00,416.00,-193.00,195.00,65.00,130.00,43.00,87.00,414.00
1990:Q1,-666.00,0.00,0.00,-41.00,0.00,-9.00,-32.00,-625.00,-156.00,-196.00,195.00,65.00,130.00,43.00,87.00,-155.00
1990:Q2,-1082.00,0.00,0.00,-16.00,0.00,-3.00,-13.00,-1066.00,-97.00,372.00,195.00,65.00,130.00,43.00,87.00,-664.00
1990:Q3,-825.00,0.00,0.00,-11.00,0.00,-2.00,-9.00,-814.00,160.00,-675.00,295.00,65.00,230.00,76.00,154.00,540.00
1990:Q4,414.00,0.00,0.00,-291.00,0.00,-61.00,-230.00,705.00,-76.00,545.00,195.00,65.00,130.00,43.00,87.00,-816.00
1991:Q1,-335.00,0.00,0.00,-118.00,-1.00,-51.00,-66.00,-217.00,485.00,376.00,135.00,65.00,70.00,23.00,47.00,-26.00
1991:Q2,-39.00,0.00,0.00,-32.00,1.00,0.00,-33.00,-7.00,436.00,-244.00,151.00,69.00,82.00,27.00,55.00,529.00
1991:Q3,-614.00,0.00,0.00,-85.00,-1.00,0.00,-84.00,-529.00,-250.00,-368.00,205.00,109.00,96.00,32.00,64.00,-87.00
1991:Q4,1223.00,0.00,0.00,-146.00,0.00,0.00,-146.00,1369.00,1634.00,131.00,558.00,343.00,215.00,71.00,144.00,945.00
1992:Q1,844.00,0.00,21.00,-79.00,0.00,-17.00,-62.00,902.00,498.00,894.00,641.00,426.00,215.00,71.00,144.00,-1037.00
1992:Q2,315.00,0.00,28.00,263.00,3.00,46.00,214.00,24.00,346.00,-917.00,161.00,140.00,21.00,7.00,14.00,1102.00
1992:Q3,287.00,0.00,43.00,-180.00,6.00,-62.00,-124.00,424.00,734.00,-22.00,421.00,311.00,110.00,36.00,74.00,335.00
1992:Q4,-2554.00,0.00,50.00,197.00,7.00,38.00,152.00,-2801.00,231.00,269.00,-1828.00,-2044.00,216.00,71.00,145.00,1790.00
1993:Q1,-746.00,0.00,9.00,-102.00,5.00,-24.00,-83.00,-653.00,-1027.00,79.00,210.00,-135.00,345.00,114.00,231.00,-1316.00
1993:Q2,1141.00,0.00,9.00,-68.00,7.00,-42.00,-33.00,1200.00,420.00,-916.00,324.00,-14.00,338.00,112.00,226.00,1012.00
1993:Q3,283.00,0.00,-5.00,-26.00,6.00,-9.00,-23.00,314.00,1527.00,-374.00,1487.00,-55.00,1542.00,508.00,1034.00,414.00
1993:Q4,768.00,0.00,9.00,-56.00,4.00,-26.00,-34.00,815.00,2388.00,99.00,1390.00,26.00,1364.00,451.00,913.00,899.00
1994:Q1,1151.00,0.00,33.00,580.00,12.00,93.00,475.00,538.00,5572.00,-214.00,3057.00,601.00,2456.00,810.00,1646.00,2729.00
1994:Q2,-840.00,0.00,33.00,438.00,19.00,39.00,380.00,-1311.00,3560.00,-593.00,3751.00,651.00,3100.00,1023.00,2077.00,402.00
1994:Q3,-460.00,0.00,34.00,273.00,20.00,-2.00,255.00,-767.00,5340.00,119.00,3744.00,744.00,3000.00,990.00,2010.00,1477.00
1994:Q4,-756.00,0.00,33.00,-111.00,5.00,-45.00,-71.00,-678.00,1396.00,-542.00,1536.00,310.00,1226.00,405.00,821.00,402.00
1995:Q1,115.00,0.00,4.00,-101.00,15.00,-73.00,-43.00,212.00,679.00,15.00,531.00,-310.00,841.00,277.00,564.00,133.00
1995:Q2,725.00,0.00,5.00,14.00,9.00,-29.00,34.00,706.00,2041.00,35.00,1239.00,-723.00,1962.00,648.00,1314.00,767.00
1995:Q3,416.00,0.00,4.00,-83.00,13.00,-32.00,-64.00,495.00,1168.00,20.00,709.00,-413.00,1122.00,370.00,752.00,439.00
1995:Q4,271.00,0.00,94.00,-305.00,0.00,-74.00,-231.00,482.00,2438.00,110.00,1907.00,507.00,1400.00,462.00,938.00,421.00
1996:Q1,271.00,0.00,94.00,-422.00,6.00,-119.00,-309.00,599.00,2438.00,109.00,1909.00,507.00,1402.00,462.00,940.00,420.00
1996:Q2,379.00,0.00,94.00,-280.00,-1.00,-65.00,-214.00,565.00,3413.00,155.00,2672.00,710.00,1962.00,648.00,1314.00,586.00
1996:Q3,452.00,1605.00,90.00,-229.00,0.00,-12.00,-217.00,-1014.00,4073.00,184.00,3187.00,846.00,2341.00,772.00,1569.00,702.00
1996:Q4,1884.00,338.00,-76.00,192.00,17.00,64.00,111.00,1430.00,5369.00,578.00,2631.00,479.00,2152.00,711.00,1441.00,2160.00
1997:Q1,2360.00,629.00,80.00,305.00,15.00,4.00,286.00,1346.00,8046.00,1163.00,4773.00,624.00,4149.00,1369.00,2780.00,2110.00
1997:Q2,4341.00,-84.00,159.00,478.00,30.00,107.00,341.00,3788.00,11090.00,1533.00,6427.00,2374.00,4053.00,1337.00,2716.00,3130.00
1997:Q3,5951.00,835.00,-4.00,313.00,22.00,64.00,227.00,4807.00,11767.00,4690.00,2310.00,639.00,1671.00,552.00,1119.00,4767.00
1997:Q4,6893.00,-462.00,64.00,735.00,52.00,148.00,535.00,6556.00,22205.00,4342.00,10572.00,5537.00,5035.00,1661.00,3374.00,7291.00
1998:Q1,11523.00,1117.00,222.00,766.00,33.00,27.00,706.00,9418.00,22583.00,6448.00,7205.00,4930.00,2275.00,751.00,1524.00,8930.00
1998:Q2,2427.00,235.00,52.00,414.00,54.00,24.00,336.00,1726.00,16003.00,6212.00,8049.00,3086.00,4963.00,1638.00,3325.00,1742.00
1998:Q3,-4503.00,-860.00,-104.00,559.00,-6.00,58.00,507.00,-4098.00,17420.00,1965.00,16642.00,6737.00,9905.00,3268.00,6637.00,-1187.00
1998:Q4,-10347.00,186.00,-225.00,-116.00,-65.00,-90.00,39.00,-10192.00,3207.00,2550.00,7763.00,117.00,7646.00,2524.00,5122.00,-7106.00
1999:Q1,-555.00,-276.00,-66.00,358.00,-29.00,-38.00,425.00,-571.00,8193.00,4944.00,488.00,-4543.00,5031.00,1660.00,3371.00,2761.00
1999:Q2,-1089.00,-51.00,-7.00,-76.00,-6.00,-35.00,-35.00,-955.00,-5391.00,-1220.00,-3366.00,-301.00,-3065.00,-1012.00,-2053.00,-805.00
1999:Q3,-953.00,576.00,-43.00,-112.00,2.00,-37.00,-77.00,-1374.00,4124.00,622.00,1284.00,-1058.00,2342.00,773.00,1569.00,2218.00
1999:Q4,1340.00,-41.00,293.00,221.00,-145.00,81.00,285.00,867.00,1368.00,334.00,-575.00,-3487.00,2912.00,652.00,2260.00,1609.00
