1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q4,3957.00,3294.00,386.00,0.00,0.00,386.00,0.00,0.00,0.00,0.00,277.00,3957.00,277.00,0.00,0.00,-47.00,0.00,-47.00,23.00,-7.00,0.00,0.00,0.00,104.00,0.00,104.00,2719.00,0.00,2719.00,655.00,0.00,116.00,0.00,41.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,0.00,6.00,0.00,6.00
1952:Q1,1011.00,1081.00,-109.00,0.00,0.00,-109.00,0.00,0.00,0.00,0.00,39.00,1011.00,-153.00,0.00,0.00,123.00,0.00,123.00,6.00,0.00,0.00,0.00,0.00,80.00,0.00,80.00,770.00,0.00,770.00,201.00,0.00,45.00,0.00,26.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,-104.00,0.00,0.00,7.00,0.00,7.00
1952:Q2,1601.00,1470.00,82.00,0.00,0.00,82.00,0.00,0.00,0.00,0.00,49.00,1601.00,221.00,0.00,0.00,204.00,0.00,204.00,11.00,0.00,0.00,0.00,0.00,85.00,0.00,85.00,753.00,0.00,753.00,247.00,0.00,51.00,0.00,16.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.00,0.00,0.00,6.00,0.00,6.00
1952:Q3,1016.00,1127.00,-28.00,0.00,0.00,-28.00,0.00,0.00,0.00,0.00,-83.00,1016.00,-225.00,0.00,0.00,-55.00,0.00,-55.00,-6.00,0.00,0.00,0.00,0.00,-61.00,0.00,-61.00,705.00,0.00,705.00,292.00,0.00,126.00,0.00,9.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,206.00,0.00,0.00,13.00,0.00,13.00
1952:Q4,1119.00,1027.00,70.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,22.00,1119.00,-133.00,0.00,0.00,-93.00,0.00,-93.00,6.00,0.00,0.00,0.00,0.00,41.00,0.00,41.00,870.00,0.00,870.00,325.00,0.00,87.00,0.00,30.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.00,0.00,0.00,10.00,0.00,10.00
1953:Q1,1204.00,760.00,393.00,0.00,0.00,393.00,0.00,0.00,0.00,0.00,51.00,1204.00,-151.00,0.00,0.00,80.00,0.00,80.00,0.00,1.00,0.00,0.00,0.00,39.00,0.00,39.00,799.00,0.00,799.00,314.00,0.00,131.00,0.00,-10.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,-17.00,0.00,-17.00
1953:Q2,1437.00,1013.00,549.00,0.00,0.00,549.00,0.00,0.00,0.00,0.00,-125.00,1437.00,267.00,0.00,0.00,84.00,0.00,84.00,13.00,1.00,0.00,0.00,0.00,35.00,0.00,35.00,579.00,0.00,579.00,288.00,0.00,127.00,0.00,-7.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,18.00,0.00,18.00
1953:Q3,772.00,530.00,287.00,0.00,0.00,287.00,0.00,0.00,0.00,0.00,-45.00,772.00,-365.00,0.00,0.00,96.00,0.00,96.00,8.00,1.00,0.00,0.00,0.00,29.00,0.00,29.00,554.00,0.00,554.00,259.00,0.00,127.00,0.00,-1.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00,0.00,0.00,15.00,0.00,15.00
1953:Q4,1365.00,1212.00,146.00,0.00,0.00,146.00,0.00,0.00,0.00,0.00,7.00,1365.00,239.00,0.00,0.00,-1.00,0.00,-1.00,11.00,1.00,0.00,0.00,0.00,22.00,0.00,22.00,774.00,0.00,774.00,238.00,0.00,131.00,0.00,16.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,-76.00,0.00,0.00,-1.00,0.00,-1.00
1954:Q1,983.00,777.00,35.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,171.00,983.00,-268.00,0.00,0.00,227.00,0.00,227.00,-6.00,0.00,0.00,0.00,0.00,18.00,0.00,18.00,639.00,0.00,639.00,263.00,0.00,135.00,0.00,33.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,-62.00,0.00,0.00,-7.00,0.00,-7.00
1954:Q2,904.00,935.00,32.00,0.00,0.00,32.00,0.00,0.00,0.00,0.00,-63.00,904.00,-97.00,0.00,0.00,-118.00,0.00,-118.00,-10.00,0.00,0.00,0.00,0.00,14.00,0.00,14.00,543.00,0.00,543.00,300.00,0.00,147.00,0.00,29.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,0.00,-8.00,0.00,-8.00
1954:Q3,983.00,1275.00,-194.00,0.00,0.00,-194.00,0.00,0.00,0.00,0.00,-98.00,983.00,-149.00,0.00,0.00,-22.00,0.00,-22.00,-6.00,0.00,0.00,0.00,0.00,12.00,0.00,12.00,513.00,0.00,513.00,337.00,0.00,152.00,0.00,31.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,83.00,0.00,0.00,22.00,0.00,22.00
1954:Q4,317.00,548.00,-171.00,0.00,0.00,-171.00,0.00,0.00,0.00,0.00,-60.00,317.00,-621.00,0.00,0.00,-37.00,0.00,-37.00,10.00,-3.00,0.00,0.00,0.00,10.00,0.00,10.00,408.00,0.00,408.00,360.00,0.00,155.00,0.00,6.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,-1.00,0.00,-1.00
1955:Q1,507.00,508.00,93.00,0.00,0.00,93.00,0.00,0.00,0.00,0.00,-94.00,507.00,-102.00,0.00,0.00,-103.00,0.00,-103.00,18.00,0.00,0.00,0.00,0.00,9.00,0.00,9.00,363.00,0.00,363.00,313.00,0.00,136.00,0.00,-9.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,-141.00,0.00,0.00,10.00,0.00,10.00
1955:Q2,589.00,724.00,-77.00,0.00,0.00,-77.00,0.00,0.00,0.00,0.00,-58.00,589.00,-198.00,0.00,0.00,-197.00,0.00,-197.00,47.00,1.00,0.00,0.00,0.00,9.00,0.00,9.00,356.00,0.00,356.00,256.00,0.00,140.00,0.00,27.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,126.00,0.00,0.00,6.00,0.00,6.00
1955:Q3,603.00,474.00,169.00,0.00,0.00,169.00,0.00,0.00,0.00,0.00,-40.00,603.00,129.00,0.00,0.00,-222.00,0.00,-222.00,37.00,1.00,0.00,0.00,0.00,9.00,0.00,9.00,379.00,0.00,379.00,203.00,0.00,146.00,0.00,1.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,-105.00,0.00,0.00,9.00,0.00,9.00
1955:Q4,1522.00,1311.00,212.00,0.00,0.00,212.00,0.00,0.00,0.00,0.00,-1.00,1522.00,294.00,0.00,0.00,-121.00,0.00,-121.00,25.00,1.00,0.00,0.00,0.00,10.00,0.00,10.00,651.00,0.00,651.00,174.00,0.00,155.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,274.00,0.00,0.00,29.00,0.00,29.00
1956:Q1,1080.00,422.00,568.00,0.00,0.00,568.00,0.00,0.00,0.00,0.00,90.00,1080.00,192.00,0.00,0.00,-106.00,0.00,-106.00,-31.00,1.00,0.00,0.00,0.00,7.00,0.00,7.00,661.00,0.00,661.00,251.00,0.00,147.00,0.00,70.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,-143.00,0.00,0.00,16.00,0.00,16.00
1956:Q2,1271.00,960.00,230.00,0.00,0.00,230.00,0.00,0.00,0.00,0.00,81.00,1271.00,448.00,0.00,0.00,-51.00,0.00,-51.00,-22.00,1.00,0.00,0.00,0.00,5.00,0.00,5.00,402.00,0.00,402.00,353.00,0.00,125.00,0.00,-37.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00,20.00,0.00,20.00
1956:Q3,1379.00,1067.00,238.00,0.00,0.00,238.00,0.00,0.00,0.00,0.00,74.00,1379.00,170.00,0.00,0.00,5.00,0.00,5.00,-26.00,1.00,0.00,0.00,0.00,6.00,0.00,6.00,577.00,0.00,577.00,464.00,0.00,107.00,0.00,134.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,-90.00,0.00,0.00,17.00,0.00,17.00
1956:Q4,1359.00,1027.00,267.00,0.00,0.00,267.00,0.00,0.00,0.00,0.00,65.00,1359.00,326.00,0.00,0.00,-192.00,0.00,-192.00,-22.00,1.00,0.00,0.00,0.00,9.00,0.00,9.00,512.00,0.00,512.00,554.00,0.00,94.00,0.00,27.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,0.00,0.00,14.00,0.00,14.00
1957:Q1,2121.00,1470.00,434.00,0.00,0.00,434.00,0.00,0.00,0.00,0.00,217.00,2121.00,743.00,0.00,0.00,139.00,0.00,139.00,13.00,0.00,0.00,0.00,0.00,23.00,0.00,23.00,629.00,0.00,629.00,547.00,0.00,117.00,0.00,26.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,-165.00,0.00,0.00,32.00,0.00,32.00
1957:Q2,1805.00,1465.00,214.00,0.00,0.00,214.00,0.00,0.00,0.00,0.00,126.00,1805.00,187.00,0.00,0.00,183.00,0.00,183.00,0.00,-1.00,0.00,0.00,0.00,39.00,0.00,39.00,595.00,0.00,595.00,502.00,0.00,174.00,0.00,80.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,0.00,12.00,0.00,12.00
1957:Q3,1969.00,1513.00,425.00,0.00,0.00,425.00,0.00,0.00,0.00,0.00,31.00,1969.00,311.00,0.00,0.00,161.00,0.00,161.00,-3.00,-1.00,0.00,0.00,0.00,54.00,0.00,54.00,704.00,0.00,704.00,438.00,0.00,257.00,0.00,-17.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,0.00,0.00,22.00,0.00,22.00
1957:Q4,1809.00,1584.00,164.00,0.00,0.00,164.00,0.00,0.00,0.00,0.00,61.00,1809.00,-176.00,0.00,0.00,241.00,0.00,241.00,-23.00,-4.00,0.00,0.00,0.00,64.00,0.00,64.00,744.00,0.00,744.00,375.00,0.00,311.00,0.00,24.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,209.00,0.00,0.00,24.00,0.00,24.00
1958:Q1,2416.00,1865.00,280.00,0.00,0.00,280.00,0.00,0.00,0.00,0.00,271.00,2416.00,807.00,0.00,0.00,306.00,0.00,306.00,-4.00,1.00,0.00,0.00,0.00,57.00,0.00,57.00,601.00,0.00,601.00,365.00,0.00,319.00,0.00,51.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,-142.00,0.00,0.00,34.00,0.00,34.00
1958:Q2,1318.00,1080.00,-102.00,0.00,0.00,-102.00,0.00,0.00,0.00,0.00,340.00,1318.00,-682.00,0.00,0.00,475.00,0.00,475.00,0.00,3.00,0.00,0.00,0.00,44.00,0.00,44.00,605.00,0.00,605.00,370.00,0.00,279.00,0.00,63.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00,0.00,0.00,-1.00,0.00,-1.00
1958:Q3,1202.00,1446.00,-332.00,0.00,0.00,-332.00,0.00,0.00,0.00,0.00,88.00,1202.00,459.00,0.00,0.00,-213.00,0.00,-213.00,-2.00,3.00,0.00,0.00,0.00,29.00,0.00,29.00,554.00,0.00,554.00,381.00,0.00,256.00,0.00,55.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,-342.00,0.00,0.00,0.00,0.00,0.00
1958:Q4,1483.00,1252.00,12.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,219.00,1483.00,164.00,0.00,0.00,-59.00,0.00,-59.00,-6.00,1.00,0.00,0.00,0.00,14.00,0.00,14.00,641.00,0.00,641.00,389.00,0.00,248.00,0.00,-14.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,62.00,0.00,0.00,21.00,0.00,21.00
1959:Q1,923.00,592.00,162.00,0.00,0.00,162.00,0.00,0.00,0.00,0.00,169.00,923.00,343.00,0.00,0.00,-148.00,0.00,-148.00,-1.00,0.00,0.00,0.00,0.00,11.00,0.00,11.00,474.00,0.00,474.00,214.00,0.00,234.00,0.00,12.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,-281.00,0.00,0.00,6.00,0.00,6.00
1959:Q2,1128.00,862.00,201.00,0.00,0.00,201.00,0.00,0.00,0.00,0.00,65.00,1128.00,-108.00,0.00,0.00,40.00,0.00,40.00,0.00,-1.00,0.00,0.00,0.00,12.00,0.00,12.00,554.00,0.00,554.00,311.00,0.00,211.00,0.00,32.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,0.00,0.00,18.00,0.00,18.00
1959:Q3,1019.00,568.00,321.00,0.00,0.00,321.00,0.00,0.00,0.00,0.00,130.00,1019.00,35.00,0.00,0.00,-63.00,0.00,-63.00,0.00,-1.00,0.00,0.00,0.00,16.00,0.00,16.00,382.00,0.00,382.00,277.00,0.00,207.00,0.00,16.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,107.00,0.00,0.00,35.00,0.00,35.00
1959:Q4,1472.00,1057.00,306.00,0.00,0.00,306.00,0.00,0.00,0.00,0.00,109.00,1472.00,68.00,0.00,0.00,-124.00,0.00,-124.00,1.00,-3.00,0.00,0.00,0.00,22.00,0.00,22.00,666.00,0.00,666.00,441.00,0.00,208.00,0.00,96.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,201.00,0.00,0.00,-115.00,0.00,-115.00
1960:Q1,1969.00,422.00,1268.00,0.00,0.00,1268.00,0.00,0.00,0.00,0.00,279.00,1969.00,1322.00,0.00,0.00,-115.00,0.00,-115.00,-1.00,0.00,0.00,0.00,0.00,23.00,0.00,23.00,398.00,0.00,398.00,337.00,0.00,225.00,0.00,-28.00,74.00,0.00,0.00,0.00,0.00,0.00,0.00,-299.00,0.00,0.00,33.00,0.00,33.00
1960:Q2,1640.00,891.00,624.00,0.00,0.00,624.00,0.00,0.00,0.00,0.00,125.00,1640.00,471.00,0.00,0.00,-18.00,0.00,-18.00,-2.00,0.00,0.00,0.00,0.00,23.00,0.00,23.00,448.00,0.00,448.00,323.00,0.00,255.00,0.00,52.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,0.00,31.00,0.00,31.00
1960:Q3,1474.00,782.00,616.00,0.00,0.00,616.00,0.00,0.00,0.00,0.00,76.00,1474.00,77.00,0.00,0.00,82.00,0.00,82.00,-5.00,0.00,0.00,0.00,0.00,22.00,0.00,22.00,337.00,0.00,337.00,404.00,0.00,302.00,0.00,74.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,140.00,0.00,0.00,20.00,0.00,20.00
1960:Q4,2152.00,1327.00,728.00,0.00,0.00,728.00,0.00,0.00,0.00,0.00,97.00,2152.00,525.00,0.00,0.00,24.00,0.00,24.00,-3.00,-4.00,0.00,0.00,0.00,19.00,0.00,19.00,534.00,0.00,534.00,550.00,0.00,356.00,0.00,58.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,-5.00,0.00,-5.00
1961:Q1,896.00,361.00,450.00,0.00,0.00,450.00,0.00,0.00,0.00,0.00,85.00,896.00,27.00,0.00,0.00,20.00,0.00,20.00,6.00,0.00,0.00,0.00,0.00,15.00,0.00,15.00,403.00,0.00,403.00,135.00,0.00,400.00,0.00,65.00,66.00,0.00,0.00,0.00,0.00,0.00,0.00,-249.00,0.00,0.00,8.00,0.00,8.00
1961:Q2,2358.00,1953.00,232.00,0.00,0.00,232.00,0.00,0.00,0.00,0.00,173.00,2358.00,842.00,0.00,0.00,-141.00,0.00,-141.00,5.00,-1.00,0.00,0.00,0.00,9.00,0.00,9.00,673.00,0.00,673.00,396.00,0.00,432.00,0.00,10.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,141.00,0.00,0.00,5.00,0.00,5.00
1961:Q3,694.00,707.00,-80.00,0.00,0.00,-80.00,0.00,0.00,0.00,0.00,67.00,694.00,-455.00,0.00,0.00,-107.00,0.00,-107.00,14.00,-1.00,0.00,0.00,0.00,4.00,0.00,4.00,598.00,0.00,598.00,259.00,0.00,450.00,0.00,33.00,-19.00,0.00,0.00,0.00,0.00,0.00,0.00,-73.00,0.00,0.00,-9.00,0.00,-9.00
1961:Q4,1606.00,1374.00,120.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,112.00,1606.00,-186.00,0.00,0.00,-142.00,0.00,-142.00,-20.00,-4.00,0.00,0.00,0.00,2.00,0.00,2.00,788.00,0.00,788.00,393.00,0.00,446.00,0.00,232.00,-16.00,0.00,0.00,0.00,0.00,0.00,0.00,116.00,0.00,0.00,-3.00,0.00,-3.00
1962:Q1,1197.00,826.00,170.00,0.00,0.00,170.00,0.00,0.00,0.00,0.00,201.00,1197.00,133.00,0.00,0.00,38.00,0.00,38.00,55.00,0.00,0.00,0.00,0.00,68.00,0.00,68.00,365.00,0.00,365.00,234.00,0.00,453.00,0.00,-135.00,43.00,0.00,0.00,0.00,0.00,0.00,0.00,-174.00,0.00,0.00,117.00,0.00,117.00
1962:Q2,1700.00,1544.00,-159.00,0.00,0.00,-159.00,0.00,0.00,0.00,0.00,315.00,1700.00,-19.00,0.00,0.00,-196.00,0.00,-196.00,73.00,0.00,0.00,0.00,0.00,110.00,0.00,110.00,705.00,0.00,705.00,393.00,0.00,467.00,0.00,141.00,-30.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,-21.00,0.00,-21.00
1962:Q3,472.00,577.00,-199.00,0.00,0.00,-199.00,0.00,0.00,0.00,0.00,94.00,472.00,-761.00,0.00,0.00,-31.00,0.00,-31.00,10.00,0.00,0.00,0.00,0.00,108.00,0.00,108.00,535.00,0.00,535.00,138.00,0.00,464.00,0.00,-55.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,135.00,0.00,0.00,-50.00,0.00,-50.00
1962:Q4,1988.00,1085.00,519.00,0.00,0.00,519.00,0.00,0.00,0.00,0.00,384.00,1988.00,18.00,0.00,0.00,88.00,0.00,88.00,-20.00,0.00,0.00,0.00,0.00,62.00,0.00,62.00,862.00,0.00,862.00,454.00,0.00,434.00,0.00,79.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,0.00,-21.00,0.00,-21.00
1963:Q1,1842.00,936.00,412.00,0.00,0.00,412.00,0.00,0.00,0.00,0.00,494.00,1842.00,445.00,0.00,0.00,21.00,0.00,21.00,-8.00,2.00,0.00,0.00,0.00,14.00,0.00,14.00,747.00,0.00,747.00,343.00,0.00,447.00,0.00,-5.00,104.00,0.00,0.00,0.00,0.00,0.00,0.00,-226.00,0.00,0.00,-42.00,0.00,-42.00
1963:Q2,1605.00,1116.00,-18.00,0.00,0.00,-18.00,0.00,0.00,0.00,0.00,507.00,1605.00,-267.00,0.00,0.00,-164.00,0.00,-164.00,-32.00,4.00,0.00,0.00,0.00,-33.00,0.00,-33.00,938.00,0.00,938.00,403.00,0.00,491.00,0.00,-3.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,127.00,0.00,0.00,58.00,0.00,58.00
1963:Q3,776.00,530.00,175.00,35.00,0.00,140.00,0.00,0.00,0.00,0.00,71.00,776.00,-512.00,0.00,0.00,-209.00,0.00,-209.00,-66.00,3.00,0.00,0.00,0.00,-33.00,0.00,-33.00,488.00,0.00,488.00,420.00,0.00,557.00,0.00,96.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,-52.00,0.00,0.00,-5.00,0.00,-5.00
1963:Q4,2092.00,1189.00,982.00,198.00,0.00,784.00,0.00,0.00,0.00,0.00,-79.00,2092.00,266.00,0.00,0.00,-286.00,0.00,-286.00,-29.00,1.00,0.00,0.00,0.00,11.00,0.00,11.00,652.00,0.00,652.00,293.00,0.00,618.00,0.00,83.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,375.00,0.00,0.00,46.00,0.00,46.00
1964:Q1,1657.00,677.00,1091.00,187.00,0.00,904.00,0.00,0.00,0.00,0.00,-111.00,1657.00,-182.00,0.00,0.00,479.00,0.00,479.00,-6.00,-2.00,0.00,0.00,0.00,50.00,0.00,50.00,621.00,0.00,621.00,238.00,0.00,617.00,0.00,-7.00,117.00,0.00,0.00,0.00,0.00,0.00,0.00,-299.00,0.00,0.00,31.00,0.00,31.00
1964:Q2,1988.00,1271.00,565.00,113.00,0.00,452.00,0.00,0.00,0.00,0.00,152.00,1988.00,-452.00,0.00,0.00,43.00,0.00,43.00,2.00,-5.00,0.00,0.00,0.00,77.00,0.00,77.00,720.00,0.00,720.00,591.00,0.00,548.00,0.00,146.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,250.00,0.00,0.00,34.00,0.00,34.00
1964:Q3,1237.00,696.00,585.00,144.00,0.00,441.00,0.00,0.00,0.00,0.00,-44.00,1237.00,119.00,0.00,0.00,-52.00,0.00,-52.00,24.00,-5.00,0.00,0.00,0.00,98.00,0.00,98.00,345.00,0.00,345.00,306.00,0.00,507.00,0.00,74.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,-284.00,0.00,0.00,83.00,0.00,83.00
1964:Q4,2720.00,1350.00,900.00,96.00,0.00,804.00,0.00,0.00,0.00,0.00,470.00,2720.00,662.00,0.00,0.00,-151.00,0.00,-151.00,-5.00,-6.00,0.00,0.00,0.00,115.00,0.00,115.00,633.00,0.00,633.00,511.00,0.00,489.00,0.00,148.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,251.00,0.00,0.00,60.00,0.00,60.00
1965:Q1,1514.00,934.00,490.00,120.00,0.00,370.00,0.00,0.00,0.00,0.00,90.00,1514.00,-177.00,0.00,0.00,58.00,0.00,58.00,-1.00,0.00,0.00,0.00,0.00,138.00,0.00,138.00,505.00,0.00,505.00,420.00,0.00,497.00,0.00,185.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,-208.00,0.00,0.00,18.00,0.00,18.00
1965:Q2,1735.00,1599.00,66.00,597.00,0.00,-531.00,0.00,0.00,0.00,0.00,70.00,1735.00,-444.00,0.00,0.00,15.00,0.00,15.00,1.00,2.00,0.00,0.00,0.00,169.00,0.00,169.00,659.00,0.00,659.00,458.00,0.00,529.00,0.00,72.00,-13.00,0.00,0.00,0.00,0.00,0.00,0.00,388.00,0.00,0.00,-101.00,0.00,-101.00
1965:Q3,1639.00,1693.00,-196.00,27.00,0.00,-223.00,0.00,0.00,0.00,0.00,142.00,1639.00,296.00,0.00,0.00,-153.00,0.00,-153.00,14.00,3.00,0.00,0.00,0.00,177.00,0.00,177.00,719.00,0.00,719.00,362.00,0.00,606.00,0.00,66.00,-21.00,0.00,0.00,0.00,0.00,0.00,0.00,-415.00,0.00,0.00,-15.00,0.00,-15.00
1965:Q4,1629.00,626.00,845.00,73.00,0.00,772.00,0.00,0.00,0.00,0.00,158.00,1629.00,-964.00,0.00,0.00,-195.00,0.00,-195.00,8.00,2.00,0.00,0.00,0.00,161.00,0.00,161.00,942.00,0.00,942.00,257.00,0.00,669.00,0.00,82.00,-17.00,0.00,0.00,0.00,0.00,0.00,0.00,542.00,0.00,0.00,142.00,0.00,142.00
