1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1996:Q4,-10154.00,0.00,8812.00,ND,ND,16126.00,ND,ND,0.00,0.00,0.00,0.00,6640.00,-44504.00,2772.00,0.00,38136.00,-3080.00,14472.00,-15516.00,27452.00,ND,ND,59268.00,ND,ND,-5125.00,ND,ND,0.00,0.00,7292.00,2596.00,29141.00,-3836.00,-36044.00,0.00,-18380.00,2400.00,0.00,-22504.00,-48290.00,0.00,0.00,0.00
1997:Q1,422169.00,0.00,71508.00,ND,ND,36449.00,ND,ND,6644.00,0.00,0.00,0.00,5420.00,302884.00,-736.00,0.00,453102.00,-688.00,15532.00,29111.00,57028.00,ND,ND,-10976.00,ND,ND,14650.00,ND,ND,0.00,0.00,-1152.00,-3308.00,45485.00,9400.00,6388.00,0.00,209864.00,-1536.00,0.00,83304.00,-30933.00,0.00,0.00,0.00
1997:Q2,100668.00,0.00,-63364.00,ND,ND,5016.00,ND,ND,1156.00,0.00,0.00,0.00,9392.00,148848.00,-380.00,0.00,68406.00,-1932.00,-9032.00,26347.00,-50652.00,ND,ND,53564.00,ND,ND,-7667.00,ND,ND,0.00,0.00,1856.00,19352.00,-23766.00,10876.00,24468.00,0.00,22240.00,184.00,0.00,2568.00,32261.00,0.00,0.00,0.00
1997:Q3,459777.00,0.00,114492.00,ND,ND,-13795.00,ND,ND,-1456.00,0.00,0.00,0.00,10916.00,349176.00,444.00,0.00,413307.00,3020.00,12776.00,-11297.00,51260.00,ND,ND,-32140.00,ND,ND,3237.00,ND,ND,0.00,0.00,-160.00,-340.00,31968.00,-568.00,1604.00,0.00,329624.00,340.00,0.00,23984.00,46470.00,0.00,0.00,0.00
1997:Q4,-3454.00,0.00,70412.00,ND,ND,55002.00,ND,ND,-1072.00,0.00,0.00,0.00,19012.00,-149780.00,2972.00,0.00,-189216.00,2232.00,-5008.00,-35132.00,-4068.00,ND,ND,64336.00,ND,ND,-2064.00,ND,ND,0.00,0.00,4276.00,-14128.00,38396.00,3496.00,-48816.00,0.00,-166072.00,3308.00,0.00,-29972.00,185762.00,0.00,0.00,0.00
1998:Q1,472972.00,0.00,70348.00,ND,ND,59824.00,ND,ND,-336.00,0.00,0.00,0.00,20336.00,322544.00,256.00,0.00,468555.00,-3380.00,34508.00,16756.00,110464.00,ND,ND,-31452.00,ND,ND,15382.00,ND,ND,0.00,0.00,1588.00,33244.00,8313.00,-5488.00,-14668.00,0.00,221900.00,-4148.00,0.00,85536.00,4417.00,0.00,0.00,0.00
1998:Q2,-29359.00,0.00,-142348.00,ND,ND,54761.00,ND,ND,-2684.00,0.00,0.00,0.00,-7544.00,53824.00,14632.00,0.00,70576.00,-4904.00,-24000.00,63982.00,-44708.00,ND,ND,49860.00,ND,ND,9944.00,ND,ND,0.00,0.00,1504.00,-4352.00,28758.00,11184.00,-26748.00,0.00,38604.00,-464.00,0.00,-28084.00,-99935.00,0.00,0.00,0.00
1998:Q3,165666.00,0.00,123512.00,ND,ND,84798.00,ND,ND,-1096.00,0.00,0.00,0.00,-12992.00,-29236.00,680.00,0.00,-35409.00,3044.00,-7684.00,-36473.00,100376.00,ND,ND,67976.00,ND,ND,-15750.00,ND,ND,0.00,0.00,1092.00,9880.00,76070.00,7496.00,-3664.00,0.00,-181084.00,-88.00,0.00,-56600.00,201075.00,0.00,0.00,0.00
1998:Q4,-630367.00,0.00,167372.00,ND,ND,-113699.00,ND,ND,48.00,0.00,0.00,0.00,-38888.00,-648888.00,3688.00,0.00,-571954.00,3824.00,13892.00,-18121.00,65920.00,ND,ND,-55316.00,ND,ND,3888.00,ND,ND,0.00,0.00,428.00,-3108.00,-61897.00,-11748.00,-8404.00,0.00,-446996.00,21856.00,0.00,-76172.00,-58413.00,0.00,0.00,0.00
1999:Q1,121879.00,0.00,21660.00,ND,ND,5455.00,ND,ND,1796.00,0.00,0.00,0.00,4020.00,96024.00,-7076.00,0.00,783.00,2268.00,-1920.00,40516.00,-112068.00,ND,ND,-13408.00,ND,ND,-9281.00,ND,ND,0.00,0.00,4668.00,14020.00,-34128.00,4728.00,-26312.00,0.00,81180.00,-6812.00,0.00,57332.00,121096.00,0.00,0.00,0.00
1999:Q2,-74383.00,0.00,48288.00,ND,ND,-24895.00,ND,ND,1420.00,0.00,0.00,0.00,740.00,-100564.00,628.00,0.00,-4136.00,-5364.00,-5676.00,6914.00,3104.00,ND,ND,-3460.00,ND,ND,8415.00,ND,ND,0.00,0.00,664.00,-512.00,7890.00,5832.00,-8712.00,0.00,-2240.00,1280.00,0.00,-12272.00,-70246.00,0.00,0.00,0.00
1999:Q3,-18728.00,0.00,-54228.00,ND,ND,-39208.00,ND,ND,-1600.00,0.00,0.00,0.00,-2232.00,76312.00,2228.00,0.00,-31387.00,10620.00,-6236.00,2596.00,-97064.00,ND,ND,-17600.00,ND,ND,-10944.00,ND,ND,0.00,0.00,1644.00,-6600.00,2676.00,-2384.00,5948.00,0.00,86228.00,3304.00,0.00,-3576.00,12660.00,0.00,0.00,0.00
1999:Q4,223739.00,0.00,96572.00,ND,ND,-17077.00,ND,ND,2284.00,0.00,0.00,0.00,-3560.00,136448.00,9072.00,0.00,555297.00,-1184.00,3868.00,391029.00,15188.00,ND,ND,-15900.00,ND,ND,21586.00,ND,ND,0.00,0.00,800.00,4464.00,32618.00,9540.00,79968.00,0.00,16500.00,6504.00,0.00,-9684.00,-331558.00,0.00,0.00,0.00
