1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q3,25346.00,20976.00,4928.00,0.00,0.00,0.00,16048.00,0.00,0.00,16048.00,0.00,0.00,0.00,4370.00,3496.00,874.00,25346.00,11208.00,5071.00,0.00,49.00,3025.00,323.00,0.00,0.00,801.00,0.00,0.00,0.00,1171.00,0.00,0.00,1171.00,2527.00
1968:Q4,25645.00,21173.00,4249.00,0.00,0.00,0.00,16924.00,0.00,0.00,16924.00,0.00,0.00,0.00,4472.00,3578.00,894.00,25645.00,12168.00,5099.00,0.00,58.00,2606.00,318.00,0.00,0.00,526.00,0.00,0.00,0.00,1022.00,0.00,0.00,1022.00,2826.00
1969:Q1,28933.00,24424.00,4880.00,0.00,0.00,0.00,19544.00,0.00,0.00,19344.00,0.00,200.00,0.00,4509.00,3607.00,902.00,28933.00,12889.00,6207.00,0.00,74.00,2919.00,359.00,0.00,0.00,854.00,0.00,0.00,0.00,1380.00,0.00,0.00,1380.00,2871.00
1969:Q2,31731.00,26802.00,4914.00,0.00,0.00,0.00,21888.00,0.00,0.00,20643.00,0.00,1245.00,0.00,4929.00,3943.00,986.00,31731.00,14322.00,6806.00,0.00,41.00,3069.00,391.00,0.00,0.00,698.00,0.00,0.00,0.00,1489.00,0.00,0.00,1489.00,3426.00
1969:Q3,35763.00,30479.00,5778.00,0.00,0.00,0.00,24701.00,0.00,0.00,22106.00,0.00,2595.00,0.00,5284.00,4227.00,1057.00,35763.00,16655.00,7206.00,0.00,60.00,3145.00,451.00,0.00,0.00,1019.00,0.00,0.00,0.00,1692.00,0.00,0.00,1691.00,3844.00
1969:Q4,38106.00,32600.00,5356.00,0.00,0.00,0.00,27244.00,0.00,0.00,22950.00,0.00,4294.00,0.00,5506.00,4405.00,1101.00,38106.00,18534.00,7628.00,0.00,64.00,3021.00,503.00,0.00,0.00,1365.00,0.00,0.00,0.00,1586.00,0.00,0.00,1585.00,3820.00
1970:Q1,43690.00,38284.00,7044.00,0.00,0.00,0.00,31240.00,0.00,0.00,24763.00,0.00,6477.00,0.00,5406.00,4325.00,1081.00,43690.00,22663.00,8156.00,0.00,76.00,2965.00,643.00,0.00,0.00,1715.00,0.00,0.00,0.00,1785.00,0.00,0.00,1785.00,3902.00
1970:Q2,44985.00,38952.00,6895.00,0.00,0.00,0.00,32057.00,0.00,0.00,24454.00,0.00,7603.00,0.00,6033.00,4826.00,1207.00,44985.00,24822.00,8432.00,0.00,32.00,3221.00,638.00,0.00,0.00,1655.00,0.00,0.00,0.00,917.00,0.00,0.00,916.00,4352.00
1970:Q3,41147.00,35241.00,7361.00,0.00,0.00,0.00,27880.00,0.00,0.00,23262.00,0.00,4618.00,0.00,5906.00,4725.00,1181.00,41147.00,17559.00,8433.00,0.00,87.00,3762.00,807.00,0.00,0.00,2519.00,0.00,0.00,0.00,1886.00,0.00,0.00,1885.00,4209.00
1970:Q4,40200.00,33071.00,7133.00,0.00,0.00,0.00,25938.00,0.00,0.00,23589.00,0.00,2349.00,0.00,7129.00,5703.00,1426.00,40200.00,16569.00,9389.00,0.00,57.00,4064.00,873.00,0.00,0.00,2142.00,0.00,0.00,0.00,1400.00,0.00,0.00,1399.00,4307.00
1971:Q1,39940.00,32695.00,8333.00,0.00,0.00,0.00,24362.00,0.00,0.00,22670.00,0.00,1692.00,0.00,7245.00,5796.00,1449.00,39940.00,14884.00,9954.00,0.00,88.00,4517.00,841.00,0.00,0.00,3018.00,0.00,0.00,0.00,1218.00,0.00,0.00,1218.00,4202.00
1971:Q2,38623.00,30902.00,6856.00,0.00,0.00,0.00,24046.00,0.00,0.00,22313.00,0.00,1733.00,0.00,7721.00,6177.00,1544.00,38623.00,13765.00,9791.00,0.00,12.00,4246.00,821.00,0.00,0.00,3679.00,0.00,0.00,0.00,1097.00,0.00,0.00,1096.00,4116.00
1971:Q3,39911.00,31682.00,7434.00,0.00,0.00,0.00,24248.00,0.00,0.00,22036.00,312.00,1900.00,0.00,8229.00,6583.00,1646.00,39911.00,13728.00,10510.00,0.00,41.00,4359.00,877.00,0.00,0.00,4078.00,0.00,0.00,0.00,1027.00,0.00,0.00,1027.00,4264.00
1971:Q4,40094.00,32126.00,6247.00,0.00,0.00,0.00,25879.00,0.00,0.00,23126.00,780.00,1973.00,0.00,7968.00,6374.00,1594.00,40094.00,13768.00,11275.00,0.00,80.00,4505.00,944.00,0.00,0.00,2770.00,0.00,0.00,0.00,1302.00,0.00,0.00,1302.00,4148.00
1972:Q1,41680.00,33615.00,7538.00,0.00,0.00,0.00,26077.00,0.00,0.00,22583.00,1322.00,2172.00,0.00,8065.00,6452.00,1613.00,41680.00,13000.00,12388.00,0.00,19.00,3873.00,1014.00,0.00,0.00,3952.00,308.00,0.00,0.00,1347.00,0.00,250.00,1346.00,4183.00
1972:Q2,41506.00,34366.00,8126.00,0.00,0.00,0.00,26240.00,0.00,0.00,22332.00,1937.00,1971.00,0.00,7140.00,5712.00,1428.00,41506.00,12073.00,13219.00,0.00,23.00,3698.00,1011.00,0.00,0.00,3564.00,794.00,0.00,0.00,1223.00,0.00,500.00,1222.00,4179.00
1972:Q3,40680.00,34012.00,7761.00,0.00,0.00,0.00,26251.00,0.00,0.00,21283.00,2600.00,2368.00,0.00,6668.00,5334.00,1334.00,40680.00,9464.00,13513.00,0.00,10.00,3443.00,1126.00,0.00,0.00,4799.00,1322.00,0.00,0.00,1342.00,431.00,750.00,1341.00,3139.00
1972:Q4,41688.00,34721.00,6968.00,0.00,0.00,0.00,27753.00,0.00,0.00,21876.00,3240.00,2637.00,0.00,6967.00,5574.00,1393.00,41688.00,9333.00,14235.00,0.00,70.00,4265.00,1203.00,0.00,0.00,2981.00,1755.00,0.00,0.00,1173.00,414.00,1000.00,1173.00,4086.00
1973:Q1,40980.00,34052.00,5871.00,0.00,0.00,0.00,28181.00,0.00,0.00,21625.00,3100.00,3456.00,0.00,6928.00,5542.00,1386.00,40980.00,7064.00,13258.00,0.00,144.00,2965.00,1410.00,0.00,0.00,5237.00,2104.00,0.00,0.00,1647.00,159.00,1250.00,1646.00,4096.00
1973:Q2,43095.00,35786.00,6032.00,0.00,0.00,0.00,29754.00,0.00,0.00,22350.00,3121.00,4283.00,0.00,7309.00,5847.00,1462.00,43095.00,8919.00,13437.00,0.00,66.00,2619.00,1615.00,0.00,0.00,4479.00,2382.00,0.00,0.00,1801.00,190.00,1500.00,1801.00,4286.00
1973:Q3,45893.00,37641.00,6335.00,0.00,0.00,0.00,31306.00,0.00,0.00,22155.00,3920.00,5231.00,0.00,8252.00,6602.00,1650.00,45893.00,9660.00,13633.00,0.00,57.00,3362.00,1337.00,0.00,0.00,4100.00,2677.00,0.00,0.00,1980.00,94.00,1750.00,1979.00,5264.00
1973:Q4,50054.00,41073.00,8382.00,0.00,0.00,0.00,32691.00,0.00,0.00,23835.00,3975.00,4881.00,0.00,8981.00,7185.00,1796.00,50054.00,14111.00,14876.00,0.00,68.00,3525.00,1441.00,0.00,0.00,3004.00,3079.00,0.00,0.00,1671.00,221.00,2000.00,1671.00,4387.00
1974:Q1,54958.00,44690.00,9235.00,15.00,15.00,0.00,35440.00,0.00,0.00,26015.00,3380.00,6045.00,0.00,10268.00,8214.00,2054.00,54958.00,14668.00,16212.00,0.00,30.00,3682.00,1606.00,0.00,0.00,4414.00,3554.00,0.00,185.00,1757.00,343.00,2250.00,1757.00,4500.00
1974:Q2,58152.00,44846.00,9967.00,1.00,1.00,0.00,34878.00,0.00,0.00,26362.00,1564.00,6952.00,0.00,13306.00,10645.00,2661.00,58152.00,17685.00,15131.00,0.00,104.00,3984.00,1841.00,0.00,0.00,3882.00,4069.00,0.00,353.00,1871.00,261.00,2500.00,1871.00,4600.00
1974:Q3,65361.00,49166.00,12569.00,90.00,90.00,0.00,36507.00,0.00,0.00,26973.00,895.00,8639.00,0.00,16195.00,12956.00,3239.00,65361.00,22024.00,16933.00,0.00,190.00,4123.00,1867.00,0.00,0.00,3874.00,4670.00,0.00,578.00,1693.00,267.00,2750.00,1692.00,4700.00
1974:Q4,67813.00,49144.00,12513.00,181.00,181.00,0.00,36450.00,0.00,0.00,27408.00,710.00,8332.00,0.00,18669.00,14935.00,3734.00,67813.00,22495.00,16520.00,0.00,579.00,4297.00,2094.00,0.00,0.00,4070.00,5403.00,0.00,645.00,1407.00,1097.00,3000.00,1406.00,4800.00
1975:Q1,69744.00,50827.00,14009.00,255.00,255.00,0.00,36563.00,0.00,0.00,26866.00,743.00,8954.00,0.00,18917.00,15134.00,3783.00,69744.00,30347.00,6255.00,0.00,628.00,5685.00,1684.00,0.00,0.00,4682.00,6329.00,0.00,1050.00,1543.00,1799.00,3250.00,1542.00,4950.00
1975:Q2,66683.00,48766.00,11658.00,388.00,388.00,0.00,36720.00,0.00,0.00,27089.00,840.00,8791.00,0.00,17917.00,14334.00,3583.00,66683.00,26437.00,6685.00,0.00,282.00,5165.00,2043.00,0.00,0.00,4768.00,7508.00,0.00,788.00,1345.00,1717.00,3500.00,1345.00,5100.00
1975:Q3,65215.00,48257.00,11780.00,407.00,407.00,0.00,36070.00,0.00,0.00,26488.00,784.00,8798.00,0.00,16958.00,13566.00,3392.00,65215.00,21915.00,7267.00,0.00,474.00,6004.00,2007.00,0.00,0.00,6394.00,8447.00,0.00,738.00,1076.00,867.00,3750.00,1076.00,5200.00
1975:Q4,66604.00,47690.00,9616.00,559.00,559.00,0.00,37515.00,0.00,0.00,28032.00,829.00,8654.00,0.00,18914.00,15131.00,3783.00,66604.00,19746.00,8371.00,0.00,741.00,8087.00,2084.00,0.00,0.00,4813.00,9066.00,0.00,528.00,1341.00,1186.00,4000.00,1341.00,5300.00
1976:Q1,68428.00,49338.00,10926.00,707.00,707.00,0.00,37705.00,0.00,0.00,28632.00,646.00,8427.00,0.00,19090.00,15272.00,3818.00,68428.00,20641.00,9324.00,0.00,540.00,7390.00,2110.00,0.00,0.00,5247.00,9892.00,0.00,714.00,723.00,1595.00,3999.00,878.00,5375.00
1976:Q2,70028.00,50047.00,11818.00,920.00,920.00,0.00,37309.00,0.00,0.00,28694.00,607.00,8008.00,0.00,19981.00,15985.00,3996.00,70028.00,21250.00,9073.00,0.00,361.00,7625.00,2015.00,0.00,0.00,6053.00,10440.00,0.00,837.00,742.00,1860.00,3492.00,830.00,5450.00
1976:Q3,69647.00,49852.00,10889.00,1140.00,1140.00,0.00,37823.00,0.00,0.00,29266.00,663.00,7894.00,0.00,19795.00,15836.00,3959.00,69647.00,18956.00,9486.00,0.00,88.00,8559.00,2386.00,0.00,0.00,6264.00,10756.00,0.00,772.00,570.00,1330.00,4287.00,668.00,5525.00
1976:Q4,74789.00,52041.00,11049.00,1282.00,1282.00,0.00,39710.00,0.00,0.00,31292.00,559.00,7859.00,0.00,22748.00,18198.00,4550.00,74789.00,16851.00,10511.00,0.00,196.00,11648.00,2542.00,0.00,0.00,5224.00,10952.00,0.00,944.00,823.00,1153.00,7217.00,1128.00,5600.00
1977:Q1,77592.00,54671.00,12083.00,1608.00,1608.00,0.00,40980.00,0.00,0.00,32501.00,514.00,7965.00,0.00,22921.00,18337.00,4584.00,77592.00,24022.00,10494.00,0.00,29.00,8894.00,2720.00,0.00,0.00,6724.00,11138.00,0.00,824.00,790.00,1392.00,3610.00,1255.00,5700.00
1977:Q2,83046.00,59372.00,12914.00,1816.00,1816.00,0.00,44642.00,0.00,0.00,35527.00,585.00,8530.00,0.00,23674.00,18939.00,4735.00,83046.00,28271.00,9442.00,0.00,43.00,9167.00,2393.00,0.00,0.00,6985.00,11272.00,0.00,927.00,1167.00,2333.00,3810.00,1436.00,5800.00
1977:Q3,83502.00,59952.00,13175.00,1962.00,1962.00,0.00,44815.00,0.00,0.00,35377.00,523.00,8915.00,0.00,23550.00,18840.00,4710.00,83502.00,28547.00,8984.00,0.00,4.00,9222.00,2677.00,0.00,0.00,7927.00,11309.00,0.00,916.00,1360.00,1739.00,3336.00,1581.00,5900.00
1977:Q4,89789.00,63878.00,12808.00,1847.00,1847.00,0.00,49223.00,0.00,0.00,39570.00,518.00,9135.00,0.00,25911.00,20729.00,5182.00,89789.00,31539.00,9390.00,0.00,0.00,11997.00,2619.00,0.00,0.00,4896.00,11314.00,0.00,1064.00,1335.00,1386.00,6670.00,1579.00,6000.00
1978:Q1,91638.00,67215.00,13719.00,1934.00,1934.00,0.00,51562.00,0.00,0.00,40875.00,541.00,10146.00,0.00,24423.00,19538.00,4885.00,91638.00,31566.00,10332.00,0.00,0.00,9012.00,2903.00,0.00,0.00,7784.00,11350.00,0.00,1505.00,1788.00,1149.00,6081.00,2068.00,6100.00
1978:Q2,97416.00,72884.00,14419.00,2188.00,2188.00,0.00,56277.00,0.00,0.00,43600.00,650.00,12027.00,0.00,24532.00,19626.00,4906.00,97416.00,38562.00,9330.00,0.00,0.00,8956.00,3287.00,0.00,0.00,7462.00,11335.00,0.00,2304.00,1815.00,788.00,5383.00,1994.00,6200.00
1978:Q3,97117.00,74945.00,14992.00,2580.00,2580.00,0.00,57373.00,0.00,0.00,43702.00,666.00,13005.00,0.00,22172.00,17738.00,4434.00,97117.00,38267.00,9061.00,0.00,0.00,9621.00,3467.00,0.00,0.00,9027.00,11173.00,0.00,2683.00,1429.00,236.00,4166.00,1687.00,6300.00
1978:Q4,107456.00,82236.00,15499.00,2880.00,2880.00,0.00,63857.00,0.00,0.00,47396.00,626.00,15835.00,0.00,25220.00,20290.00,4930.00,107456.00,46230.00,9512.00,0.00,0.00,10233.00,3588.00,0.00,0.00,6349.00,11162.00,0.00,3652.00,1883.00,188.00,5804.00,2390.00,6465.00
1979:Q1,115734.00,90229.00,17665.00,3106.00,3106.00,0.00,69458.00,0.00,0.00,52365.00,658.00,16435.00,0.00,25505.00,20515.00,4990.00,115734.00,50799.00,8896.00,0.00,0.00,9763.00,3500.00,0.00,0.00,8080.00,11593.00,0.00,7012.00,1842.00,170.00,4960.00,2119.00,7000.00
1979:Q2,128400.00,100201.00,20564.00,3241.00,3206.00,35.00,76396.00,0.00,0.00,56691.00,749.00,18956.00,0.00,28199.00,22649.00,5550.00,128400.00,53900.00,8604.00,0.00,0.00,10782.00,3329.00,0.00,0.00,9041.00,12498.00,0.00,10684.00,1844.00,47.00,8025.00,2146.00,7500.00
1979:Q3,137501.00,104935.00,23828.00,3976.00,3824.00,152.00,77131.00,0.00,0.00,56058.00,658.00,20415.00,0.00,32566.00,26126.00,6440.00,137501.00,57345.00,7732.00,0.00,0.00,11079.00,3704.00,0.00,0.00,10126.00,13894.00,0.00,13471.00,1925.00,52.00,7861.00,2312.00,8000.00
1979:Q4,144985.00,110892.00,24518.00,4553.00,4297.00,256.00,81821.00,0.00,0.00,60678.00,761.00,20382.00,0.00,34093.00,27343.00,6750.00,144985.00,56004.00,9586.00,0.00,0.00,12658.00,3981.00,0.00,0.00,7957.00,15396.00,0.00,19298.00,1808.00,336.00,7169.00,2380.00,8412.00
1980:Q1,155653.00,118162.00,31052.00,5217.00,4846.00,371.00,81893.00,0.00,0.00,58743.00,648.00,22502.00,0.00,37491.00,30041.00,7450.00,155653.00,60332.00,10176.00,0.00,0.00,11603.00,3961.00,0.00,0.00,7302.00,16621.00,0.00,26145.00,1936.00,488.00,6144.00,2295.00,8650.00
1980:Q2,164302.00,123247.00,36334.00,5531.00,5027.00,504.00,81382.00,0.00,0.00,45487.00,572.00,22624.00,12699.00,41055.00,32952.00,8103.00,164302.00,52550.00,9757.00,0.00,0.00,14328.00,3709.00,0.00,0.00,8196.00,17671.00,0.00,36314.00,1710.00,1159.00,7913.00,2095.00,8900.00
1980:Q3,161823.00,119781.00,32189.00,5828.00,5240.00,588.00,81764.00,0.00,0.00,44768.00,516.00,23062.00,13418.00,42042.00,33148.00,8894.00,161823.00,49723.00,9264.00,0.00,0.00,14912.00,4363.00,0.00,0.00,10978.00,18650.00,0.00,32261.00,2157.00,658.00,6655.00,3052.00,9150.00
1980:Q4,163820.00,121597.00,28026.00,6955.00,5904.00,1051.00,86616.00,0.00,0.00,47617.00,533.00,25943.00,12523.00,42223.00,33574.00,8649.00,163820.00,52267.00,9132.00,0.00,0.00,14789.00,4764.00,0.00,0.00,10142.00,19531.00,0.00,31561.00,2306.00,374.00,6750.00,2870.00,9334.00
1981:Q1,176604.00,130118.00,31837.00,8483.00,6643.00,1840.00,89798.00,0.00,0.00,49395.00,548.00,25767.00,14088.00,46486.00,37195.00,9291.00,176604.00,55275.00,8799.00,0.00,0.00,14512.00,4951.00,0.00,0.00,12795.00,20286.00,0.00,46244.00,1764.00,267.00,6799.00,-4088.00,9000.00
1981:Q2,194563.00,145994.00,37819.00,9564.00,6526.00,3038.00,98611.00,0.00,0.00,54839.00,548.00,28857.00,14367.00,48569.00,38321.00,10248.00,194563.00,47140.00,8163.00,0.00,0.00,15809.00,5414.00,0.00,5.00,14088.00,21787.00,0.00,55351.00,2031.00,300.00,10730.00,5045.00,8700.00
1981:Q3,212570.00,161717.00,44081.00,10088.00,6216.00,3872.00,107548.00,0.00,0.00,57120.00,550.00,32609.00,17269.00,50853.00,40220.00,10633.00,212570.00,40112.00,8021.00,0.00,0.00,14889.00,5500.00,0.00,25.00,17278.00,23227.00,0.00,71137.00,2149.00,402.00,8031.00,13399.00,8400.00
1981:Q4,215070.00,161114.00,42722.00,10829.00,6484.00,4345.00,107563.00,0.00,0.00,57238.00,553.00,32959.00,16813.00,53956.00,42091.00,11865.00,215070.00,42000.00,8199.00,0.00,0.00,15789.00,5808.00,0.00,50.00,17564.00,24505.00,0.00,70399.00,2233.00,686.00,11572.00,8224.00,8041.00
1982:Q1,222460.00,166527.00,49836.00,11381.00,6880.00,4501.00,105310.00,0.00,0.00,52226.00,522.00,34634.00,17928.00,55933.00,43510.00,12423.00,222460.00,46011.00,7908.00,0.00,0.00,19359.00,5285.00,0.00,102.00,19084.00,21975.00,0.00,73065.00,2289.00,432.00,9425.00,9925.00,7600.00
1982:Q2,239219.00,180015.00,51741.00,13100.00,7191.00,5909.00,115174.00,0.00,0.00,56609.00,491.00,38016.00,20058.00,59204.00,45848.00,13356.00,239219.00,52849.00,8236.00,0.00,0.00,17591.00,5265.00,0.00,246.00,20631.00,20607.00,0.00,78219.00,2546.00,486.00,13009.00,12334.00,7200.00
1982:Q3,230488.00,171627.00,49726.00,12936.00,6685.00,6251.00,108965.00,0.00,0.00,52465.00,460.00,33685.00,22355.00,58861.00,46200.00,12661.00,230488.00,45611.00,7731.00,0.00,0.00,19172.00,5229.00,0.00,540.00,22359.00,17800.00,0.00,74799.00,2125.00,246.00,14399.00,13677.00,6800.00
1982:Q4,226843.00,161828.00,37614.00,15054.00,5506.00,9548.00,109160.00,0.00,0.00,51425.00,429.00,34550.00,22756.00,65015.00,51600.00,13415.00,226843.00,48718.00,7948.00,0.00,0.00,18551.00,5109.00,0.00,2038.00,21735.00,15203.00,0.00,69112.00,2074.00,404.00,16447.00,13175.00,6329.00
1983:Q1,226311.00,166995.00,41187.00,16787.00,4770.00,12017.00,109021.00,0.00,0.00,51931.00,412.00,34981.00,21697.00,59316.00,46824.00,12492.00,226311.00,47958.00,8071.00,0.00,0.00,18984.00,1487.00,0.00,2822.00,24737.00,14243.00,164.00,61832.00,2685.00,658.00,8315.00,26910.00,7445.00
1983:Q2,233658.00,172180.00,38849.00,18557.00,5208.00,13349.00,114774.00,0.00,220.00,56059.00,395.00,35612.00,22488.00,61478.00,49046.00,12432.00,233658.00,42190.00,9343.00,0.00,0.00,18427.00,1936.00,0.00,3720.00,25122.00,15302.00,406.00,66325.00,2989.00,304.00,8954.00,31508.00,7132.00
1983:Q3,242383.00,176991.00,40547.00,19386.00,5602.00,13784.00,117058.00,0.00,440.00,56936.00,378.00,37158.00,22146.00,65392.00,50839.00,14553.00,242383.00,36474.00,9943.00,0.00,0.00,18616.00,1849.00,0.00,5108.00,26722.00,16997.00,695.00,68790.00,2947.00,520.00,10208.00,36555.00,6959.00
1983:Q4,253778.00,183498.00,36775.00,21540.00,5647.00,15893.00,125183.00,0.00,660.00,60479.00,361.00,38007.00,25676.00,70280.00,54628.00,15652.00,253778.00,43780.00,12188.00,0.00,0.00,17782.00,1743.00,0.00,6859.00,25162.00,17247.00,1000.00,66161.00,2855.00,783.00,11598.00,39504.00,7116.00
1984:Q1,268645.00,200365.00,42518.00,24158.00,6650.00,17508.00,133689.00,0.00,880.00,65453.00,416.00,41384.00,25556.00,68280.00,51922.00,16358.00,268645.00,43994.00,12632.00,0.00,0.00,17206.00,794.00,119.00,7552.00,28696.00,19581.00,1321.00,75307.00,4201.00,754.00,10641.00,37563.00,8284.00
1984:Q2,296549.00,220594.00,53463.00,30516.00,6718.00,23798.00,136615.00,0.00,1100.00,69424.00,472.00,45904.00,19715.00,75955.00,57445.00,18510.00,296549.00,52361.00,11246.00,0.00,0.00,16247.00,854.00,181.00,8563.00,30312.00,22113.00,1657.00,79844.00,4652.00,619.00,11596.00,47760.00,8544.00
1984:Q3,300622.00,226700.00,60349.00,26707.00,6845.00,19862.00,139644.00,0.00,1320.00,68049.00,529.00,43025.00,26721.00,73922.00,52082.00,21840.00,300622.00,55652.00,11189.00,0.00,0.00,16634.00,795.00,153.00,8807.00,31871.00,22171.00,2040.00,85689.00,5719.00,452.00,13092.00,36638.00,9720.00
1984:Q4,305701.00,231724.00,58490.00,27721.00,6494.00,21227.00,145513.00,0.00,1540.00,73122.00,588.00,44140.00,26123.00,73977.00,51056.00,22921.00,305701.00,65640.00,9742.00,0.00,0.00,15451.00,852.00,62.00,8957.00,29306.00,19609.00,2500.00,97901.00,4912.00,683.00,17301.00,24458.00,8327.00
1985:Q1,317853.00,247603.00,62972.00,28638.00,7819.00,20819.00,155993.00,0.00,1760.00,79489.00,623.00,45638.00,28483.00,70250.00,47745.00,22505.00,317853.00,58800.00,10202.00,0.00,0.00,15108.00,887.00,153.00,9434.00,31975.00,19330.00,3039.00,96452.00,4577.00,526.00,10499.00,48108.00,8763.00
1985:Q2,326920.00,259662.00,68886.00,29838.00,7870.00,21968.00,160938.00,0.00,1980.00,84671.00,657.00,45596.00,28034.00,67258.00,44099.00,23159.00,326920.00,56106.00,9798.00,0.00,0.00,14333.00,1164.00,126.00,9830.00,31560.00,19235.00,3656.00,108266.00,4930.00,430.00,12618.00,47213.00,7655.00
1985:Q3,343467.00,277700.00,69036.00,31417.00,7677.00,23740.00,177247.00,0.00,2200.00,96218.00,690.00,45557.00,32582.00,65767.00,42755.00,23012.00,343467.00,58388.00,9326.00,0.00,0.00,12959.00,1269.00,192.00,10603.00,32737.00,19843.00,4320.00,100919.00,5603.00,351.00,13928.00,64989.00,8040.00
1985:Q4,358526.00,293909.00,72207.00,33923.00,7963.00,25960.00,187779.00,0.00,2420.00,102684.00,723.00,46380.00,35572.00,64617.00,40201.00,24416.00,358526.00,56471.00,10478.00,0.00,0.00,12026.00,1178.00,176.00,11809.00,29063.00,21969.00,5000.00,99047.00,4744.00,98.00,14549.00,83752.00,8166.00
1986:Q1,359798.00,298885.00,69514.00,31895.00,10629.00,21266.00,197476.00,0.00,2640.00,108615.00,814.00,38361.00,47046.00,60913.00,36604.00,24309.00,359798.00,46010.00,11646.00,0.00,0.00,13447.00,820.00,151.00,11836.00,28699.00,22481.00,5714.00,101882.00,8152.00,36.00,16125.00,83780.00,9019.00
1986:Q2,374342.00,314598.00,68654.00,36231.00,11006.00,25225.00,209713.00,0.00,2860.00,113773.00,773.00,41715.00,50592.00,59744.00,34790.00,24954.00,374342.00,46360.00,10268.00,0.00,0.00,11896.00,1029.00,148.00,11764.00,29451.00,23110.00,6480.00,109390.00,8007.00,40.00,18140.00,88741.00,9518.00
1986:Q3,388864.00,326967.00,72779.00,39908.00,10893.00,29015.00,214280.00,0.00,3080.00,118742.00,925.00,39435.00,52098.00,61897.00,33988.00,27909.00,388864.00,59181.00,9378.00,0.00,0.00,10392.00,1095.00,100.00,11731.00,33428.00,24000.00,7355.00,117799.00,8344.00,82.00,15109.00,82819.00,8051.00
1986:Q4,384904.00,326144.00,62865.00,37407.00,10148.00,27259.00,225872.00,0.00,3300.00,124274.00,1051.00,43125.00,54122.00,58760.00,31520.00,27240.00,384904.00,56132.00,10173.00,0.00,0.00,12835.00,1026.00,744.00,11872.00,34484.00,25718.00,8270.00,105158.00,9588.00,87.00,12599.00,88180.00,8038.00
1987:Q1,396222.00,337133.00,63593.00,37278.00,10838.00,26440.00,236262.00,0.00,3677.00,125805.00,1265.00,48749.00,56766.00,59089.00,31871.00,27218.00,396222.00,51388.00,12384.00,0.00,0.00,12298.00,1698.00,157.00,11933.00,35168.00,27248.00,9211.00,109194.00,12597.00,104.00,10042.00,95575.00,7225.00
1987:Q2,414601.00,351253.00,67916.00,35587.00,11151.00,24436.00,247750.00,0.00,4096.00,127554.00,1242.00,50292.00,64566.00,63348.00,30679.00,32669.00,414601.00,50753.00,13815.00,0.00,0.00,10719.00,1213.00,198.00,11992.00,33215.00,29989.00,10170.00,106459.00,12338.00,69.00,11354.00,112708.00,9609.00
1987:Q3,421195.00,360173.00,68108.00,40610.00,11217.00,29393.00,251455.00,0.00,4564.00,131831.00,1249.00,49390.00,64421.00,61022.00,28628.00,32394.00,421195.00,45110.00,16886.00,86.00,0.00,8737.00,1344.00,204.00,12100.00,36511.00,31972.00,10929.00,111457.00,14418.00,34.00,12846.00,107937.00,10624.00
1987:Q4,437922.00,373586.00,73768.00,41245.00,12544.00,28701.00,258573.00,0.00,5084.00,134986.00,1406.00,44601.00,72496.00,64336.00,30506.00,33830.00,437922.00,55346.00,14966.00,219.00,0.00,13254.00,2216.00,459.00,12310.00,34039.00,32975.00,11272.00,111131.00,11301.00,40.00,14150.00,115223.00,9021.00
1988:Q1,447503.00,388492.00,73507.00,42544.00,12230.00,30314.00,272441.00,0.00,5467.00,132488.00,1431.00,45052.00,88003.00,59011.00,26267.00,32744.00,447503.00,54134.00,12295.00,367.00,0.00,10370.00,1616.00,470.00,12654.00,36653.00,30459.00,11247.00,118328.00,16459.00,262.00,14564.00,117262.00,10363.00
1988:Q2,474751.00,415125.00,77847.00,44037.00,12325.00,31712.00,293241.00,0.00,5879.00,139322.00,1423.00,46742.00,99875.00,59626.00,26357.00,33269.00,474751.00,63158.00,15348.00,500.00,0.00,10067.00,1489.00,599.00,13164.00,38054.00,30414.00,10900.00,120644.00,13390.00,200.00,17381.00,131327.00,8116.00
1988:Q3,484669.00,425236.00,80303.00,46432.00,12303.00,34129.00,298501.00,0.00,6321.00,137416.00,1397.00,44788.00,108579.00,59433.00,26901.00,32532.00,484669.00,79925.00,13725.00,609.00,0.00,11317.00,1441.00,724.00,13659.00,40964.00,27818.00,10468.00,118204.00,16432.00,200.00,14158.00,123988.00,11037.00
1988:Q4,513359.00,451762.00,85676.00,49943.00,11959.00,37984.00,316143.00,0.00,6797.00,152056.00,1290.00,44403.00,111597.00,61597.00,27237.00,34360.00,513359.00,93557.00,13648.00,687.00,0.00,13413.00,1749.00,868.00,13958.00,39170.00,26485.00,10183.00,129508.00,16159.00,395.00,14773.00,126968.00,11838.00
