1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1952:Q1,2109.00,1646.00,328.00,0.00,0.00,0.00,1318.00,0.00,0.00,1318.00,0.00,0.00,0.00,463.00,370.00,93.00,2109.00,978.00,138.00,0.00,0.00,461.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,0.00,76.00,281.00
1952:Q2,2227.00,1807.00,304.00,0.00,0.00,0.00,1503.00,0.00,0.00,1503.00,0.00,0.00,0.00,420.00,336.00,84.00,2227.00,893.00,432.00,0.00,0.00,400.00,103.00,0.00,0.00,0.00,0.00,0.00,0.00,66.00,0.00,0.00,65.00,268.00
1952:Q3,2436.00,1977.00,346.00,0.00,0.00,0.00,1631.00,0.00,0.00,1631.00,0.00,0.00,0.00,459.00,367.00,92.00,2436.00,1047.00,411.00,0.00,0.00,493.00,77.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,0.00,0.00,60.00,288.00
1952:Q4,2246.00,1749.00,331.00,0.00,0.00,0.00,1418.00,0.00,0.00,1418.00,0.00,0.00,0.00,497.00,398.00,99.00,2246.00,1040.00,195.00,0.00,0.00,472.00,97.00,0.00,0.00,0.00,0.00,0.00,0.00,67.00,0.00,0.00,66.00,309.00
1953:Q1,2440.00,1980.00,370.00,0.00,0.00,0.00,1610.00,0.00,0.00,1610.00,0.00,0.00,0.00,460.00,368.00,92.00,2440.00,1270.00,212.00,0.00,0.00,425.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,70.00,306.00
1953:Q2,2248.00,1816.00,297.00,0.00,0.00,0.00,1519.00,0.00,0.00,1519.00,0.00,0.00,0.00,432.00,346.00,86.00,2248.00,1213.00,194.00,0.00,0.00,331.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,61.00,0.00,0.00,60.00,305.00
1953:Q3,2576.00,2056.00,347.00,0.00,0.00,0.00,1709.00,0.00,0.00,1709.00,0.00,0.00,0.00,520.00,416.00,104.00,2576.00,1389.00,214.00,0.00,0.00,431.00,69.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.00,0.00,58.00,356.00
1953:Q4,2624.00,2045.00,402.00,0.00,0.00,0.00,1643.00,0.00,0.00,1643.00,0.00,0.00,0.00,579.00,463.00,116.00,2624.00,1296.00,204.00,0.00,0.00,477.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,78.00,401.00
1954:Q1,2979.00,2393.00,525.00,0.00,0.00,0.00,1868.00,0.00,0.00,1868.00,0.00,0.00,0.00,586.00,469.00,117.00,2979.00,1424.00,312.00,0.00,0.00,630.00,83.00,0.00,0.00,0.00,0.00,0.00,0.00,74.00,0.00,0.00,74.00,382.00
1954:Q2,2839.00,2244.00,484.00,0.00,0.00,0.00,1760.00,0.00,0.00,1760.00,0.00,0.00,0.00,595.00,476.00,119.00,2839.00,1300.00,338.00,0.00,0.00,614.00,81.00,0.00,0.00,0.00,0.00,0.00,0.00,69.00,0.00,0.00,68.00,369.00
1954:Q3,2915.00,2300.00,584.00,0.00,0.00,0.00,1716.00,0.00,0.00,1716.00,0.00,0.00,0.00,615.00,492.00,123.00,2915.00,1301.00,300.00,0.00,0.00,751.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,0.00,0.00,71.00,350.00
