1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q3,119781.00,8914.00,43732.00,26678.00,17054.00,40623.00,30324.00,1293.00,9006.00,26512.00,294556.00,38326.00,97806.00,0.00,97806.00,118088.00,17142.00,0.00,100946.00,40336.00,25960.00,0.00,24503.00,103.00,1354.00
2003:Q4,135042.00,9173.00,47764.00,28883.00,18881.00,48836.00,37185.00,1529.00,10122.00,29269.00,314794.00,41634.00,107089.00,0.00,107089.00,123606.00,17751.00,0.00,105855.00,42465.00,30327.00,0.00,28907.00,100.00,1320.00
2004:Q1,160489.00,10245.00,62316.00,37780.00,24536.00,55779.00,42509.00,1521.00,11749.00,32149.00,342653.00,51894.00,117683.00,0.00,117683.00,128904.00,17448.00,0.00,111456.00,44172.00,37012.00,0.00,34038.00,99.00,2875.00
2004:Q2,177402.00,11708.00,64709.00,37126.00,27583.00,66775.00,52548.00,1697.00,12530.00,34210.00,365448.00,58281.00,126407.00,0.00,126407.00,138120.00,20513.00,0.00,117607.00,42640.00,43883.00,0.00,40825.00,98.00,2960.00
2004:Q3,200862.00,9823.00,73900.00,40787.00,33113.00,80549.00,66208.00,1607.00,12734.00,36590.00,394966.00,62046.00,144705.00,0.00,144705.00,142830.00,21266.00,0.00,121564.00,45385.00,60391.00,0.00,57114.00,95.00,3182.00
2004:Q4,251645.00,12222.00,80667.00,44675.00,35992.00,118406.00,103144.00,1639.00,13623.00,40350.00,461166.00,70300.00,183845.00,0.00,183845.00,156266.00,24909.00,0.00,131357.00,50755.00,89949.00,0.00,86801.00,79.00,3069.00
2005:Q1,265254.00,13320.00,82618.00,44153.00,38465.00,126083.00,110151.00,1682.00,14250.00,43233.00,478503.00,72024.00,195883.00,0.00,195883.00,163312.00,26881.00,0.00,136431.00,47284.00,98557.00,0.00,94836.00,174.00,3547.00
2005:Q2,287050.00,14373.00,88547.00,44523.00,44024.00,138121.00,121044.00,1636.00,15441.00,46009.00,508481.00,75141.00,212282.00,0.00,212282.00,170858.00,28286.00,0.00,142572.00,50200.00,105562.00,0.00,102053.00,136.00,3373.00
2005:Q3,304284.00,15625.00,92659.00,43003.00,49656.00,147766.00,130568.00,1810.00,15388.00,48234.00,530051.00,80612.00,219507.00,0.00,219507.00,177721.00,31373.00,0.00,146348.00,52211.00,109906.00,0.00,105098.00,134.00,4674.00
2005:Q4,305834.00,13583.00,93604.00,40628.00,52976.00,146719.00,127942.00,1941.00,16836.00,51928.00,534236.00,83486.00,216679.00,0.00,216679.00,178803.00,33336.00,0.00,145467.00,55268.00,107251.00,0.00,102453.00,143.00,4655.00
2006:Q1,317522.00,14803.00,95408.00,40308.00,55100.00,156493.00,135589.00,2317.00,18587.00,50818.00,549050.00,84559.00,227550.00,0.00,227550.00,184105.00,34494.00,0.00,149611.00,52836.00,112654.00,0.00,107068.00,247.00,5339.00
2006:Q2,333685.00,13897.00,106659.00,47939.00,58720.00,158840.00,137683.00,2234.00,18923.00,54289.00,568748.00,93613.00,230081.00,0.00,230081.00,189410.00,35881.00,0.00,153529.00,55644.00,113111.00,0.00,106984.00,245.00,5882.00
2006:Q3,345353.00,16192.00,115037.00,55080.00,59957.00,159200.00,134163.00,2611.00,22426.00,54924.00,583068.00,98359.00,233616.00,0.00,233616.00,192267.00,37390.00,0.00,154877.00,58826.00,112922.00,0.00,105564.00,230.00,7128.00
2006:Q4,344549.00,18448.00,130024.00,65412.00,64612.00,136338.00,104165.00,5026.00,27147.00,59739.00,571847.00,97890.00,230581.00,0.00,230581.00,180406.00,28356.00,0.00,152050.00,62970.00,110005.00,0.00,92650.00,393.00,16962.00
2007:Q1,365660.00,21621.00,140546.00,76819.00,63727.00,148698.00,110502.00,5646.00,32550.00,54795.00,591656.00,104036.00,246113.00,0.00,246113.00,183043.00,35019.00,0.00,148024.00,58464.00,115308.00,0.00,97401.00,388.00,17519.00
2007:Q2,357372.00,18626.00,141794.00,76204.00,65590.00,139491.00,99561.00,5847.00,34083.00,57461.00,590811.00,106330.00,242353.00,0.00,242353.00,184782.00,33558.00,0.00,151224.00,57346.00,110934.00,0.00,90816.00,386.00,19732.00
2007:Q3,324795.00,18511.00,117270.00,78682.00,38588.00,132127.00,90403.00,5425.00,36299.00,56887.00,570938.00,85612.00,237637.00,0.00,237637.00,185396.00,30977.00,0.00,154419.00,62293.00,101194.00,0.00,79815.00,385.00,20994.00
2007:Q4,318489.00,16635.00,123340.00,88910.00,34430.00,123134.00,80668.00,5206.00,37260.00,55380.00,580516.00,91702.00,231327.00,0.00,231327.00,189885.00,33157.00,0.00,156728.00,67602.00,92123.00,0.00,72410.00,390.00,19323.00
2008:Q1,301346.00,19419.00,115751.00,92323.00,23428.00,108948.00,66163.00,5193.00,37592.00,57228.00,559618.00,89859.00,207735.00,0.00,207735.00,196028.00,34194.00,0.00,161834.00,65996.00,72197.00,0.00,56542.00,385.00,15270.00
2008:Q2,302064.00,17976.00,120899.00,99331.00,21568.00,103469.00,60576.00,5072.00,37821.00,59720.00,553875.00,91623.00,206822.00,0.00,206822.00,190709.00,29526.00,0.00,161183.00,64721.00,66666.00,0.00,50862.00,389.00,15415.00
2008:Q3,294864.00,22158.00,113241.00,93175.00,20066.00,98163.00,55446.00,4409.00,38308.00,61302.00,546689.00,89575.00,194816.00,0.00,194816.00,195091.00,32435.00,0.00,162656.00,67207.00,59430.00,0.00,44498.00,383.00,14549.00
2008:Q4,250553.00,18429.00,101293.00,89631.00,11662.00,76261.00,34269.00,4302.00,37690.00,54570.00,511623.00,79364.00,171032.00,0.00,171032.00,196349.00,32842.00,0.00,163507.00,64878.00,45411.00,0.00,31788.00,389.00,13234.00
2009:Q1,241714.00,19658.00,105379.00,93160.00,12219.00,54747.00,8473.00,4132.00,42142.00,61930.00,496260.00,79258.00,151947.00,0.00,151947.00,199496.00,30072.00,0.00,169424.00,65559.00,23948.00,0.00,7230.00,380.00,16338.00
2009:Q2,252672.00,24707.00,115253.00,101369.00,13884.00,52722.00,9407.00,3713.00,39602.00,59990.00,490888.00,81975.00,148694.00,0.00,148694.00,198184.00,23445.00,0.00,174739.00,62035.00,24153.00,0.00,7934.00,375.00,15844.00
2009:Q3,260279.00,31123.00,121323.00,105747.00,15576.00,48062.00,9120.00,2357.00,36585.00,59771.00,489014.00,89127.00,144520.00,0.00,144520.00,195470.00,20621.00,0.00,174849.00,59897.00,20853.00,0.00,7740.00,371.00,12742.00
2009:Q4,262832.00,30853.00,121197.00,105193.00,16004.00,45988.00,8909.00,2260.00,34819.00,64794.00,489902.00,90480.00,144389.00,0.00,144389.00,195439.00,20175.00,0.00,175264.00,59594.00,18632.00,0.00,6092.00,370.00,12170.00
2010:Q1,272541.00,27760.00,127493.00,109109.00,18384.00,51485.00,11048.00,2146.00,38291.00,65803.00,497641.00,88913.00,153289.00,0.00,153289.00,192491.00,18732.00,0.00,173759.00,62948.00,20736.00,0.00,7420.00,382.00,12934.00
2010:Q2,270303.00,26414.00,133839.00,114617.00,19222.00,46022.00,8942.00,2139.00,34941.00,64028.00,490909.00,94388.00,146903.00,0.00,146903.00,189584.00,16794.00,0.00,172790.00,60034.00,19724.00,0.00,7412.00,372.00,11940.00
2010:Q3,288273.00,25180.00,149556.00,128694.00,20862.00,44798.00,8807.00,2026.00,33965.00,68739.00,514882.00,102040.00,148914.00,0.00,148914.00,193829.00,17320.00,0.00,176509.00,70099.00,19237.00,0.00,7187.00,360.00,11690.00
2010:Q4,302395.00,25121.00,166571.00,143393.00,23178.00,44567.00,8957.00,1950.00,33660.00,66136.00,523949.00,120385.00,145389.00,0.00,145389.00,194495.00,18404.00,0.00,176091.00,63680.00,18127.00,0.00,7185.00,359.00,10583.00
2011:Q1,380306.00,31308.00,216511.00,190707.00,25804.00,56577.00,20357.00,1795.00,34425.00,75910.00,580189.00,160811.00,152863.00,0.00,152863.00,198153.00,16516.00,0.00,181637.00,68362.00,15019.00,0.00,6070.00,356.00,8593.00
2011:Q2,406817.00,24612.00,244334.00,216949.00,27385.00,58680.00,19675.00,1790.00,37215.00,79191.00,613729.00,187103.00,152791.00,0.00,152791.00,203480.00,16272.00,0.00,187208.00,70355.00,14458.00,0.00,5936.00,348.00,8174.00
2011:Q3,432690.00,28744.00,267335.00,239200.00,28135.00,56614.00,19731.00,1758.00,35125.00,79997.00,645772.00,210856.00,151539.00,0.00,151539.00,209847.00,21655.00,0.00,188192.00,73530.00,14555.00,0.00,6380.00,338.00,7837.00
2011:Q4,433438.00,27622.00,275086.00,248077.00,27009.00,56075.00,19756.00,1726.00,34593.00,74655.00,654408.00,218106.00,152939.00,0.00,152939.00,212550.00,23005.00,0.00,189545.00,70813.00,14335.00,0.00,6454.00,334.00,7547.00
2012:Q1,502475.00,32746.00,333198.00,302894.00,30304.00,55535.00,21258.00,1699.00,32578.00,80996.00,719806.00,261577.00,162043.00,0.00,162043.00,209981.00,19273.00,0.00,190708.00,86205.00,15176.00,0.00,7115.00,322.00,7739.00
2012:Q2,526140.00,31761.00,352793.00,320611.00,32182.00,58329.00,24284.00,1743.00,32302.00,83257.00,743942.00,281849.00,168067.00,0.00,168067.00,211312.00,20845.00,0.00,190467.00,82714.00,17596.00,0.00,9526.00,302.00,7768.00
2012:Q3,600424.00,35992.00,413087.00,377817.00,35270.00,60046.00,24399.00,1745.00,33902.00,91299.00,811959.00,321850.00,172141.00,0.00,172141.00,212818.00,19635.00,100.00,193083.00,105150.00,17185.00,0.00,9421.00,308.00,7456.00
2012:Q4,594242.00,35293.00,394088.00,357557.00,36531.00,64456.00,26453.00,1869.00,36134.00,100405.00,817803.00,320553.00,179369.00,0.00,179369.00,221622.00,26973.00,262.00,194387.00,96259.00,15637.00,0.00,10167.00,299.00,5171.00
2013:Q1,595462.00,40857.00,385660.00,345873.00,39787.00,63055.00,26617.00,2137.00,34301.00,105890.00,814359.00,322011.00,181928.00,0.00,181928.00,221061.00,21099.00,423.00,199539.00,89359.00,15955.00,0.00,10589.00,336.00,5030.00
2013:Q2,725510.00,38124.00,367480.00,332579.00,34901.00,207541.00,29213.00,3811.00,174517.00,112365.00,957243.00,309701.00,317790.00,0.00,317790.00,238137.00,23149.00,498.00,214490.00,91615.00,150848.00,0.00,18380.00,2777.00,129691.00
2013:Q3,692992.00,40177.00,346750.00,311599.00,35151.00,207913.00,29468.00,3783.00,174662.00,98152.00,924136.00,288443.00,327413.00,0.00,327413.00,232567.00,27991.00,608.00,203968.00,75713.00,152130.00,0.00,19403.00,2778.00,129949.00
2013:Q4,662550.00,34268.00,304365.00,269266.00,35099.00,214736.00,31303.00,4140.00,179293.00,109181.00,926239.00,255510.00,355463.00,0.00,355463.00,241122.00,25882.00,989.00,214251.00,74144.00,160140.00,0.00,19864.00,2953.00,137323.00
2014:Q1,685741.00,33329.00,294524.00,259983.00,34541.00,237281.00,32865.00,4161.00,200255.00,120607.00,953622.00,243382.00,385353.00,0.00,385353.00,245789.00,27296.00,1397.00,217096.00,79098.00,179614.00,0.00,19391.00,3240.00,156983.00
2014:Q2,707261.00,37995.00,304483.00,271007.00,33476.00,237041.00,35162.00,4068.00,197811.00,127742.00,979061.00,252803.00,396620.00,0.00,396620.00,247064.00,25298.00,3033.00,218733.00,82574.00,174030.00,0.00,19156.00,3212.00,151662.00
2014:Q3,707178.00,38143.00,299077.00,265985.00,33092.00,241139.00,41430.00,4519.00,195190.00,128819.00,990878.00,252401.00,401322.00,0.00,401322.00,254495.00,28982.00,4245.00,221268.00,82660.00,172919.00,0.00,22036.00,3168.00,147715.00
2014:Q4,724693.00,38543.00,312017.00,277790.00,34227.00,247269.00,43980.00,5107.00,198182.00,126864.00,1021473.00,265501.00,403271.00,0.00,403271.00,270355.00,33076.00,5857.00,231422.00,82346.00,172548.00,0.00,23082.00,3294.00,146172.00
2015:Q1,721114.00,38592.00,308342.00,269420.00,38922.00,240705.00,42981.00,4667.00,193057.00,133475.00,1026841.00,262256.00,403532.00,0.00,403532.00,279744.00,36982.00,7248.00,235514.00,81309.00,166581.00,0.00,23792.00,2776.00,140013.00
2015:Q2,702004.00,34688.00,287737.00,248420.00,39317.00,241703.00,49249.00,4594.00,187860.00,137876.00,1024458.00,249027.00,401308.00,0.00,401308.00,291230.00,42709.00,9682.00,238839.00,82893.00,154432.00,0.00,26553.00,2721.00,125158.00
2015:Q3,690820.00,38839.00,280373.00,241091.00,39282.00,230382.00,48058.00,4903.00,177421.00,141226.00,1026291.00,229063.00,398280.00,0.00,398280.00,305668.00,44346.00,18895.00,242427.00,93280.00,150271.00,0.00,32384.00,3100.00,114787.00
2015:Q4,658762.00,35665.00,267310.00,228146.00,39164.00,217721.00,46106.00,4830.00,166785.00,138066.00,995492.00,219961.00,395508.00,0.00,395508.00,299602.00,40390.00,23776.00,235436.00,80421.00,142973.00,0.00,33059.00,3102.00,106812.00
2016:Q1,676050.00,37432.00,266519.00,227635.00,38884.00,228261.00,47529.00,4946.00,175786.00,143838.00,1013976.00,220170.00,415683.00,0.00,415683.00,293073.00,38779.00,19721.00,234573.00,85050.00,149817.00,0.00,30058.00,3119.00,116640.00
2016:Q2,685227.00,41565.00,266034.00,225662.00,40372.00,226338.00,50167.00,4765.00,171406.00,151290.00,1021084.00,217196.00,426363.00,0.00,426363.00,284982.00,35951.00,19094.00,229937.00,92543.00,145992.00,0.00,31909.00,3163.00,110920.00
