1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q4,115811.00,1330.00,0.00,0.00,58555.00,294.00,6427.00,101.00,3588.00,48145.00,47002.00,5231.00,41771.00,4981.00,0.00,237.00,3706.00,108485.00,0.00,0.00,78758.00,18850.00,418.00,471.00,9988.00
1961:Q1,117811.00,1232.00,0.00,0.00,59235.00,360.00,6543.00,91.00,3693.00,48548.00,47694.00,5373.00,42321.00,5621.00,0.00,241.00,3788.00,109728.00,0.00,0.00,79425.00,19191.00,424.00,473.00,10215.00
1961:Q2,119209.00,1270.00,0.00,0.00,59762.00,324.00,6408.00,81.00,3728.00,49221.00,48464.00,5523.00,42941.00,5593.00,0.00,245.00,3875.00,111135.00,0.00,0.00,80196.00,19544.00,357.00,474.00,10564.00
1961:Q3,120753.00,1309.00,0.00,0.00,60490.00,332.00,6428.00,103.00,3808.00,49819.00,49015.00,5634.00,43381.00,5729.00,0.00,249.00,3961.00,112652.00,0.00,0.00,81095.00,19900.00,379.00,475.00,10803.00
1961:Q4,122809.00,1392.00,0.00,0.00,60932.00,193.00,6134.00,110.00,3888.00,50607.00,49936.00,5733.00,44203.00,6258.00,0.00,254.00,4037.00,114198.00,0.00,0.00,82112.00,20250.00,386.00,527.00,10923.00
1962:Q1,124284.00,1219.00,0.00,0.00,61952.00,513.00,6307.00,121.00,4039.00,50972.00,50454.00,5848.00,44606.00,6290.00,4.00,258.00,4107.00,115718.00,0.00,0.00,83115.00,20591.00,495.00,528.00,10989.00
1962:Q2,124401.00,1213.00,0.00,0.00,62616.00,521.00,6279.00,115.00,4024.00,51677.00,51114.00,5995.00,45119.00,5017.00,11.00,263.00,4167.00,117195.00,0.00,0.00,84072.00,20920.00,429.00,529.00,11245.00
1962:Q3,126516.00,1289.00,0.00,0.00,63401.00,643.00,6331.00,142.00,4073.00,52212.00,51794.00,6124.00,45670.00,5520.00,18.00,268.00,4226.00,118688.00,0.00,0.00,84951.00,21258.00,471.00,530.00,11478.00
1962:Q4,129184.00,1457.00,0.00,0.00,63722.00,347.00,6170.00,105.00,4026.00,53074.00,53136.00,6234.00,46902.00,6280.00,22.00,272.00,4295.00,120259.00,0.00,0.00,85754.00,21625.00,440.00,505.00,11935.00
1963:Q1,130989.00,1230.00,0.00,0.00,64571.00,599.00,6022.00,100.00,4029.00,53821.00,53875.00,6348.00,47527.00,6642.00,22.00,277.00,4372.00,121779.00,0.00,0.00,86678.00,22016.00,613.00,506.00,11966.00
