1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,12548.00,-276.00,3756.00,-620.00,6072.00,3616.00,12548.00,12648.00,0.00,3828.00,2748.00,6072.00,152.00,28.00,40.00,384.00,4.00,0.00,-304.00,0.00,0.00,0.00,0.00,-252.00,12548.00,-2372.00,9120.00,-12020.00,0.00,-40.00,568.00,15460.00,696.00,6976.00,-4.00,28.00,8.00,896.00,1664.00,1168.00,356.00,1628.00,0.00,52.00,56.00,0.00,-116.00,0.00,0.00,0.00,2076.00,0.00,-24.00,-540.00
1954:Q3,9376.00,80.00,4176.00,-4184.00,5372.00,3932.00,9376.00,10160.00,0.00,5328.00,-540.00,5372.00,-392.00,64.00,-36.00,500.00,32.00,0.00,-952.00,0.00,0.00,0.00,0.00,-392.00,9376.00,-2588.00,-9676.00,6172.00,0.00,-8.00,924.00,10572.00,-2996.00,8136.00,-48.00,28.00,8.00,1064.00,1544.00,1332.00,420.00,1204.00,0.00,160.00,56.00,0.00,96.00,0.00,0.00,0.00,-448.00,0.00,16.00,1392.00
1954:Q4,15884.00,16.00,5388.00,3580.00,5632.00,1268.00,15884.00,16700.00,0.00,2020.00,9048.00,5632.00,-576.00,856.00,232.00,-112.00,32.00,0.00,-1584.00,0.00,0.00,0.00,0.00,-240.00,15884.00,-800.00,-6040.00,4424.00,0.00,-20.00,836.00,16036.00,264.00,9480.00,328.00,0.00,8.00,1080.00,1580.00,1544.00,500.00,1224.00,0.00,92.00,68.00,0.00,-188.00,0.00,0.00,0.00,36.00,0.00,20.00,648.00
1955:Q1,5844.00,764.00,-3108.00,688.00,5472.00,2028.00,5844.00,4936.00,0.00,1840.00,-2376.00,5472.00,1284.00,-216.00,-52.00,-76.00,32.00,0.00,1596.00,0.00,0.00,0.00,0.00,-376.00,5844.00,9704.00,7788.00,888.00,0.00,24.00,1004.00,-3856.00,-736.00,-7252.00,-68.00,-4.00,12.00,316.00,2268.00,1500.00,252.00,1104.00,0.00,24.00,72.00,0.00,532.00,0.00,0.00,0.00,-1940.00,0.00,64.00,-4.00
1955:Q2,8740.00,-4.00,1688.00,-444.00,5144.00,2356.00,8740.00,7716.00,0.00,2628.00,-56.00,5144.00,1256.00,-488.00,-80.00,1264.00,36.00,0.00,524.00,0.00,0.00,0.00,0.00,-232.00,8740.00,17404.00,18748.00,-2552.00,0.00,4.00,1204.00,-8592.00,-1564.00,-12164.00,380.00,-20.00,16.00,580.00,1224.00,1448.00,480.00,1084.00,0.00,204.00,84.00,0.00,-452.00,0.00,0.00,0.00,128.00,0.00,-20.00,-72.00
1955:Q3,7768.00,-348.00,1368.00,-572.00,4908.00,2412.00,7768.00,6372.00,0.00,1672.00,-208.00,4908.00,1556.00,48.00,-36.00,964.00,40.00,0.00,540.00,0.00,0.00,0.00,0.00,-160.00,7768.00,10704.00,1736.00,7812.00,0.00,-16.00,1172.00,-3736.00,188.00,-10256.00,108.00,-20.00,16.00,1172.00,1956.00,1208.00,1556.00,1316.00,0.00,268.00,84.00,0.00,-928.00,0.00,0.00,0.00,-460.00,0.00,56.00,800.00
1955:Q4,13492.00,-1032.00,2488.00,1336.00,4612.00,6088.00,13492.00,12032.00,0.00,5252.00,2168.00,4612.00,1464.00,-96.00,-16.00,1612.00,44.00,0.00,-80.00,0.00,0.00,0.00,0.00,-4.00,13492.00,11208.00,-956.00,10776.00,0.00,64.00,1324.00,2024.00,220.00,-4828.00,240.00,-12.00,16.00,700.00,340.00,864.00,468.00,1404.00,0.00,100.00,80.00,0.00,1196.00,0.00,0.00,0.00,1280.00,0.00,-44.00,260.00
1956:Q1,7240.00,2268.00,-3984.00,192.00,4444.00,4320.00,7240.00,1832.00,0.00,1648.00,-4260.00,4444.00,5048.00,64.00,12.00,424.00,44.00,0.00,4504.00,0.00,0.00,0.00,0.00,360.00,7240.00,2196.00,10152.00,-8804.00,0.00,-20.00,868.00,3288.00,572.00,-2332.00,-276.00,12.00,16.00,168.00,1268.00,976.00,344.00,1820.00,0.00,384.00,80.00,0.00,1280.00,0.00,0.00,0.00,-1184.00,0.00,160.00,1756.00
1956:Q2,-4656.00,-188.00,-15108.00,1136.00,4420.00,5084.00,-4656.00,-6692.00,0.00,3724.00,-14836.00,4420.00,1712.00,76.00,76.00,820.00,44.00,0.00,696.00,0.00,0.00,0.00,0.00,324.00,-4656.00,6080.00,17476.00,-12808.00,0.00,-4.00,1416.00,-11076.00,-576.00,-13516.00,-24.00,28.00,16.00,168.00,1088.00,1200.00,260.00,984.00,0.00,-360.00,76.00,0.00,44.00,0.00,0.00,0.00,-304.00,0.00,-160.00,340.00
1956:Q3,8472.00,472.00,-2308.00,836.00,3956.00,5516.00,8472.00,6000.00,0.00,4508.00,-2464.00,3956.00,2176.00,388.00,60.00,972.00,20.00,0.00,736.00,0.00,0.00,0.00,0.00,296.00,8472.00,36.00,-1084.00,-52.00,0.00,-32.00,1204.00,6972.00,-728.00,-264.00,-88.00,32.00,16.00,604.00,2088.00,1572.00,2668.00,932.00,0.00,796.00,76.00,0.00,-40.00,0.00,0.00,0.00,-792.00,0.00,100.00,1464.00
