1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000:Q4,89582.00,105956.00,22160.00,577.00,-315.00,-2320.00,2873.00,-1901.00,-1857.00,-16170.00,3853.00,7342.00,338.00,-32280.00,10560.00,-9234.00,297405.00,208234.00,21818.00,514.00,-14644.00,904.00,-11299.00,684.00,-2615.00,1833.00,214.00,-97.00,747.00,2270.00,64450.00,0.00,-12308.00,3982.00,888.00,29863.00,1967.00,-207823.00
2001:Q1,118775.00,-25651.00,13790.00,161.00,-650.00,21368.00,9390.00,-93.00,-2148.00,4077.00,19458.00,23872.00,-111.00,-72798.00,31106.00,97003.00,36973.00,76987.00,27967.00,537.00,804.00,-1237.00,-11997.00,-501.00,473.00,10777.00,32053.00,-32605.00,864.00,-16730.00,-19274.00,0.00,-451.00,2974.00,239.00,-53404.00,19496.00,81802.00
2001:Q2,-10666.00,-42680.00,13790.00,1020.00,-790.00,-26887.00,-7946.00,-1207.00,2588.00,5641.00,-23.00,1353.00,-121.00,100895.00,26851.00,-83150.00,141909.00,32324.00,31816.00,342.00,1933.00,702.00,-1903.00,-1425.00,716.00,78.00,-821.00,-4656.00,-228.00,7309.00,-13906.00,0.00,765.00,-12441.00,824.00,84011.00,16469.00,-152576.00
2001:Q3,60446.00,-33730.00,13790.00,-5340.00,-182.00,69640.00,4547.00,1847.00,-579.00,19022.00,16195.00,3391.00,-268.00,-9830.00,13357.00,-31413.00,73620.00,-16918.00,28167.00,-116.00,-7089.00,1128.00,52754.00,8106.00,395.00,9218.00,1815.00,-3385.00,541.00,1247.00,21525.00,0.00,7822.00,8019.00,-108.00,-47655.00,8154.00,-13174.00
2001:Q4,9859.00,-46472.00,13790.00,-3667.00,-1047.00,-114143.00,-17696.00,4756.00,-1700.00,3420.00,2877.00,1199.00,551.00,113403.00,-12878.00,67466.00,120183.00,41705.00,39316.00,-399.00,-10733.00,-1017.00,-14278.00,-7612.00,4295.00,-11948.00,-16323.00,-3714.00,-486.00,-2035.00,-6528.00,0.00,-2600.00,17825.00,-316.00,86012.00,9019.00,-110323.00
2002:Q1,13980.00,-13320.00,4680.00,2165.00,622.00,115974.00,-18213.00,-342.00,1402.00,18172.00,-6918.00,12930.00,479.00,-45410.00,-11927.00,-46314.00,26099.00,-45669.00,8915.00,-506.00,-5294.00,612.00,73134.00,-202.00,999.00,15446.00,-12683.00,1115.00,-1107.00,-3625.00,-4579.00,0.00,-216.00,-3619.00,366.00,-8875.00,11887.00,-12119.00
2002:Q2,120107.00,-3746.00,4680.00,1981.00,-104.00,53424.00,29267.00,51.00,-400.00,13340.00,9082.00,5225.00,449.00,10603.00,30989.00,-34735.00,21952.00,-29324.00,9181.00,261.00,-10361.00,1551.00,20847.00,2215.00,574.00,-9760.00,6118.00,4574.00,1028.00,7565.00,11172.00,0.00,5447.00,2063.00,778.00,-33282.00,31305.00,98154.00
2002:Q3,104754.00,-18768.00,4681.00,-6238.00,948.00,4720.00,10602.00,1536.00,815.00,34201.00,17707.00,22229.00,1258.00,27484.00,-5474.00,9053.00,62736.00,-6711.00,9180.00,1010.00,-5147.00,-1017.00,13408.00,220.00,-266.00,-1364.00,7061.00,1087.00,417.00,5762.00,28837.00,0.00,11150.00,7377.00,106.00,-7149.00,-1225.00,42018.00
2002:Q4,-96811.00,-50324.00,4680.00,1660.00,-1370.00,1028.00,-1647.00,-2242.00,109.00,-34816.00,15531.00,4271.00,589.00,-69653.00,13173.00,22200.00,83990.00,126064.00,9181.00,757.00,-5418.00,233.00,19300.00,2002.00,-7345.00,788.00,-13164.00,-3833.00,106.00,-11963.00,1969.00,0.00,5576.00,6989.00,1384.00,-63972.00,15336.00,-180800.00
2003:Q1,140893.00,71943.00,5847.00,-2415.00,-547.00,28260.00,-3384.00,2108.00,607.00,46242.00,-10006.00,-11335.00,-1221.00,-5242.00,18286.00,1750.00,-44811.00,-108781.00,11088.00,-956.00,-3511.00,78.00,14513.00,-820.00,1460.00,219.00,20136.00,3925.00,1196.00,-5840.00,-5825.00,0.00,1357.00,8700.00,-317.00,225.00,18342.00,185704.00
2003:Q2,168581.00,-4402.00,5847.00,-125.00,684.00,46468.00,32491.00,1205.00,502.00,16137.00,1044.00,23058.00,774.00,13904.00,34160.00,-3166.00,32086.00,-86164.00,11636.00,886.00,7524.00,-68.00,38012.00,9729.00,-1109.00,-1013.00,9988.00,-792.00,663.00,-1487.00,-11738.00,0.00,8856.00,12223.00,495.00,16029.00,18416.00,136494.00
2003:Q3,16346.00,-55231.00,5847.00,65.00,15.00,38429.00,-22537.00,2380.00,-31.00,-14315.00,-10894.00,66918.00,-137.00,-7531.00,70.00,13297.00,-74973.00,-69656.00,10904.00,35.00,-9415.00,380.00,29801.00,-11834.00,-528.00,-5601.00,-9398.00,-4370.00,1456.00,-295.00,-24678.00,0.00,4491.00,11935.00,1315.00,-7644.00,8130.00,91319.00
2003:Q4,-104375.00,-147.00,5847.00,-84.00,-456.00,-33202.00,-5958.00,-2291.00,655.00,-19857.00,-17801.00,6316.00,2129.00,4337.00,666.00,-44529.00,174822.00,115946.00,12126.00,400.00,588.00,895.00,10213.00,-3767.00,-1994.00,-705.00,1012.00,-1574.00,1574.00,-10047.00,-6537.00,0.00,3791.00,4834.00,2757.00,33857.00,11453.00,-279197.00
2004:Q1,144937.00,43373.00,17192.00,350.00,624.00,45013.00,627.00,3564.00,568.00,47036.00,17598.00,11241.00,1707.00,-8746.00,33467.00,-68677.00,147615.00,-20226.00,57530.00,405.00,536.00,-147.00,16773.00,-1556.00,350.00,3261.00,22297.00,-93.00,1014.00,11583.00,56940.00,0.00,-5075.00,-10371.00,2880.00,890.00,10623.00,-2678.00
2004:Q2,110474.00,89824.00,17192.00,429.00,71.00,-1286.00,-12564.00,1869.00,1381.00,-10258.00,-23405.00,-11884.00,-1532.00,48763.00,26547.00,-14673.00,86961.00,38434.00,57622.00,351.00,2991.00,-797.00,64041.00,4689.00,-762.00,-319.00,-3634.00,5913.00,945.00,-7919.00,-80173.00,0.00,-1563.00,-13908.00,2061.00,7904.00,11085.00,23513.00
2004:Q3,225125.00,44287.00,17192.00,-473.00,2403.00,4401.00,10168.00,3510.00,-131.00,-1270.00,11177.00,-2984.00,2745.00,1463.00,83630.00,49007.00,195314.00,38236.00,57492.00,398.00,830.00,-6.00,70274.00,-516.00,2506.00,-3449.00,-600.00,-2755.00,12569.00,-3080.00,4261.00,0.00,6670.00,110.00,2380.00,-880.00,10874.00,29812.00
2004:Q4,182872.00,85184.00,17192.00,681.00,-1939.00,73633.00,-389.00,2870.00,81.00,-24599.00,-12451.00,-11032.00,5370.00,15760.00,30011.00,2500.00,434002.00,202158.00,58786.00,228.00,1866.00,2482.00,85897.00,-1392.00,-1145.00,412.00,751.00,637.00,12420.00,7300.00,21220.00,1353.00,4458.00,6975.00,3760.00,20215.00,5622.00,-251131.00
2005:Q1,52648.00,151284.00,35674.00,-1809.00,63.00,25313.00,14202.00,466.00,-584.00,18667.00,10460.00,-39456.00,-3471.00,-96149.00,-24006.00,-38006.00,11840.00,-67332.00,63189.00,-628.00,872.00,-1926.00,-11227.00,-556.00,294.00,7289.00,7858.00,-1283.00,5003.00,-9658.00,2857.00,1240.00,21346.00,-8246.00,2883.00,-9587.00,9452.00,40808.00
2005:Q2,125293.00,179118.00,35675.00,3652.00,327.00,-25245.00,-1614.00,-627.00,3314.00,-3721.00,-309.00,6566.00,2916.00,-2342.00,26967.00,-99384.00,159590.00,93696.00,63299.00,544.00,634.00,-734.00,-1276.00,3210.00,-383.00,-3739.00,-4233.00,-2097.00,15932.00,-895.00,-15982.00,29.00,-10591.00,-479.00,2776.00,12918.00,6961.00,-34297.00
2005:Q3,77479.00,153315.00,35674.00,-804.00,674.00,-18020.00,22858.00,-714.00,2125.00,3419.00,-1545.00,31261.00,2011.00,12211.00,-95069.00,-69917.00,134847.00,102435.00,61541.00,768.00,3306.00,-801.00,10439.00,2255.00,225.00,-1794.00,8892.00,-2473.00,11560.00,4010.00,-9393.00,504.00,-48621.00,47816.00,2225.00,22832.00,-80879.00,-57368.00
