1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1974:Q2,668043.00,6715.00,4786.00,19382.00,366048.00,77481.00,2615.00,65757.00,1078.00,472.00,820.00,49859.00,30057.00,8741.00,16285.00,2008.00,424.00,3893.00,1871.00,9751.00,771266.00,38522.00,60513.00,27426.00,6751.00,144.00,1174.00,18897.00,505.00,2230.00,-603.00,0.00,11928.00,104496.00,366048.00,77481.00,-17.00,0.00,0.00,1435.00,0.00,10593.00,769.00,-1026.00,44000.00,0.00,-103223.00
1974:Q3,690147.00,6908.00,6259.00,20985.00,374855.00,85195.00,2802.00,69766.00,758.00,418.00,904.00,51093.00,30680.00,8760.00,15482.00,1942.00,336.00,1123.00,1692.00,10189.00,803542.00,39248.00,62364.00,27602.00,6689.00,176.00,1161.00,14559.00,359.00,2088.00,-606.00,0.00,12278.00,124308.00,374855.00,85195.00,-48.00,0.00,0.00,1745.00,0.00,9550.00,454.00,-1038.00,42603.00,0.00,-113395.00
1974:Q4,689255.00,7086.00,6701.00,23025.00,384509.00,87122.00,3152.00,55847.00,690.00,532.00,983.00,52293.00,31588.00,8913.00,11315.00,1851.00,182.00,1641.00,1406.00,10418.00,864503.00,39989.00,114721.00,27769.00,6918.00,124.00,3193.00,15641.00,-25.00,2005.00,-624.00,0.00,12637.00,120158.00,382786.00,87122.00,-90.00,0.00,0.00,533.00,0.00,8052.00,275.00,-1050.00,44369.00,0.00,-175249.00
1975:Q1,986277.00,7258.00,285937.00,23806.00,392523.00,86469.00,2398.00,60977.00,1506.00,535.00,968.00,53679.00,32112.00,9611.00,12865.00,1999.00,-354.00,1405.00,1542.00,11041.00,970497.00,40860.00,218222.00,27978.00,7041.00,109.00,3122.00,16356.00,101.00,2171.00,-661.00,0.00,13029.00,110572.00,390981.00,86469.00,-146.00,0.00,0.00,462.00,0.00,7427.00,1072.00,-1062.00,46394.00,0.00,15780.00
1975:Q2,1002425.00,7431.00,298108.00,23807.00,395282.00,85517.00,2576.00,62806.00,1668.00,536.00,944.00,55061.00,33016.00,10360.00,9459.00,1456.00,-855.00,2741.00,1345.00,11167.00,965662.00,41732.00,219839.00,28089.00,7167.00,94.00,2965.00,13942.00,643.00,2352.00,-698.00,0.00,13474.00,99132.00,393906.00,85517.00,-129.00,0.00,0.00,886.00,0.00,7231.00,507.00,-1074.00,50087.00,0.00,36763.00
1975:Q3,1046795.00,7596.00,308495.00,24202.00,404359.00,91675.00,2456.00,74880.00,2035.00,601.00,918.00,56611.00,33719.00,9710.00,14131.00,480.00,-1244.00,3773.00,1076.00,11322.00,989681.00,42740.00,204473.00,28273.00,7322.00,92.00,2807.00,22720.00,175.00,2466.00,-713.00,0.00,13898.00,108761.00,403137.00,91675.00,-123.00,0.00,0.00,1791.00,0.00,7072.00,182.00,-1086.00,54019.00,0.00,57114.00
1975:Q4,1049124.00,7744.00,299089.00,26055.00,412365.00,92741.00,2902.00,73397.00,1955.00,667.00,895.00,58502.00,34726.00,10627.00,13822.00,112.00,-1643.00,2746.00,1341.00,11081.00,1011110.00,43993.00,212577.00,28831.00,7581.00,52.00,3201.00,24993.00,244.00,2588.00,-739.00,0.00,14229.00,105226.00,411240.00,92741.00,-76.00,0.00,0.00,1496.00,0.00,6593.00,131.00,-1099.00,57308.00,0.00,38014.00
1976:Q1,1091569.00,7902.00,326696.00,25764.00,421134.00,85631.00,2681.00,77341.00,2158.00,705.00,884.00,60744.00,35445.00,11161.00,15225.00,453.00,1551.00,3773.00,1033.00,11288.00,1018824.00,45334.00,217808.00,29684.00,7788.00,11.00,3120.00,27774.00,69.00,2443.00,-779.00,0.00,14588.00,96328.00,420073.00,85631.00,-84.00,0.00,0.00,1287.00,0.00,6601.00,90.00,1742.00,59316.00,0.00,72745.00
1976:Q2,1102893.00,8045.00,332736.00,25888.00,422831.00,80276.00,2505.00,80454.00,1501.00,746.00,880.00,63347.00,36688.00,10663.00,16726.00,270.00,1824.00,4992.00,919.00,11602.00,1032178.00,46828.00,230010.00,30854.00,8002.00,114.00,3048.00,26375.00,-244.00,2321.00,-816.00,0.00,14915.00,98164.00,421881.00,80276.00,-65.00,0.00,0.00,884.00,0.00,6468.00,70.00,1772.00,61321.00,0.00,70714.00
1976:Q3,1136732.00,8196.00,346949.00,26346.00,432379.00,76621.00,2923.00,87753.00,1526.00,684.00,884.00,66100.00,37574.00,11348.00,17954.00,30.00,1562.00,5306.00,767.00,11830.00,1056159.00,48383.00,237100.00,32142.00,8330.00,165.00,3088.00,25292.00,-48.00,2432.00,-834.00,0.00,15243.00,104725.00,431588.00,76621.00,-26.00,0.00,0.00,1084.00,0.00,5970.00,30.00,1652.00,63222.00,0.00,80573.00
