1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1956:Q2,736.00,3.00,0.00,0.00,0.00,246.00,0.00,24.00,2.00,95.00,125.00,16.00,8.00,0.00,463.00,463.00,0.00,736.00
1956:Q3,761.00,5.00,0.00,0.00,0.00,233.00,0.00,26.00,2.00,98.00,107.00,19.00,9.00,0.00,495.00,495.00,0.00,761.00
1956:Q4,778.00,7.00,0.00,0.00,0.00,213.00,0.00,15.00,3.00,101.00,94.00,24.00,9.00,0.00,525.00,525.00,0.00,778.00
1957:Q1,779.00,10.00,0.00,0.00,0.00,345.00,0.00,117.00,7.00,104.00,117.00,30.00,11.00,0.00,383.00,383.00,0.00,779.00
1957:Q2,807.00,14.00,0.00,0.00,0.00,343.00,0.00,53.00,8.00,108.00,174.00,35.00,13.00,0.00,402.00,402.00,0.00,807.00
1957:Q3,840.00,14.00,0.00,0.00,0.00,406.00,0.00,33.00,7.00,109.00,257.00,39.00,13.00,0.00,368.00,368.00,0.00,840.00
1957:Q4,867.00,9.00,0.00,0.00,0.00,338.00,0.00,-89.00,8.00,108.00,311.00,41.00,14.00,0.00,465.00,465.00,0.00,867.00
1958:Q1,874.00,5.00,0.00,0.00,0.00,479.00,0.00,46.00,5.00,109.00,319.00,44.00,14.00,0.00,332.00,332.00,0.00,874.00
1958:Q2,906.00,3.00,0.00,0.00,0.00,242.00,0.00,-154.00,5.00,112.00,279.00,47.00,14.00,0.00,600.00,600.00,0.00,906.00
1958:Q3,932.00,0.00,0.00,0.00,0.00,379.00,0.00,10.00,5.00,108.00,256.00,50.00,15.00,0.00,488.00,488.00,0.00,932.00
1958:Q4,942.00,-1.00,0.00,0.00,0.00,409.00,0.00,61.00,5.00,95.00,248.00,55.00,15.00,0.00,464.00,464.00,0.00,942.00
1959:Q1,928.00,-3.00,0.00,0.00,0.00,407.00,0.00,81.00,7.00,85.00,234.00,56.00,17.00,0.00,451.00,451.00,0.00,928.00
1959:Q2,946.00,-7.00,0.00,0.00,0.00,319.00,0.00,24.00,8.00,76.00,211.00,55.00,19.00,0.00,560.00,560.00,0.00,946.00
1959:Q3,967.00,-7.00,0.00,0.00,0.00,506.00,0.00,224.00,7.00,68.00,207.00,64.00,19.00,0.00,385.00,385.00,0.00,967.00
1959:Q4,985.00,-6.00,0.00,0.00,0.00,386.00,0.00,112.00,7.00,59.00,208.00,81.00,20.00,0.00,504.00,504.00,0.00,985.00
1960:Q1,998.00,2.00,0.00,0.00,0.00,493.00,0.00,201.00,13.00,54.00,225.00,99.00,20.00,0.00,384.00,384.00,0.00,998.00
1960:Q2,1027.00,6.00,0.00,0.00,0.00,379.00,0.00,61.00,12.00,51.00,255.00,118.00,19.00,0.00,505.00,505.00,0.00,1027.00
1960:Q3,1075.00,7.00,0.00,0.00,0.00,281.00,0.00,-71.00,13.00,37.00,302.00,124.00,21.00,0.00,642.00,642.00,0.00,1075.00
1960:Q4,1115.00,7.00,0.00,0.00,0.00,439.00,0.00,58.00,12.00,13.00,356.00,117.00,26.00,0.00,526.00,526.00,0.00,1115.00
1961:Q1,1127.00,8.00,0.00,0.00,0.00,555.00,0.00,144.00,18.00,-7.00,400.00,114.00,32.00,0.00,418.00,418.00,0.00,1127.00
1961:Q2,1170.00,9.00,0.00,0.00,0.00,443.00,0.00,17.00,19.00,-25.00,432.00,116.00,37.00,0.00,565.00,565.00,0.00,1170.00
1961:Q3,1200.00,9.00,0.00,0.00,0.00,418.00,0.00,-7.00,19.00,-44.00,450.00,113.00,40.00,0.00,620.00,620.00,0.00,1200.00
1961:Q4,1207.00,8.00,0.00,0.00,0.00,333.00,0.00,-65.00,19.00,-67.00,446.00,103.00,43.00,0.00,720.00,720.00,0.00,1207.00
1962:Q1,1182.00,8.00,0.00,0.00,0.00,644.00,0.00,225.00,54.00,-88.00,453.00,94.00,46.00,0.00,390.00,390.00,0.00,1182.00
1962:Q2,1199.00,9.00,0.00,0.00,0.00,418.00,0.00,50.00,18.00,-117.00,467.00,84.00,49.00,0.00,639.00,639.00,0.00,1199.00
1962:Q3,1227.00,8.00,0.00,0.00,0.00,423.00,0.00,50.00,37.00,-128.00,464.00,81.00,51.00,0.00,664.00,664.00,0.00,1227.00
