1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985:Q2,314180.00,1147.00,0.00,21372.00,9476.00,430.00,6720.00,928.00,1398.00,0.00,272763.00,108465.00,3832.00,25004.00,79629.00,158216.00,102889.00,0.00,102889.00,7277.00,0.00,7277.00,48050.00,6082.00,9422.00,306262.00,0.00,249936.00,0.00,249936.00,5000.00,51326.00
1985:Q3,324461.00,2008.00,0.00,21349.00,13534.00,351.00,10557.00,1150.00,1476.00,0.00,279785.00,114398.00,4093.00,24560.00,85745.00,158983.00,104812.00,0.00,104812.00,7811.00,0.00,7811.00,46360.00,6404.00,7785.00,317035.00,0.00,253532.00,0.00,253532.00,5300.00,58203.00
1985:Q4,323951.00,2129.00,0.00,26909.00,9272.00,98.00,6786.00,799.00,1589.00,0.00,281721.00,115188.00,4330.00,22023.00,88835.00,159734.00,111639.00,0.00,111639.00,8457.00,0.00,8457.00,39638.00,6799.00,3920.00,318754.00,0.00,257795.00,0.00,257795.00,6085.00,54874.00
1986:Q1,323479.00,2106.00,0.00,27825.00,12192.00,36.00,10035.00,379.00,1742.00,0.00,276912.00,112550.00,4540.00,20779.00,87231.00,157415.00,111517.00,0.00,111517.00,7872.00,0.00,7872.00,38026.00,6947.00,4444.00,318850.00,0.00,256553.00,0.00,256553.00,6200.00,56097.00
1986:Q2,328541.00,2450.00,0.00,27597.00,15484.00,40.00,13315.00,188.00,1941.00,0.00,282496.00,120240.00,4715.00,20685.00,94840.00,154448.00,108912.00,0.00,108912.00,9139.00,0.00,9139.00,36397.00,7808.00,514.00,324125.00,0.00,261301.00,0.00,261301.00,6489.00,56335.00
1986:Q3,336909.00,2662.00,0.00,33048.00,16268.00,82.00,13844.00,209.00,2133.00,0.00,283494.00,123367.00,4905.00,19426.00,99036.00,152140.00,107951.00,0.00,107951.00,9440.00,0.00,9440.00,34749.00,7987.00,1437.00,332181.00,0.00,267223.00,0.00,267223.00,6056.00,58902.00
1986:Q4,346434.00,3657.00,0.00,29396.00,18843.00,87.00,16288.00,200.00,2268.00,0.00,288715.00,132766.00,5158.00,18963.00,108645.00,147775.00,105943.00,0.00,105943.00,8731.00,0.00,8731.00,33101.00,8174.00,5823.00,341839.00,0.00,273010.00,0.00,273010.00,5720.00,63109.00
1987:Q1,343429.00,3065.00,0.00,29098.00,21195.00,104.00,18578.00,220.00,2293.00,0.00,282422.00,130106.00,5298.00,18048.00,106760.00,144011.00,103920.00,0.00,103920.00,8200.00,0.00,8200.00,31891.00,8305.00,7649.00,338543.00,0.00,268376.00,0.00,268376.00,5000.00,65167.00
1987:Q2,349002.00,2366.00,0.00,31444.00,17848.00,69.00,15114.00,200.00,2465.00,0.00,288253.00,138880.00,6268.00,18277.00,114335.00,140414.00,101270.00,0.00,101270.00,8476.00,0.00,8476.00,30668.00,8959.00,9091.00,343666.00,0.00,275771.00,0.00,275771.00,4970.00,62925.00
1987:Q3,353395.00,2093.00,0.00,27805.00,19882.00,34.00,17056.00,165.00,2627.00,0.00,294947.00,145095.00,6493.00,18512.00,120090.00,140290.00,102506.00,0.00,102506.00,8353.00,0.00,8353.00,29431.00,9562.00,8668.00,348101.00,0.00,283725.00,0.00,283725.00,4970.00,59406.00
