1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1958:Q1,147810.00,160.00,26148.00,1550.00,0.00,0.00,17057.00,746.00,14394.00,700.00,1217.00,7512.00,76.00,7436.00,0.00,66550.00,24843.00,3989.00,3142.00,41.00,0.00,807.00,187564.00,66653.00,716.00,0.00,65937.00,55704.00,30808.00,6185.00,18711.00,45610.00,11495.00,4313.00,3789.00,393.00,38883.00,-35487.00,261319.00,44915.00,94814.00,47.37,30.82
1958:Q2,149080.00,132.00,27399.00,2100.00,0.00,0.00,14977.00,455.00,12340.00,500.00,1682.00,7958.00,80.00,7878.00,0.00,66706.00,25469.00,4339.00,3277.00,41.00,0.00,1021.00,187575.00,67808.00,791.00,0.00,67017.00,55462.00,30687.00,5841.00,18935.00,46976.00,8991.00,4408.00,3930.00,414.00,38895.00,-35379.00,278565.00,44608.00,93286.00,47.82,30.27
1958:Q3,156317.00,172.00,28404.00,2000.00,0.00,0.00,15928.00,224.00,13175.00,550.00,1979.00,8051.00,84.00,7967.00,0.00,71453.00,25837.00,4473.00,3415.00,42.00,0.00,1016.00,193732.00,69258.00,795.00,0.00,68463.00,55018.00,30474.00,5335.00,19210.00,50214.00,10322.00,4497.00,4423.00,440.00,38599.00,-34616.00,310541.00,46504.00,97139.00,47.87,29.45
1958:Q4,162790.00,149.00,30287.00,1900.00,0.00,0.00,18860.00,210.00,16092.00,600.00,1958.00,8907.00,87.00,8820.00,0.00,71840.00,26443.00,4404.00,3555.00,43.00,0.00,805.00,203021.00,70373.00,658.00,0.00,69715.00,57592.00,31650.00,5758.00,20184.00,53926.00,12026.00,4504.00,4599.00,469.00,38225.00,-34095.00,324670.00,51196.00,104019.00,49.22,29.75
1959:Q1,163461.00,143.00,27470.00,1800.00,0.00,0.00,20440.00,502.00,17280.00,700.00,1958.00,8118.00,74.00,8044.00,0.00,73501.00,26979.00,5010.00,3697.00,45.00,0.00,1268.00,203582.00,70959.00,652.00,0.00,70307.00,57891.00,31437.00,6248.00,20206.00,53803.00,11682.00,4631.00,4616.00,484.00,38787.00,-34655.00,332012.00,49853.00,103822.00,48.02,29.75
1959:Q2,169275.00,137.00,28437.00,1700.00,0.00,0.00,21635.00,622.00,18104.00,900.00,2009.00,8667.00,62.00,8605.00,0.00,75575.00,27750.00,5374.00,3841.00,48.00,0.00,1485.00,209600.00,71627.00,458.00,0.00,71169.00,60298.00,33407.00,6655.00,20235.00,55638.00,12591.00,4784.00,4662.00,510.00,38889.00,-34737.00,346451.00,51909.00,108749.00,47.73,30.71
1959:Q3,173541.00,145.00,27953.00,1600.00,0.00,0.00,24006.00,240.00,20311.00,1000.00,2455.00,8553.00,21.00,8532.00,0.00,77484.00,28249.00,5551.00,3986.00,52.00,0.00,1513.00,211878.00,72264.00,527.00,0.00,71737.00,60633.00,34014.00,6412.00,20208.00,55986.00,13275.00,4899.00,4821.00,520.00,39878.00,-35577.00,339875.00,53704.00,110214.00,48.73,30.82
1959:Q4,177890.00,132.00,29394.00,1500.00,0.00,0.00,25357.00,742.00,21621.00,1200.00,1794.00,10139.00,21.00,10118.00,0.00,77386.00,28752.00,5230.00,4131.00,57.00,0.00,1041.00,219903.00,73109.00,315.00,0.00,72794.00,63536.00,35439.00,7088.00,21009.00,59241.00,14150.00,4923.00,4944.00,547.00,39923.00,-35526.00,362157.00,56383.00,116232.00,48.51,31.35
1960:Q1,176648.00,121.00,26730.00,1268.00,0.00,0.00,24375.00,740.00,19986.00,1200.00,2449.00,8340.00,22.00,8318.00,0.00,79948.00,29312.00,6554.00,4282.00,64.00,0.00,2208.00,220059.00,73643.00,427.00,0.00,73216.00,65097.00,35977.00,8149.00,20971.00,58681.00,12817.00,5015.00,4805.00,549.00,41112.00,-36856.00,339310.00,52494.00,116052.00,45.23,32.11
1960:Q2,176674.00,140.00,27736.00,1087.00,0.00,0.00,22526.00,757.00,18247.00,1343.00,2179.00,9044.00,23.00,9021.00,0.00,80465.00,29641.00,6035.00,4437.00,71.00,0.00,1527.00,222859.00,74654.00,547.00,0.00,74107.00,66747.00,36856.00,8811.00,21080.00,59596.00,11903.00,5070.00,4890.00,572.00,41068.00,-36750.00,347588.00,51489.00,117713.00,43.74,32.68
