date,FL153050005.Q,FL543150005.Q,FL574190005.Q,FL344090005.Q,FL224190005.Q,FL153050005.Q,LM893131573.Q,FL763131573.Q,FL473131573.Q,LM543131503.Q,FL633131573.Q,LM653131573.Q,LM153131575.Q
1945:Q4,57011.00,2700.00,20697.00,24055.00,9559.00,57011.00,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,64505.00,3100.00,22077.00,28162.00,11166.00,64505.00,ND,ND,ND,ND,ND,ND,ND
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,71873.00,3600.00,23594.00,31565.00,13114.00,71873.00,ND,ND,ND,ND,ND,ND,ND
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,79319.00,4200.00,24957.00,35122.00,15040.00,79319.00,ND,ND,ND,ND,ND,ND,ND
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1967:Q1,443332.00,29976.00,120104.00,217587.00,75665.00,443332.00,ND,ND,ND,ND,ND,ND,ND
1967:Q2,452431.00,30617.00,123179.00,221701.00,76934.00,452431.00,ND,ND,ND,ND,ND,ND,ND
1967:Q3,462338.00,31276.00,126825.00,225943.00,78294.00,462338.00,ND,ND,ND,ND,ND,ND,ND
1967:Q4,471818.00,31939.00,129858.00,230270.00,79751.00,471818.00,ND,ND,ND,ND,ND,ND,ND
1968:Q1,482156.00,32612.00,132355.00,234651.00,82538.00,482156.00,ND,ND,ND,ND,ND,ND,ND
1968:Q2,494770.00,33300.00,136923.00,239108.00,85439.00,494770.00,ND,ND,ND,ND,ND,ND,ND
1968:Q3,506925.00,33797.00,140969.00,243684.00,88475.00,506925.00,ND,ND,ND,ND,ND,ND,ND
1968:Q4,520069.00,34696.00,145432.00,248333.00,91608.00,520069.00,ND,ND,ND,ND,ND,ND,ND
1969:Q1,532200.00,35300.00,149543.00,252718.00,94639.00,532200.00,ND,ND,ND,ND,ND,ND,ND
1969:Q2,545291.00,36003.00,154204.00,257312.00,97772.00,545291.00,ND,ND,ND,ND,ND,ND,ND
1969:Q3,558892.00,36718.00,158967.00,262204.00,101003.00,558892.00,ND,ND,ND,ND,ND,ND,ND
1969:Q4,573465.00,37561.00,164186.00,267419.00,104299.00,573465.00,ND,ND,ND,ND,ND,ND,ND
1970:Q1,591398.00,38343.00,171848.00,275062.00,106145.00,591398.00,ND,ND,ND,ND,ND,ND,ND
1970:Q2,603849.00,39123.00,173510.00,283116.00,108100.00,603849.00,ND,ND,ND,ND,ND,ND,ND
1970:Q3,621870.00,39971.00,180163.00,291549.00,110187.00,621870.00,ND,ND,ND,ND,ND,ND,ND
