1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,1070110.00,642533.00,91009.00,226549.00,324975.00,171453.00,166372.00,125007.00,7815.00,92211.00,19286.00,5695.00,41365.00,28247.00,590.00,12515.00,13.00,5081.00,4108.00,973.00,5385.00,60589.00,55204.00,250739.00,191893.00,101360.00,90533.00,58846.00,30340.00,28506.00,6637.00,13175.00,6538.00,1076747.00,-790.00,80.00,-319.00,1029.00,0.00
1970:Q3,1088461.00,654479.00,92010.00,229714.00,332755.00,173902.00,168819.00,126253.00,7928.00,92752.00,19657.00,5916.00,42566.00,29038.00,576.00,12910.00,42.00,5083.00,5932.00,-849.00,3843.00,60274.00,56431.00,256237.00,195998.00,102376.00,93622.00,60239.00,29944.00,30295.00,6584.00,13024.00,6440.00,1095045.00,-872.00,-141.00,-123.00,1136.00,0.00
1970:Q4,1091462.00,661178.00,87326.00,234476.00,339376.00,166752.00,170736.00,123518.00,7807.00,90222.00,19450.00,6039.00,47218.00,32302.00,633.00,14257.00,26.00,-3984.00,-607.00,-3377.00,3169.00,61058.00,57889.00,260363.00,199275.00,102756.00,96519.00,61088.00,30716.00,30372.00,6064.00,12261.00,6197.00,1097526.00,-976.00,244.00,-539.00,1271.00,0.00
1971:Q1,1137811.00,680203.00,98053.00,235828.00,346322.00,189496.00,177242.00,126282.00,8051.00,91992.00,19711.00,6528.00,50960.00,35048.00,693.00,15197.00,22.00,12254.00,8503.00,3751.00,4422.00,63074.00,58652.00,263690.00,205644.00,105568.00,100076.00,58046.00,27696.00,30350.00,7414.00,13285.00,5871.00,1145225.00,-1143.00,1988.00,-2335.00,1490.00,0.00
1971:Q2,1159355.00,694251.00,100989.00,238833.00,354429.00,197330.00,186455.00,129481.00,8408.00,93710.00,20474.00,6889.00,56974.00,39305.00,747.00,16887.00,35.00,10875.00,6001.00,4874.00,-192.00,63103.00,63295.00,267966.00,209635.00,106664.00,102971.00,58331.00,27508.00,30823.00,7975.00,14074.00,6099.00,1167330.00,-1235.00,-559.00,185.00,1609.00,0.00
1971:Q3,1180313.00,706654.00,103442.00,240423.00,362789.00,202055.00,191867.00,131187.00,8760.00,94849.00,20573.00,7005.00,60680.00,41842.00,795.00,18009.00,34.00,10188.00,6937.00,3251.00,-89.00,65393.00,65482.00,271693.00,212512.00,106688.00,105824.00,59181.00,28852.00,30329.00,7260.00,13952.00,6692.00,1187573.00,-1295.00,-626.00,233.00,1688.00,0.00
1971:Q4,1193585.00,722854.00,107303.00,243595.00,371956.00,198414.00,198709.00,134714.00,9330.00,97882.00,20454.00,7048.00,63995.00,43932.00,851.00,19165.00,47.00,-295.00,1617.00,-1912.00,-1657.00,60282.00,61939.00,273974.00,215497.00,107524.00,107973.00,58477.00,27136.00,31341.00,7728.00,14733.00,7005.00,1201313.00,-1324.00,-562.00,161.00,1725.00,0.00
1972:Q1,1233808.00,740119.00,110704.00,247038.00,382377.00,212966.00,209739.00,140584.00,10183.00,102344.00,21045.00,7012.00,69155.00,47120.00,905.00,21063.00,67.00,3227.00,3137.00,90.00,-3534.00,68639.00,72173.00,284257.00,224233.00,112804.00,111429.00,60024.00,28556.00,31468.00,8175.00,15192.00,7017.00,1241983.00,-1274.00,-643.00,257.00,1660.00,0.00
1972:Q2,1270122.00,758615.00,114065.00,254304.00,390246.00,226799.00,214801.00,143977.00,10662.00,105352.00,20967.00,6996.00,70824.00,48150.00,888.00,21673.00,113.00,11998.00,8647.00,3351.00,-4257.00,67152.00,71409.00,288965.00,227994.00,113984.00,114010.00,60971.00,30600.00,30371.00,8116.00,15746.00,7630.00,1278238.00,-1271.00,-634.00,250.00,1655.00,0.00
1972:Q3,1293837.00,777120.00,117591.00,260085.00,399444.00,233090.00,219375.00,147015.00,10893.00,107645.00,21350.00,7127.00,72360.00,49338.00,963.00,21974.00,85.00,13715.00,10967.00,2748.00,-2638.00,71453.00,74091.00,286265.00,227127.00,110216.00,116911.00,59138.00,28264.00,30874.00,8919.00,16684.00,7765.00,1302756.00,-1268.00,-18.00,-366.00,1652.00,0.00
1972:Q4,1332023.00,801878.00,123418.00,268056.00,410404.00,239713.00,232222.00,154966.00,11237.00,112974.00,23076.00,7679.00,77256.00,53191.00,967.00,22986.00,112.00,7491.00,7567.00,-76.00,-3061.00,76129.00,79190.00,293493.00,230862.00,111684.00,119178.00,62631.00,29976.00,32655.00,9023.00,17490.00,8467.00,1341046.00,-1271.00,2608.00,-2994.00,1657.00,0.00
1973:Q1,1380680.00,826451.00,131813.00,275454.00,419184.00,254314.00,243764.00,162839.00,11274.00,117912.00,25201.00,8452.00,80925.00,56561.00,1013.00,23248.00,103.00,10550.00,12530.00,-1980.00,-1401.00,83959.00,85360.00,301316.00,235136.00,113128.00,122008.00,66180.00,32756.00,33424.00,10670.00,20281.00,9611.00,1391350.00,-1289.00,4839.00,-5231.00,1681.00,0.00
1973:Q2,1417595.00,842043.00,131296.00,281386.00,429361.00,268198.00,249992.00,171284.00,11369.00,123413.00,27233.00,9269.00,78708.00,55585.00,970.00,22031.00,122.00,18206.00,11680.00,6526.00,2454.00,91923.00,89469.00,304900.00,239305.00,114220.00,125085.00,65595.00,32268.00,33327.00,11626.00,22422.00,10796.00,1429221.00,-1308.00,757.00,-1153.00,1704.00,0.00
1973:Q3,1436813.00,860476.00,130799.00,289917.00,439760.00,264337.00,254576.00,176645.00,11303.00,127403.00,28012.00,9927.00,77931.00,55430.00,1003.00,21459.00,39.00,9761.00,6347.00,3414.00,6438.00,97576.00,91138.00,305562.00,241007.00,112720.00,128287.00,64555.00,30684.00,33871.00,13877.00,25233.00,11356.00,1450690.00,-1331.00,4399.00,-4803.00,1735.00,0.00
1973:Q4,1479069.00,875580.00,128203.00,297675.00,449702.00,280857.00,255864.00,180142.00,11179.00,131074.00,27414.00,10475.00,75722.00,54010.00,990.00,20714.00,8.00,24993.00,19322.00,5671.00,8951.00,107620.00,98669.00,313681.00,247449.00,115584.00,131865.00,66232.00,30900.00,35332.00,14302.00,26228.00,11926.00,1493371.00,-1360.00,1221.00,-1633.00,1772.00,0.00
1974:Q1,1494654.00,893757.00,126650.00,308853.00,458254.00,268363.00,255844.00,183406.00,11116.00,134418.00,26875.00,10997.00,72438.00,51583.00,863.00,19883.00,109.00,12519.00,13807.00,-1288.00,6395.00,116709.00,110314.00,326139.00,255171.00,118580.00,136591.00,70968.00,33292.00,37676.00,17067.00,29670.00,12603.00,1511721.00,-1397.00,3339.00,-3762.00,1820.00,0.00
