1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1989:Q4,57425.00,108033.00,92222.00,195.00,92027.00,15811.00,883710.00,5966.00,0.00,808.00,-12104.00,24418.00,-3848.00,10956.00,39924.00,-82701.00,401550.00,64560.00,204839.00,44529.00,-10534.00,98156.00,324552.00,3168.00,-7885.00,302890.00,26379.00,21801.00,6744.00,6400.00,0.00,9226.00,130019.00,867899.00,-38403.00,-25895.00,186252.00,73969.00,-65295.00,263108.00,37543.00,181740.00,43825.00,16583.00,7039.00,9024.00,520.00,10888.00,64958.00,-844.00,42684.00,304740.00,-3184.00,-3720.00,-4192.00,46249.00,-50608.00
1990:Q1,63718.00,115340.00,91996.00,195.00,91801.00,23344.00,972446.00,6320.00,0.00,856.00,2672.00,-2906.00,-1008.00,-25756.00,26512.00,45484.00,553343.00,100200.00,134653.00,201364.00,22007.00,95120.00,213915.00,-54033.00,-678.00,250702.00,17924.00,-11365.00,12851.00,8828.00,0.00,-9258.00,151956.00,949102.00,41287.00,74960.00,-67687.00,43014.00,-2550.00,184942.00,3682.00,148564.00,32696.00,-42704.00,2332.00,-45556.00,520.00,24048.00,35441.00,-7640.00,28380.00,299340.00,3996.00,24.00,22262.00,311988.00,-51622.00
1990:Q2,69316.00,47762.00,89344.00,198.00,89146.00,-41582.00,734136.00,-160.00,0.00,900.00,3976.00,10182.00,1436.00,-35516.00,15436.00,-11129.00,301266.00,-5544.00,77282.00,112573.00,14116.00,102840.00,206695.00,10015.00,-4020.00,178346.00,22354.00,30009.00,20153.00,9764.00,0.00,-2844.00,183968.00,775718.00,7221.00,50098.00,-11579.00,44378.00,-18264.00,203425.00,-37157.00,167749.00,72833.00,-5290.00,8377.00,-14187.00,520.00,-9184.00,59449.00,-916.00,24704.00,311960.00,956.00,-1252.00,20612.00,99401.00,21554.00
1990:Q3,69251.00,50030.00,88807.00,198.00,88609.00,-38776.00,772857.00,-2752.00,0.00,620.00,15064.00,-17037.00,12992.00,-77188.00,31516.00,61737.00,329060.00,59176.00,70157.00,122421.00,36026.00,41280.00,82815.00,-28830.00,-59141.00,145359.00,25427.00,-6058.00,14123.00,11124.00,0.00,14034.00,302807.00,811633.00,44517.00,50596.00,-7752.00,125329.00,-32754.00,204304.00,39302.00,151082.00,13920.00,-42232.00,-21436.00,-21716.00,920.00,19216.00,25375.00,-584.00,34300.00,293620.00,912.00,24.00,-51416.00,148179.00,19220.00
1990:Q4,68751.00,176540.00,86339.00,195.00,86144.00,90202.00,517329.00,1978.00,6000.00,724.00,-18924.00,29960.00,43084.00,-23700.00,12092.00,-56285.00,354574.00,-54215.00,199692.00,168530.00,6467.00,34100.00,118058.00,-30341.00,16455.00,150472.00,-18529.00,78763.00,-1039.00,12952.00,0.00,-13448.00,-27460.00,427127.00,-57738.00,-5302.00,97838.00,72323.00,-67947.00,329678.00,28545.00,202449.00,98683.00,16883.00,-7244.00,23607.00,520.00,-7348.00,51151.00,1532.00,20244.00,286244.00,324.00,-1556.00,-36767.00,-272432.00,-107790.00
1991:Q1,91900.00,4883.00,83856.00,195.00,83661.00,-78973.00,889320.00,98.00,0.00,688.00,23468.00,-74374.00,-56104.00,41692.00,2456.00,113265.00,584902.00,40656.00,271356.00,143548.00,46730.00,82612.00,92882.00,-30352.00,-57120.00,165459.00,14894.00,-38725.00,40721.00,5732.00,0.00,25354.00,127266.00,968293.00,-67887.00,72336.00,-4170.00,130355.00,28180.00,165803.00,-47108.00,134894.00,78017.00,-12578.00,27146.00,-40004.00,280.00,6100.00,72548.00,-1316.00,19232.00,252860.00,-916.00,224.00,-8386.00,315909.00,87018.00
1991:Q2,92512.00,153849.00,82209.00,195.00,82014.00,71640.00,834521.00,-2272.00,0.00,700.00,-22804.00,8548.00,16112.00,17620.00,24632.00,108152.00,337861.00,-18182.00,144801.00,75220.00,18178.00,117844.00,70511.00,-65323.00,-50899.00,185523.00,1210.00,38632.00,20945.00,6176.00,0.00,-18172.00,227880.00,762881.00,17358.00,21630.00,-135131.00,-8230.00,143246.00,168254.00,-24738.00,113224.00,79768.00,-44625.00,11779.00,-56732.00,328.00,38152.00,109765.00,2780.00,30632.00,323836.00,2248.00,504.00,48718.00,43743.00,-61337.00
1991:Q3,93611.00,101713.00,80543.00,303.00,80240.00,21170.00,1063886.00,-7976.00,0.00,548.00,-12108.00,19086.00,-5324.00,19008.00,32888.00,182148.00,561567.00,-58345.00,320667.00,100397.00,17488.00,181360.00,-68517.00,-26974.00,295.00,-19544.00,-22294.00,90786.00,26391.00,6148.00,0.00,3091.00,216149.00,1042716.00,77184.00,113840.00,-47112.00,16721.00,181087.00,190450.00,-20340.00,169876.00,40914.00,-33168.00,-32153.00,-1399.00,384.00,17988.00,157949.00,-1068.00,16104.00,318360.00,4476.00,1260.00,17480.00,11165.00,-8102.00
1991:Q4,88369.00,142914.00,79358.00,165.00,79193.00,63555.00,756039.00,-2476.00,0.00,512.00,-9432.00,7961.00,-4232.00,3880.00,8816.00,-255561.00,587578.00,-25202.00,282072.00,135375.00,69700.00,125632.00,132413.00,-25899.00,-316.00,171066.00,-12438.00,74966.00,28511.00,5652.00,0.00,-6129.00,183581.00,692484.00,-3975.00,143310.00,-84039.00,25846.00,-271265.00,217279.00,-37178.00,165355.00,89101.00,108231.00,35984.00,71388.00,860.00,26820.00,181798.00,2332.00,18384.00,327392.00,-1724.00,-156.00,40323.00,-38073.00,-54545.00
1992:Q1,106064.00,17603.00,78523.00,201.00,78322.00,-60920.00,1152720.00,1968.00,0.00,484.00,-5528.00,-6633.00,-7866.00,-28430.00,37116.00,99132.00,456547.00,102383.00,71880.00,81922.00,43255.00,157108.00,104142.00,-43443.00,-21183.00,146672.00,22097.00,15424.00,53131.00,3936.00,0.00,25628.00,403667.00,1213639.00,56085.00,65642.00,-212820.00,63935.00,166415.00,203649.00,16699.00,104285.00,82664.00,-45961.00,7983.00,-54803.00,860.00,44088.00,190681.00,-3132.00,30140.00,299500.00,1388.00,-284.00,-10910.00,365223.00,88461.00
1992:Q2,104707.00,-14466.00,80649.00,82.00,80567.00,-95115.00,1046463.00,-3262.00,0.00,472.00,-14552.00,-5971.00,-2260.00,-21957.00,-12720.00,111579.00,572182.00,1637.00,212325.00,156457.00,68055.00,133708.00,92357.00,-18344.00,29751.00,91246.00,-10296.00,142979.00,51908.00,-832.00,0.00,-1467.00,138008.00,1141578.00,-41620.00,57706.00,-30109.00,-1509.00,153703.00,284460.00,1082.00,207251.00,76127.00,25889.00,-5401.00,31206.00,84.00,37748.00,200172.00,1720.00,15396.00,348644.00,-344.00,-632.00,7798.00,82557.00,119173.00
1992:Q3,33458.00,214901.00,82165.00,225.00,81940.00,132736.00,1750796.00,-4502.00,0.00,340.00,19160.00,25247.00,9336.00,-15983.00,78280.00,260515.00,598221.00,7689.00,261737.00,74015.00,64841.00,189940.00,164786.00,-8549.00,18590.00,153770.00,975.00,45244.00,19397.00,2868.00,0.00,-14564.00,562451.00,1618060.00,107506.00,228473.00,-211630.00,5168.00,297101.00,257794.00,18551.00,166339.00,72905.00,25097.00,20900.00,3757.00,440.00,38120.00,207968.00,488.00,34988.00,365536.00,-188.00,1796.00,20516.00,239327.00,-181443.00
1992:Q4,96554.00,21087.00,94331.00,9836.00,84495.00,-73244.00,554450.00,-2892.00,-8000.00,436.00,-4076.00,3005.00,2218.00,-14414.00,16484.00,-44378.00,458664.00,-72265.00,214727.00,106267.00,82403.00,127532.00,98974.00,-31776.00,-5320.00,123105.00,12964.00,147817.00,38880.00,10920.00,0.00,8383.00,-157570.00,627694.00,-60763.00,96771.00,-57877.00,-52581.00,-65919.00,206881.00,-40664.00,147180.00,100365.00,-38297.00,-16953.00,-22208.00,864.00,40860.00,209532.00,3340.00,25928.00,350588.00,-160.00,-496.00,34492.00,-64603.00,75467.00
1993:Q1,68664.00,152272.00,88617.00,2489.00,86128.00,63655.00,1223800.00,1226.00,0.00,504.00,-6704.00,19718.00,6122.00,5202.00,9940.00,54261.00,615290.00,-105337.00,141707.00,222808.00,71437.00,284676.00,82510.00,-97790.00,41532.00,85002.00,53766.00,279368.00,55691.00,2088.00,0.00,-4658.00,103243.00,1160145.00,93325.00,-9499.00,-261925.00,-5103.00,319578.00,203862.00,-59237.00,145346.00,117753.00,66201.00,-48171.00,112992.00,1380.00,43208.00,252998.00,2848.00,30056.00,437560.00,-10176.00,3720.00,-123.00,-6385.00,-83607.00
1993:Q2,81221.00,172961.00,90582.00,2045.00,88537.00,82379.00,1444700.00,-1386.00,0.00,528.00,1520.00,-10241.00,-340.00,2440.00,15764.00,3626.00,751846.00,-17521.00,233127.00,177266.00,153173.00,205800.00,257559.00,20743.00,4492.00,201124.00,31200.00,166233.00,70766.00,4020.00,0.00,38679.00,143686.00,1362320.00,-54378.00,167108.00,-21203.00,46533.00,-53902.00,155365.00,2991.00,79490.00,72884.00,97213.00,31940.00,63920.00,1352.00,54104.00,273226.00,7320.00,33516.00,380848.00,3492.00,-1372.00,24969.00,249482.00,-91740.00
1993:Q3,79658.00,166083.00,97985.00,8201.00,89784.00,68098.00,1959090.00,780.00,0.00,644.00,-20996.00,23688.00,-1947.00,-58005.00,38464.00,227682.00,772910.00,-4013.00,174262.00,197086.00,95672.00,309904.00,329058.00,23055.00,66420.00,187958.00,51625.00,169280.00,71687.00,-3304.00,0.00,-3554.00,412702.00,1890992.00,59797.00,173023.00,-76243.00,17965.00,352472.00,416574.00,1495.00,281160.00,133919.00,7110.00,-8612.00,9554.00,6168.00,45212.00,297340.00,2024.00,35520.00,361636.00,6904.00,2592.00,65029.00,124036.00,-86425.00
