date,FU263191005.Q,FU153091003.Q,FU103091003.Q,FU633091003.Q,FU903091005.Q
1945:Q4,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND
1946:Q4,35.00,0.00,35.00,0.00,0.00
1947:Q1,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND
1947:Q4,-17.00,0.00,-17.00,0.00,0.00
1948:Q1,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND
1948:Q4,-41.00,0.00,-41.00,0.00,0.00
1949:Q1,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND
1949:Q3,ND,ND,ND,ND,ND
1949:Q4,0.00,0.00,0.00,0.00,0.00
1950:Q1,ND,ND,ND,ND,ND
1950:Q2,ND,ND,ND,ND,ND
1950:Q3,ND,ND,ND,ND,ND
1950:Q4,47.00,0.00,47.00,0.00,0.00
1951:Q1,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND
1993:Q3,-11205.00,-655.00,1611.00,-5249.00,-6912.00
1993:Q4,-3032.00,-177.00,-776.00,-3929.00,1850.00
1994:Q1,-701.00,-41.00,1228.00,1374.00,-3262.00
1994:Q2,19327.00,1131.00,350.00,-2498.00,20344.00
1994:Q3,8722.00,510.00,-3442.00,-387.00,12041.00
1994:Q4,25541.00,1494.00,3026.00,7448.00,13573.00
1995:Q1,8158.00,1477.00,-1814.00,-781.00,9276.00
1995:Q2,27986.00,2137.00,604.00,360.00,24885.00
1995:Q3,-6125.00,-358.00,1402.00,5910.00,-13079.00
1995:Q4,5285.00,1309.00,1547.00,-1453.00,3882.00
1996:Q1,25191.00,2665.00,2984.00,1533.00,18009.00
1996:Q2,747.00,1672.00,-543.00,-7186.00,6804.00
1996:Q3,29972.00,4000.00,1078.00,3568.00,21326.00
1996:Q4,30027.00,4028.00,7286.00,5597.00,13116.00
1997:Q1,46088.00,2811.00,760.00,-2423.00,44940.00
1997:Q2,6044.00,346.00,4494.00,-490.00,1694.00
1997:Q3,25419.00,1555.00,-211.00,2794.00,21281.00
1997:Q4,30155.00,1821.00,-10112.00,152.00,38294.00
1998:Q1,-6036.00,-362.00,3976.00,5177.00,-14827.00
1998:Q2,16139.00,968.00,-6538.00,-6503.00,28212.00
1998:Q3,28580.00,1715.00,-2192.00,4873.00,24184.00
1998:Q4,-29581.00,-1775.00,12133.00,3566.00,-43505.00
1999:Q1,27377.00,1643.00,5717.00,9414.00,10603.00
1999:Q2,18639.00,1118.00,-3892.00,5362.00,16051.00
1999:Q3,11400.00,684.00,1147.00,9879.00,-310.00
1999:Q4,-8522.00,-511.00,-2030.00,-13273.00,7292.00
2000:Q1,74857.00,4491.00,4290.00,20670.00,45406.00
2000:Q2,11518.00,691.00,-6008.00,6335.00,10500.00
2000:Q3,-22199.00,-1332.00,-15744.00,-363.00,-4760.00
2000:Q4,62703.00,3762.00,10031.00,17488.00,31422.00
2001:Q1,41976.00,2519.00,-7101.00,22681.00,23877.00
2001:Q2,-38845.00,-2331.00,165.00,-2749.00,-33930.00
2001:Q3,-1184.00,-71.00,-2724.00,685.00,926.00
2001:Q4,4805.00,288.00,1148.00,10900.00,-7531.00
2002:Q1,-15075.00,-905.00,1155.00,-7301.00,-8024.00
2002:Q2,7462.00,448.00,1828.00,-1998.00,7184.00
2002:Q3,26036.00,1562.00,1500.00,2591.00,20383.00
2002:Q4,2607.00,156.00,587.00,-14.00,1878.00
2003:Q1,26454.00,1691.00,1346.00,-9741.00,33158.00
2003:Q2,41724.00,2487.00,8364.00,-10851.00,41724.00
2003:Q3,-45810.00,-2969.00,4216.00,-5776.00,-41281.00
2003:Q4,21388.00,1695.00,3632.00,-11828.00,27889.00
2004:Q1,35298.00,2363.00,3554.00,3171.00,26210.00
2004:Q2,65639.00,2685.00,5926.00,6771.00,50257.00
2004:Q3,-844.00,975.00,-2928.00,-8438.00,9547.00
2004:Q4,54068.00,2900.00,9008.00,-652.00,42812.00
2005:Q1,91333.00,5638.00,7596.00,-4703.00,82802.00
2005:Q2,-47861.00,-2853.00,-3805.00,13769.00,-54972.00
2005:Q3,20485.00,2035.00,-6077.00,11125.00,13402.00
2005:Q4,-42080.00,-2737.00,12152.00,-12408.00,-39087.00
2006:Q1,68875.00,4032.00,-21575.00,5521.00,80897.00
2006:Q2,97662.00,4787.00,11049.00,-18835.00,100661.00
2006:Q3,16665.00,-917.00,-9348.00,-8254.00,35184.00
2006:Q4,-2746.00,-1803.00,5639.00,11455.00,-18037.00
2007:Q1,41061.00,3588.00,-4030.00,-3946.00,45449.00
2007:Q2,134844.00,6395.00,10518.00,-9300.00,127231.00
2007:Q3,97872.00,4914.00,1141.00,27922.00,63895.00
2007:Q4,20731.00,2879.00,-6715.00,20358.00,4209.00
2008:Q1,-36399.00,-3657.00,4787.00,10259.00,-47788.00
2008:Q2,-111745.00,-5557.00,-18200.00,126.00,-88114.00
2008:Q3,-133529.00,-7982.00,-5257.00,-10302.00,-109988.00
2008:Q4,-49323.00,-634.00,-6876.00,-14812.00,-27001.00
2009:Q1,-36629.00,-4377.00,1032.00,-10519.00,-22765.00
2009:Q2,45364.00,72.00,505.00,12430.00,32357.00
2009:Q3,63192.00,428.00,19.00,16327.00,46418.00
2009:Q4,-115779.00,-3291.00,5268.00,-6668.00,-111088.00
2010:Q1,-53485.00,-4252.00,6583.00,-4700.00,-51116.00
2010:Q2,42259.00,2869.00,546.00,195.00,38649.00
2010:Q3,41303.00,2534.00,-2866.00,11779.00,29856.00
2010:Q4,41484.00,3396.00,4835.00,1627.00,31626.00
2011:Q1,48432.00,2337.00,7346.00,3595.00,35154.00
2011:Q2,-95534.00,-4312.00,-6338.00,4635.00,-89519.00
2011:Q3,-38655.00,-914.00,-3470.00,-44648.00,10377.00
2011:Q4,-129219.00,-7022.00,-3337.00,-27735.00,-91125.00
2012:Q1,-25622.00,-1103.00,-2726.00,-2877.00,-18916.00
2012:Q2,-101364.00,-5560.00,-3584.00,-7281.00,-84939.00
2012:Q3,25195.00,1340.00,4308.00,7294.00,12253.00
