1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1960:Q1,17236.00,11876.00,1996.00,2684.00,680.00,17236.00,13636.00,3200.00,-152.00,3352.00,400.00,0.00,17236.00,3396.00,4.00,0.00,-304.00,208.00,7980.00,0.00,4.00,716.00,-4.00,2832.00,296.00,396.00,1576.00,4.00,0.00,132.00,0.00
1960:Q2,16332.00,10092.00,2012.00,3076.00,1152.00,16332.00,10624.00,5300.00,432.00,4868.00,408.00,0.00,16332.00,2468.00,4.00,0.00,176.00,172.00,9536.00,0.00,8.00,-100.00,0.00,2452.00,328.00,472.00,1172.00,8.00,0.00,-364.00,0.00
1960:Q3,18068.00,11700.00,2364.00,3452.00,552.00,18068.00,12252.00,5412.00,900.00,4512.00,404.00,0.00,18068.00,2060.00,4.00,0.00,392.00,176.00,11180.00,0.00,12.00,-128.00,8.00,2232.00,328.00,496.00,980.00,-8.00,0.00,336.00,0.00
1960:Q4,17488.00,11448.00,1972.00,3504.00,564.00,17488.00,11960.00,5120.00,2084.00,3036.00,408.00,0.00,17488.00,3172.00,0.00,0.00,516.00,212.00,9832.00,0.00,8.00,-84.00,8.00,2780.00,296.00,468.00,540.00,-12.00,0.00,-248.00,0.00
1961:Q1,17436.00,11128.00,2552.00,2856.00,900.00,17436.00,11612.00,5608.00,-324.00,5932.00,216.00,0.00,17436.00,4676.00,8.00,0.00,340.00,244.00,8856.00,0.00,20.00,564.00,16.00,2200.00,272.00,456.00,-204.00,0.00,0.00,-12.00,0.00
1961:Q2,18392.00,10612.00,2076.00,4208.00,1496.00,18392.00,11112.00,7064.00,1148.00,5916.00,216.00,0.00,18392.00,2624.00,8.00,0.00,368.00,276.00,12524.00,0.00,20.00,-268.00,12.00,2480.00,244.00,464.00,-664.00,-4.00,0.00,308.00,0.00
1961:Q3,21432.00,13196.00,3388.00,3648.00,1200.00,21432.00,13780.00,7424.00,940.00,6484.00,228.00,0.00,21432.00,2344.00,8.00,0.00,524.00,284.00,13644.00,0.00,28.00,356.00,4.00,1760.00,244.00,452.00,536.00,176.00,0.00,1072.00,0.00
1961:Q4,24980.00,15660.00,3328.00,5272.00,720.00,24980.00,16232.00,8520.00,3904.00,4616.00,228.00,0.00,24980.00,3392.00,12.00,0.00,564.00,264.00,13852.00,0.00,40.00,268.00,-8.00,3288.00,276.00,412.00,1264.00,184.00,0.00,1172.00,0.00
1962:Q1,19560.00,12072.00,2384.00,3884.00,1220.00,19560.00,12636.00,6604.00,1336.00,5268.00,320.00,0.00,19560.00,3568.00,20.00,0.00,204.00,260.00,12296.00,0.00,60.00,204.00,-4.00,1612.00,296.00,376.00,884.00,88.00,0.00,-304.00,0.00
1962:Q2,23072.00,13548.00,2876.00,4840.00,1808.00,23072.00,14212.00,8536.00,1664.00,6872.00,324.00,0.00,23072.00,1524.00,24.00,0.00,-20.00,260.00,17896.00,0.00,76.00,-160.00,-16.00,2052.00,316.00,336.00,-328.00,96.00,0.00,1016.00,0.00
1962:Q3,24380.00,15376.00,3328.00,4596.00,1080.00,24380.00,16020.00,8168.00,1984.00,6184.00,192.00,0.00,24380.00,1156.00,24.00,0.00,-4.00,252.00,18524.00,0.00,76.00,252.00,-24.00,2204.00,324.00,324.00,76.00,148.00,0.00,1048.00,0.00
1962:Q4,26864.00,16124.00,3852.00,5892.00,996.00,26864.00,16636.00,10024.00,4296.00,5728.00,204.00,0.00,26864.00,2440.00,16.00,0.00,108.00,232.00,17796.00,0.00,60.00,280.00,-40.00,4928.00,328.00,348.00,164.00,160.00,0.00,44.00,0.00
1963:Q1,22384.00,14544.00,2600.00,3768.00,1472.00,22384.00,15356.00,6928.00,1548.00,5380.00,100.00,0.00,22384.00,2716.00,8.00,0.00,-196.00,216.00,16876.00,0.00,48.00,400.00,-12.00,2500.00,324.00,356.00,-980.00,160.00,0.00,-32.00,0.00
