1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1959:Q2,-39.00,4.00,313.00,-737.00,0.00,33.00,100.00,320.00,320.00,0.00,0.00,564.00,-6.00,570.00,528.00,42.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,-1.00,0.00,34.00,0.00,34.00,198.00,-6.00,170.00,260.00,-302.00,-320.00,18.00,0.00,0.00,-9.00,571.00,0.00,0.00,0.00,-226.00,6.00,-232.00,-158.00
1959:Q3,-49.00,4.00,-244.00,-353.00,0.00,30.00,105.00,-563.00,-563.00,0.00,0.00,513.00,-6.00,519.00,-7605.00,8124.00,0.00,0.00,0.00,-16.00,0.00,0.00,0.00,-16.00,0.00,40.00,0.00,40.00,-285.00,-428.00,-20.00,118.00,152.00,-17.00,169.00,0.00,0.00,12.00,-46.00,0.00,0.00,0.00,45.00,3.00,42.00,-94.00
1959:Q4,-57.00,4.00,1029.00,76.00,0.00,2.00,639.00,124.00,124.00,0.00,3.00,137.00,44.00,93.00,44.00,49.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,4.00,0.00,44.00,0.00,44.00,1334.00,414.00,-228.00,819.00,-186.00,14.00,-200.00,0.00,0.00,35.00,970.00,0.00,0.00,0.00,329.00,4.00,325.00,245.00
1960:Q1,12.00,4.00,-1826.00,-42.00,0.00,29.00,-767.00,362.00,362.00,0.00,52.00,-1477.00,-37.00,-1440.00,-3343.00,1903.00,0.00,0.00,0.00,15.00,0.00,0.00,0.00,15.00,0.00,2.00,0.00,2.00,-1921.00,-458.00,348.00,-1448.00,52.00,45.00,7.00,0.00,0.00,-122.00,-1378.00,0.00,0.00,0.00,-363.00,8.00,-371.00,-88.00
1960:Q2,12.00,4.00,806.00,-110.00,0.00,14.00,45.00,-548.00,-548.00,0.00,100.00,1155.00,-2.00,1157.00,1208.00,-51.00,0.00,0.00,0.00,-20.00,0.00,0.00,0.00,-20.00,0.00,170.00,0.00,170.00,811.00,-188.00,130.00,365.00,-48.00,-41.00,-7.00,0.00,0.00,33.00,380.00,0.00,0.00,0.00,504.00,5.00,499.00,12.00
1960:Q3,10.00,4.00,-69.00,-663.00,0.00,21.00,119.00,326.00,326.00,0.00,100.00,160.00,3.00,157.00,5836.00,-5679.00,0.00,0.00,0.00,19.00,0.00,0.00,0.00,19.00,0.00,-151.00,0.00,-151.00,-69.00,530.00,50.00,-155.00,59.00,9.00,50.00,0.00,0.00,-64.00,-150.00,0.00,0.00,0.00,-494.00,3.00,-497.00,5.00
1960:Q4,9.00,4.00,-10.00,-913.00,0.00,23.00,881.00,-568.00,-568.00,0.00,95.00,550.00,46.00,504.00,-4854.00,5358.00,0.00,0.00,0.00,-11.00,0.00,0.00,0.00,-11.00,0.00,-67.00,0.00,-67.00,49.00,-977.00,-194.00,1024.00,-96.00,-27.00,-69.00,0.00,0.00,26.00,1094.00,0.00,0.00,0.00,196.00,6.00,190.00,63.00
1961:Q1,21.00,3.00,-2058.00,-325.00,0.00,11.00,-1092.00,81.00,81.00,0.00,-110.00,-615.00,-19.00,-596.00,-4235.00,3639.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.00,0.00,-9.00,-2141.00,-1089.00,284.00,-1214.00,64.00,60.00,4.00,0.00,0.00,56.00,-1334.00,0.00,0.00,0.00,-122.00,14.00,-136.00,-66.00
1961:Q2,20.00,3.00,1083.00,192.00,0.00,28.00,416.00,-71.00,-71.00,0.00,-50.00,606.00,-9.00,615.00,1626.00,-1011.00,0.00,0.00,0.00,-7.00,0.00,0.00,0.00,-7.00,0.00,-31.00,0.00,-31.00,1072.00,724.00,-727.00,1152.00,-139.00,-58.00,-81.00,0.00,0.00,-26.00,1317.00,0.00,0.00,0.00,-77.00,2.00,-79.00,5.00
1961:Q3,19.00,3.00,-23.00,-195.00,0.00,125.00,129.00,47.00,47.00,0.00,-50.00,-125.00,-3.00,-122.00,-4760.00,4638.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,45.00,0.00,45.00,-28.00,-406.00,967.00,-490.00,114.00,37.00,77.00,0.00,0.00,113.00,-717.00,0.00,0.00,0.00,-99.00,7.00,-106.00,10.00
1961:Q4,20.00,3.00,2416.00,-438.00,0.00,23.00,1000.00,33.00,33.00,0.00,-48.00,1866.00,25.00,1841.00,272.00,1569.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,13.00,0.00,-33.00,0.00,-33.00,2444.00,1077.00,-181.00,1352.00,-14.00,6.00,-20.00,0.00,0.00,-75.00,1441.00,0.00,0.00,0.00,196.00,13.00,183.00,44.00
